s320	69174	69474
s323	74486	74786
s324	70375	70675
s327	108255	108455
s328	93852	93952
s33	9216	9316
s33	131794	132094
s33	200334	200534
s33	716280	716480
s335	47560	47860
s34	188131	188231
s34	332534	332634
s34	581499	581699
s34	887268	887368
s340	50262	50362
s352	41314	41614
s36	108261	108561
s36	424431	424631
s36	632444	632744
s360	42570	42770
s364	1945	2245
s366	71702	71902
s37	36919	37019
s37	124652	124852
s37	467591	467891
s37	641415	641615
s373	884	1184
s375	11615	11815
s377	35079	35279
s38	12217	12417
s38	216487	216687
s38	719876	719976
s382	23106	23206
s385	10360	10460
s385	56621	56721
s387	35576	35676
s388	32874	32974
s39	96609	96809
s39	181648	181848
s390	8262	8462
s396	9467	9567
s4	290777	291077
s4	824479	824679
s4	1126881	1126981
s4	1307056	1307256
s4	1478683	1478883
s40	379166	379266
s40	418140	418240
s40	498146	498246
s40	693804	693904
s41	60717	60817
s41	433380	433680
s41	518725	519025
s410	23709	23809
s411	1451	1751
s42	482028	482128
s42	514004	514304
s427	23077	23177
s427	33025	33225
s429	16330	16430
s43	107342	107542
s43	803779	803979
s44	20113	20413
s44	286823	287123
s44	791795	792095
s45	20671	20971
s45	255439	255639
s45	410739	411039
s45	541130	541230
s46	154839	154939
s46	460888	461088
s48	357418	357618
s48	501288	501488
s48	712064	712264
s49	627808	628008
s5	20560	20760
s5	268812	269112
s5	346246	346546
s5	1280218	1280418
s51	87005	87205
s51	315153	315253
s52	326902	327202
s52	383310	383410
s52	492653	492953
s52	683802	684002
s53	577404	577504
s53	726865	727165
s54	65671	65871
s54	709549	709649
s55	137725	137925
s55	151759	151959
s55	450192	450292
s55	478720	478820
s56	313773	313873
s57	134170	134370
s57	234733	235033
s57	432967	433067
s57	449560	449760
s57	517918	518218
s57	527974	528274
s5781	1588	1788
s58	300365	300465
s58	355620	355820
s58	627059	627159
s58	636050	636350
s59	530968	531168
s6	336981	337081
s6	578038	578138
s6	722541	722741
s6	733177	733377
s60	205184	205284
s60	621146	621446
s60	630225	630525
s63	220002	220202
s63	456279	456579
s63	673110	673310
s64	657725	657825
s65	642252	642352
s66	114201	114301
s67	480724	481024
s67	502082	502182
s67	587640	587740
s68	228637	228837
s69	519496	519596
s7	419649	419749
s7	681491	681791
s7	741113	741413
s7	1073557	1073657
s7	1083846	1083946
s7	1458158	1458458
s70	650357	650557
s71	423626	423726
s72	104083	104283
s72	151775	152075
s72	256194	256394
s72	287251	287351
s72	447706	447806
s73	93648	93748
s73	618959	619059
s76	397639	397739
s77	194813	195113
s78	172407	172707
s78	278544	278644
s783	1542	1742
s79	138855	139155
s79	182609	182909
s79	318765	318965
s8	32950	33250
s8	70143	70443
s8	509618	509918
s8	562392	562692
s8	758624	758924
s8	962232	962532
s8	1121862	1122062
s8	1134186	1134386
s80	201205	201405
s81	373920	374120
s81	491455	491755
s82	187856	188056
s82	528533	528633
s839	1573	1873
s84	30681	30781
s84	385714	385814
s86	289167	289267
s86	541865	542065
s87	15577	15877
s87	289471	289571
s88	129055	129355
s89	450689	450789
s89	458735	458835
s9	843026	843226
s90	125228	125528
s90	246096	246296
s90	267156	267456
s91	213676	213776
s91	221112	221212
s91	334757	335057
s91	417829	418029
s92	211529	211729
s92	280301	280401
s92	349732	349832
s92	409032	409332
s93	89579	89879
s93	192428	192528
s93	328777	329077
s93	386407	386507
s94	57898	58198
s95	505009	505109
s96	16403	16703
s96	305848	306148
s964	1702	1902
s97	271451	271651
s98	197413	197513
s99	250709	251009
s99	417181	417381
