#Name,Accession,Start,Stop,Locus tag,Protein Name
"Un","BLLF01005288.1",5592,5983,"HaLaN_29952","hypothetical protein HaLaN_29952"
"Un","BLLF01005289.1",1,879,"HaLaN_29953","uncharacterized protein HaLaN_29953, partial"
"Un","BLLF01005289.1",8067,8580,"HaLaN_29955","hypothetical protein HaLaN_29955"
"Un","BLLF01003035.1",9285,9935,"HaLaN_24236","uncharacterized protein HaLaN_24236"
"Un","BLLF01003035.1",10803,14601,"HaLaN_24237","uncharacterized protein HaLaN_24237, partial"
"Un","BLLF01003035.1",19680,20485,"HaLaN_24238","uncharacterized protein HaLaN_24238, partial"
"Un","BLLF01003036.1",24,8823,"HaLaN_24239","uncharacterized protein HaLaN_24239, partial"
"Un","BLLF01003036.1",4374,4773,"HaLaN_24240","hypothetical protein HaLaN_24240, partial"
"Un","BLLF01003037.1",887,1894,"HaLaN_24242","hypothetical protein HaLaN_24242, partial"
"Un","BLLF01003037.1",6483,7239,"HaLaN_24243","pherophorin, partial"
"Un","BLLF01003037.1",7961,8698,"HaLaN_24244","hypothetical protein HaLaN_24244, partial"
"Un","BLLF01003038.1",2559,3283,"HaLaN_24245","hypothetical protein HaLaN_24245, partial"
"Un","BLLF01003038.1",3813,8182,"HaLaN_24246","uncharacterized protein HaLaN_24246"
"Un","BLLF01003038.1",15339,15406,"HaLaN_24248","hypothetical protein HaLaN_24248, partial"
"Un","BLLF01003039.1",13074,14058,"HaLaN_24249","hypothetical protein HaLaN_24249"
"Un","BLLF01003039.1",14342,14756,"HaLaN_24250","uncharacterized protein HaLaN_24250"
"Un","BLLF01003040.1",75,564,"HaLaN_24251","MFS domain-containing protein, partial"
"Un","BLLF01003040.1",667,3933,"HaLaN_24252","ascorbate transporter, chloroplastic"
"Un","BLLF01003040.1",3139,3530,"HaLaN_24253","hypothetical protein HaLaN_24253, partial"
"Un","BLLF01003040.1",12957,13595,"HaLaN_24254","hypothetical protein HaLaN_24254"
"Un","BLLF01003040.1",13692,14832,"HaLaN_24255","hypothetical protein HaLaN_24255"
"Un","BLLF01003040.1",15560,15885,"HaLaN_24256","hypothetical protein HaLaN_24256"
"Un","BLLF01003041.1",60,1087,"HaLaN_24257","hypothetical protein HaLaN_24257"
"Un","BLLF01003041.1",2388,8991,"HaLaN_24258","hypothetical protein HaLaN_24258"
"Un","BLLF01003041.1",9872,10408,"HaLaN_24259","hypothetical protein HaLaN_24259"
"Un","BLLF01003041.1",10556,15181,"HaLaN_24260","uncharacterized protein HaLaN_24260"
"Un","BLLF01003042.1",2695,3081,"HaLaN_24261","hypothetical protein HaLaN_24261, partial"
"Un","BLLF01003042.1",4266,5038,"HaLaN_24262","hypothetical protein HaLaN_24262"
"Un","BLLF01003042.1",7348,8039,"HaLaN_24263","hypothetical protein HaLaN_24263"
"Un","BLLF01003042.1",12314,14917,"HaLaN_24264","predicted protein, partial"
"Un","BLLF01003043.1",2171,2778,"HaLaN_24265","nitroreductase domain-containing protein, partial"
"Un","BLLF01003043.1",5498,6722,"HaLaN_24266","uncharacterized protein HaLaN_24266"
"Un","BLLF01003043.1",11368,12060,"HaLaN_24267","histone acetyltransferase, partial"
"Un","BLLF01003043.1",14296,14857,"HaLaN_24268","uncharacterized protein HaLaN_24268"
"Un","BLLF01003043.1",22080,23566,"HaLaN_24269","hypothetical protein HaLaN_24269"
"Un","BLLF01003043.1",32545,32721,"HaLaN_24270","hypothetical protein HaLaN_24270, partial"
"Un","BLLF01003044.1",335,1806,"HaLaN_24271","protein kinase domain-containing protein, partial"
"Un","BLLF01003044.1",6987,9851,"HaLaN_24272","protein kinase domain-containing protein"
"Un","BLLF01003044.1",14308,15263,"HaLaN_24273","cell division cycle protein 20, partial"
"Un","BLLF01003044.1",15630,16253,"HaLaN_24274","WD_REPEATS_REGION domain-containing protein, partial"
"Un","BLLF01003044.1",17932,19523,"HaLaN_24275","ML domain-containing protein"
"Un","BLLF01003045.1",566,3604,"HaLaN_24276","uncharacterized protein HaLaN_24276"
"Un","BLLF01004023.1",6109,9874,"HaLaN_27303","uncharacterized protein HaLaN_27303, partial"
"Un","BLLF01004024.1",2949,3855,"HaLaN_27304","PDZ domain-containing protein, partial"
"Un","BLLF01004024.1",5808,7541,"HaLaN_27305","PDZ domain-containing protein"
"Un","BLLF01004024.1",9668,10026,"HaLaN_27306","uncharacterized protein HaLaN_27306, partial"
"Un","BLLF01004026.1",2601,3216,"HaLaN_27307","guanylate cyclase domain-containing protein, partial"
"Un","BLLF01004026.1",2840,4088,"HaLaN_27308","hypothetical protein HaLaN_27308"
"Un","BLLF01004026.1",4424,6235,"HaLaN_27309","guanylate cyclase domain-containing protein"
"Un","BLLF01004027.1",9408,9928,"HaLaN_27312","hypothetical protein HaLaN_27312, partial"
"Un","BLLF01004028.1",489,3817,"HaLaN_27313","TOG domain-containing protein, partial"
"Un","BLLF01004028.1",4546,10090,"HaLaN_27314","TOG domain-containing protein, partial"
"Un","BLLF01004029.1",6677,7544,"HaLaN_27315","uncharacterized protein HaLaN_27315"
"Un","BLLF01004030.1",89,1259,"HaLaN_27316","uncharacterized protein HaLaN_27316, partial"
"Un","BLLF01004030.1",2224,3306,"HaLaN_27317","uncharacterized protein HaLaN_27317, partial"
"Un","BLLF01004030.1",14603,15136,"HaLaN_27319","p-loop containing nucleoside triphosphate hydrolase protein, partial"
"Un","BLLF01004031.1",6772,8395,"HaLaN_27320","DUF4200 domain-containing protein"
"Un","BLLF01004032.1",18,282,"HaLaN_27322","hypothetical protein HaLaN_27322, partial"
"Un","BLLF01004032.1",2113,5013,"HaLaN_27323","uncharacterized protein HaLaN_27323, partial"
"Un","BLLF01004032.1",5044,6130,"HaLaN_27324","hypothetical protein HaLaN_27324"
"Un","BLLF01004032.1",7848,11301,"HaLaN_27325","uncharacterized protein HaLaN_27325"
"Un","BLLF01004032.1",11967,12299,"HaLaN_27326","methyltransf_11 domain-containing protein, partial"
"Un","BLLF01004033.1",108,1025,"HaLaN_27327","uncharacterized protein HaLaN_27327, partial"
"Un","BLLF01004033.1",1920,10073,"HaLaN_27328","uncharacterized protein HaLaN_27328, partial"
"Un","BLLF01004034.1",150,1210,"HaLaN_27329","dimer_Tnp_hAT domain-containing protein"
"Un","BLLF01004034.1",3440,3867,"HaLaN_27330","hypothetical protein HaLaN_27330"
"Un","BLLF01004035.1",5518,7579,"HaLaN_27331","peptidase C1, partial"
"Un","BLLF01004035.1",7454,9620,"HaLaN_27332","hypothetical protein HaLaN_27332"
"Un","BLLF01004036.1",2913,10260,"HaLaN_27333","hypothetical protein HaLaN_27333, partial"
"Un","BLLF01004037.1",11629,13083,"HaLaN_27334","hypothetical protein HaLaN_27334, partial"
"Un","BLLF01004037.1",13793,14477,"HaLaN_27335","uncharacterized protein HaLaN_27335, partial"
"Un","BLLF01004038.1",3901,4745,"HaLaN_27336","uncharacterized protein HaLaN_27336"
"Un","BLLF01004039.1",3239,7427,"HaLaN_27338","uncharacterized protein HaLaN_27338, partial"
"Un","BLLF01004039.1",8097,8599,"HaLaN_27339","hypothetical protein HaLaN_27339"
"Un","BLLF01004039.1",8843,9470,"HaLaN_27340","hypothetical protein HaLaN_27340"
"Un","BLLF01004040.1",560,1844,"HaLaN_27342","uncharacterized protein HaLaN_27342, partial"
"Un","BLLF01004040.1",7310,8153,"HaLaN_27343","cyclase"
"Un","BLLF01004040.1",11236,11959,"HaLaN_27344","hypothetical protein HaLaN_27344, partial"
"Un","BLLF01004040.1",20593,21573,"HaLaN_27346","uncharacterized protein HaLaN_27346"
"Un","BLLF01004041.1",10207,10599,"HaLaN_27348","tiny macrocysts protein B, partial"
"Un","BLLF01004042.1",5182,5518,"HaLaN_27349","aminotran_5 domain-containing protein, partial"
"Un","BLLF01004042.1",6470,7429,"HaLaN_27350","aminotran_5 domain-containing protein"
"Un","BLLF01004042.1",8988,10546,"HaLaN_27351","tRNA-histidine guanylyltransferase, partial"
"Un","BLLF01004043.1",638,974,"HaLaN_27352","hypothetical protein HaLaN_27352"
"Un","BLLF01004043.1",12156,14398,"HaLaN_27353","guanylate cyclase domain-containing protein"
"Un","BLLF01004043.1",21711,23552,"HaLaN_27354","guanylate cyclase domain-containing protein, partial"
"Un","BLLF01004045.1",109,633,"HaLaN_27355","hypothetical protein HaLaN_27355, partial"
"Un","BLLF01004045.1",6072,6717,"HaLaN_27356","hypothetical protein HaLaN_27356, partial"
"Un","BLLF01004046.1",12544,14370,"HaLaN_27357","hypothetical protein HaLaN_27357, partial"
"Un","BLLF01004046.1",15471,15794,"HaLaN_27358","hypothetical protein HaLaN_27358, partial"
"Un","BLLF01004047.1",3634,4582,"HaLaN_27359","hypothetical protein HaLaN_27359, partial"
"Un","BLLF01004047.1",6876,7321,"HaLaN_27360","hypothetical protein HaLaN_27360"
"Un","BLLF01004047.1",7799,9034,"HaLaN_27361","hypothetical protein HaLaN_27361, partial"
"Un","BLLF01004048.1",37,334,"HaLaN_27362","hypothetical protein HaLaN_27362, partial"
"Un","BLLF01004048.1",752,1761,"HaLaN_27363","hypothetical protein HaLaN_27363"
"Un","BLLF01004048.1",6874,7829,"HaLaN_27364","DUF1664 domain-containing protein"
"Un","BLLF01004049.1",8183,11541,"HaLaN_27365","uncharacterized protein HaLaN_27365, partial"
"Un","BLLF01004049.1",13471,15847,"HaLaN_27366","hypothetical protein HaLaN_27366, partial"
"Un","BLLF01004050.1",331,4754,"HaLaN_27367","predicted protein, partial"
"Un","BLLF01004050.1",5169,8007,"HaLaN_27368","uncharacterized protein HaLaN_27368, partial"
"Un","BLLF01004051.1",3141,4163,"HaLaN_27370","protein kinase domain-containing protein"
"Un","BLLF01004051.1",15026,15693,"HaLaN_27372","hypothetical protein HaLaN_27372, partial"
"Un","BLLF01004052.1",2252,3284,"HaLaN_27373","AAA domain"
"Un","BLLF01004053.1",1810,2214,"HaLaN_27374","hypothetical protein HaLaN_27374"
"Un","BLLF01004053.1",2230,4376,"HaLaN_27375","Sec3_C domain-containing protein"
"Un","BLLF01004053.1",4654,5602,"HaLaN_27376","Sec3_C domain-containing protein, partial"
"Un","BLLF01004053.1",13274,15872,"HaLaN_27377","FAD_binding_3 domain-containing protein, partial"
"Un","BLLF01004054.1",362,2852,"HaLaN_27378","N-acetyltransferase domain-containing protein, partial"
"Un","BLLF01004054.1",4346,8180,"HaLaN_27379","uncharacterized protein HaLaN_27379, partial"
"Un","BLLF01004055.1",198,3261,"HaLaN_27380","uncharacterized protein HaLaN_27380, partial"
"Un","BLLF01004055.1",6075,7366,"HaLaN_27381","3-oxoacyl"
"Un","BLLF01004055.1",12143,18103,"HaLaN_27382","hypothetical protein HaLaN_27382, partial"
"Un","BLLF01004056.1",1018,1589,"HaLaN_27383","hypothetical protein HaLaN_27383, partial"
"Un","BLLF01004056.1",2212,3413,"HaLaN_27384","methyltranfer_dom domain-containing protein, partial"
"Un","BLLF01004057.1",669,9663,"HaLaN_27385","ubiquitin-protein ligase E3 A, partial"
"Un","BLLF01004058.1",806,5294,"HaLaN_27386","lisH domain-containing protein"
"Un","BLLF01004058.1",7129,9474,"HaLaN_27387","hypothetical protein HaLaN_27387"
"Un","BLLF01004059.1",7286,9798,"HaLaN_27388","hypothetical protein HaLaN_27388"
"Un","BLLF01005289.1",20408,21426,"HaLaN_29956","uncharacterized protein HaLaN_29956"
"Un","BLLF01005290.1",144,1445,"HaLaN_29957","dimer_Tnp_hAT domain-containing protein, partial"
"Un","BLLF01005290.1",4567,5244,"HaLaN_29958","uncharacterized protein HaLaN_29958"
"Un","BLLF01005291.1",8087,14407,"HaLaN_29959","hypothetical protein HaLaN_29959"
"Un","BLLF01005291.1",14660,14871,"HaLaN_29960","hypothetical protein HaLaN_29960"
"Un","BLLF01005291.1",18309,18878,"HaLaN_29962","hypothetical protein HaLaN_29962, partial"
"Un","BLLF01005293.1",45,327,"HaLaN_29963","hypothetical protein HaLaN_29963, partial"
"Un","BLLF01005293.1",1609,3098,"HaLaN_29964","uncharacterized protein HaLaN_29964"
"Un","BLLF01005293.1",3160,5597,"HaLaN_29965","uncharacterized protein HaLaN_29965, partial"
"Un","BLLF01005294.1",4806,5413,"HaLaN_29966","hypothetical protein HaLaN_29966, partial"
"Un","BLLF01005294.1",5322,6464,"HaLaN_29967","hypothetical protein HaLaN_29967"
"Un","BLLF01005296.1",2809,3701,"HaLaN_29970","uncharacterized protein HaLaN_29970, partial"
"Un","BLLF01005297.1",119,801,"HaLaN_29971","uncharacterized protein HaLaN_29971, partial"
"Un","BLLF01005297.1",3066,3411,"HaLaN_29972","uncharacterized protein HaLaN_29972"
"Un","BLLF01005298.1",5287,5390,"HaLaN_29973","hypothetical protein HaLaN_29973, partial"
"Un","BLLF01005299.1",2741,3159,"HaLaN_29974","hypothetical protein HaLaN_29974"
"Un","BLLF01005301.1",1725,4197,"HaLaN_29975","predicted protein, partial"
"Un","BLLF01005302.1",881,3524,"HaLaN_29976","hypothetical protein HaLaN_29976, partial"
"Un","BLLF01005302.1",4279,5376,"HaLaN_29977","uncharacterized protein HaLaN_29977"
"Un","BLLF01005303.1",2408,3632,"HaLaN_29978","SAM-dependent MTase TRM10-type domain-containing protein, partial"
"Un","BLLF01005305.1",938,3360,"HaLaN_29981","cyclin-dependent kinases regulatory subunit, partial"
"Un","BLLF01005306.1",4303,5928,"HaLaN_29984","FAD_binding_3 domain-containing protein, partial"
"Un","BLLF01005307.1",1865,3731,"HaLaN_29985","flavoprotein domain-containing protein"
"Un","BLLF01005308.1",605,3747,"HaLaN_29986","hypothetical protein HaLaN_29986, partial"
"Un","BLLF01005311.1",74,1092,"HaLaN_29987","hypothetical protein HaLaN_29987, partial"
"Un","BLLF01005311.1",2009,3306,"HaLaN_29988","uncharacterized protein HaLaN_29988, partial"
"Un","BLLF01005314.1",1,608,"HaLaN_29990","hypothetical protein HaLaN_29990, partial"
"Un","BLLF01005314.1",8133,8544,"HaLaN_29992","hypothetical protein HaLaN_29992"
"Un","BLLF01005315.1",4256,5814,"HaLaN_29993","hypothetical protein HaLaN_29993"
"Un","BLLF01005316.1",2236,3968,"HaLaN_29994","ferritin, partial"
"Un","BLLF01005316.1",2793,3217,"HaLaN_29995","hypothetical protein HaLaN_29995"
"Un","BLLF01005318.1",1605,6040,"HaLaN_29997","uncharacterized protein HaLaN_29997, partial"
"Un","BLLF01005319.1",2584,3017,"HaLaN_29998","hypothetical protein HaLaN_29998, partial"
"Un","BLLF01005320.1",653,4202,"HaLaN_29999","uncharacterized protein HaLaN_29999, partial"
"Un","BLLF01005321.1",2440,4516,"HaLaN_30001","uncharacterized protein HaLaN_30001, partial"
"Un","BLLF01005323.1",3993,5414,"HaLaN_30004","uncharacterized protein HaLaN_30004, partial"
"Un","BLLF01005323.1",7062,8229,"HaLaN_30005","uncharacterized protein HaLaN_30005, partial"
"Un","BLLF01005323.1",8432,18652,"HaLaN_30006","Lon N-terminal domain-containing protein"
"Un","BLLF01003046.1",3948,6772,"HaLaN_24277","GFO_IDH_MocA domain-containing protein, partial"
"Un","BLLF01003046.1",15623,16452,"HaLaN_24278","predicted protein, partial"
"Un","BLLF01003047.1",9127,9747,"HaLaN_24282","hypothetical protein HaLaN_24282"
"Un","BLLF01003048.1",3608,4567,"HaLaN_24283","PDZ domain-containing protein, partial"
"Un","BLLF01003048.1",6923,7166,"HaLaN_24284","hypothetical protein HaLaN_24284, partial"
"Un","BLLF01003049.1",103,746,"HaLaN_24286","hypothetical protein HaLaN_24286, partial"
"Un","BLLF01003049.1",15702,15960,"HaLaN_24288","hypothetical protein HaLaN_24288, partial"
"Un","BLLF01003049.1",16740,17755,"HaLaN_24289","hypothetical protein HaLaN_24289, partial"
"Un","BLLF01003050.1",29,4636,"HaLaN_24290","uncharacterized protein HaLaN_24290, partial"
"Un","BLLF01003050.1",5571,8885,"HaLaN_24291","heat shock protein 12B"
"Un","BLLF01003050.1",10438,11098,"HaLaN_24292","uncharacterized protein HaLaN_24292"
"Un","BLLF01003051.1",8103,8414,"HaLaN_24293","hypothetical protein HaLaN_24293, partial"
"Un","BLLF01003051.1",10354,11940,"HaLaN_24294","kinesin-like protein, partial"
"Un","BLLF01003051.1",13123,14363,"HaLaN_24295","hypothetical protein HaLaN_24295, partial"
"Un","BLLF01003052.1",14202,15318,"HaLaN_24296","hypothetical protein HaLaN_24296"
"Un","BLLF01003052.1",17777,19519,"HaLaN_24297","hypothetical protein HaLaN_24297"
"Un","BLLF01003052.1",22471,30021,"HaLaN_24298","hypothetical protein HaLaN_24298"
"Un","BLLF01003053.1",506,1289,"HaLaN_24299","phosphodiesterase, partial"
"Un","BLLF01003053.1",2505,3857,"HaLaN_24300","3\\',5\\'-cyclic-nucleotide phosphodiesterase, partial"
"Un","BLLF01003053.1",7393,9692,"HaLaN_24301","AAA domain-containing protein, partial"
"Un","BLLF01003053.1",11922,12897,"HaLaN_24302","hypothetical protein HaLaN_24302, partial"
"Un","BLLF01003053.1",15715,15801,"HaLaN_24303","hypothetical protein HaLaN_24303, partial"
"Un","BLLF01003054.1",40,456,"HaLaN_24304","hypothetical protein HaLaN_24304"
"Un","BLLF01003054.1",499,1382,"HaLaN_24305","hypothetical protein HaLaN_24305"
"Un","BLLF01003054.1",2888,4574,"HaLaN_24306","hypothetical protein HaLaN_24306, partial"
"Un","BLLF01003054.1",5791,6094,"HaLaN_24307","hypothetical protein HaLaN_24307"
"Un","BLLF01003054.1",10354,10601,"HaLaN_24308","hypothetical protein HaLaN_24308"
"Un","BLLF01003055.1",3217,6880,"HaLaN_24310","uncharacterized protein HaLaN_24310, partial"
"Un","BLLF01003055.1",8801,9558,"HaLaN_24311","hypothetical protein HaLaN_24311"
"Un","BLLF01003055.1",9668,11210,"HaLaN_24312","hypothetical protein HaLaN_24312"
"Un","BLLF01003056.1",1,977,"HaLaN_24314","uncharacterized protein HaLaN_24314, partial"
"Un","BLLF01003056.1",1676,2024,"HaLaN_24315","hypothetical protein HaLaN_24315"
"Un","BLLF01003056.1",3004,3453,"HaLaN_24316","zinc-finger LSD1 protein"
"Un","BLLF01003056.1",9194,11761,"HaLaN_24317","IGPS domain-containing protein"
"Un","BLLF01003056.1",13270,15616,"HaLaN_24319","B5 domain-containing protein, partial"
"Un","BLLF01003057.1",45,1132,"HaLaN_24320","AAA domain-containing protein, partial"
"Un","BLLF01003057.1",15046,15538,"HaLaN_24321","hypothetical protein HaLaN_24321"
"Un","BLLF01003058.1",9896,10415,"HaLaN_24322","hypothetical protein HaLaN_24322, partial"
"Un","BLLF01003058.1",14508,17867,"HaLaN_24324","ribosomal protein L3, partial"
"Un","BLLF01003059.1",5689,7792,"HaLaN_24325","acyl-coenzyme A oxidase, partial"
"Un","BLLF01003059.1",8975,9892,"HaLaN_24326","acyl-coenzyme A oxidase"
"Un","BLLF01003060.1",4852,5681,"HaLaN_24327","hypothetical protein HaLaN_24327"
"Un","BLLF01003060.1",4880,5312,"HaLaN_24328","hypothetical protein HaLaN_24328"
"Un","BLLF01003060.1",11258,13085,"HaLaN_24329","hypothetical protein HaLaN_24329"
"Un","BLLF01003060.1",13153,13793,"HaLaN_24330","hypothetical protein HaLaN_24330"
"Un","BLLF01003060.1",13794,14436,"HaLaN_24331","hypothetical protein HaLaN_24331"
"Un","BLLF01003061.1",704,1014,"HaLaN_24332","hypothetical protein HaLaN_24332, partial"
"Un","BLLF01003061.1",9576,11132,"HaLaN_24333","HTH araC/xylS-type domain-containing protein, partial"
"Un","BLLF01003061.1",18393,19168,"HaLaN_24334","SJCHGC05723 protein, partial"
"Un","BLLF01003061.1",20095,21349,"HaLaN_24335","hypothetical protein HaLaN_24335"
"Un","BLLF01003061.1",27146,27601,"HaLaN_24337","hypothetical protein HaLaN_24337"
"Un","BLLF01003061.1",33840,34351,"HaLaN_24338","predicted protein, partial"
"Un","BLLF01003062.1",3901,4992,"HaLaN_24339","hypothetical protein HaLaN_24339, partial"
"Un","BLLF01003063.1",1686,2415,"HaLaN_24341","hypothetical protein HaLaN_24341"
"Un","BLLF01003063.1",4746,14301,"HaLaN_24342","hypothetical protein HaLaN_24342, partial"
"Un","BLLF01003064.1",685,1529,"HaLaN_24343","uncharacterized protein HaLaN_24343"
"Un","BLLF01003064.1",7415,10860,"HaLaN_24344","uncharacterized protein HaLaN_24344, partial"
"Un","BLLF01003064.1",21454,23209,"HaLaN_24345","protein kinase domain-containing protein, partial"
"Un","BLLF01003065.1",84,656,"HaLaN_24346","hypothetical protein HaLaN_24346, partial"
"Un","BLLF01003065.1",2279,9270,"HaLaN_24347","2,3-diketo-5-methylthio-1-phosphopentane phosphatase, partial"
"Un","BLLF01003065.1",11356,12512,"HaLaN_24348","ETF domain-containing protein, partial"
"Un","BLLF01003065.1",14641,15426,"HaLaN_24349","hypothetical protein HaLaN_24349"
"Un","BLLF01003066.1",224,2632,"HaLaN_24350","hypothetical protein HaLaN_24350"
"Un","BLLF01003066.1",22573,22845,"HaLaN_24352","hypothetical protein HaLaN_24352"
"Un","BLLF01003066.1",27701,28906,"HaLaN_24354","uncharacterized protein HaLaN_24354"
"Un","BLLF01003067.1",12087,12840,"HaLaN_24356","hypothetical protein HaLaN_24356"
"Un","BLLF01003067.1",14536,15386,"HaLaN_24358","predicted protein, partial"
"Un","BLLF01003068.1",945,1327,"HaLaN_24359","hypothetical protein HaLaN_24359"
"Un","BLLF01003068.1",3168,3643,"HaLaN_24360","hypothetical protein HaLaN_24360, partial"
"Un","BLLF01003068.1",7873,13022,"HaLaN_24361","uncharacterized protein HaLaN_24361"
"Un","BLLF01003069.1",1831,3448,"HaLaN_24363","C2H2-type domain-containing protein, partial"
"Un","BLLF01003070.1",1985,2408,"HaLaN_24365","hypothetical protein HaLaN_24365"
"Un","BLLF01003070.1",8393,10239,"HaLaN_24366","hypothetical protein HaLaN_24366"
"Un","BLLF01003070.1",11510,14672,"HaLaN_24367","uncharacterized protein HaLaN_24367"
"Un","BLLF01003071.1",704,2401,"HaLaN_24368","hypothetical protein HaLaN_24368, partial"
"Un","BLLF01003071.1",7856,9391,"HaLaN_24369","hypothetical protein HaLaN_24369, partial"
"Un","BLLF01003071.1",11013,11530,"HaLaN_24370","hypothetical protein HaLaN_24370, partial"
"Un","BLLF01003072.1",2269,2978,"HaLaN_24371","hypothetical protein HaLaN_24371"
"Un","BLLF01005324.1",139,893,"HaLaN_30007","PHD-type domain-containing protein, partial"
"Un","BLLF01005325.1",8323,12162,"HaLaN_30009","ribosomal_S17_N domain-containing protein"
"Un","BLLF01005325.1",9117,10102,"HaLaN_30010","hypothetical protein HaLaN_30010"
"Un","BLLF01005329.1",38,1421,"HaLaN_30012","Fe2OG dioxygenase domain-containing protein, partial"
"Un","BLLF01005329.1",5702,6445,"HaLaN_30013","Fe2OG dioxygenase domain-containing protein, partial"
"Un","BLLF01005330.1",4470,4818,"HaLaN_30015","hypothetical protein HaLaN_30015, partial"
"Un","BLLF01005331.1",766,2762,"HaLaN_30016","fatty acid hydroxylase domain-containing protein"
"Un","BLLF01005332.1",3280,4568,"HaLaN_30018","hypothetical protein HaLaN_30018"
"Un","BLLF01005333.1",2795,3337,"HaLaN_30019","hypothetical protein HaLaN_30019, partial"
"Un","BLLF01005335.1",343,3562,"HaLaN_30021","uncharacterized protein HaLaN_30021, partial"
"Un","BLLF01005336.1",4160,5776,"HaLaN_30023","hypothetical protein HaLaN_30023, partial"
"Un","BLLF01005337.1",1053,3528,"HaLaN_30024","hypothetical protein HaLaN_30024"
"Un","BLLF01005337.1",5153,5850,"HaLaN_30025","hypothetical protein HaLaN_30025, partial"
"Un","BLLF01005338.1",659,957,"HaLaN_30026","uncharacterized protein HaLaN_30026, partial"
"Un","BLLF01005338.1",3311,5129,"HaLaN_30027","major facilitator superfamily domain-containing protein 6"
"Un","BLLF01005340.1",3320,4479,"HaLaN_30029","hypothetical protein HaLaN_30029, partial"
"Un","BLLF01005341.1",2478,3661,"HaLaN_30030","uncharacterized protein HaLaN_30030"
"Un","BLLF01005341.1",5160,6082,"HaLaN_30031","hypothetical protein HaLaN_30031"
"Un","BLLF01005342.1",6663,11176,"HaLaN_30032","hypothetical protein HaLaN_30032, partial"
"Un","BLLF01005344.1",256,809,"HaLaN_30033","WD_REPEATS_REGION domain-containing protein, partial"
"Un","BLLF01005345.1",4537,6220,"HaLaN_30035","hypothetical protein HaLaN_30035, partial"
"Un","BLLF01005346.1",414,2477,"HaLaN_30036","hypothetical protein HaLaN_30036, partial"
"Un","BLLF01005346.1",3882,4536,"HaLaN_30037","RF_PROK_I domain-containing protein, partial"
"Un","BLLF01005347.1",4299,5946,"HaLaN_30038","uncharacterized protein HaLaN_30038, partial"
"Un","BLLF01005348.1",320,930,"HaLaN_30039","hypothetical protein HaLaN_30039"
"Un","BLLF01005349.1",28,1792,"HaLaN_30041","protein kinase domain-containing protein, partial"
"Un","BLLF01005349.1",3932,5311,"HaLaN_30042","peptidase subunit of mitochondrial ATP-dependent protease hslUV"
"Un","BLLF01005349.1",5714,6025,"HaLaN_30043","hypothetical protein HaLaN_30043"
"Un","BLLF01005350.1",6400,7519,"HaLaN_30044","protein FLUORESCENT IN BLUE LIGHT, chloroplastic, partial"
