Gene ID	GO	KO	KOG	ENZYME	PANTHER	PFAM
MicpuC2.gw1.13.421.1	MicpuC2.gw1.13.421.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">GO:0008168</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.191" target="_blank">2.1.1.191</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11061" target="_blank">PTHR11061</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11061:SF34" target="_blank">PTHR11061:SF34</a>	<a href="http://pfam.xfam.org/family/PF10672" target="_blank">PF10672</a>
MicpuC2.gw1.10.539.1	MicpuC2.gw1.10.539.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">GO:0008152</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG0725" target="_blank">KOG0725</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.300" target="_blank">1.1.1.300</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24320" target="_blank">PTHR24320</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24320:SF45" target="_blank">PTHR24320:SF45</a>	<a href="http://pfam.xfam.org/family/PF00106" target="_blank">PF00106</a>
MicpuC2.gw1.3.1082.1	MicpuC2.gw1.3.1082.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">GO:0016616</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006694" target="_blank">GO:0006694</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003854" target="_blank">GO:0003854</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG1429" target="_blank">KOG1429</a> <a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG1371" target="_blank">KOG1371</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=5.1.3.2" target="_blank">5.1.3.2</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10366" target="_blank">PTHR10366</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10366:SF466" target="_blank">PTHR10366:SF466</a>	<a href="http://pfam.xfam.org/family/PF01073" target="_blank">PF01073</a>
MicpuC2.gw1.4.896.1	MicpuC2.gw1.4.896.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">GO:0050660</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017150" target="_blank">GO:0017150</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008033" target="_blank">GO:0008033</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05544" target="_blank">K05544</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11082" target="_blank">PTHR11082</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11082:SF8" target="_blank">PTHR11082:SF8</a>	<a href="http://pfam.xfam.org/family/PF01207" target="_blank">PF01207</a>
MicpuC2.gw1.15.403.1	MicpuC2.gw1.15.403.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">GO:0003723</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GO:0005525</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03595" target="_blank">K03595</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG1423" target="_blank">KOG1423</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11649" target="_blank">PTHR11649</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR11649:SF3" target="_blank">PTHR11649:SF3</a>	<a href="http://pfam.xfam.org/family/PF07650" target="_blank">PF07650</a> <a href="http://pfam.xfam.org/family/PF01926" target="_blank">PF01926</a>
MicpuC2.gw1.4.905.1	MicpuC2.gw1.4.905.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">GO:0006468</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">GO:0004672</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K08817" target="_blank">K08817</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.11.22" target="_blank">2.7.11.22</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24056" target="_blank">PTHR24056</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24056:SF171" target="_blank">PTHR24056:SF171</a>	<a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
MicpuC2.gw1.18.214.1	MicpuC2.gw1.18.214.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008762" target="_blank">GO:0008762</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">GO:0050660</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.3.1.98" target="_blank">1.3.1.98</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21071" target="_blank">PTHR21071</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21071:SF4" target="_blank">PTHR21071:SF4</a>	<a href="http://pfam.xfam.org/family/PF02873" target="_blank">PF02873</a> <a href="http://pfam.xfam.org/family/PF01565" target="_blank">PF01565</a>
MicpuC2.gw1.12.493.1	MicpuC2.gw1.12.493.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0019901" target="_blank">GO:0019901</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">GO:0006355</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000079" target="_blank">GO:0000079</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0070985" target="_blank">GO:0070985</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016538" target="_blank">GO:0016538</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">GO:0006351</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06634" target="_blank">K06634</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10026" target="_blank">PTHR10026</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10026:SF8" target="_blank">PTHR10026:SF8</a>	<a href="http://pfam.xfam.org/family/PF16899" target="_blank">PF16899</a> <a href="http://pfam.xfam.org/family/PF00134" target="_blank">PF00134</a>
MicpuC2.gw1.10.544.1	MicpuC2.gw1.10.544.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">GO:0006508</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">GO:0004252</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.4.21.62" target="_blank">3.4.21.62</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10795" target="_blank">PTHR10795</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10795:SF389" target="_blank">PTHR10795:SF389</a>	<a href="http://pfam.xfam.org/family/PF00082" target="_blank">PF00082</a>
MicpuC2.gw1.19.40.1	MicpuC2.gw1.19.40.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.14.11.2" target="_blank">1.14.11.2</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13640" target="_blank">PF13640</a>
MicpuC2.gw1.12.499.1	MicpuC2.gw1.12.499.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009765" target="_blank">GO:0009765</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21649" target="_blank">PTHR21649</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR21649:SF15" target="_blank">PTHR21649:SF15</a>	<a href="http://pfam.xfam.org/family/PF00504" target="_blank">PF00504</a>
MicpuC2.gw1.3.1123.1	MicpuC2.gw1.3.1123.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">GO:0007165</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">GO:0000155</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.13.3" target="_blank">2.7.13.3</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR24423" target="_blank">PTHR24423</a>	<a href="http://pfam.xfam.org/family/PF00512" target="_blank">PF00512</a> <a href="http://pfam.xfam.org/family/PF02518" target="_blank">PF02518</a>
MicpuC2.gw1.6.623.1	MicpuC2.gw1.6.623.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0016780" target="_blank">GO:0016780</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008654" target="_blank">GO:0008654</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00999" target="_blank">K00999</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG3240" target="_blank">KOG3240</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.8.11" target="_blank">2.7.8.11</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR15362" target="_blank">PTHR15362</a> <a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR15362:SF4" target="_blank">PTHR15362:SF4</a>	<a href="http://pfam.xfam.org/family/PF01066" target="_blank">PF01066</a>
MicpuC2.gw1.10.558.1	MicpuC2.gw1.10.558.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0004045" target="_blank">GO:0004045</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04794" target="_blank">K04794</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.29" target="_blank">3.1.1.29</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12649" target="_blank">PTHR12649</a>	<a href="http://pfam.xfam.org/family/PF01981" target="_blank">PF01981</a>
MicpuC2.gw1.5.868.1	MicpuC2.gw1.5.868.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015934" target="_blank">GO:0015934</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02890" target="_blank">K02890</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR13501" target="_blank">PTHR13501</a>	<a href="http://pfam.xfam.org/family/PF00237" target="_blank">PF00237</a>
MicpuC2.gw1.14.375.1	MicpuC2.gw1.14.375.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">GO:0009058</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">GO:0003824</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02201" target="_blank">K02201</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.7.3" target="_blank">2.7.7.3</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10695" target="_blank">PTHR10695</a>	<a href="http://pfam.xfam.org/family/PF01467" target="_blank">PF01467</a>
MicpuC2.gw1.10.563.1	MicpuC2.gw1.10.563.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">GO:0046872</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006801" target="_blank">GO:0006801</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04565" target="_blank">K04565</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=1.15.1.1" target="_blank">1.15.1.1</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR10003" target="_blank">PTHR10003</a>	<a href="http://pfam.xfam.org/family/PF00080" target="_blank">PF00080</a>
MicpuC2.gw1.7.630.1	MicpuC2.gw1.7.630.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0042254" target="_blank">GO:0042254</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0001522" target="_blank">GO:0001522</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0031429" target="_blank">GO:0031429</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11128" target="_blank">K11128</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR23237" target="_blank">PTHR23237</a>	<a href="http://pfam.xfam.org/family/PF04410" target="_blank">PF04410</a>
MicpuC2.gw1.14.380.1	MicpuC2.gw1.14.380.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0016852" target="_blank">GO:0016852</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009236" target="_blank">GO:0009236</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=4.99.1.4" target="_blank">4.99.1.4</a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR33542" target="_blank">PTHR33542</a>	<a href="http://pfam.xfam.org/family/PF01903" target="_blank">PF01903</a>
MicpuC2.gw1.8.619.1	MicpuC2.gw1.8.619.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">GO:0003676</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12900" target="_blank">K12900</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR23147" target="_blank">PTHR23147</a>	<a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a>
MicpuC2.gw1.8.624.1	MicpuC2.gw1.8.624.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0030942" target="_blank">GO:0030942</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008312" target="_blank">GO:0008312</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006614" target="_blank">GO:0006614</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005786" target="_blank">GO:0005786</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03104" target="_blank">K03104</a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720KOG1761" target="_blank">KOG1761</a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12013" target="_blank">PTHR12013</a>	<a href="http://pfam.xfam.org/family/PF02290" target="_blank">PF02290</a>
MicpuC2.gw1.1.1357.1	MicpuC2.gw1.1.1357.1	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">GO:0008270</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/KOG3720" target="_blank"></a>	<a href="https://www.brenda-enzymes.org/enzyme.php?ecno=" target="_blank"></a>	<a href="http://www.pantherdb.org/panther/family.do?clsAccession=PTHR12999" target="_blank">PTHR12999</a>	<a href="http://pfam.xfam.org/family/PF00641" target="_blank">PF00641</a>
