Gene ID	GO	KO	KOG	PANTHER	PFAM
Cz01g08160	GO:0009982 GO:0009451 GO:0003723 GO:0001522			PTHR11079 PTHR11079:SF74	PF00849
Cz01g08180	GO:0016021			PTHR28259 PTHR28259:SF1	PF02537
Cz01g08190	GO:0009052 GO:0004751	K01807	KOG3075	PTHR11934 PTHR11934:SF8	PF06026
Cz01g08200	GO:0042254	K02896	KOG1723	PTHR10792 PTHR10792:SF8	PF01246
Cz01g08210	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02923	KOG3499	PTHR10965	PF01781
Cz01g08240	GO:0042626	K02149	KOG1647	PTHR11671 PTHR11671:SF1	PF01813
Cz01g08250	GO:0045454 GO:0015035 GO:0006662	K09560	KOG0907	PTHR10438	PF00085
Cz01g08260	GO:0007049 GO:0006281 GO:0005634		KOG1970	PTHR12172 PTHR12172:SF0	PF03215
Cz01g09050	GO:0031625 GO:0006511	K03869	KOG2167	PTHR11932 PTHR11932:SF86	PF10557 PF00888
Cz01g09110	GO:0055085 GO:0016021 GO:0015299 GO:0006812			PTHR31102	PF00999
Cz01g09120	GO:0016020 GO:0015696 GO:0008519 GO:0072488	K06580	KOG3796	PTHR11730 PTHR11730:SF60	PF00909
Cz01g09140	GO:0008616 GO:0008479 GO:0006400	K15407		PTHR21148 PTHR21148:SF26	PF01702
Cz01g09150	GO:0051205 GO:0016021			PTHR12428	PF13371 PF07719
Cz01g09170	GO:0008270 GO:0006508 GO:0004181			PTHR12756 PTHR12756:SF18	PF00246
Cz01g09180	GO:0016021 GO:0016020			PTHR13146 PTHR13146:SF3	PF00892
Cz01g09290	GO:0005525	K07904	KOG0087	PTHR24073 PTHR24073:SF565	PF00025
Cz01g09300	GO:0003676	K11294	KOG0131	PTHR24012 PTHR24012:SF243	PF00076
Cz01g10030	GO:0055114 GO:0016491				PF13640
Cz01g10050	GO:0003677 GO:0016593 GO:0016570 GO:0006368	K15178	KOG2402	PTHR13115 PTHR13115:SF8	PF03126
Cz01g10060	GO:0006364	K05642		PTHR33692	PF01782
Cz01g10070	GO:0016787				PF00149
Cz01g10090	GO:0006166 GO:0004001		KOG2854	PTHR10584 PTHR10584:SF24	PF00294
Cz01g10100	GO:0006166 GO:0004001		KOG2854	PTHR10584 PTHR10584:SF24	PF00294
Cz01g10120	GO:0006166 GO:0004001	K00856	KOG2854	PTHR10584 PTHR10584:SF24	PF00294
Cz01g10140	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10395	KOG0244	PTHR24115 PTHR24115:SF461	PF00225
Cz01g10190	GO:0016787 GO:0005524 GO:0003677			PTHR10799	PF04851
Cz01g10210	GO:0005975 GO:0004553		KOG0626	PTHR10353 PTHR10353:SF36	PF00232
Cz01g11040	GO:0019843 GO:0005622 GO:0003723	K14560	KOG4655	PTHR11831 PTHR11831:SF1	PF00163 PF01479
Cz01g11060	GO:0005515			PTHR10774 PTHR10774:SF1	PF00168
Cz01g11080	GO:0016787			PTHR22769 PTHR22769:SF42	PF00293
Cz01g11090	GO:0055085 GO:0046873 GO:0030001 GO:0016020	K07238		PTHR11040 PTHR11040:SF46	PF02535
Cz01g11100	GO:0055114 GO:0016491 GO:0045454		KOG0405	PTHR22912 PTHR22912:SF135	PF00070 PF02852
Cz01g11150	GO:0019901 GO:0006355 GO:0000079		KOG0835	PTHR10026 PTHR10026:SF13	PF00134
Cz01g11170	GO:0032012 GO:0005086	K18442	KOG0929	PTHR10663 PTHR10663:SF189	PF09324 PF16213 PF12783 PF01369
Cz01g11200	GO:0016853				PF00639
Cz01g12010	GO:0055114 GO:0009916	K17893		PTHR31803 PTHR31803:SF2	PF01786
Cz01g12020	GO:0042393 GO:0006355			PTHR12321 PTHR12321:SF55	PF12165
Cz01g12030	GO:0005634	K10744	KOG4705	PTHR13383 PTHR13383:SF11	PF09468
Cz01g12050	GO:0006529 GO:0004066		KOG0573	PTHR11772 PTHR11772:SF3	PF00733
Cz01g12060	GO:0035556 GO:0016849 GO:0009190			PTHR11920	PF00211
Cz01g12090	GO:0035267 GO:0032777 GO:0006357			PTHR14898	PF10513
Cz01g12130	GO:0005096				PF13890
Cz01g12140	GO:0016021 GO:0016020		KOG4510	PTHR22911 PTHR22911:SF6	PF00892
Cz01g12160	GO:0016301 GO:0007205 GO:0004143	K00901		PTHR11255	PF00781 PF00609
Cz01g12190	GO:0060271 GO:0005813 GO:0005634	K16533	KOG0962	PTHR18879 PTHR18879:SF18	
Cz01g13020	GO:0006457		KOG0544	PTHR10516 PTHR10516:SF250	PF00254
Cz01g13030	GO:0006351 GO:0003899 GO:0003677	K03025		PTHR12780 PTHR12780:SF1	PF05158
Cz01g13040	GO:0006351 GO:0003899 GO:0003677			PTHR12780 PTHR12780:SF1	PF05158
Cz01g13050	GO:0005524 GO:0003676	K13179		PTHR24031 PTHR24031:SF301	PF13959 PF00271 PF00270
Cz01g13130	GO:0016021 GO:0006810		KOG1691	PTHR22811 PTHR22811:SF58	PF01105
Cz01g13140	GO:0055114 GO:0016491		KOG0534	PTHR19370 PTHR19370:SF104	PF00175
Cz01g13150	GO:0006810 GO:0005622		KOG2104	PTHR12612 PTHR12612:SF0	PF02136
Cz01g13200	GO:0009439	K01725		PTHR34186 PTHR34186:SF1	PF02560
Cz01g13210	GO:0046872 GO:0030001 GO:0000166	K01533		PTHR24093 PTHR24093:SF124	PF12710 PF00403 PF00122
Cz01g13250	GO:0003723 GO:0000178	K03681	KOG1004	PTHR21321 PTHR21321:SF1	PF15985
Cz01g13280	GO:0009396 GO:0003848 GO:0042558	K13941		PTHR20941 PTHR20941:SF1	PF01288 PF00809
Cz01g14010	GO:0008270			PTHR24209 PTHR24209:SF7	PF00412 PF12315
Cz01g14020	GO:0016567 GO:0004842			PTHR22849	PF04564
Cz01g14030	GO:0030983 GO:0006298 GO:0005524	K08734		PTHR10073 PTHR10073:SF40	PF01119 PF13589
Cz01g14040	GO:0016020	K14998	KOG1563	PTHR23427 PTHR23427:SF2	PF02104
Cz01g14050	GO:0030983 GO:0006298 GO:0005524			PTHR10073 PTHR10073:SF40	PF01119 PF16413
Cz01g14070	GO:0016787 GO:0005524 GO:0003677	K14807	KOG0330	PTHR24031 PTHR24031:SF68	PF04851 PF00271
Cz01g14090	GO:0006468 GO:0004672		KOG0192	PTHR23257	PF00571 PF07714
Cz01g14100	GO:0016799 GO:0008270 GO:0006289 GO:0003906 GO:0003684 GO:0006284	K10563		PTHR22993 PTHR22993:SF17	PF06831 PF01149
Cz01g14110	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871			PTHR24115	PF00225
Cz01g14120	GO:0008138 GO:0005856		KOG1717	PTHR10159 PTHR10159:SF317	PF00581
Cz01g14130	GO:0008138 GO:0006470 GO:0005515		KOG1882	PTHR23308	PF00782 PF00498
Cz01g14140	GO:0043565 GO:0008270 GO:0006355 GO:0003700			PTHR10071	PF00320
Cz01g14190	GO:0006355	K11644	KOG4204	PTHR12346 PTHR12346:SF0	PF08295 PF02671 PF16879
Cz01g14210	GO:0036459 GO:0016579	K11851		PTHR24006 PTHR24006:SF455	PF00443
Cz01g14240	GO:0009116 GO:0003824	K01244		PTHR21234 PTHR21234:SF16	PF01048
Cz01g14250	GO:0055114 GO:0010181 GO:0004733 GO:0008615		KOG4558	PTHR10851 PTHR10851:SF3	PF01243
Cz01g14260	GO:0005515	K11795		PTHR15574 PTHR15574:SF40	PF00400
Cz01g15010	GO:0005515			PTHR15574 PTHR15574:SF21	PF00400
Cz01g15020	GO:0005515 GO:0016567 GO:0004842	K11971	KOG1814	PTHR11685 PTHR11685:SF121	PF05773 PF01485
Cz01g15030	GO:0030176 GO:0009059		KOG3488		PF07297
Cz01g15050	GO:0005525		KOG1249	PTHR11089 PTHR11089:SF3	PF01926
Cz01g15090	GO:0006511	K03094	KOG1724	PTHR11165	PF03931 PF01466
Cz01g15130	GO:0016874 GO:0009058 GO:0005524 GO:0009396 GO:0004326		KOG2525	PTHR11136 PTHR11136:SF0	PF02875 PF08245
Cz01g15140	GO:0005515				PF00240
Cz01g15150	GO:0008168 GO:0006479 GO:0035246	K02516		PTHR10738	PF05185
Cz01g15170	GO:0005525 GO:0003924		KOG0446	PTHR11566	PF02212 PF00350 PF01031
Cz01g15180	GO:0006468 GO:0005524 GO:0004672		KOG0198	PTHR24362	PF00069
Cz01g15230	GO:0005515			PTHR12802 PTHR12802:SF20	PF00249 PF01398
Cz01g15250	GO:0016833 GO:0009058	K13950	KOG1224	PTHR11236 PTHR11236:SF18	PF04715 PF00117 PF00425
Cz01g15280	GO:0055114 GO:0016491 GO:0010181	K00380	KOG1158	PTHR19384	PF00175 PF00258 PF00667
Cz01g15290	GO:0016020 GO:0006810 GO:0005215		KOG1291	PTHR11706 PTHR11706:SF45	PF01566
Cz01g16020	GO:0006468 GO:0004672	K08853	KOG2345	PTHR22967	PF07714
Cz01g16030	GO:0006355 GO:0005667 GO:0003700 GO:0007049		KOG2829	PTHR12548 PTHR12548:SF9	PF02319 PF08781
Cz01g16040	GO:0016787			PTHR11782	PF01150
Cz01g16070	GO:0005524 GO:0003676		KOG0330	PTHR13710 PTHR13710:SF81	PF00271 PF00270
Cz01g16080	GO:0045892 GO:0005634	K15181		PTHR12144 PTHR12144:SF0	PF04858
Cz01g16130	GO:0005524 GO:0003676	K06877	KOG4150	PTHR24031 PTHR24031:SF252	PF00271 PF00270 PF09369
Cz01g16180	GO:0005515			PTHR12162	PF00498
Cz01g16200	GO:0055085 GO:0016021		KOG2532	PTHR11662 PTHR11662:SF223	PF07690
Cz01g16210	GO:0006457 GO:0003755 GO:0000413		KOG0881	PTHR11071 PTHR11071:SF236	PF00160
Cz01g16220	GO:0031124	K14399	KOG2749	PTHR12755	PF16573 PF06807 PF16575
Cz01g16230	GO:0055114 GO:0016491 GO:0016616 GO:0019752	K00026	KOG1494	PTHR11540 PTHR11540:SF14	PF00056 PF02866
Cz01g16250	GO:0007034	K12197	KOG3232	PTHR10476 PTHR10476:SF2	PF03357
Cz01g17030	GO:0008176 GO:0006400	K03439	KOG3115	PTHR23417 PTHR23417:SF16	PF02390
Cz01g17060	GO:0016787 GO:0006541 GO:0008242 GO:0003824	K01307	KOG1559	PTHR11315	PF07722
Cz01g17080	GO:0006355 GO:0003700 GO:0007275			PTHR32467	PF00847
Cz01g17100	GO:0042273 GO:0030036 GO:0000055	K14856	KOG2229	PTHR12730 PTHR12730:SF0	PF08158 PF05285
Cz01g17170	GO:0030127 GO:0008270 GO:0006888 GO:0006886	K14006		PTHR11141	PF00626 PF04810 PF04815 PF08033 PF04811
Cz01g17190	GO:0016787 GO:0009166	K01081		PTHR11575 PTHR11575:SF24	PF00149 PF02872
Cz01g17230	GO:0055085 GO:0016020 GO:0006814 GO:0005215	K03319		PTHR10283 PTHR10283:SF13	PF00939
Cz01g17240	GO:0016765	K00800	KOG0692	PTHR21090 PTHR21090:SF21	PF00275
Cz01g18010	GO:0045454 GO:0015035 GO:0009055	K07390	KOG1752	PTHR10293 PTHR10293:SF37	PF00462
Cz01g18040	GO:0055114 GO:0051287 GO:0008270 GO:0004399 GO:0000105	K00013		PTHR21256 PTHR21256:SF2	PF00815
Cz01g18050	GO:0006241 GO:0006228 GO:0006183 GO:0006165 GO:0004550	K00940	KOG0888	PTHR11349 PTHR11349:SF44	PF00334
Cz01g18070	GO:0016021				PF01925
Cz01g18090	GO:0006351 GO:0003899 GO:0003677 GO:0005634 GO:0032549	K03002		PTHR20856 PTHR20856:SF5	PF04561 PF06883 PF04560 PF04565 PF04563 PF00562
Cz01g18120	GO:0005975 GO:0004134	K00705		PTHR32438 PTHR32438:SF5	PF02446
Cz01g18130	GO:0008654 GO:0006021 GO:0004512	K01858		PTHR11510 PTHR11510:SF6	PF01658 PF07994
Cz01g18140	GO:0006355 GO:0005739 GO:0003690			PTHR13068 PTHR13068:SF26	PF02536
Cz01g18180	GO:0007049			PTHR15323 PTHR15323:SF6	PF07065
Cz01g18190	GO:0016787 GO:0005524 GO:0004003 GO:0003677			PTHR11070	PF13361
Cz01g18200	GO:0016787 GO:0005524 GO:0004003 GO:0003677			PTHR11070	PF13361
Cz01g18210	GO:0009432 GO:0006281 GO:0005524 GO:0003697	K03553		PTHR22942 PTHR22942:SF1	PF00154
Cz01g18230	GO:0055114 GO:0051287 GO:0050570 GO:0008615			PTHR30004 PTHR30004:SF6	PF04166
Cz01g18240	GO:0016788 GO:0006886 GO:0006505			PTHR15495 PTHR15495:SF7	PF07819
Cz01g18250	GO:0005515	K11806		PTHR22851 PTHR22851:SF0	PF00400 PF04158
Cz01g18260	GO:0005515 GO:0055114 GO:0016491	K11450	KOG0029	PTHR10742 PTHR10742:SF210	PF04433 PF01593
Cz01g18270	GO:0055114 GO:0016491			PTHR10742 PTHR10742:SF210	PF01593
Cz01g19040	GO:0035556 GO:0016849 GO:0009190			PTHR27000	PF00211
Cz01g19050	GO:0005524		KOG0740	PTHR14690	PF00004
Cz01g19090	GO:0016747 GO:0016020 GO:0006633	K15397		PTHR31561 PTHR31561:SF23	PF02797 PF08392
Cz01g19110	GO:0055114 GO:0020037 GO:0016705 GO:0005506		KOG0157	PTHR24305	PF00067
Cz01g19130	GO:0055114 GO:0020037 GO:0016705 GO:0005506		KOG0157	PTHR24305	PF00067
Cz01g19150	GO:0030170	K01761	KOG0053	PTHR11808 PTHR11808:SF55	PF01053
Cz01g19160	GO:0006629			PTHR21493	PF01764
Cz01g19190	GO:0046983 GO:0006351 GO:0003899	K03027	KOG1521	PTHR11800 PTHR11800:SF13	PF01000 PF01193
Cz01g19220	GO:0008138 GO:0006470	K14819	KOG2914	PTHR10159 PTHR10159:SF293	PF13419 PF00782
Cz01g20040	GO:0005515		KOG0005 KOG0001	PTHR10666	PF00240
Cz01g20090	GO:0055085 GO:0022857 GO:0016021		KOG0253	PTHR23511	PF00083
Cz01g20130	GO:0009982 GO:0009451 GO:0003723 GO:0001522			PTHR11142 PTHR11142:SF5	
Cz01g20140	GO:0009982 GO:0009451 GO:0003723 GO:0001522	K01855	KOG4393	PTHR11142 PTHR11142:SF5	PF01416
Cz01g20160	GO:0006355 GO:0005739 GO:0003690	K15032	KOG1267	PTHR13068	PF02536
Cz01g20170	GO:0005975 GO:0004553			PTHR10353 PTHR10353:SF36	PF00232
Cz01g20180	GO:0005975 GO:0004553			PTHR10353 PTHR10353:SF36	PF00232
Cz01g20190	GO:0005524 GO:0003676	K11594		PTHR24031 PTHR24031:SF235	PF00271 PF00270
Cz01g20210	GO:0006464	K16603	KOG2157	PTHR12241 PTHR12241:SF39	PF03133
Cz01g20220	GO:0005524	K07767		PTHR23074 PTHR23074:SF19	PF07724 PF09336
Cz01g20230	GO:0016888		KOG3020	PTHR10060 PTHR10060:SF22	PF01026
Cz01g20250	GO:0005515		KOG1332	PTHR22847	PF00400
Cz01g20280	GO:0006281 GO:0003684	K03511	KOG2094	PTHR11076 PTHR11076:SF33	PF11798 PF11799 PF00817
Cz01g21010	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10397	KOG2117	PTHR24115 PTHR24115:SF191	PF00225
Cz01g21030	GO:0010181			PTHR33798 PTHR33798:SF5	PF01613
Cz01g21040	GO:0010181			PTHR33798 PTHR33798:SF5	PF01613
Cz01g21060	GO:0030955 GO:0006096 GO:0004743 GO:0000287		KOG2323	PTHR11817 PTHR11817:SF4	PF02887 PF00224
Cz01g21070	GO:0005515 GO:0003677			PTHR22970 PTHR22970:SF1	PF00628 PF01388
Cz01g21090	GO:0005515 GO:0008236 GO:0006508			PTHR32060 PTHR32060:SF5	PF13180 PF03572
Cz01g21100	GO:0005515		KOG1310	PTHR15574 PTHR15574:SF40	PF13414 PF00400
Cz01g21110	GO:0008033 GO:0004809 GO:0003723	K00555	KOG1253	PTHR10631 PTHR10631:SF2	PF02005
Cz01g21160	GO:0006626 GO:0005741	K17776	KOG3028	PTHR12289 PTHR12289:SF41	PF10568 PF13410
Cz01g21170	GO:0035091	K17917	KOG2273	PTHR10555 PTHR10555:SF84	PF09325 PF00787
Cz01g21210	GO:0015977 GO:0008964 GO:0006099	K01595		PTHR30523	PF00311
Cz01g21220	GO:0051603 GO:0005839 GO:0004298	K02739		PTHR11599 PTHR11599:SF44	PF00227
Cz01g21230	GO:0016020		KOG2946	PTHR21236 PTHR21236:SF1	PF04893
Cz01g21240	GO:0005634	K14788		PTHR14927 PTHR14927:SF0	PF08159
Cz01g21250	GO:0055085 GO:0042626 GO:0016021 GO:0006810 GO:0005524 GO:0016887	K05673	KOG0057	PTHR24223	PF00664 PF00005
Cz01g21260	GO:0016887 GO:0005524 GO:0055085 GO:0042626 GO:0016021 GO:0006810	K05673		PTHR24223	PF00005 PF00664
Cz01g22010	GO:0046938 GO:0046872 GO:0016756 GO:0010038	K05941		PTHR33447 PTHR33447:SF2	PF05023
Cz01g22050	GO:0009236 GO:0003824	K08681	KOG3210	PTHR31559 PTHR31559:SF0	PF07685
Cz01g22060	GO:0006796 GO:0005737 GO:0004427 GO:0000287	K01507	KOG1626	PTHR10286 PTHR10286:SF3	PF00719
Cz01g22070	GO:0006367 GO:0005672	K03123	KOG3463	PTHR10966	PF02268 PF02751
Cz01g22250	GO:0008270	K03125		PTHR13900 PTHR13900:SF0	PF07496 PF12157
Cz01g22270	GO:0003824 GO:0006470 GO:0004722		KOG0698	PTHR13832	PF00481
Cz01g23020	GO:0005634 GO:0000775	K11578		PTHR12205 PTHR12205:SF0	PF06248
Cz01g23030	GO:0016020 GO:0009765	K08910		PTHR21649	PF00504
Cz01g23050	GO:0003676	K12741	KOG4205	PTHR24012 PTHR24012:SF476	PF00076
Cz01g23090	GO:0006418 GO:0005524 GO:0004812 GO:0000166	K04567		PTHR22594 PTHR22594:SF35	PF00152
Cz01g23100	GO:0006418 GO:0005524 GO:0004812 GO:0000166 GO:0003676			PTHR22594 PTHR22594:SF35	PF00152 PF01336
Cz01g23110	GO:0005515 GO:0051013 GO:0008352 GO:0008017	K18643	KOG0267	PTHR19845 PTHR19845:SF0	PF13925 PF00400
Cz01g23140	GO:0006810 GO:0005643	K14301		PTHR13003	PF04121
Cz01g23170	GO:0005515	K10590	KOG0168	PTHR11254 PTHR11254:SF73	PF00514
Cz01g23180	GO:0004842	K10590	KOG0940	PTHR11254 PTHR11254:SF73	PF00632
Cz01g23210	GO:0005524 GO:0003676 GO:0004386	K12820		PTHR18934	PF00270 PF00271 PF07717 PF04408
Cz01g23220	GO:0042823 GO:0042819	K06215	KOG1606	PTHR31829	PF01680
Cz01g23250	GO:0008270				PF07496
Cz01g23260	GO:0016779 GO:0009058	K00975	KOG1322	PTHR22572 PTHR22572:SF79	PF00483
Cz01g24020	GO:0055114 GO:0051287 GO:0016616 GO:0008152	K00058	KOG0068	PTHR10996 PTHR10996:SF159	PF00389 PF02826
Cz01g24040	GO:0006468 GO:0004672		KOG0198	PTHR24349 PTHR24349:SF79	PF07714
Cz01g24050	GO:0030677 GO:0008033 GO:0006379 GO:0006364 GO:0004540 GO:0003723 GO:0000172	K03538	KOG4046	PTHR13348	PF01868
Cz01g24100	GO:0051087 GO:0001671			PTHR13009 PTHR13009:SF5	PF09229
Cz01g24110	GO:0016787			PTHR11782	PF01150
Cz01g24120	GO:0016787	K01510		PTHR11782 PTHR11782:SF42	PF01150
Cz01g24170	GO:0005739 GO:0004129	K02267		PTHR11387	PF02297
Cz01g24200	GO:0016021 GO:0016020			PTHR11132 PTHR11132:SF126	PF00892
Cz01g24210	GO:0016787			PTHR11668 PTHR11668:SF267	PF00149
Cz01g24260	GO:0008152 GO:0006741 GO:0003951	K00858	KOG2178	PTHR20275 PTHR20275:SF6	PF01513
Cz01g24280	GO:0070403	K11415		PTHR11085 PTHR11085:SF24	PF02146
Cz01g24290	GO:0070403			PTHR11085 PTHR11085:SF24	PF02146
Cz01g24300	GO:0003676	K13094	KOG4206	PTHR13948 PTHR13948:SF3	PF00076
Cz01g24320	GO:0016020		KOG3312	PTHR20917	PF01956
Cz01g24330	GO:0009982 GO:0009451 GO:0003723 GO:0001522			PTHR11079 PTHR11079:SF73	PF00849
Cz01g24350	GO:0005515 GO:0006511	K14016		PTHR12555 PTHR12555:SF13	PF00789 PF03152
Cz01g25010	GO:0003677				PF01342
