Gene ID	GO
Bathy01g02150	GO:0008152 GO:0016491
Bathy01g02170	GO:0005509
Bathy01g02190	GO:0003899 GO:0005634
Bathy01g02220	GO:0030833 GO:0005856 GO:0003779 GO:0005524
Bathy01g02260	GO:0005515
Bathy01g02290	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy01g02320	GO:0016462 GO:0005737
Bathy01g02330	GO:0030904 GO:0007034
Bathy01g02350	GO:0046872 GO:0033014 GO:0004655
Bathy01g02360	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy01g02370	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy01g02390	GO:0007165 GO:0004114
Bathy01g02430	GO:0005525
Bathy01g02440	GO:0004721
Bathy01g02460	GO:0050661 GO:0008652 GO:0055114 GO:0004073
Bathy01g02480	GO:0016020 GO:0008417 GO:0006486
Bathy01g02490	GO:0006396 GO:0003723 GO:0004525
Bathy01g02560	GO:0015780 GO:0016021 GO:0005338
Bathy01g02590	GO:0007018 GO:0005524 GO:0003777
Bathy01g02600	GO:0005634 GO:0003677 GO:0005524 GO:0006270
Bathy01g02720	GO:0016627 GO:0055114
Bathy01g02760	GO:0003824 GO:0030170
Bathy01g02770	GO:0005198 GO:0009507
Bathy01g02790	GO:0003824
Bathy01g02800	GO:0046872 GO:0016787 GO:0003676
Bathy01g02820	GO:0005515
Bathy01g02830	GO:0006486 GO:0030173 GO:0008373
Bathy01g02840	GO:0006486 GO:0030173 GO:0008373
Bathy01g02850	GO:0005524 GO:0004386 GO:0003676
Bathy01g02870	GO:0003677
Bathy01g02890	GO:0016787 GO:0030163 GO:0005737
Bathy01g02920	GO:0005634 GO:0008270 GO:0003676
Bathy01g02960	GO:0006486
Bathy01g02970	GO:0006508 GO:0004197
Bathy01g03000	GO:0005515
Bathy01g03130	GO:0006281 GO:0004518
Bathy01g03140	GO:0008565 GO:0005743 GO:0015031
Bathy01g03180	GO:0005634 GO:0003677
Bathy01g03190	GO:0003676
Bathy01g03220	GO:0005515
Bathy01g03230	GO:0016020 GO:0006754 GO:0015662 GO:0006812
Bathy01g03240	GO:0005515
Bathy01g03250	GO:0016787
Bathy01g03260	GO:0006355 GO:0003700
Bathy01g03270	GO:0055114 GO:0016491
Bathy01g03290	GO:0006464 GO:0003824
Bathy01g03350	GO:0016491
Bathy01g03360	GO:0008152 GO:0003824
Bathy01g03400	GO:0016491
Bathy01g03430	GO:0005524 GO:0004797
Bathy01g03470	GO:0003824 GO:0030170
Bathy01g03490	GO:0005525 GO:0003924
Bathy01g03540	GO:0005840 GO:0003723 GO:0006412 GO:0005622 GO:0003735
Bathy01g03560	GO:0005515
Bathy01g03580	GO:0035299 GO:0005524
Bathy01g03590	GO:0005524 GO:0006418 GO:0000166 GO:0006412 GO:0004812 GO:0005737
Bathy01g03610	GO:0051258 GO:0005525 GO:0003924
Bathy01g03620	GO:0006071 GO:0008889
Bathy01g03630	GO:0006810
Bathy01g03650	GO:0006810 GO:0055085 GO:0016021 GO:0005215
Bathy01g03690	GO:0008152 GO:0016491
Bathy01g03700	GO:0050661 GO:0050660 GO:0016668 GO:0055114 GO:0045454 GO:0004791
Bathy01g03710	GO:0008270
Bathy01g04680	GO:0008616 GO:0006400 GO:0008479
Bathy01g04770	GO:0006397 GO:0005634
Bathy01g04780	GO:0006396 GO:0005622
Bathy01g04790	GO:0005524
Bathy01g04820	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy01g04840	GO:0007018 GO:0005524 GO:0003777
Bathy01g04850	GO:0003677
Bathy01g04860	GO:0003677
Bathy01g04870	GO:0006886 GO:0030127 GO:0008270 GO:0006888
Bathy01g04880	GO:0008234 GO:0006508
Bathy01g04890	GO:0005515
Bathy01g04900	GO:0005515
Bathy01g04930	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy01g04960	GO:0008270 GO:0003676
Bathy01g05030	GO:0016020 GO:0055085
Bathy01g05080	GO:0005515
Bathy01g05110	GO:0006508 GO:0004222
Bathy01g05140	GO:0016021
Bathy01g05160	GO:0003779 GO:0030036
Bathy01g05170	GO:0016021
Bathy01g05180	GO:0051258 GO:0005525 GO:0003924
Bathy01g05190	GO:0004084 GO:0009081
Bathy01g05210	GO:0006099 GO:0005740 GO:0020037 GO:0005506 GO:0016021
Bathy01g05220	GO:0006281 GO:0004518
Bathy01g05240	GO:0005524 GO:0016887
Bathy01g05260	GO:0050660 GO:0055114 GO:0005737 GO:0045454 GO:0016491
Bathy01g05350	GO:0016020 GO:0055085 GO:0046873 GO:0030001
Bathy01g05360	GO:0006457
Bathy01g05370	GO:0006694 GO:0008168
Bathy01g05390	GO:0006007 GO:0004619
Bathy01g05400	GO:0005515
Bathy01g05430	GO:0005524 GO:0003824
Bathy01g05450	GO:0003824 GO:0030170
Bathy01g05470	GO:0008152 GO:0016846
Bathy01g05490	GO:0008270 GO:0005622
Bathy01g05510	GO:0007264 GO:0005525 GO:0015031
Bathy01g05520	GO:0006357 GO:0016592
Bathy01g05530	GO:0006486 GO:0030173 GO:0008373
Bathy01g05540	GO:0006457 GO:0005524 GO:0051082
Bathy01g05550	GO:0008152 GO:0016491
Bathy01g05560	GO:0015074 GO:0003677 GO:0006310
Bathy01g05570	GO:0000160
Bathy01g05580	GO:0006333 GO:0005634 GO:0003682 GO:0000785
Bathy01g05590	GO:0008270 GO:0003676
Bathy01g05630	GO:0005515
Bathy01g05680	GO:0005525 GO:0000917
Bathy01g05740	GO:0006355 GO:0003700
Bathy01g05750	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy01g05770	GO:0008152 GO:0003824
Bathy01g05800	GO:0055085 GO:0016021 GO:0015299 GO:0006812
Bathy01g05810	GO:0006457
Bathy01g05820	GO:0005681 GO:0000398
Bathy01g05840	GO:0015991 GO:0033177 GO:0015078
Bathy01g05880	GO:0003676
Bathy01g05890	GO:0016021
Bathy01g05900	GO:0005515
Bathy01g05910	GO:0016651 GO:0022904 GO:0005743
Bathy01g05920	GO:0007018 GO:0005524 GO:0003777
Bathy01g05960	GO:0016020 GO:0006820 GO:0005452
Bathy01g05970	GO:0005515
Bathy01g05990	GO:0004553 GO:0005975
Bathy01g06010	GO:0016787
Bathy01g06020	GO:0006886 GO:0005744 GO:0015450
Bathy01g06090	GO:0005524 GO:0006418 GO:0000166 GO:0006412 GO:0004812 GO:0005737
Bathy01g06110	GO:0005515
Bathy01g06180	GO:0051258 GO:0005525 GO:0003924
Bathy01g06190	GO:0005874 GO:0007017 GO:0005525
Bathy01g06210	GO:0006396 GO:0003723 GO:0004000
Bathy01g06220	GO:0003887 GO:0003677 GO:0006260
Bathy01g06230	GO:0005515
Bathy01g06240	GO:0016485 GO:0016021
Bathy01g06280	GO:0019627 GO:0009039 GO:0016151
Bathy01g06290	GO:0006807 GO:0016151
Bathy01g06310	GO:0016021
Bathy01g06320	GO:0016020 GO:0006810 GO:0055085 GO:0005215
Bathy01g06330	GO:0005975 GO:0004750
Bathy01g06340	GO:0005524 GO:0006412 GO:0004812 GO:0005737
Bathy01g06360	GO:0017150 GO:0050660 GO:0055114 GO:0008033
Bathy01g06390	GO:0016020
Bathy01g06400	GO:0006626 GO:0045039 GO:0042719
Bathy01g06420	GO:0003677 GO:0006303 GO:0004003
Bathy01g06430	GO:0006400 GO:0008176
Bathy01g06440	GO:0006508 GO:0004177 GO:0008235
Bathy01g06450	GO:0003824
Bathy01g06460	GO:0006457 GO:0051082 GO:0031072
Bathy01g06470	GO:0050660 GO:0016491
Bathy01g06500	GO:0004523 GO:0003676
Bathy01g06510	GO:0006508 GO:0004181
Bathy01g06560	GO:0005783
Bathy01g06580	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy01g06590	GO:0005515
Bathy01g06600	GO:0001671 GO:0051087 GO:0005737
Bathy01g06620	GO:0005524
Bathy01g06650	GO:0005524 GO:0004386 GO:0003676
Bathy01g06670	GO:0003676
Bathy01g06680	GO:0008270
Bathy01g06700	GO:0004806 GO:0006629
Bathy01g06710	GO:0003677 GO:0006289 GO:0004518
Bathy01g06720	GO:0009058 GO:0016740
Bathy01g06730	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy01g06740	GO:0005524 GO:0004386 GO:0003676
Bathy01g06780	GO:0003676
Bathy01g06800	GO:0005515
Bathy01g06810	GO:0008152 GO:0016491
Bathy01g06820	GO:0006508 GO:0004222
Bathy01g06890	GO:0005524
Bathy01g06920	GO:0004497 GO:0055114
Bathy01g06930	GO:0000166 GO:0017111
Bathy01g06990	GO:0006508 GO:0004190
Bathy01g07010	GO:0004042 GO:0006526 GO:0005737
Bathy01g07030	GO:0000166
Bathy01g07040	GO:0008270 GO:0005622
Bathy01g07070	GO:0008270 GO:0005622
Bathy01g07080	GO:0000166
Bathy01g07100	GO:0000154 GO:0008649 GO:0000179
Bathy01g07110	GO:0004106 GO:0009073
Bathy01g07120	GO:0007018 GO:0005524 GO:0003777
Bathy01g07140	GO:0044237
Bathy01g07150	GO:0004553 GO:0005975
Bathy01g07160	GO:0005515
Bathy01g07170	GO:0006508 GO:0005524 GO:0004222
Bathy01g07180	GO:0005515
Bathy01g07200	GO:0004358 GO:0004042 GO:0006526
Bathy01g07220	GO:0003824 GO:0030170
Bathy01g07260	GO:0005515
Bathy01g07270	GO:0003824 GO:0030170
Bathy01g07280	GO:0055085 GO:0015746 GO:0016021 GO:0015137
Bathy01g07300	GO:0003723 GO:0009451 GO:0009982 GO:0001522
Bathy01g07330	GO:0005622 GO:0003676
Bathy01g07340	GO:0016226 GO:0005198 GO:0051536
Bathy01g07370	GO:0016787
Bathy02g00020	GO:0008152 GO:0003824
Bathy02g00030	GO:0003876 GO:0009168
Bathy02g00050	GO:0016787
Bathy02g00060	GO:0043169 GO:0005975 GO:0003824
Bathy02g00080	GO:0005515
Bathy02g00090	GO:0004820 GO:0005524 GO:0006426 GO:0000166 GO:0006412 GO:0005737
Bathy02g00160	GO:0015969
Bathy02g00250	GO:0005515
Bathy02g00260	GO:0005515
Bathy02g00270	GO:0004476
Bathy02g00310	GO:0005515
Bathy02g00320	GO:0005198 GO:0009507
Bathy02g00330	GO:0006486 GO:0030173 GO:0008373
Bathy02g00350	GO:0007031 GO:0005524 GO:0005777
Bathy02g00380	GO:0005524 GO:0016887
Bathy02g00400	GO:0005488
Bathy02g00410	GO:0003676
Bathy02g00420	GO:0006457 GO:0003755
Bathy02g00460	GO:0005515
Bathy02g00480	GO:0005488
Bathy02g00490	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy02g00510	GO:0004016 GO:0006171
Bathy02g00540	GO:0005515
Bathy02g00560	GO:0008168
Bathy02g00570	GO:0016021
Bathy02g00580	GO:0005840 GO:0005622 GO:0006414 GO:0003735
Bathy02g00620	GO:0005515
Bathy02g00630	GO:0031072
Bathy02g00660	GO:0006486 GO:0030173 GO:0008373
Bathy02g00670	GO:0008152 GO:0008168
Bathy02g00690	GO:0008017
Bathy02g00700	GO:0016705 GO:0005506 GO:0055114 GO:0031418
Bathy02g00730	GO:0005515
Bathy02g00750	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy02g00760	GO:0005515
Bathy02g00770	GO:0008152 GO:0003824
Bathy02g00790	
Bathy02g00880	GO:0016758 GO:0016021
Bathy02g00890	GO:0005515 GO:0007154 GO:0035091
Bathy02g00910	GO:0005488
Bathy02g00920	GO:0003723
Bathy02g00970	GO:0005515
Bathy02g00980	GO:0016020
Bathy02g00990	GO:0004315 GO:0006633
Bathy02g01000	GO:0005515
Bathy02g01010	GO:0005524 GO:0016773 GO:0006139
Bathy02g01020	GO:0003676
Bathy02g01030	GO:0005515
Bathy02g01080	GO:0006486 GO:0030173 GO:0008373
Bathy02g01100	GO:0006413 GO:0003743 GO:0003723
Bathy02g01120	GO:0006508 GO:0004177 GO:0008270 GO:0005773
Bathy02g01140	GO:0000166 GO:0017111
Bathy02g01180	GO:0016070
Bathy02g01210	GO:0005524 GO:0016887
Bathy02g01240	GO:0006364
Bathy02g01260	GO:0005634 GO:0004652 GO:0003723 GO:0043631
Bathy02g01280	GO:0042254 GO:0005634
Bathy02g01320	GO:0004252 GO:0016021
Bathy02g01360	GO:0006486 GO:0030173 GO:0008373
Bathy02g01420	GO:0016020 GO:0006754 GO:0015662 GO:0005524
Bathy02g01460	GO:0016491
Bathy02g01470	GO:0003677 GO:0005622
Bathy02g01480	GO:0003677
Bathy02g01510	GO:0055114 GO:0016491
Bathy02g01520	GO:0016020 GO:0006810 GO:0005215
Bathy02g01530	GO:0030151 GO:0055114 GO:0016491
Bathy02g01540	GO:0009055 GO:0055114
Bathy02g01560	GO:0020037
Bathy02g01580	GO:0005525
Bathy02g01590	GO:0016021
Bathy02g01680	GO:0016787
Bathy02g01700	GO:0008152 GO:0003824
Bathy02g01710	GO:0016491
Bathy02g01720	GO:0008152 GO:0003824
Bathy02g01730	GO:0003677 GO:0006289
Bathy02g01750	GO:0005515
Bathy02g01760	GO:0006069 GO:0008270 GO:0055114 GO:0051903
Bathy02g01770	GO:0018738
Bathy02g01800	GO:0016020 GO:0006810 GO:0005215
Bathy02g01820	GO:0003824 GO:0055114 GO:0009396
Bathy02g01840	GO:0016020
Bathy02g01850	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy02g01880	GO:0005840 GO:0006412 GO:0005622 GO:0003735
Bathy02g01910	GO:0009058
Bathy02g01940	GO:0008270 GO:0003676
Bathy02g01960	GO:0016787
Bathy02g02000	GO:0006355 GO:0043565 GO:0003700 GO:0046983
Bathy02g02010	GO:0016787
Bathy02g02050	GO:0016020 GO:0055085 GO:0046873 GO:0030001
Bathy02g02070	GO:0005634 GO:0003677
Bathy02g02080	GO:0000287 GO:0004749 GO:0009165
Bathy02g02090	GO:0009538 GO:0015979
Bathy02g02100	GO:0005488
Bathy02g02120	GO:0004478
Bathy02g02130	GO:0016020 GO:0006754 GO:0015662 GO:0005524
Bathy02g02140	GO:0005198 GO:0009507
Bathy02g02150	GO:0055114 GO:0016491 GO:0006629
Bathy02g02180	GO:0005840 GO:0003723 GO:0006412 GO:0005622 GO:0003735
Bathy02g02210	GO:0008152 GO:0003824 GO:0005488
Bathy02g02220	GO:0008138 GO:0006470
Bathy02g02250	GO:0005515
Bathy02g02290	GO:0003824 GO:0030170
Bathy02g02310	GO:0000166
Bathy02g02320	GO:0005515
Bathy02g02330	GO:0055085
Bathy02g02350	GO:0017183 GO:0005737
Bathy02g02360	GO:0005622 GO:0003676
Bathy02g02370	GO:0016998
Bathy02g02420	GO:0006486 GO:0030173 GO:0008373
Bathy02g02430	GO:0020037 GO:0005506 GO:0004497 GO:0055114
Bathy02g02440	GO:0004674 GO:0006468
Bathy02g02460	GO:0004674 GO:0006468
Bathy02g02470	GO:0006099 GO:0055114 GO:0016491
Bathy02g02490	GO:0005524 GO:0016887
Bathy02g02510	GO:0006433 GO:0005524 GO:0000166 GO:0006412 GO:0005737 GO:0004827
Bathy02g02540	GO:0016627 GO:0055114
Bathy02g02620	GO:0006508 GO:0004197
Bathy02g02670	GO:0006397
Bathy02g02690	GO:0016818 GO:0008270 GO:0003676
Bathy02g02700	GO:0000166
Bathy02g02710	GO:0016020 GO:0006886 GO:0006605
Bathy02g02730	GO:0003723 GO:0004540
Bathy02g02760	GO:0055085 GO:0016021 GO:0015299 GO:0006812
Bathy02g02780	GO:0005515
Bathy02g02790	GO:0006486 GO:0030173 GO:0008373
Bathy02g02810	GO:0006457 GO:0003755
Bathy02g02830	GO:0005515
Bathy02g02840	GO:0005525 GO:0003924
Bathy02g02860	GO:0008270 GO:0055114 GO:0016491
Bathy02g02870	GO:0006355 GO:0043565 GO:0008270 GO:0003700
Bathy02g02880	GO:0016020
Bathy02g02940	GO:0030976
Bathy02g02950	GO:0006457
Bathy02g02970	GO:0008152 GO:0003824 GO:0005488
Bathy02g02980	GO:0003723 GO:0005524 GO:0006955 GO:0016740
Bathy02g03000	GO:0030688 GO:0006364
Bathy02g03030	GO:0008152 GO:0003824 GO:0005488
Bathy02g03050	GO:0008131 GO:0005507 GO:0048038 GO:0055114 GO:0009308
Bathy02g03060	GO:0017183
Bathy02g03070	GO:0046406 GO:0015995 GO:0015979
Bathy02g03080	GO:0016020 GO:0008654 GO:0016780
Bathy02g03120	GO:0005622
Bathy02g03140	GO:0005515
Bathy02g03150	GO:0009231 GO:0008703
Bathy02g03170	GO:0006508 GO:0004176
Bathy02g03180	GO:0016020
Bathy02g03200	GO:0010277 GO:0055114
Bathy02g03220	GO:0006357 GO:0016592
Bathy02g03240	GO:0001671 GO:0051087 GO:0005737
Bathy02g03250	GO:0004143 GO:0007205
Bathy02g03270	GO:0005524 GO:0004386 GO:0003676
Bathy02g03320	GO:0042026 GO:0005737
Bathy02g03330	GO:0003723 GO:0009451 GO:0009982 GO:0001522
Bathy02g03340	GO:0050661 GO:0006006
Bathy02g03350	GO:0016021
Bathy02g03360	GO:0016020 GO:0005524 GO:0005216 GO:0006811
Bathy02g03390	GO:0008152 GO:0003824
Bathy02g03410	GO:0019538
Bathy02g03430	GO:0015986 GO:0000275 GO:0046961 GO:0046933
Bathy02g03440	GO:0005515
Bathy02g03450	GO:0033179 GO:0015991 GO:0015078
Bathy02g03490	GO:0043169 GO:0005975 GO:0003824
Bathy02g03500	GO:0006486 GO:0030173 GO:0008373
Bathy02g03510	GO:0003899 GO:0003677
Bathy02g03560	GO:0005524 GO:0006412 GO:0006419 GO:0005737 GO:0004813 GO:0003676
Bathy02g03570	GO:0016538 GO:0007049
Bathy02g03660	GO:0015977 GO:0016984
Bathy02g03700	GO:0005488
Bathy02g03730	GO:0016020 GO:0008519 GO:0006810 GO:0055085
Bathy02g03780	GO:0045454
Bathy02g03800	GO:0031072
Bathy02g03810	GO:0005488
Bathy02g03840	GO:0016757
Bathy02g03870	GO:0016787
Bathy02g03880	GO:0005524 GO:0004386 GO:0003676
Bathy02g03900	GO:0009058
Bathy02g03910	GO:0005840 GO:0003723 GO:0006412 GO:0005622 GO:0003735
Bathy02g03920	GO:0016491
Bathy02g03930	GO:0008152 GO:0016491
Bathy02g03950	GO:0008270 GO:0003676
Bathy02g03970	GO:0047800 GO:0055114
Bathy02g03980	GO:0020037 GO:0005506 GO:0004497 GO:0055114
