Gene ID	GO	KOG	ENZYME
Naga_100129g16	GO:0006468 GO:0005524 GO:0004672 GO:0004674 GO:0005952 GO:0004691	KOG0583	
Naga_100129g19	GO:0016020 GO:0008375	KOG0799	
Naga_100033g4	GO:0006457 GO:0003755		
Naga_100033g5	GO:0046983 GO:0043565 GO:0006355 GO:0005634 GO:0003700		
Naga_100033g8	GO:0006464 GO:0004835	KOG2155	
Naga_100033g9	GO:0016888	KOG3020	3.1.21.-
Naga_100033g10	GO:0005975 GO:0004553 GO:0016985		3.2.1.78
Naga_100033g16	GO:0005488	KOG1835	
Naga_100033g18	GO:0005525 GO:0043141 GO:0019177 GO:0019176 GO:0016462 GO:0008828 GO:0008796 GO:0008758 GO:0008413 GO:0004787 GO:0000810	KOG2484	3.6.1.-
Naga_100033g20	GO:0003723 GO:0042255 GO:0005634 GO:0005515	KOG3492	
Naga_100033g21	GO:0016021	KOG1944	
Naga_100033g23	GO:0030117 GO:0016192 GO:0006886 GO:0005515 GO:0030126 GO:0008565 GO:0005198 GO:0005488	KOG1058	
Naga_100033g25	GO:0005524 GO:0004386 GO:0003676 GO:0008026	KOG0925	
Naga_100033g26	GO:0007018 GO:0005875 GO:0005524 GO:0003777	KOG0246	
Naga_100033g27	GO:0008287 GO:0006470 GO:0004722 GO:0003824 GO:0017023 GO:0017020 GO:0017018 GO:0008597 GO:0008420 GO:0005963 GO:0004724 GO:0004723 GO:0004721	KOG0698	3.1.3.16
Naga_100033g30	GO:0016491 GO:0010181 GO:0016629	KOG0134	1.3.1.42
Naga_100033g33	GO:0009320 GO:0006189 GO:0004638 GO:0005524 GO:0003824	KOG2835	4.1.1.21
Naga_100033g35	GO:0006561 GO:0004735 GO:0016491	KOG3124	1.5.1.2
Naga_100033g36	GO:0006457 GO:0003755	KOG0552	5.2.1.8
Naga_100033g40	GO:0016758 GO:0016021 GO:0046921 GO:0046920 GO:0046527 GO:0045140 GO:0042283 GO:0042281 GO:0033556 GO:0031278 GO:0019187 GO:0019112 GO:0018718 GO:0018717 GO:0018716 GO:0018715 GO:0016759 GO:0008921 GO:0008755 GO:0008417 GO:0008378 GO:0008376 GO:0008375 GO:0004583 GO:0004576 GO:0004376 GO:0003980 GO:0001962 GO:0000033 GO:0000030 GO:0000026 GO:0000009	KOG4748	2.4.1.-
Naga_100033g42	GO:0003824		
Naga_100033g45	GO:0006725 GO:0004497 GO:0016491 GO:0008152 GO:0018662	KOG3855	1.14.13.7
Naga_100033g47	GO:0003677	KOG0048	
Naga_100033g48	GO:0008233 GO:0006508		
Naga_100033g50	GO:0005525 GO:0003924	KOG0461	
Naga_100033g52	GO:0005488	KOG3036	
Naga_100013g96	GO:0006097 GO:0004474 GO:0003824	KOG1261	
Naga_100013g92	GO:0020037 GO:0005506 GO:0004497 GO:0043823 GO:0018600 GO:0018599 GO:0018598 GO:0018597 GO:0018596 GO:0018595 GO:0018594 GO:0018593 GO:0018592 GO:0018591 GO:0018590 GO:0018589 GO:0018588 GO:0018586 GO:0018585	KOG0157	1.14.-.-
Naga_100013g90	GO:0005634 GO:0030785	KOG1337	2.1.1.127
Naga_100013g89	GO:0016779 GO:0008152 GO:0003983	KOG2638	2.7.7.9
Naga_100013g85	GO:0006511 GO:0005839 GO:0004298		
Naga_100013g84	GO:0008270	KOG0509	
Naga_100013g80	GO:0006464	KOG0001	
Naga_100013g78	GO:0005488	KOG1517	
Naga_100013g77	GO:0016020 GO:0006886 GO:0005484 GO:0016192 GO:0005515	KOG0810	
Naga_100013g76	GO:0016787 GO:0008235 GO:0006508	KOG2413	3.4.11.9
Naga_100013g73	GO:0046921 GO:0046920 GO:0046527 GO:0045140 GO:0042283 GO:0042281 GO:0033556 GO:0031278 GO:0019187 GO:0019112 GO:0018718 GO:0018717 GO:0018716 GO:0018715 GO:0016759 GO:0008921 GO:0008755 GO:0008417 GO:0008378 GO:0008376 GO:0008375 GO:0004583 GO:0004576 GO:0004376 GO:0003980 GO:0001962 GO:0000033 GO:0000030 GO:0000026 GO:0000009		2.4.1.-
Naga_100013g72	GO:0016491 GO:0050661 GO:0016021 GO:0009276 GO:0008750 GO:0008746		1.6.1.2
Naga_100013g67	GO:0008270	KOG0704	
Naga_100013g66	GO:0031072 GO:0051082 GO:0006457	KOG0713	
Naga_100013g62	GO:0008270 GO:0003676 GO:0006629 GO:0004806		
Naga_100013g61	GO:0016597 GO:0008152 GO:0051287 GO:0016616 GO:0048037 GO:0006564 GO:0004617 GO:0009058 GO:0004648	KOG0068	2.6.1.52
Naga_100013g60	GO:0005524 GO:0003677 GO:0004386 GO:0003676	KOG0389	
Naga_100013g59	GO:0035091 GO:0007154 GO:0005515		
Naga_100013g58	GO:0006464 GO:0004835	KOG2157	6.3.2.25
Naga_100013g57	GO:0003676	KOG0106	
Naga_100013g54	GO:0008235 GO:0006508	KOG2738	3.4.11.18
Naga_100013g52	GO:0045300 GO:0006631 GO:0046914 GO:0016491		
Naga_100013g50	GO:0006355 GO:0000160 GO:0000156 GO:0005524 GO:0016020 GO:0007165 GO:0000155 GO:0016772 GO:0016310 GO:0018106 GO:0004673	KOG0519	
Naga_100013g49	GO:0016491 GO:0008152	KOG1014	
Naga_100013g47	GO:0008152 GO:0003824	KOG1256	
Naga_100013g45	GO:0016491 GO:0008152	KOG1208	
Naga_100013g41	GO:0016020 GO:0006486 GO:0004377	KOG4472	
Naga_100013g39	GO:0045454 GO:0015035 GO:0009055 GO:0006662 GO:0003756	KOG0907	5.3.4.1
Naga_100013g37	GO:0050662 GO:0044237 GO:0003824 GO:0050377	KOG0747	4.2.1.76
Naga_100013g35	GO:0005634 GO:0003676 GO:0004535	KOG1990	3.1.13.4
Naga_100013g31	GO:0005634	KOG0263	
Naga_100013g30	GO:0005488	KOG4199	
Naga_100013g26	GO:0005524	KOG3022	
Naga_100013g25	GO:0008138 GO:0006470 GO:0016791 GO:0016311 GO:0004725	KOG1716	
Naga_100013g23	GO:0016020 GO:0006886 GO:0005484 GO:0016192 GO:0005515	KOG0809	
Naga_100013g22	GO:0008152 GO:0030170 GO:0030151 GO:0003824	KOG2142	
Naga_100013g20	GO:0016787 GO:0008270 GO:0003824	KOG1018	
Naga_100013g19	GO:0008270	KOG1312	
Naga_100013g16	GO:0008026 GO:0005524 GO:0003676 GO:0004386	KOG0340	
Naga_100013g15	GO:0016787		
Naga_100013g14	GO:0003676	KOG4209	
Naga_100013g8	GO:0005515		
Naga_100013g7	GO:0008967 GO:0008152	KOG3085	
Naga_100013g2	GO:0006418 GO:0006412 GO:0005737 GO:0005524 GO:0004812 GO:0000166 GO:0006423 GO:0004817	KOG2007	6.1.1.16
Naga_100100g23	GO:0008270 GO:0003676	KOG1677	
Naga_100100g18	GO:0050660 GO:0016491 GO:0045454 GO:0005737 GO:0004148	KOG1335	1.8.1.4
Naga_100100g17	GO:0003677	KOG0724	
Naga_100100g14	GO:0005509	KOG0767	
Naga_100100g13	GO:0007264 GO:0005525 GO:0007165 GO:0006913 GO:0006886 GO:0005515 GO:0003924 GO:0005622 GO:0015031	KOG0096	
Naga_100100g11	GO:0016020	KOG1441	
Naga_100100g7	GO:0016020 GO:0006810 GO:0005215		
Naga_100100g4	GO:0004032	KOG1577	1.1.1.21
Naga_100100g3	GO:0016070 GO:0005515 GO:0005488	KOG1104	
Naga_100321g3	GO:0047372	KOG4391	3.1.1.23
Naga_100321g4	GO:0006281 GO:0034061 GO:0003887	KOG2094	2.7.7.7
Naga_100321g6	GO:0008967 GO:0008152 GO:0043813 GO:0043812 GO:0043726 GO:0030352 GO:0030351 GO:0019198 GO:0019178 GO:0017161 GO:0017017 GO:0016312 GO:0008579 GO:0008330 GO:0008138	KOG2914	3.1.3.-
Naga_100210g2	GO:0009058 GO:0004377	KOG1387	2.4.1.131
Naga_100210g4	GO:0042773 GO:0016020 GO:0008137 GO:0051536 GO:0009055	KOG2282	
Naga_100210g5	GO:0043734 GO:0019798 GO:0018602 GO:0000907	KOG4176	1.14.11.-
Naga_100210g6	GO:0015031 GO:0008565 GO:0005743	KOG1652	
Naga_100210g8	GO:0008565 GO:0006886 GO:0006606 GO:0005737 GO:0005643 GO:0005634 GO:0005488	KOG0166	
Naga_100210g10	GO:0006032 GO:0004568	KOG2091	
Naga_100210g13	GO:0005515 GO:0047598	KOG0680	1.3.1.21
Naga_100026g62	GO:0005634 GO:0003676	KOG1898	
Naga_100026g61	GO:0043022 GO:0042256	KOG3185	
Naga_100026g60	GO:0006635 GO:0005777 GO:0003997 GO:0003995 GO:0016627 GO:0008152	KOG0136	1.3.3.6
Naga_100026g59	GO:0046488 GO:0016307 GO:0016308	KOG0229	2.7.1.68
Naga_100026g58	GO:0051536 GO:0016226 GO:0005198	KOG1119	
Naga_100026g57	GO:0006561 GO:0004735 GO:0016491	KOG3124	1.5.1.2
Naga_100026g56	GO:0006468 GO:0005524 GO:0004672 GO:0004674	KOG1290	
Naga_100026g54	GO:0016887 GO:0005524 GO:0017111 GO:0000166 GO:0015412	KOG0061	3.6.3.29
Naga_100026g52	GO:0005622	KOG2595	
Naga_100026g51	GO:0005509 GO:0008104	KOG1809	
Naga_100026g50	GO:0050236	KOG1575	1.1.1.65
Naga_100026g49	GO:0006422 GO:0006412 GO:0005737 GO:0005524 GO:0004815 GO:0000166 GO:0006418 GO:0004812 GO:0003676 GO:0006421 GO:0004816	KOG0554	6.1.1.22
Naga_100026g46	GO:0016787		
Naga_100026g44	GO:0016787 GO:0016788 GO:0006397 GO:0043765 GO:0042578 GO:0004518	KOG2863	3.1.-.-
Naga_100026g41	GO:0031072	KOG0714	
Naga_100026g40	GO:0019904	KOG0841	
Naga_100026g38	GO:0051536 GO:0016226 GO:0005506	KOG2358	
Naga_100026g37	GO:0035091 GO:0007154 GO:0005515	KOG2101	
Naga_100026g36	GO:0016021 GO:0015144 GO:0008643		
Naga_100026g35	GO:0006511 GO:0005839 GO:0004298	KOG0181	
Naga_100026g28	GO:0008234 GO:0006508	KOG3246	
Naga_100026g27	GO:0016021 GO:0006506 GO:0005789	KOG2552	
Naga_100026g25	GO:0008235 GO:0006508	KOG1189	3.4.11.9
Naga_100026g23	GO:0005956	KOG3092	
Naga_100026g22	GO:0006412 GO:0005840 GO:0005622 GO:0003735	KOG1722	
Naga_100026g17	GO:0006810 GO:0005643	KOG0845	
Naga_100026g15	GO:0006144 GO:0004846	KOG1599	1.7.3.3
Naga_100026g11	GO:0005975 GO:0004342	KOG3148	3.5.99.6
Naga_100026g8	GO:0008270 GO:0006508 GO:0004222 GO:0046872 GO:0003824 GO:0017087	KOG0960	3.4.24.64
Naga_100026g7	GO:0007264 GO:0005525 GO:0007165 GO:0006913 GO:0006886 GO:0005515 GO:0003924 GO:0005622 GO:0015031	KOG0080	
Naga_100026g6	GO:0031072 GO:0003756	KOG0714	5.3.4.1
Naga_100026g5	GO:0008146 GO:0004062	KOG1584	2.8.2.1
Naga_100026g3	GO:0004439	KOG1889	3.1.3.36
Naga_100026g2	GO:0006468 GO:0005524 GO:0004672 GO:0004674	KOG0600	
Naga_100026g1	GO:0006468 GO:0005524 GO:0004672 GO:0004674	KOG0600	
Naga_100003g182	GO:0042961 GO:0015446	KOG2825	3.6.3.16
Naga_100003g181	GO:0005622 GO:0006281 GO:0006260 GO:0003911		6.5.1.2
Naga_100003g180	GO:0016021	KOG3319	
Naga_100003g178	GO:0016779 GO:0008152 GO:0051748	KOG2388	
Naga_100003g176	GO:0009435 GO:0004514 GO:0019363 GO:0004516	KOG2511	
Naga_100003g174	GO:0016491 GO:0010181 GO:0009339 GO:0008891 GO:0003973	KOG0538	1.1.3.15
Naga_100003g173	GO:0006508 GO:0005524 GO:0004222 GO:0017111 GO:0000166 GO:0030163 GO:0016020 GO:0016021 GO:0008270	KOG0731	3.4.24.-
Naga_100003g172	GO:0004582	KOG2978	2.4.1.83
Naga_100003g171	GO:0016020 GO:0015662 GO:0006810 GO:0005524 GO:0006812 GO:0015085 GO:0006816 GO:0005509 GO:0005388	KOG0204	3.6.3.8
Naga_100003g170	GO:0003899 GO:0044237 GO:0003824 GO:0000166	KOG2351	
Naga_100003g167	GO:0009094 GO:0004664 GO:0006571 GO:0004665	KOG2380	
Naga_100003g166	GO:0009116 GO:0003824 GO:0008930		3.2.2.16
Naga_100003g164	GO:0006414 GO:0003746 GO:0005737		
Naga_100003g163	GO:0020037 GO:0005506 GO:0004497 GO:0043823 GO:0018600 GO:0018599 GO:0018598 GO:0018597 GO:0018596 GO:0018595 GO:0018594 GO:0018593 GO:0018592 GO:0018591 GO:0018590 GO:0018589 GO:0018588 GO:0018586 GO:0018585	KOG0157	1.14.-.-
Naga_100003g161	GO:0046872 GO:0003824 GO:0006508 GO:0004222 GO:0017087	KOG2067	3.4.24.64
Naga_100003g160	GO:0005525 GO:0003924	KOG0469	
Naga_100003g157	GO:0006096 GO:0006094 GO:0004347	KOG2446	5.3.1.9
Naga_100003g156	GO:0006097 GO:0004474 GO:0003824	KOG1261	
Naga_100003g152	GO:0004635 GO:0000105	KOG4311	
Naga_100003g151	GO:0008270 GO:0005515 GO:0005622 GO:0003676	KOG0287	
Naga_100003g150	GO:0005975 GO:0004553		
Naga_100003g149	GO:0016787 GO:0047429	KOG3222	3.6.1.19
Naga_100003g143	GO:0003899 GO:0003677 GO:0034062	KOG0215	2.7.7.6
Naga_100003g142	GO:0006810	KOG0934	
Naga_100003g137	GO:0008152 GO:0008080 GO:0051536 GO:0003824 GO:0004402	KOG2535	2.3.1.48
Naga_100003g135	GO:0032040 GO:0006364	KOG3117	
Naga_100003g133	GO:0003824 GO:0006177 GO:0003938	KOG2550	1.1.1.205
Naga_100003g132	GO:0016020		
Naga_100003g131	GO:0051082 GO:0016272 GO:0006457	KOG4098	
Naga_100003g130	GO:0008270 GO:0005515	KOG2789	
Naga_100003g126	GO:0015934 GO:0006412 GO:0003735 GO:0005840 GO:0005622	KOG3204	
Naga_100003g119	GO:0006807 GO:0004356	KOG0683	6.3.1.2
Naga_100003g117	GO:0003676 GO:0006397	KOG2253	
Naga_100003g108	GO:0008137 GO:0006120	KOG1687	
Naga_100003g105	GO:0018279 GO:0008250 GO:0005789 GO:0004579	KOG2447	
Naga_100003g104	GO:0006468 GO:0005524 GO:0004672 GO:0004674	KOG0578	
Naga_100003g103	GO:0016469 GO:0015078 GO:0046961 GO:0046933 GO:0015986 GO:0045259	KOG1352	3.6.3.14
Naga_100003g102	GO:0003676	KOG0148	
Naga_100003g96	GO:0005622 GO:0003676	KOG1994	
Naga_100003g93	GO:0016021	KOG1944	
Naga_100003g89	GO:0016887 GO:0005524 GO:0017111 GO:0000166 GO:0042626 GO:0016021 GO:0006810 GO:0042625 GO:0042624 GO:0042623 GO:0017116 GO:0015462 GO:0008186 GO:0008094 GO:0008026 GO:0004004 GO:0004003	KOG0054	3.6.1.3
Naga_100003g84	GO:0003723 GO:0005525 GO:0005622	KOG1423	3.6.-.-
Naga_100003g83	GO:0033014 GO:0004418	KOG2892	
Naga_100003g79	GO:0051246 GO:0043687 GO:0019787	KOG0420	
Naga_100003g78	GO:0008270		
Naga_100003g77	GO:0008270 GO:0005622 GO:0005515 GO:0051444 GO:0051443 GO:0051438 GO:0004842	KOG4185	6.3.2.19
Naga_100003g75	GO:0006468 GO:0005524 GO:0004672 GO:0004674	KOG1164	
Naga_100003g74	GO:0051287 GO:0016491	KOG3196	
Naga_100003g73	GO:0008537	KOG4470	
Naga_100003g72	GO:0050660 GO:0016491 GO:0003824 GO:0050614	KOG1262	
Naga_100003g69	GO:0003824 GO:0006189 GO:0004642	KOG1907	6.3.5.3
Naga_100003g67	GO:0008152 GO:0051539 GO:0006099 GO:0003994	KOG0453	4.2.1.3
Naga_100003g64	GO:0004364	KOG1422	2.5.1.18
Naga_100003g62	GO:0016829 GO:0016836 GO:0006091 GO:0004333		4.2.1.2
Naga_100003g61	GO:0017111 GO:0000166 GO:0005524 GO:0030163 GO:0016787 GO:0005737 GO:0005634	KOG0652	
Naga_100003g59	GO:0008270 GO:0005975 GO:0004476	KOG2757	5.3.1.8
Naga_100003g58	GO:0043852 GO:0043851 GO:0043834 GO:0043833 GO:0043827 GO:0043803 GO:0043791 GO:0043782 GO:0043780 GO:0043777 GO:0043776 GO:0043770 GO:0030792 GO:0019702 GO:0018707 GO:0018423 GO:0016436 GO:0016435 GO:0016434 GO:0016433 GO:0016427 GO:0016426 GO:0016423 GO:0016300 GO:0016279 GO:0016278 GO:0016274 GO:0016273 GO:0016205 GO:0009383 GO:0009008 GO:0008650 GO:0008649 GO:0008425 GO:0008276 GO:0008175 GO:0008174 GO:0008173 GO:0008172 GO:0008171 GO:0008170 GO:0008169 GO:0003880 GO:0000179	KOG2730	2.1.1.-
Naga_100003g57	GO:0005524 GO:0003677 GO:0004386 GO:0003676	KOG0383	
Naga_100003g52	GO:0007018 GO:0005875 GO:0005524 GO:0003777	KOG0243	
Naga_100003g47	GO:0009982	KOG4393	5.4.99.12
Naga_100003g46	GO:0016491 GO:0008152 GO:0045703 GO:0042469 GO:0018450 GO:0018449 GO:0018448 GO:0018447 GO:0018446 GO:0004344	KOG1208	1.1.-.-
Naga_100003g42	GO:0006412 GO:0005840 GO:0005622 GO:0003735	KOG0402	
Naga_100003g38	GO:0005524 GO:0004386 GO:0003676 GO:0005622 GO:0008026 GO:0006310 GO:0044237 GO:0003824 GO:0000166	KOG0351	
Naga_100003g37	GO:0008641 GO:0006464 GO:0003824 GO:0051444 GO:0051443 GO:0051438 GO:0004842	KOG2012	6.3.2.19
Naga_100003g36	GO:0016020 GO:0007155	KOG3776	
Naga_100003g35	GO:0005488	KOG2153	
Naga_100003g34	GO:0005524 GO:0004386 GO:0003676 GO:0008026	KOG0348	
Naga_100003g33	GO:0016887 GO:0005524 GO:0017111 GO:0000166 GO:0015412	KOG0061	3.6.3.29
Naga_100003g31	GO:0046677 GO:0016021 GO:0015904 GO:0015520	KOG2816	
Naga_100003g29	GO:0016491		
Naga_100003g25	GO:0008168	KOG2782	
Naga_100003g23	GO:0016021		
Naga_100003g20	GO:0005488	KOG3252	
Naga_100003g17	GO:0016020 GO:0015171 GO:0006865		
Naga_100003g14	GO:0008270 GO:0003677	KOG3173	
Naga_100003g10	GO:0016020 GO:0008654 GO:0004605	KOG1440	2.7.7.41
Naga_100003g9	GO:0005739 GO:0004408	KOG3996	4.4.1.17
Naga_100003g8	GO:0016021	KOG3071	
Naga_100090g20	GO:0005488	KOG1823	
Naga_100090g18	GO:0008168 GO:0006364 GO:0005634 GO:0043852 GO:0043851 GO:0043834 GO:0043833 GO:0043827 GO:0043803 GO:0043791 GO:0043782 GO:0043780 GO:0043777 GO:0043776 GO:0043770 GO:0030792 GO:0019702 GO:0018707 GO:0018423 GO:0016436 GO:0016435 GO:0016434 GO:0016433 GO:0016427 GO:0016426 GO:0016423 GO:0016300 GO:0016279 GO:0016278 GO:0016274 GO:0016273 GO:0016205 GO:0009383 GO:0009008 GO:0008650 GO:0008649 GO:0008425 GO:0008276 GO:0008175 GO:0008174 GO:0008173 GO:0008172 GO:0008171 GO:0008170 GO:0008169 GO:0003880 GO:0000179	KOG1098	2.1.1.-
Naga_100090g17	GO:0030176 GO:0018193 GO:0004597	KOG3696	1.14.11.16
Naga_100090g14	GO:0005777	KOG3133	
Naga_100090g13	GO:0019538 GO:0016706 GO:0019798 GO:0016222 GO:0004656	KOG1591	1.14.11.2
Naga_100090g12	GO:0016787 GO:0043262	KOG1386	3.6.1.5
Naga_100090g11	GO:0006629 GO:0008152	KOG4231	
Naga_100090g9	GO:0008270 GO:0005515	KOG1940	
Naga_100090g8	GO:0006334 GO:0005634	KOG1508	
Naga_100090g7	GO:0005515		
Naga_100090g3	GO:0006529 GO:0004066		
Naga_100090g1	GO:0003676	KOG2591	
Naga_100096g5	GO:0016020	KOG2952	
Naga_100096g10	GO:0016787 GO:0017023 GO:0017020 GO:0017018 GO:0008597 GO:0008420 GO:0005963 GO:0004724 GO:0004723 GO:0004721	KOG0374	3.1.3.16
Naga_100096g11	GO:0005488	KOG1242	
Naga_100096g12	GO:0005525 GO:0003924	KOG2037	
Naga_100096g19	GO:0008270 GO:0003676	KOG4727	
Naga_100096g20	GO:0003995 GO:0016627 GO:0008152 GO:0050660 GO:0043830 GO:0043820 GO:0017099 GO:0016937	KOG0140	1.3.99.-
Naga_100096g21	GO:0019307 GO:0005737 GO:0004615 GO:0008152 GO:0003824	KOG3189	5.4.2.8
Naga_100096g22	GO:0005634	KOG2084	
Naga_100096g24	GO:0006779 GO:0004853	KOG2872	4.1.1.37
Naga_100115g2	GO:0008484 GO:0008152		
Naga_100115g6	GO:0006412 GO:0005840 GO:0005622 GO:0003735		
Naga_100115g11	GO:0016491		
Naga_100115g12	GO:0043734 GO:0019798 GO:0018602 GO:0000907	KOG3200	1.14.11.-
Naga_100115g13	GO:0006468 GO:0005524 GO:0004672 GO:0004674	KOG1989	
Naga_100115g16	GO:0016491	KOG2741	
Naga_100115g19	GO:0016567 GO:0004842 GO:0000151	KOG4642	
Naga_100115g20	GO:0004596	KOG1156	2.3.1.88
Naga_100746g1	GO:0006886 GO:0005794 GO:0005783	KOG1586	
Naga_100746g2	GO:0008152 GO:0003824 GO:0003985	KOG1390	2.3.1.9
Naga_100746g3	GO:0008094 GO:0006270 GO:0005524 GO:0003677 GO:0005634	KOG0479	
Naga_102881g1	GO:0008094 GO:0006270 GO:0005524 GO:0003677	KOG0479	
Naga_100332g4	GO:0006304 GO:0003676 GO:0006260 GO:0005524 GO:0003678	KOG2373	
Naga_100994g1	GO:0016787 GO:0004416	KOG0813	3.1.2.6
Naga_101095g1	GO:0006468 GO:0005524 GO:0004672 GO:0004674	KOG0606	
Naga_100878g1	GO:0016740 GO:0008152	KOG2644	
Naga_100310g1	GO:0016740 GO:0008152 GO:0003919	KOG2644	2.7.7.2
Naga_100310g4	GO:0044237 GO:0046522 GO:0009086 GO:0044249	KOG1468	2.7.1.100
Naga_100310g5			
Naga_100258g6	GO:0005975 GO:0004553 GO:0006032 GO:0004568 GO:0016160 GO:0015929 GO:0015928 GO:0015927 GO:0015926 GO:0015925 GO:0015924 GO:0015923 GO:0008933	KOG2806	3.2.1.-
Naga_100258g5	GO:0046677		
Naga_100258g4	GO:0016491 GO:0008152 GO:0019685 GO:0016630 GO:0015995 GO:0009507	KOG1208	1.3.1.33
Naga_100258g3	GO:0016226 GO:0005515		
Naga_100193g2	GO:0031072 GO:0051082 GO:0006457	KOG0714	
Naga_100193g6	GO:0005525	KOG0448	
Naga_100193g7	GO:0016491 GO:0043823 GO:0018600 GO:0018599 GO:0018598 GO:0018597 GO:0018596 GO:0018595 GO:0018594 GO:0018593 GO:0018592 GO:0018591 GO:0018590 GO:0018589 GO:0018588 GO:0018586 GO:0018585	KOG2987	1.14.-.-
Naga_100193g8	GO:0006629 GO:0004806		
Naga_100729g2	GO:0050660 GO:0016491	KOG2495	
Naga_100729g1	GO:0030170 GO:0019752 GO:0016831	KOG1383	
Naga_100805g1	GO:0030170 GO:0019752 GO:0016831	KOG1383	
Naga_100173g2	GO:0016151 GO:0009039 GO:0006807 GO:0016787 GO:0016810 GO:0019627		3.5.1.5
Naga_100173g4	GO:0016491 GO:0043734 GO:0019798 GO:0018602 GO:0000907		1.14.11.-
Naga_100173g5	GO:0003677	KOG0048	
Naga_100173g11	GO:0008152 GO:0008080		
Naga_100170g9	GO:0008270 GO:0003676 GO:0003723	KOG0119	
Naga_100170g4	GO:0016192 GO:0016021 GO:0006810	KOG0859	
Naga_100525g2	GO:0016491 GO:0051920	KOG0541	
Naga_100525g1	GO:0016787 GO:0008152	KOG4388	
Naga_100150g1	GO:0016787 GO:0008152	KOG4388	
Naga_100150g6	GO:0051536 GO:0009055		
Naga_100150g10	GO:0016868 GO:0005975 GO:0004610	KOG2537	5.4.2.3
Naga_100499g5	GO:0008270 GO:0003676 GO:0005622		
Naga_100499g4	GO:0005634		
Naga_101094g1	GO:0003676 GO:0003723	KOG0145	
Naga_101167g3	GO:0006777	KOG2371	
Naga_100897g4	GO:0005975 GO:0004553 GO:0003824		
Naga_100531g1	GO:0003824 GO:0004756	KOG3939	2.7.9.3
Naga_100151g7	GO:0016020 GO:0015662 GO:0006810 GO:0005524 GO:0006812 GO:0016887 GO:0016021 GO:0008553	KOG0205	3.6.3.6
Naga_100151g5	GO:0016020 GO:0015662 GO:0006810 GO:0005524 GO:0006812 GO:0016887 GO:0016021 GO:0008553	KOG0205	3.6.3.6
Naga_100151g3	GO:0031072 GO:0051082 GO:0006457	KOG0714	
Naga_100151g2	GO:0016531 GO:0006825 GO:0005758 GO:0005507	KOG3496	
Naga_101364g1	GO:0035091 GO:0007154 GO:0005515		
Naga_101364g2	GO:0000250	KOG0497	5.4.99.7
Naga_100315g1	GO:0016021 GO:0006810 GO:0005215	KOG0236	
Naga_100557g2	GO:0006415 GO:0003747	KOG2726	
Naga_100774g1	GO:0008026 GO:0005524 GO:0003676 GO:0004386	KOG0339	
Naga_100774g2	GO:0016192 GO:0016021 GO:0006810	KOG0859	
Naga_101513g1	GO:0008026 GO:0005524 GO:0003676 GO:0006310	KOG0351	
Naga_101162g1	GO:0005622 GO:0003676 GO:0044237 GO:0003824 GO:0000166		
Naga_101394g1	GO:0016491 GO:0008152 GO:0003858	KOG1610	1.1.1.30
Naga_100691g3	GO:0050662 GO:0044237 GO:0003824 GO:0008446	KOG1372	4.2.1.47
Naga_100400g6	GO:0016020		
Naga_100400g3	GO:0043565 GO:0006355 GO:0005634 GO:0003700	KOG0627	
Naga_100809g1	GO:0006511 GO:0005839 GO:0004175 GO:0004298	KOG0182	3.4.25.1
