Gene ID	GO	KO	PFAM
ME000075S09640	GO:0006887 GO:0000145		PF03081
ME001238S00214	GO:0003743 GO:0006413	K03113	PF01253
ME000256S04340	GO:0016747	K00626	PF00108 PF02803 PF00109
ME000256S04341	GO:0003924 GO:0005525	K06949	PF03193
ME000256S04344	GO:0033617 GO:0005739	K18187	PF09803
ME000256S04347	GO:0008234 GO:0006508		PF00112 PF01476 PF00008
ME000256S04348	GO:0016020		PF02714 PF13967 PF14703
ME000256S04349	GO:0005515		PF13855 PF01476 PF00560
ME000256S04350	GO:0008234 GO:0006508		PF00112
ME1141959C07598	GO:0016788 GO:0006397 GO:0016787	K18328	PF05011 PF00149
ME001096S10746	GO:0005515	K07393	PF13409 PF13410 PF00043 PF14497
ME001515S01330	GO:0008483 GO:0030170	K00819	PF00202
ME001515S01331	GO:0016020	K22943	PF04893
ME1114617C07634	GO:0003910 GO:0006281 GO:0006310		PF04679
ME000366S06241	GO:0003677 GO:0003887 GO:0006260 GO:0003676 GO:0005524	K02349	PF00476 PF00270 PF00271
ME000366S06243	GO:0008270 GO:0046872	K10664	PF13639 PF12678 PF17123 PF13923 PF00097
ME000366S06244	GO:0019211	K17605	PF03095
ME000249S04213	GO:0003700 GO:0006355	K09060	PF00170 PF07716
ME000463S07793	GO:0004144 GO:0045017		PF06974 PF03007
ME000463S07794	GO:0003924 GO:0005525	K02519	PF00009 PF11987 PF01926 PF02421
ME000463S07797	GO:0004325 GO:0006783	K01772	PF00762
ME000463S07799	GO:0051259	K04082	PF07743
ME000463S07803	GO:0016760 GO:0030244 GO:0016020		PF03552 PF00535
ME000463S07804	GO:0006415 GO:0003747	K02835	PF03462 PF00472
ME1130557C07678	GO:0008234 GO:0006508		PF00112
ME000157S01526	GO:0016491 GO:0055114		PF01593 PF13450 PF01946 PF00890
ME000157S01529	GO:0004252 GO:0006508		PF00082 PF17766 PF02225
ME000157S01530	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000157S01531	GO:0005634		PF02373 PF02375 PF02928 PF05965 PF05964
ME000157S01534	GO:0016714 GO:0055114	K00500	PF00351
ME000157S01537	GO:0022857 GO:0055085 GO:0016020		PF13520 PF00324
ME000157S01538	GO:0004252 GO:0006508		PF00082 PF17766 PF02225
ME000157S01546	GO:0005515		PF00400
ME000157S01547	GO:0000155 GO:0007165		PF00512
ME000157S01548	GO:0004252 GO:0006508		PF00082 PF17766 PF02225 PF05922
ME000157S01549	GO:0000160		PF00072
ME000157S01552	GO:0003924 GO:0005525	K07877	PF00071
ME000157S01554	GO:0003676	K14947	PF00076
ME000157S01557	GO:0031083	K20185	PF06320
ME000157S01558	GO:0016491 GO:0055114		PF01408 PF02894
ME000157S01563	GO:0005515	K15305	PF12755 PF11916 PF02985
ME000157S01564	GO:0003924 GO:0005525	K03242	PF09173 PF00009 PF03144
ME000157S01565	GO:0016757		PF04577
ME000157S01566	GO:0003743		PF06273
ME000157S01574	GO:0005515		PF00439
ME000157S01577	GO:0016772 GO:0006388	K10669	PF01885
ME000896S10103	GO:0003743 GO:0006413	K02520	PF05198
ME000896S10105	GO:0000184	K18734	PF10220
ME000011S00061	GO:0016614 GO:0050660 GO:0055114	K15403	PF00732 PF05199
ME000011S00062	GO:0003677 GO:0006351 GO:0042025	K03005	PF06870
ME000011S00063	GO:0005247 GO:0006821 GO:0055085 GO:0016020		PF00654 PF00571
ME000011S00064	GO:0005515	K24810	PF00415 PF13857 PF13637 PF00023 PF12796
ME000011S00069	GO:0016620 GO:0051287 GO:0055114 GO:0046983 GO:0008652	K00145	PF01118 PF02774
ME000011S00070	GO:0005484 GO:0006890	K08497	PF03908
ME000096S10523	GO:0004834 GO:0006568 GO:0000105 GO:0047465 GO:0006051	K01695	PF00290 PF00977 PF05690 PF04131
ME000096S10524	GO:0005524		PF00004
ME000096S10525	GO:0000160 GO:0000155 GO:0007165		PF02518 PF00072 PF00512
ME000096S10528	GO:0004252 GO:0006508		PF17766 PF00082
ME000096S10530	GO:0005525		PF01018 PF01926 PF02421
ME000096S10532	GO:0022857 GO:0055085 GO:0016020 GO:0016021		PF00939 PF03600
ME000096S10534	GO:0003746 GO:0006414		PF00889
ME000096S10535	GO:0002098 GO:0033588	K11373	PF04762
ME000096S10538	GO:0004867 GO:0030212		PF06830 PF06668
ME000096S10539	GO:0080009 GO:0005634	K22824	PF17098
ME000096S10542	GO:0005381 GO:0034755 GO:0016020 GO:0033573	K07243	PF03239
ME000096S10543	GO:0006464 GO:0015031	K12183	PF05743 PF09454
ME000096S10544	GO:0016592		PF11571
ME000096S10547	GO:0005515		PF13855 PF12799
ME000096S10549	GO:0043248	K11878	PF16093
ME000096S10551	GO:0004185 GO:0006508	K16298	PF00450
ME000096S10554	GO:0008318 GO:0018342	K14050	PF01239
ME000096S10556	GO:0005516		PF07887
ME000096S10559	GO:0016779 GO:0009058	K03240	PF00132 PF00483
ME000428S07238	GO:0015979 GO:0009522 GO:0009538	K02695	PF03244
ME000428S07241	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
ME000428S07242	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000428S07245	GO:0004553 GO:0005975 GO:0016798		PF00331 PF02018
ME000428S07246	GO:0042025		PF02984
ME000379S06591	GO:0051260	K21919	PF02214
ME000379S06593	GO:0005524 GO:0016887 GO:0008134 GO:0006355 GO:0005515	K03696	PF07724 PF02861 PF17871 PF00004 PF10431 PF07728 PF00158 PF02151
ME1128833C07565	GO:0003735 GO:0006412 GO:0005840		PF01165
ME000680S09082	GO:0046983		PF00010
ME000680S09083	GO:0005515	K02180	PF00400
ME000680S09084	GO:0003824 GO:0050662		PF13460 PF05368 PF01370
ME000680S09086	GO:0005515		PF13087 PF13086 PF00564
ME000680S09088	GO:0003677 GO:0006352	K03120	PF00352
ME000680S09090	GO:0003723 GO:0004540 GO:0006396 GO:0030677	K03538	PF01868
ME000680S09091	GO:0005515		PF13087 PF13086 PF00564
ME000680S09092	GO:0004181 GO:0008270 GO:0006508	K07752	PF00246
ME000892S10147	GO:0046912		PF00285
ME000892S10148	GO:0003676 GO:0005524 GO:0003677 GO:0016787		PF00271 PF00270 PF04851 PF17191 PF01336
ME000892S10149	GO:0004612 GO:0005524 GO:0006094		PF01293
ME000892S10151	GO:0016763 GO:0006400	K00773	PF01702
ME000258S04284	GO:0008234 GO:0006508		PF00112 PF01476
ME000258S04286	GO:0022857 GO:0055085 GO:0016020	K06901	PF00860
ME000258S04289	GO:0051315 GO:0031262	K11547	PF03801 PF18077
ME000258S04292	GO:0004190 GO:0016021	K09597	PF04258
ME000258S04293	GO:0003735 GO:0006412 GO:0005840	K02961	PF00366
ME000258S04297	GO:0005506 GO:0016705 GO:0020037 GO:0055114		PF00067
ME000258S04299	GO:0008168	K05928	PF13649 PF08241 PF02353 PF01209
ME000258S04300	GO:0005515		PF00536 PF07647 PF18016
ME000258S04306	GO:0004298 GO:0051603 GO:0005839 GO:0004175 GO:0006511 GO:0019773	K02728	PF00227 PF10584
ME000258S04309	GO:0016192 GO:0030008 GO:0006888	K20300	PF04099 PF04628
ME000258S04310	GO:0005515		PF00536 PF07647 PF18016
ME000258S04311	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000258S04315	GO:0005506 GO:0016705 GO:0020037 GO:0055114		PF00067
ME000012S00504	GO:0055085 GO:0005741	K11518	PF01459
ME000012S00506	GO:0003690 GO:0006355		PF02536
ME000012S00511	GO:0016747	K22848	PF03982
ME000012S00512	GO:0016301 GO:0016774 GO:0016310		PF00871
ME000012S00514	GO:0016746		PF01515
ME000012S00516	GO:0006506 GO:0005789		PF08320
ME000012S00520	GO:0000166 GO:0004812 GO:0005524 GO:0006418 GO:0003676	K04567	PF00152 PF01336
ME000012S00521	GO:0003824	K14803	PF00481 PF13672
ME000012S00523	GO:0005515	K14793	PF00400
ME000012S00526	GO:0016788		PF07819
ME000012S00528	GO:0009767	K00345	PF11623
ME000012S00529	GO:0003677 GO:0003899 GO:0006351	K03010	PF00562 PF04560 PF04563 PF04565 PF04566 PF04567
ME000012S00531	GO:0046429 GO:0016114 GO:0055114	K03526	PF04551
ME000012S00535	GO:0031625 GO:0006511	K03347	PF00888 PF10557
ME000012S00537	GO:0003676		PF00076
ME000064S08882	GO:0006629	K08245	PF00026 PF05184 PF14543 PF03489
ME000064S08885	GO:0005509 GO:0015979 GO:0009523 GO:0009654 GO:0019898	K02717	PF01789
ME000064S08886	GO:0003676 GO:0008408 GO:0006139		PF01612 PF01927
ME000064S08888	GO:0016491 GO:0055114		PF01593 PF13450
ME000064S08889	GO:0016788	K03424	PF01026
ME000064S08893	GO:0005515		PF00439
ME000064S08895	GO:0003676	K13098	PF00641 PF00076
ME1154371C09506	GO:0008270		PF02148
ME000325S05430	GO:0015299 GO:0006812 GO:0055085 GO:0016021 GO:0006813		PF00999 PF02254
ME000325S05431	GO:0030976 GO:0003824	K14759	PF00425 PF02776 PF16582 PF02775
ME000325S05434	GO:0016573 GO:0000123	K11344	PF09340
ME000325S05435	GO:0008270 GO:0046872	K15692	PF13639 PF17123 PF02225 PF13923 PF12678 PF00097
ME000325S05437	GO:0006886 GO:0016192 GO:0030117	K12400	PF01602 PF12717
ME000325S05441	GO:0006397 GO:0003676	K12822	PF01480 PF00076
ME000325S05443	GO:0003779	K05765	PF00241
ME000325S05447	GO:0003924	K07375	PF00091 PF03953
ME000325S05448	GO:0003924	K07375	PF00091 PF03953
ME000325S05450	GO:0071816	K22384	PF04420
ME000325S05451	GO:0005525	K03978	PF01926 PF02421
ME000301S05054	GO:0003824		PF00481
ME000301S05057	GO:0005515	K14753	PF00400
ME000301S05058	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000301S05062	GO:0005524	K04077	PF00118
ME000301S05063	GO:0015095 GO:0015693 GO:0016021	K22733	PF05653
ME000301S05066	GO:0032977 GO:0016021	K03217	PF02096
ME000301S05067	GO:0003723	K06963	PF02926
ME000301S05068	GO:0005524	K15192	PF12054 PF00176
ME000301S05069	GO:0016787		PF00293
ME000301S05070	GO:0009055 GO:0015035 GO:0045454 GO:0035556		PF04784 PF00462 PF00610
ME000301S05075	GO:0008168 GO:0032259	K14864	PF01728
ME000301S05083	GO:0008237 GO:0008270	K08776	PF01433 PF11838 PF17900
ME000301S05085	GO:0004045		PF01981
ME000301S05086	GO:0003723 GO:0003735 GO:0006412 GO:0005840	K02988	PF00333 PF03719
ME000301S05087	GO:0030246		PF01301 PF17834 PF02140
ME000301S05088	GO:0008237 GO:0008270		PF01433 PF11838 PF17900
ME000301S05089	GO:0004019 GO:0005525 GO:0006164	K01939	PF00709
ME000301S05090	GO:0003755	K01802	PF00254
ME000301S05096	GO:0003824	K01897	PF00501
ME1141325C07687	GO:0004252 GO:0006508		PF00082
ME000578S08304	GO:0005515		PF13181
ME000578S08306	GO:0005515		PF12937
ME000578S08307	GO:0008236 GO:0006508		PF03572
ME000578S08308	GO:0005515	K03030	PF01398 PF13012 PF14464
ME000578S08316	GO:0005096	K15044	PF01412
ME000578S08317	GO:0016747		PF02803 PF00108
ME000578S08318	GO:0000160 GO:0000155 GO:0007165		PF00072 PF02518 PF00512
ME000578S08319	GO:0003824		PF01063
ME000111S10962	GO:0004190 GO:0016021	K09595	PF04258
ME000111S10965	GO:0005096		PF01412
ME000111S10966	GO:0008324 GO:0006812 GO:0055085 GO:0016021		PF01545 PF16916
ME000111S10967	GO:0003824 GO:0003852 GO:0009098	K01649	PF00682 PF08502
ME000111S10968	GO:0006269	K02685	PF04104
ME000111S10970	GO:0016620 GO:0055114	K05298	PF02800 PF00044
ME000111S10972	GO:0022857 GO:0055085	K02575	PF07690
ME000111S10973	GO:0008483 GO:0030170	K16871	PF00202
ME000111S10974	GO:0008483 GO:0030170		PF00202
ME000111S10975	GO:0000398 GO:0046540	K12859	PF02966
ME000111S10976	GO:0000398 GO:0046540	K12859	PF02966
ME1027973C01925	GO:0003755	K14826	PF00254
ME000494S07952	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
ME000089S10076	GO:0016780 GO:0008654 GO:0016020	K08744	PF01066
ME000089S10077	GO:0015979 GO:0009522 GO:0009538	K02699	PF02605
ME000089S10078	GO:0005515		PF00400
ME000289S04811	GO:0004252 GO:0006508		PF00082 PF17766 PF02225
ME000289S04812	GO:0003677 GO:0006260 GO:0005664		PF05460
ME000289S04815	GO:0004252 GO:0006508		PF00082 PF17766 PF05922 PF02225
ME000289S04820	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
ME000289S04821	GO:0005515		PF13516
ME000289S04822	GO:0004045	K04794	PF01981
ME000289S04823	GO:0005524 GO:0046872		PF00176 PF00271 PF13920 PF13923 PF00097
ME000282S04747	GO:0022857 GO:0055085 GO:0016021		PF00083 PF07690
ME000282S04748	GO:0004553 GO:0005975		PF00933 PF01915
ME000282S04750	GO:0005515		PF00514 PF05804
ME000282S04751	GO:0005506 GO:0016705 GO:0020037 GO:0055114	K15639	PF00067
ME000282S04752	GO:0017150 GO:0050660 GO:0008033 GO:0055114		PF01207
ME000282S04756	GO:0005515		PF05347 PF00646
ME000282S04757	GO:0004672 GO:0006468 GO:0005524 GO:0005515		PF07714 PF00069 PF13855 PF00560
ME000282S04759	GO:0000902		PF03775
ME000282S04761	GO:0003887 GO:0008270 GO:0006260 GO:0005634	K02324	PF03104 PF08490
ME000282S04765	GO:0046983		PF00010
ME000282S04771	GO:0003676 GO:0004523		PF13456 PF00075
ME000282S04772	GO:0004181 GO:0006508		PF02074
ME000282S04773	GO:0005515		PF01205 PF05773
ME000282S04775	GO:0046873 GO:0030001 GO:0055085 GO:0016020	K14709	PF02535
ME000282S04776	GO:0031625 GO:0006511	K03869	PF00888 PF10557
ME000282S04777	GO:0008138 GO:0016311		PF00782
ME000282S04779	GO:0016616 GO:0055114	K00030	PF00180
ME000282S04780	GO:0004612 GO:0005524 GO:0006094	K01610	PF01293
ME000282S04781	GO:0003676 GO:0005524	K14807	PF00270 PF00271
ME000282S04782	GO:0003824	K01853	PF13243 PF00432 PF13249
ME1120473C07532	GO:0003677 GO:0003918 GO:0005524 GO:0006265		PF00521
ME1142375C07671	GO:0055114		PF08240
ME000239S03902	GO:0010277 GO:0055114 GO:0016491 GO:0051537		PF08417 PF00355
ME000239S03903	GO:0016491 GO:0055114		PF02668
ME000397S06672	GO:0005524 GO:0006298 GO:0030983	K10858	PF08676 PF01119 PF13589
ME000397S06675	GO:0016491 GO:0055114 GO:0008168	K00574	PF02353 PF01593 PF13450 PF13649 PF08241 PF08242 PF13489 PF00070 PF00890 PF01134
ME000397S06676	GO:0016021	K24195	PF03124 PF03105
ME000397S06677	GO:0003676		PF00076
ME000397S06678	GO:0006629		PF00487
ME000471S07726	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
ME000471S07732	GO:0016788 GO:0006397	K11322	PF10513 PF05011
ME000504S08098	GO:0003824 GO:0005975		PF00128
ME000504S08099	GO:0071949		PF01494
ME000504S08100	GO:0008168	K06127	PF01209 PF08241 PF13649 PF13847
ME000504S08101	GO:0016020	K03453	PF01758 PF13593
ME000504S08105	GO:0000287 GO:0004427 GO:0006796 GO:0005737		PF00719
ME000504S08106	GO:0004399 GO:0046872 GO:0051287 GO:0000105 GO:0055114	K00013	PF00815
ME000504S08109	GO:0022857 GO:0055085 GO:0005351 GO:0008643 GO:0016020		PF12832 PF07690 PF01306
ME000299S04986	GO:0016765 GO:0016021	K06125	PF01040
ME000299S04987	GO:0005515	K12169	PF00622
ME000299S04988	GO:0006364		PF02033
ME000299S04995	GO:0022857 GO:0055085 GO:0016021		PF07690 PF00083
ME000299S04997	GO:0003723 GO:0004809 GO:0008033	K00555	PF02005
ME000299S04998	GO:0000166 GO:0004812 GO:0005524 GO:0006418	K01866	PF00579
ME1137191C07571	GO:0016020		PF01061
ME000231S03788	GO:0003682		PF01426
ME000231S03791	GO:0000155 GO:0007165 GO:0000160		PF00512 PF00072
ME000231S03792	GO:0046872		PF00642
ME000231S03793	GO:0016491 GO:0055114 GO:0051537		PF01266 PF00355 PF13450 PF01946 PF00890
ME001000S10637	GO:0003777 GO:0005524 GO:0008017 GO:0007018	K11498	PF00225 PF11995 PF16796
ME001000S10640	GO:0005524 GO:0016887 GO:0009378 GO:0006281 GO:0006310	K03066	PF00004 PF17862 PF07724 PF16450 PF07728 PF05496
ME000389S06779	GO:0003997 GO:0006635 GO:0005777 GO:0016627 GO:0055114	K00232	PF01756 PF14749 PF02770
ME000389S06780	GO:0006457	K04078	PF00166
ME000389S06781	GO:0003690 GO:0006355		PF02536
ME000389S06782	GO:0008417 GO:0006486 GO:0016020	K00753	PF00852
ME000389S06784	GO:0022857 GO:0055085 GO:0016020 GO:0016021		PF00939 PF03600
ME000389S06787	GO:0004671 GO:0006481 GO:0016021		PF04191 PF04140
ME000389S06789	GO:0005524 GO:0016301 GO:0016310	K08244	PF01326
ME000389S06791	GO:0046872 GO:0005515 GO:0004842 GO:0005680	K10636	PF13639 PF00097 PF13445 PF02845 PF12861
ME000389S06792	GO:0005515		PF00564
ME000389S06793	GO:0055085 GO:0016021	K13947	PF03547
ME000389S06794	GO:0005515		PF00564
ME000389S06795	GO:0005524 GO:0016301		PF13238 PF00485
ME000389S06798	GO:0003924 GO:0005525		PF02263 PF02841
ME000389S06799	GO:0005515		PF00564
ME000389S06802	GO:0005515		PF00564
ME000424S07145	GO:0003735 GO:0006412 GO:0005840	K02891	PF01776
ME000027S04794	GO:0003755	K14826	PF00254 PF17800 PF03066
ME000027S04795	GO:0005783		PF06624
ME000027S04799	GO:0008531 GO:0009231	K00861	PF01687
ME000027S04801	GO:0003954 GO:0008137 GO:0005739	K18177	PF05676
ME000027S04803	GO:0005515		PF08447 PF13185 PF13426 PF13188
ME000027S04804	GO:0003676	K12891	PF00076
ME000444S07395	GO:0003824 GO:0050662	K07071	PF08338 PF01370 PF13460
ME000444S07396	GO:0005515	K09667	PF13844 PF00515 PF13414 PF13181 PF07719 PF13431 PF13432 PF13424 PF13176 PF13374 PF13174 PF10373
ME000120S00148	GO:0005506 GO:0051536 GO:0016226	K22068	PF01592
ME000120S00153	GO:0003735 GO:0006412 GO:0005840	K02912	PF01655
ME000120S00155	GO:0003824 GO:0051536	K03644	PF16881 PF04055
ME000120S00159	GO:0003723 GO:0006396 GO:0005515	K12825	PF01805 PF12230 PF00240
ME000120S00160	GO:0008168		PF00145
ME000120S00165	GO:0016020		PF02714 PF13967
ME000120S00166	GO:0003700 GO:0006355	K09286	PF00847
ME000072S09376	GO:0070403	K11412	PF02146
ME000072S09377	GO:0016020 GO:0016021		PF00892
ME000072S09378	GO:0005524 GO:0042626 GO:0055085 GO:0016021 GO:0016887	K05665	PF00664 PF00005
ME000072S09381	GO:0005506 GO:0016705 GO:0020037 GO:0055114	K20771	PF00067
ME000072S09382	GO:0004553 GO:0005975	K01188	PF00232
ME000072S09384	GO:0016627 GO:0006629		PF02544
ME000072S09385	GO:0016627 GO:0006629	K12345	PF02544
ME000072S09386	GO:0016757		PF04577
ME000072S09387	GO:0016757		PF04577
ME000072S09389	GO:0015098 GO:0015689 GO:0016021 GO:0022857 GO:0055085	K24175	PF05631 PF07690
ME000072S09390	GO:0016021		PF01925
ME000072S09391	GO:0008236 GO:0006508 GO:0005515	K03797	PF03572 PF17820 PF13180 PF00595
ME000072S09392	GO:0046872		PF00491
ME000072S09394	GO:0000160 GO:0000155 GO:0007165		PF02518 PF00072 PF00512
ME000072S09395	GO:0005524	K09499	PF00118
ME000072S09398	GO:0016757		PF04577
ME000072S09399	GO:0003777 GO:0005524 GO:0008017 GO:0007018	K10403	PF00225
ME000072S09403	GO:0003735 GO:0006412 GO:0005840	K02877	PF00827
ME000072S09404	GO:0005524 GO:0016887	K06174	PF00005 PF04068 PF00037
ME000072S09406	GO:0004683 GO:0005516 GO:0006468	K13800	PF00406 PF13207 PF08332
ME000072S09407	GO:0004176 GO:0004252 GO:0006508 GO:0005524 GO:0016887	K01338	PF05362 PF00004 PF02190 PF07728
ME000072S09409	GO:0034227 GO:0005737	K12161	PF09138
ME001926S02650	GO:0004637 GO:0009113 GO:0005524 GO:0046872		PF01071 PF02843 PF02844 PF02786 PF02655
ME001926S02651	GO:0000166 GO:0004813 GO:0005524 GO:0006419 GO:0016874 GO:0005515 GO:0016209 GO:0016491 GO:0055114 GO:0004812 GO:0043039 GO:0016884 GO:0045454	K01872	PF01411 PF02934 PF13180 PF00578 PF08534 PF13905 PF07973 PF02637 PF00085 PF17820 PF00595
ME001926S02652	GO:0030170 GO:0009058		PF00155
ME001926S02653	GO:0046429 GO:0016114 GO:0055114 GO:0016491		PF04551 PF00890 PF02910
ME001926S02654	GO:0005524 GO:0003677 GO:0016787 GO:0003676		PF00176 PF00271 PF08455 PF04851 PF00270
ME001926S02655	GO:0008705 GO:0009086 GO:0042558 GO:0031419 GO:0046872	K00548	PF02965 PF02574 PF00809 PF02607 PF02310
ME1040233C03905	GO:0016757 GO:0016021		PF05637
ME1136803C07656	GO:0005524 GO:0016887	K14572	PF07728 PF07726 PF00004
ME000537S08297	GO:0004379	K00671	PF02799 PF01233
ME000537S08298	GO:0016787	K01517	PF00149
ME000537S08299	GO:0000160 GO:0000155 GO:0007165		PF02518 PF00072 PF00512 PF13426
ME000537S08301	GO:0016772 GO:0005524	K05305	PF07959 PF08544 PF00288
ME000508S08051	GO:0004672 GO:0005524 GO:0006468	K17545	PF00069 PF07714
ME1130731C07603	GO:0003824 GO:0005975		PF00128
ME000723S09372	GO:0036459 GO:0016579	K11841	PF00443
ME000723S09374	GO:0004553 GO:0005975		PF00232
ME000048S07950	GO:0005524 GO:0030983 GO:0006298		PF05192 PF00929
ME000048S07951	GO:0016760 GO:0030244 GO:0016020 GO:0016757		PF03552 PF13632 PF13641 PF13637 PF00535 PF12796 PF13506
ME000727S09333	GO:0051287 GO:0055114 GO:0016616	K00058	PF02826 PF00389 PF01842 PF07991
ME1111077C05715	GO:0030246		PF00139 PF18483
ME000158S01639	GO:0004057 GO:0016598	K00685	PF04377 PF04376
ME000158S01643	GO:0005525 GO:0006614 GO:0003924 GO:0005047 GO:0006886 GO:0005785	K13431	PF00448 PF04086 PF02881
ME000158S01644	GO:0022857 GO:0055085	K08193	PF07690
ME000158S01648	GO:0005525 GO:0006614 GO:0008312 GO:0048500	K03106	PF00448 PF02978 PF02881
ME000158S01649	GO:0005515		PF00651 PF12248 PF00754 PF07707
ME000158S01650	GO:0008234 GO:0006508		PF01476 PF00112
ME000158S01651	GO:0008234 GO:0006508		PF00112
ME000158S01654	GO:0006464 GO:0015031		PF05743
ME000158S01657	GO:0005524	K01968	PF02786 PF00289 PF00364 PF02785
ME000158S01658	GO:0016758 GO:0006506 GO:0016021	K05284	PF05007
ME000158S01661	GO:0005515	K07393	PF13409 PF13410 PF00043
ME000158S01662	GO:0006511	K03872	PF03931
ME000158S01663	GO:0005515		PF12937
ME000158S01668	GO:0022857 GO:0055085 GO:0016021	K08176	PF00083 PF07690
ME000158S01669	GO:0005634	K03145	PF08711
ME000158S01670	GO:0046872	K15688	PF13920 PF16041 PF00097
ME000114S10942	GO:0008270 GO:0005515	K17987	PF16158 PF00569 PF00564
ME000114S10944	GO:0006886 GO:0016192 GO:0030117 GO:0030131		PF01602 PF12717 PF09066
ME000114S10945	GO:0005515		PF00536 PF07647
ME000114S10949	GO:0003676 GO:0005524	K13179	PF00270 PF13959 PF00271
ME000114S10951	GO:0005524 GO:0030983 GO:0006298	K07456	PF00488 PF08265
ME000469S07758	GO:0016787		PF02230
ME000469S07759	GO:0005634 GO:0005737	K06691	PF04683 PF16550
ME1125055C07641	GO:0005856		PF00784
ME000118S00106	GO:0008171	K00545	PF01596 PF13578
ME000118S00107	GO:0046872	K10683	PF13771 PF00533 PF13923 PF00097 PF13639 PF13445 PF13920 PF12738
ME000118S00108	GO:0005524		PF00004 PF17862
ME000118S00109	GO:0003755 GO:0000413	K10598	PF00160
ME000118S00110	GO:0004197 GO:0071586 GO:0016020	K07052	PF02517
ME000118S00111	GO:0008171	K00545	PF01596 PF13578
ME000118S00112	GO:0006364	K07447	PF03652
ME000118S00114	GO:0004252 GO:0006508		PF17766 PF00082 PF02225
ME000118S00125	GO:0005507 GO:0016491 GO:0055114		PF07731 PF00394
ME000118S00128	GO:0004252 GO:0006508		PF17766 PF00082 PF02225
ME000118S00130	GO:0003824		PF00481
ME000313S05249	GO:0005515	K16743	PF00612
ME000313S05251	GO:0005515	K16743	PF00307
ME000313S05256	GO:0009055 GO:0051536	K02639	PF00111
ME000313S05257	GO:0008061 GO:0005576		PF01607
ME000313S05259	GO:0003924 GO:0005525		PF02263 PF02841
