Gene ID	GO	ENZYME	PANTHER	PFAM
Phatr3_Jdraft18	GO:0016020 GO:0016021 GO:0055085 GO:1902358 GO:0008272 GO:0015116 GO:0008271		PTHR11814	PF00916 PF01740
Phatr3_Jdraft383	GO:0008152 GO:0016874 GO:0004842 GO:0016567 GO:0016740		PTHR11254 PTHR11254:SF67	PF00632
Phatr3_EG02342	GO:0006812 GO:0019829 GO:0030001 GO:0000166 GO:0046872 GO:0016021		PTHR43338	PF00122 PF00702
Phatr3_Jdraft391	GO:0006812 GO:0019829 GO:0030001 GO:0000166 GO:0046872 GO:0016021		PTHR43338	PF00122 PF00702
Phatr3_Jdraft1216	GO:0006355 GO:0003677 GO:0003700 GO:0006352 GO:0016987		PTHR30603 PTHR30603:SF0	
Phatr3_Jdraft152	GO:0004672 GO:0006468 GO:0005524		PTHR11042	PF00069
Phatr3_Jdraft392	GO:0016888 GO:0000737 GO:0016788		PTHR10060 PTHR10060:SF15	PF01026
Phatr3_Jdraft1610	GO:0046872 GO:0009055 GO:0051536 GO:0051537 GO:0022900		PTHR23426 PTHR23426:SF25	PF00111
Phatr3_Jdraft853	GO:0000166 GO:0005525 GO:0015031 GO:0007264 GO:0003924		PTHR45537	PF00071
Phatr3_Jdraft252	GO:0000062 GO:0005515		PTHR24176	PF00887 PF13637
Phatr3_Jdraft1611	GO:0005509 GO:0035556 GO:0007165 GO:0004435 GO:0006629 GO:0008081	3.1.4.11	PTHR10336	PF00387 PF00388
Phatr3_EG02340	GO:0005509 GO:0004672 GO:0006468 GO:0005524		PTHR24347	PF00027 PF00069 PF13499
Phatr3_Jdraft1233	GO:0055114 GO:0009055 GO:0045454 GO:0015035 GO:0022900 GO:0005623		PTHR23054	PF04784
Phatr3_Jdraft1616	GO:0016020 GO:0016021		PTHR12715	PF00892
Phatr3_Jdraft1613	GO:0016887 GO:0042626 GO:0005524 GO:0055085 GO:0016021		PTHR24221 PTHR24221:SF400	PF00005 PF00664
Phatr3_Jdraft866	GO:0004298 GO:0005839 GO:0051603 GO:0016787 GO:0005634 GO:0005737 GO:0008233 GO:0006508		PTHR11599 PTHR11599:SF5	PF00227
Phatr3_Jdraft278	GO:0005506 GO:0051536 GO:0016226		PTHR11178 PTHR11178:SF15	PF01106
Phatr3_Jdraft315	GO:0008152 GO:0016772		PTHR43173 PTHR43173:SF3	PF03109
Phatr3_Jdraft977	GO:0006412 GO:0003735 GO:0005840		PTHR19431	PF00573 PF14374
Phatr3_Jdraft800	GO:0008152 GO:0016787 GO:0004721 GO:0016311 GO:0006470	3.1.3.16	PTHR11668 PTHR11668:SF318	PF00149
Phatr3_Jdraft1548	GO:0003676	2.7.7.7	PTHR44381	PF07727
Phatr3_Jdraft289	GO:0016020 GO:0016021		PTHR13605	PF09430
Phatr3_Jdraft1121	GO:0003676			
Phatr3_Jdraft206	GO:0004298 GO:0005839 GO:0051603 GO:0019773		PTHR11599 PTHR11599:SF16	PF00227
Phatr3_Jdraft297	GO:0051537 GO:0043231		PTHR13680 PTHR13680:SF2	PF09360
Phatr3_Jdraft1111	GO:0003723 GO:0001522 GO:0009451 GO:0009982 GO:0016866		PTHR21600	PF00849
Phatr3_Jdraft263	GO:0030163		PTHR33473 PTHR33473:SF1	PF02617
Phatr3_Jdraft417	GO:0046417 GO:0009073 GO:0004106	5.4.99.5	PTHR21145 PTHR21145:SF0	
Phatr3_Jdraft1234	GO:0003676 GO:0008270			PF00098
Phatr3_Jdraft1617	GO:0000166 GO:0005524 GO:0004812 GO:0006418	6.1.1.16	PTHR10890 PTHR10890:SF21	
Phatr3_Jdraft1239	GO:0000166 GO:0005524 GO:0004672 GO:0006468 GO:0016772 GO:0004674 GO:0016020 GO:0016021		PTHR23257	PF00069 PF03382
Phatr3_Jdraft1241	GO:0003676 GO:0008270 GO:0046872			PF00098
Phatr3_Jdraft1240	GO:0003676 GO:0015074			PF13976
Phatr3_Jdraft1619	GO:0007165 GO:0055114 GO:0046872 GO:0016491 GO:0016787 GO:0008081 GO:0004114		PTHR11732 PTHR11732:SF312	PF00233 PF00248
Phatr3_Jdraft420	GO:0005515		PTHR44051 PTHR44051:SF1	PF00043
Phatr3_Jdraft1621	GO:0016020 GO:0055085 GO:0030001 GO:0046873 GO:0016021		PTHR12191 PTHR12191:SF30	PF02535
Phatr3_EG02418	GO:0003676		PTHR44381 PTHR44381:SF3	
Phatr3_Jdraft1622	GO:0008536 GO:0005515			PF03378
Phatr3_Jdraft436	GO:0016888 GO:0000737 GO:0016788		PTHR10060 PTHR10060:SF15	PF01026
Phatr3_Jdraft1259	GO:0046872 GO:0009055 GO:0051536 GO:0051537 GO:0022900		PTHR23426 PTHR23426:SF25	PF00111
Phatr3_Jdraft165	GO:0004672 GO:0006468 GO:0005524		PTHR11042	PF00069
Phatr3_Jdraft1251	GO:0006355 GO:0003677 GO:0003700 GO:0006352 GO:0016987		PTHR30603 PTHR30603:SF0	
Phatr3_Jdraft1252	GO:0008152 GO:0016787 GO:0016020 GO:0016021		PTHR11852 PTHR11852:SF0	
Phatr3_Jdraft430	GO:0016888 GO:0000737 GO:0016788		PTHR10060 PTHR10060:SF15	PF01026
Phatr3_EG02341	GO:0005509 GO:0004672 GO:0006468 GO:0005524		PTHR24347	PF00027 PF00069 PF13499
Phatr3_Jdraft313	GO:0000062 GO:0005515		PTHR24176	PF00887 PF13637
Phatr3_Jdraft1000	GO:0005509 GO:0035556 GO:0007165 GO:0004435 GO:0006629 GO:0008081	3.1.4.11	PTHR10336	PF00387 PF00388
Phatr3_Jdraft998	GO:0000166 GO:0005525 GO:0015031 GO:0007264 GO:0003924		PTHR45537	PF00071
Phatr3_Jdraft1265	GO:0007165 GO:0009190 GO:0016849 GO:0035556 GO:0004114 GO:0016020 GO:0016021 GO:0005622		PTHR11920	PF00211 PF00233
Phatr3_Jdraft1277	GO:0016021 GO:0055085 GO:0022857 GO:0016020		PTHR24064 PTHR24064:SF235	PF00083
Phatr3_Jdraft1628	GO:0008152 GO:0016787 GO:0016020 GO:0016021		PTHR11782	PF01150
Phatr3_Jdraft453	GO:0016787		PTHR23024 PTHR23024:SF338	PF07859
Phatr3_Jdraft218	GO:0016020 GO:0016021		PTHR10485	PF02466
Phatr3_Jdraft1626	GO:0005515		PTHR22904 PTHR22904:SF394	PF13414
Phatr3_Jdraft877	GO:0016829 GO:0030170 GO:0006520		PTHR43419 PTHR43419:SF9	PF00291
Phatr3_Jdraft1623	GO:0007165 GO:0009190 GO:0016849 GO:0035556 GO:0004114 GO:0016020 GO:0016021 GO:0005622		PTHR11920	PF00211 PF00233
Phatr3_Jdraft870	GO:0003824 GO:0030170 GO:0009058		PTHR43795 PTHR43795:SF2	PF00155
Phatr3_Jdraft1624	GO:0009190 GO:0016849 GO:0004114 GO:0035556 GO:0007165		PTHR11920	PF00211 PF00233
Phatr3_Jdraft462	GO:0005215 GO:0022857 GO:0055085 GO:0016021		PTHR24064 PTHR24064:SF235	PF00083
Phatr3_Jdraft1631	GO:0009190 GO:0016849 GO:0004114 GO:0035556 GO:0007165		PTHR11920	PF00211 PF00233
Phatr3_Jdraft1281	GO:0009507 GO:0046422 GO:0055114	1.23.5.1	PTHR33970 PTHR33970:SF1	PF07137
Phatr3_Jdraft1284	GO:0007165 GO:0009190 GO:0016849 GO:0035556 GO:0004114 GO:0005622		PTHR11920	PF00211 PF00233
Phatr3_Jdraft1633	GO:0005515		PTHR15398 PTHR15398:SF4	PF00439
Phatr3_Jdraft1637	GO:0003723 GO:0005634 GO:0005730		PTHR17972	PF03813 PF17404 PF17405 PF17406 PF17407
Phatr3_EG02339	GO:0007165 GO:0009190 GO:0016849 GO:0035556 GO:0004114 GO:0005622		PTHR11920	PF00211 PF00233
Phatr3_Jdraft1638	GO:0006281 GO:0000974 GO:0000398 GO:0061630 GO:0005515 GO:0016567		PTHR43995	PF00400 PF08606
Phatr3_Jdraft1640	GO:0009190 GO:0016849 GO:0035556 GO:0016020 GO:0016021 GO:0005622		PTHR11920	PF00211
Phatr3_EG02360	GO:0016020 GO:0016021 GO:0005452 GO:0006820 GO:0015698		PTHR11453	PF00955
Phatr3_EG01351	GO:0000943		PTHR11439 PTHR11439:SF234	
Phatr3_Jdraft1682	GO:0008152 GO:0009058 GO:0016833 GO:0006541	4.1.3.27	PTHR11236 PTHR11236:SF18	PF00117 PF00425 PF04715
Phatr3_Jdraft1656	GO:0007165 GO:0008152 GO:0004114		PTHR11347 PTHR11347:SF134	PF00233
Phatr3_Jdraft1317	GO:0016021 GO:0016020		PTHR31766 PTHR31766:SF2	PF03798
Phatr3_Jdraft1354	GO:0003676	2.7.7.7	PTHR44381 PTHR44381:SF3	PF07727
Phatr3_EG02363	GO:0055114 GO:0005737 GO:0016491 GO:0051287 GO:0005975 GO:0050662 GO:0004367 GO:0006072 GO:0009331 GO:0016616 GO:0046168 GO:0016020 GO:0016021	1.1.1.94	PTHR11728 PTHR11728:SF1	PF01210 PF07479
Phatr3_Jdraft1311	GO:0006355 GO:0003677 GO:0003700 GO:0043565 GO:0005634		PTHR10015 PTHR10015:SF220	PF00447
Phatr3_Jdraft1668	GO:0055114 GO:0016491		PTHR10696 PTHR10696:SF21	PF02668
Phatr3_Jdraft497	GO:0016887 GO:0042626 GO:0005524 GO:0055085 GO:0016021		PTHR24221	PF00005 PF00664
Phatr3_Jdraft1667	GO:0001522 GO:0042254 GO:0000493 GO:0005732 GO:0003723		PTHR31633	PF04410
Phatr3_EG01345	GO:0003676	2.7.7.7	PTHR44381 PTHR44381:SF3	PF07727
Phatr3_Jdraft1806	GO:0016020 GO:0016021 GO:0005452 GO:0006820		PTHR11453	PF00955
Phatr3_Jdraft1645	GO:0020037 GO:0055114 GO:0004601 GO:0006979 GO:0016020 GO:0016021 GO:0098869		PTHR31356 PTHR31356:SF3	PF00141
Phatr3_Jdraft116	GO:0005524 GO:0004672 GO:0006468 GO:0016772		PTHR43173 PTHR43173:SF9	PF01636 PF03109
Phatr3_Jdraft1315	GO:0055114 GO:0016491		PTHR42913 PTHR42913:SF5	PF07992
Phatr3_Jdraft1649	GO:0016020 GO:0016021			
Phatr3_Jdraft1655	GO:0016020 GO:0016021		PTHR22950 PTHR22950:SF308	PF01490
Phatr3_Jdraft1680	GO:0016020 GO:0016021 GO:0055085 GO:0006811 GO:0008273 GO:0035725		PTHR10846 PTHR10846:SF44	PF01699
Phatr3_Jdraft1642	GO:0016020 GO:0016021		PTHR12461 PTHR12461:SF21	PF13621
Phatr3_EG02358	GO:0000166 GO:0005524 GO:0016887		PTHR43119	PF00005 PF03649
Phatr3_Jdraft1650	GO:0006355 GO:0003677 GO:0003700 GO:0043565 GO:0005634		PTHR10015 PTHR10015:SF220	PF00447
Phatr3_Jdraft1647	GO:0005515		PTHR12197 PTHR12197:SF213	PF00856
Phatr3_Jdraft1648	GO:0016853 GO:0006457 GO:0015031 GO:0000413 GO:0003755		PTHR30560 PTHR30560:SF3	PF00254 PF05697 PF05698
Phatr3_Jdraft474	GO:0008152 GO:0016772 GO:0016020 GO:0016021		PTHR10566 PTHR10566:SF113	PF03109
Phatr3_EG02359	GO:0009916 GO:0055114 GO:0005524 GO:0008299 GO:0016831 GO:0005829 GO:0004163 GO:0019287 GO:0005509 GO:0016020 GO:0016021 GO:0046872 GO:0000166 GO:0016829 GO:0006629 GO:0006694 GO:0008202 GO:0016126 GO:0006695 GO:0008203	4.1.1.33	PTHR10977	PF00288 PF01786 PF18376
Phatr3_Jdraft1302	GO:0003676		PTHR44381 PTHR44381:SF3	
Phatr3_EG02362	GO:0016740 GO:0000166 GO:0003676 GO:0003677 GO:0016779 GO:0006260 GO:0006270 GO:0006139 GO:0071897 GO:0003887 GO:0001882 GO:0046872 GO:0005634 GO:0051536 GO:0051539	2.7.7.7	PTHR10322 PTHR10322:SF21	PF00136 PF03104 PF08996 PF12254
Phatr3_EG02361	GO:0003824 GO:0030170 GO:0009058		PTHR11751 PTHR11751:SF29	PF00155
Phatr3_EG01343	GO:0003690 GO:0006355		PTHR13068	PF02536
Phatr3_Jdraft1304	GO:0000287 GO:0006281 GO:0006310			PF05866
Phatr3_Jdraft1654	GO:0005245 GO:0070588 GO:0016020 GO:0016021 GO:0006810 GO:0006811 GO:0055085 GO:0005216 GO:0034220		PTHR10037 PTHR10037:SF224	PF00520
Phatr3_Jdraft477	GO:0005622 GO:0006412 GO:0003735 GO:0005840		PTHR11594	PF01667
Phatr3_Jdraft1350	GO:0016020 GO:0016021		PTHR37935	
Phatr3_EG01354	GO:0003676	2.7.7.7	PTHR44381	PF07727
Phatr3_Jdraft1646	GO:0016020 GO:0016021			
Phatr3_Jdraft706	GO:0070682 GO:0005515		PTHR12651	PF18265
Phatr3_Jdraft1660	GO:0006355 GO:0003723 GO:0008168 GO:0016740 GO:0032259		PTHR22807 PTHR22807:SF53	PF01029 PF01189
Phatr3_EG01346	GO:0003676			
Phatr3_Jdraft465	GO:0005968 GO:0018344 GO:0018342 GO:0008318		PTHR11129 PTHR11129:SF2	PF01239
Phatr3_Jdraft1331	GO:0000287 GO:0000166 GO:0003924 GO:0005525		PTHR11702 PTHR11702:SF20	PF01018 PF01926 PF09269
Phatr3_EG01350	GO:0005681 GO:0000398		PTHR12718	PF04889
Phatr3_Jdraft1724	GO:0006355 GO:0003700 GO:0043565		PTHR22952	PF07716
Phatr3_Jdraft1730	GO:0005515		PTHR15696	PF10373 PF10374
Phatr3_Jdraft521	GO:0006546 GO:0004047 GO:0016740 GO:0005737 GO:0032259 GO:0008483 GO:0005515 GO:0005739	2.1.2.10	PTHR43757 PTHR43757:SF2	PF01571 PF08669
Phatr3_EG02374	GO:0004571 GO:0016020 GO:0005509 GO:0008152 GO:0016787 GO:0016798 GO:0003824 GO:0016021		PTHR11742 PTHR11742:SF55	PF01532
Phatr3_EG01433	GO:0003676		PTHR23149	PF12656
Phatr3_Jdraft1467	GO:0055114 GO:0016491		PTHR10742	PF01593
Phatr3_Jdraft1392	GO:0006508 GO:0004222		PTHR21711 PTHR21711:SF0	PF09768
Phatr3_Jdraft1748	GO:0016020 GO:0016021		PTHR11003 PTHR11003:SF243	PF07885
Phatr3_Jdraft1436	GO:0055114 GO:0016491 GO:0016706		PTHR13069 PTHR13069:SF11	PF13532
Phatr3_Jdraft542	GO:0016740 GO:0006535 GO:0004124 GO:0019344 GO:0008652	2.5.1.47	PTHR10314 PTHR10314:SF160	PF00291
Phatr3_EG01448	GO:0019988 GO:0043399		PTHR31811	PF04179 PF17184
Phatr3_Jdraft552	GO:0006420 GO:0004814 GO:0000166 GO:0005524 GO:0005737 GO:0006412 GO:0016874 GO:0004812 GO:0006418	6.1.1.19	PTHR11956 PTHR11956:SF5	PF00750 PF03485 PF05746
Phatr3_Jdraft1024	GO:0003824 GO:0006596		PTHR11482 PTHR11482:SF6	PF00278
Phatr3_Jdraft1443	GO:0005515			
Phatr3_Jdraft1431	GO:0005524 GO:0016301 GO:0016310 GO:0008152 GO:0016772	2.7.1.168	PTHR32463	PF07959 PF08544
Phatr3_Jdraft1731	GO:0035091 GO:0016020 GO:0016021		PTHR22775 PTHR22775:SF30	PF00787 PF02194 PF08628
Phatr3_Jdraft292	GO:0016573 GO:0004402 GO:0006355 GO:0005515		PTHR13808 PTHR13808:SF1	PF00439 PF08214
Phatr3_Jdraft559	GO:0016772 GO:0016020	2.7.7.41	PTHR13773 PTHR13773:SF8	PF01148
Phatr3_Jdraft1463	GO:0016740 GO:0000166 GO:0005524 GO:0016301 GO:0016310 GO:0008152		PTHR10285 PTHR10285:SF81	PF00485
Phatr3_EG01428	GO:0006351 GO:0003899 GO:0003677 GO:0005634 GO:0008270	2.7.7.6	PTHR19376 PTHR19376:SF11	PF00623
Phatr3_Jdraft1387	GO:0016021 GO:0008152 GO:0008146 GO:0016020		PTHR12129	PF03567
Phatr3_Jdraft1453	GO:0003676 GO:0015074 GO:0008270 GO:0046872			PF00098 PF13976
Phatr3_Jdraft913	GO:0016740 GO:0000166 GO:0005524 GO:0046872 GO:0006730 GO:0004478 GO:0006556	2.5.1.6	PTHR11964	PF00438 PF02772 PF02773
Phatr3_Jdraft79	GO:1904668 GO:0097027 GO:0010997 GO:0005515		PTHR19918	PF00400 PF08662 PF12894
Phatr3_Jdraft1740	GO:0007165 GO:0016020 GO:0016021 GO:0007186 GO:0004930 GO:0004965		PTHR10519	PF00003 PF13407
Phatr3_Jdraft1444	GO:0005515			
Phatr3_Jdraft1746	GO:0016020 GO:0016021		PTHR13533 PTHR13533:SF1	PF07779
Phatr3_Jdraft1747	GO:0005524 GO:0046872 GO:0000166		PTHR37018 PTHR37018:SF1	PF02655
Phatr3_EG02375	GO:0055114 GO:0008152 GO:0051287 GO:0016616 GO:0016491		PTHR43026 PTHR43026:SF1	PF00389 PF02826
Phatr3_Jdraft509	GO:0000178 GO:0003723 GO:0003676		PTHR21321 PTHR21321:SF4	PF14382 PF15985
Phatr3_Jdraft1758	GO:0008270			PF04434 PF10551
Phatr3_Jdraft1692	GO:0016020 GO:0016021 GO:0006810 GO:0005215 GO:0015267 GO:0055085		PTHR43829	PF00230
Phatr3_Jdraft561	GO:0046872 GO:0006508 GO:0008233 GO:0016787 GO:0070084 GO:0070006 GO:0008235 GO:0004177		PTHR43330 PTHR43330:SF7	PF00557
Phatr3_Jdraft1367	GO:0016776 GO:0019205 GO:0016740 GO:0000166 GO:0005524 GO:0005737 GO:0016301 GO:0016310 GO:0006221 GO:0005634 GO:0006139 GO:0046939 GO:0004127 GO:0009041 GO:0006207 GO:0016020 GO:0016021 GO:0046940	2.7.4.14 2.7.4.3	PTHR23359 PTHR23359:SF107	PF00406
Phatr3_Jdraft1756	GO:0007165 GO:0016020 GO:0016021 GO:0007186 GO:0004930 GO:0004965		PTHR10519	PF00003 PF13407
Phatr3_Jdraft1812	GO:0000166 GO:0005622 GO:0003924 GO:0005525 GO:0008033 GO:0006400 GO:0005515		PTHR42714 PTHR42714:SF2	PF01926 PF10396 PF12631
Phatr3_Jdraft1735	GO:0016020 GO:0006810 GO:0006886 GO:0015031 GO:0008565 GO:0016192 GO:0030117 GO:0030131 GO:0005737		PTHR11134 PTHR11134:SF3	PF01602 PF09066
Phatr3_Jdraft144	GO:0008152 GO:0016787		PTHR32440 PTHR32440:SF11	PF00149
Phatr3_Jdraft1691	GO:0016020 GO:0055085		PTHR30566 PTHR30566:SF5	PF00924
Phatr3_Jdraft1694	GO:0008152 GO:0008146 GO:0016020 GO:0016021			PF00685
Phatr3_Jdraft1750	GO:0016021 GO:1902600 GO:0006810 GO:0006811 GO:0055085 GO:0006814 GO:0006812 GO:0006885 GO:0015297 GO:0015299 GO:0015385 GO:0035725 GO:0016020		PTHR10110 PTHR10110:SF88	PF00999
Phatr3_Jdraft276	GO:0006950		PTHR32097 PTHR32097:SF9	PF00168 PF02342
Phatr3_Jdraft52	GO:0005452 GO:0006820 GO:0016020 GO:0016021		PTHR11453 PTHR11453:SF82	PF00955
Phatr3_Jdraft955	GO:0006351 GO:0003899 GO:0003677 GO:0005634 GO:0008270	2.7.7.6	PTHR19376 PTHR19376:SF11	PF00623 PF04983 PF04997 PF04998 PF05000
Phatr3_EG02373	GO:0000166 GO:0005524 GO:0003774 GO:0008152 GO:0016459 GO:0005515 GO:0003779		PTHR13140 PTHR13140:SF668	PF00063 PF00612
Phatr3_Jdraft174	GO:0008270 GO:0008152 GO:0070290		PTHR15032 PTHR15032:SF4	PF12706
Phatr3_Jdraft741	GO:0046872		PTHR15629	PF01363 PF04366
Phatr3_EG01447	GO:0005515			
Phatr3_Jdraft1689	GO:0016114 GO:0003824 GO:0008152 GO:0008661	2.2.1.7	PTHR43322 PTHR43322:SF5	PF02779 PF02780 PF13292
Phatr3_Jdraft1749	GO:0016020 GO:0016021		PTHR11003 PTHR11003:SF243	PF07885
Phatr3_EG01430	GO:0003676			
Phatr3_Jdraft1418	GO:0008152 GO:0016787		PTHR11668	PF00149
Phatr3_Jdraft1384	GO:0016020 GO:0005739 GO:0005743		PTHR23427 PTHR23427:SF2	PF02104
Phatr3_Jdraft1023	GO:0020037 GO:0055114 GO:0004601 GO:0006979 GO:0098869		PTHR31356 PTHR31356:SF7	PF00141
Phatr3_EG02422	GO:0000166 GO:0005524 GO:0003774 GO:0008152 GO:0016459 GO:0005515		PTHR13140 PTHR13140:SF668	PF00063
Phatr3_Jdraft1820	GO:0055114 GO:0008270 GO:0016491		PTHR43482	PF08240
Phatr3_Jdraft1725	GO:0000774 GO:0006457 GO:0042803 GO:0051087 GO:0050790		PTHR21237	PF01025
Phatr3_Jdraft1366	GO:0016020 GO:0016021			
Phatr3_Jdraft1400	GO:0006813 GO:0005242 GO:0016021		PTHR11767 PTHR11767:SF58	
Phatr3_EG02110	GO:0000166 GO:0005524 GO:0003774 GO:0008152 GO:0016459 GO:0005515		PTHR13140 PTHR13140:SF668	PF00063
Phatr3_Jdraft1396	GO:0006750 GO:0003839	4.3.2.9	PTHR12935	PF06094
Phatr3_Jdraft1684	GO:0008270 GO:0046872 GO:0016567 GO:0000122		PTHR13844 PTHR13844:SF15	PF13920
Phatr3_Jdraft1446	GO:0005515			
Phatr3_Jdraft780	GO:0000166 GO:0005524 GO:0005737 GO:0004812 GO:0006418 GO:0004817 GO:0006423	6.1.1.16	PTHR10890	PF01406 PF09190
Phatr3_Jdraft1757	GO:0008299 GO:0003824 GO:0008152 GO:0004421	2.3.3.10	PTHR43323	PF01154 PF08540
Phatr3_Jdraft920	GO:0000166 GO:0005524 GO:0003676 GO:0008152 GO:0016787 GO:0004386 GO:0008026		PTHR24031 PTHR24031:SF554	PF00270 PF00271
Phatr3_Jdraft1025	GO:0008152 GO:0009976		PTHR35309	PF14249
Phatr3_Jdraft1395	GO:0005515		PTHR44420	PF00043 PF13417
Phatr3_Jdraft590	GO:0005968 GO:0018344 GO:0018342 GO:0008318		PTHR11129 PTHR11129:SF2	PF01239
Phatr3_EG02343	GO:0009058	4.1.3.27	PTHR11236 PTHR11236:SF18	PF00117 PF00425 PF04715
Phatr3_Jdraft1481	GO:0016020 GO:0016021			
Phatr3_Jdraft1762	GO:0003676 GO:0015074	2.7.7.7	PTHR44381 PTHR44381:SF3	PF07727
Phatr3_Jdraft1493	GO:0000166 GO:0003676 GO:0046872 GO:0003723		PTHR44110	PF00076
Phatr3_Jdraft598	GO:0055114 GO:0016491		PTHR11732 PTHR11732:SF141	PF00248
Phatr3_Jdraft1763	GO:0006511 GO:0036459 GO:0016579		PTHR44509	PF00443
Phatr3_Jdraft1499	GO:0016020 GO:0016021			
Phatr3_Jdraft1764	GO:0005515			PF00856
Phatr3_Jdraft231	GO:0005525		PTHR11711 PTHR11711:SF19	PF00025
Phatr3_EG01271	GO:0015074 GO:0003676	2.7.7.7	PTHR44381 PTHR44381:SF3	PF07727
Phatr3_Jdraft1767	GO:0000045 GO:0006914 GO:1990316		PTHR13430	PF10033
Phatr3_Jdraft1769	GO:0008270 GO:0006355		PTHR31669	PF04434 PF10551
Phatr3_Jdraft1512	GO:0016020 GO:0016021			
Phatr3_Jdraft1549	GO:0005509 GO:0019242 GO:0008929	4.2.3.3	PTHR30492	PF13499
Phatr3_Jdraft1517	GO:0003824		PTHR42825 PTHR42825:SF2	
Phatr3_Jdraft972	GO:0016020 GO:0016021 GO:0008519 GO:0015696 GO:0072488		PTHR11730 PTHR11730:SF6	PF00909
Phatr3_Jdraft308	GO:0016021		PTHR11266 PTHR11266:SF16	PF04117
Phatr3_Jdraft1524	GO:0006281 GO:0006310		PTHR12132	PF04098
Phatr3_Jdraft609	GO:0016021		PTHR30561 PTHR30561:SF1	PF00893
Phatr3_Jdraft1777	GO:0016740 GO:0008152 GO:0016757 GO:0016758	2.4.1.16	PTHR22914	PF00535
Phatr3_Jdraft1870	GO:0016020 GO:0016021			
Phatr3_Jdraft976	GO:0009317 GO:0006633 GO:0003989		PTHR43842	PF01039
Phatr3_EG02423	GO:0006310 GO:0003677 GO:0015074			
Phatr3_Jdraft1784	GO:0008152 GO:0016787			
Phatr3_Jdraft1539	GO:0016020 GO:0016021			
Phatr3_Jdraft611	GO:0004298 GO:0005839 GO:0051603		PTHR11599 PTHR11599:SF59	PF00227
Phatr3_Jdraft251	GO:0005524		PTHR23074	PF00004
Phatr3_Jdraft1128	GO:0016020 GO:0016021			
Phatr3_Jdraft1556	GO:0016020 GO:0016021			
Phatr3_Jdraft1147	GO:0016020 GO:0016021		PTHR37314	PF06912
Phatr3_Jdraft348	GO:0055114 GO:0016491 GO:0050662 GO:0016616 GO:0009082 GO:0008652 GO:0004455 GO:0046872 GO:0009097 GO:0009099	1.1.1.86	PTHR21371 PTHR21371:SF11	PF01450 PF07991
Phatr3_Jdraft295	GO:0016192 GO:0016020 GO:0016021		PTHR21493 PTHR21493:SF79	PF04178
Phatr3_Jdraft1563	GO:0003723 GO:0001522 GO:0009451 GO:0009982		PTHR11142 PTHR11142:SF9	
Phatr3_Jdraft1143	GO:0016836 GO:0006633 GO:0005737	4.2.1.59	PTHR30272 PTHR30272:SF1	PF07977
Phatr3_Jdraft1828	GO:0016746		PTHR23151 PTHR23151:SF75	PF00198 PF00364 PF02817
Phatr3_Jdraft636	GO:0005737 GO:0003824 GO:0051536 GO:0001510 GO:0006364 GO:0008173 GO:0016020 GO:0016021		PTHR30544 PTHR30544:SF2	PF04055 PF13394
