Gene ID	GO	KO
GFH05717	GO:0005975 GO:0016773 GO:0005524	K00844
GFH05722	GO:0016491	
GFH05723	GO:0005515	K19760
GFH05741	GO:0055085 GO:0022857	
GFH05742	GO:0008652 GO:0046983 GO:0016620 GO:0055114 GO:0051287	K00133
GFH05744	GO:0005515	
GFH05746	GO:0019898 GO:0009654 GO:0009523 GO:0015979 GO:0005509	
GFH05750	GO:0005515	
GFH05756	GO:0006468 GO:0005524 GO:0004672	
GFH05768	GO:0005730 GO:0006364	K14549
GFH05775	GO:0006480 GO:0008168	K16219
GFH05776	GO:0005975 GO:0004553 GO:0016020 GO:0030244 GO:0016760	
GFH05786	GO:0005515	
GFH05789	GO:0016311 GO:0008138	
GFH05794	GO:0016787	K01487
GFH05795	GO:0016787	K01487
GFH05800	GO:0005840 GO:0006412 GO:0003735 GO:0003723	
GFH05801	GO:0005524 GO:0003676 GO:0016787 GO:0003677	K12823
GFH05806	GO:0006078	K21850
GFH05814	GO:0016021 GO:0055085 GO:0042626 GO:0005524	
GFH05815	GO:0005744 GO:0030150	K17796
GFH05828	GO:0016021	
GFH05829	GO:0005509	
GFH05830	GO:0005509	
GFH05834	GO:0042025	
GFH05838	GO:0005840 GO:0006412 GO:0003735	K02966
GFH05839	GO:0005840 GO:0006412 GO:0003735	
GFH05841	GO:0003676	K13208
GFH05842	GO:0071569	K12162
GFH05862	GO:0008168	K00574
GFH05864	GO:0035091	K17917
GFH05871	GO:0006807	K11206
GFH05872	GO:0007010 GO:0008017	
GFH05873	GO:0005525 GO:0003924	
GFH05877	GO:0003676	K12837
GFH05880	GO:0009058 GO:0030170	
GFH05881	GO:0005634 GO:0034968 GO:0018024 GO:0008270	K11420
GFH05882	GO:0005515	
GFH05890	GO:0006418 GO:0005524 GO:0004812 GO:0000166	
GFH05891	GO:0016021	
GFH05895	GO:0005975 GO:0004553	
GFH05898	GO:0009507	
GFH05899	GO:0009507	
GFH05900	GO:0009507	
GFH05904	GO:0005975 GO:0004553	
GFH05913	GO:0016459 GO:0005524 GO:0003774	
GFH05914	GO:0016459 GO:0005524 GO:0003774	
GFH05916	GO:0006468 GO:0005524 GO:0004672	
GFH05918	GO:0005789 GO:0006506	
GFH05921	GO:0006468 GO:0005524 GO:0004672	
GFH05925	GO:0055114 GO:0016616 GO:0016491	K00026
GFH05926	GO:0006508 GO:0005524 GO:0004222	K03798
GFH05929	GO:0016887 GO:0005524	
GFH05932	GO:0030286 GO:0007018 GO:0003777	
GFH05936	GO:0055114 GO:0006260 GO:0005524 GO:0004748	K10807
GFH05937	GO:0016021 GO:0055085 GO:0006812 GO:0015299	
GFH05939	GO:0006468 GO:0005524 GO:0004672	
GFH05943	GO:0035556 GO:0009190	
GFH05954	GO:0005777	K13337
GFH05961	GO:0005515	
GFH05962	GO:0005515	
GFH05963	GO:0005515	
GFH05964	GO:0005515	
GFH05966	GO:0005737 GO:0120009 GO:0120013	
GFH05969	GO:0006468 GO:0005524 GO:0004672	K20538
GFH05970	GO:0005515	K10523
GFH05982	GO:0046488 GO:0016307	K00889
GFH05987	GO:0055114 GO:0050660 GO:0016491	
GFH05988	GO:0006629	
GFH05989	GO:0005515	K07393
GFH05991	GO:0016491 GO:0055114 GO:0016209	K11187
GFH05992	GO:0005515	
GFH05996	GO:0009512 GO:0017004 GO:0045158	K03689
GFH05999	GO:0005200	
GFH06002	GO:0006260 GO:0003887 GO:0003677	K02335
GFH06004	GO:0009058 GO:0030170	K00817
GFH06014	GO:0005525	
GFH06015	GO:0005525 GO:0003924	
GFH06016	GO:0016021 GO:0006862 GO:0005471	K03301
GFH06018	GO:0006355 GO:0003690	
GFH06022	GO:0004045	K01056
GFH06026	GO:0006468 GO:0004672 GO:0005524	
GFH06027	GO:0016459 GO:0005524 GO:0003774	K10357
GFH06028	GO:0005515	
GFH06034	GO:0005975 GO:0004553	K01179
GFH06036	GO:0005975 GO:0004553	
GFH06037	GO:0009507	
GFH06038	GO:0009507	
GFH06039	GO:0005975 GO:0004553	
GFH06041	GO:0005524	
GFH06045	GO:0006508 GO:0004252	
GFH06053	GO:0005515	K16743
GFH06054	GO:0032259 GO:0008168	
GFH06057	GO:0005525 GO:0003924	K03833
GFH06059	GO:0006298 GO:0030983 GO:0005524	
GFH06063	GO:0006468 GO:0005524 GO:0004672	
GFH06068	GO:0006468 GO:0004672	
GFH06069	GO:0006468 GO:0005524 GO:0004672	
GFH06079	GO:0035556 GO:0009190	
GFH06080	GO:0000049	
GFH06087	GO:0005515	
GFH06088	GO:0005515	
GFH06094	GO:0032040 GO:0006364	
GFH06095	GO:0005524 GO:0006310 GO:0006281 GO:0009378	
GFH06097	GO:0005524 GO:0006310 GO:0006281 GO:0009378	
GFH06100	GO:0006468 GO:0005524 GO:0004672	K14498
GFH06104	GO:0008168	K00558
GFH06110	GO:0005525 GO:0003924	K02519
GFH06113	GO:0005524	
GFH06118	GO:0008171	
GFH06122	GO:0016021 GO:0006862 GO:0005471	K03301
GFH06127	GO:0055114 GO:0051287 GO:0016616	K15893
GFH06137	GO:0009451 GO:0001522 GO:0009982 GO:0003723	K06176
GFH06139	GO:0009451 GO:0001522 GO:0009982 GO:0003723	K06176
GFH06140	GO:0016887 GO:0005524	K03235
GFH06142	GO:0000123 GO:0016573	K11344
GFH06146	GO:0008080 GO:0016747	
GFH06161	GO:0006139 GO:0016818 GO:0005524 GO:0004386 GO:0003676	K15362
GFH06166	GO:0055114 GO:0016627 GO:0050660	K00232
GFH06170	GO:0050662 GO:0003824	K11153
GFH06183	GO:0016021 GO:0055085 GO:0042626 GO:0005524 GO:0016887	K05658
GFH06184	GO:0016021 GO:0055085 GO:0042626 GO:0005524	
GFH06193	GO:0006364 GO:0008168 GO:0003723	K14563
GFH06199	GO:0030259 GO:0005975 GO:0016758	
GFH06204	GO:0003824	K17500
GFH06217	GO:0055114 GO:0050660 GO:0016491	
GFH06223	GO:0055114 GO:0016730	K17892
GFH06227	GO:0005524 GO:0003676	K13179
GFH06234	GO:0003855	K13832
GFH06242	GO:0006508 GO:0004252	
GFH06245	GO:0005515	
GFH06250	GO:0005840 GO:0006412 GO:0003735	K02950
GFH06251	GO:0016020	
GFH06252	GO:0016020	
GFH06254	GO:0005840 GO:0006412 GO:0003735	
GFH06256	GO:0005525 GO:0003924	K07951
GFH06271	GO:0006397	
GFH06275	GO:0005515	K10599
GFH06280	GO:0006468 GO:0005524 GO:0004672	K08838
GFH06284	GO:0008168	
GFH06286	GO:0000398 GO:0005515	K12855
GFH06289	GO:0005509	K13412
GFH06291	GO:0006468 GO:0005524 GO:0004672	K13412
GFH06295	GO:0006813	
GFH06296	GO:0008146	
GFH06297	GO:0006413 GO:0003743 GO:0003723	
GFH06298	GO:0016567 GO:0004842	
GFH06301	GO:0003723	K14944
GFH06302	GO:0003723	
GFH06303	GO:0070567	K00991
GFH06305	GO:0003676	
GFH06311	GO:0003824	K01090
GFH06314	GO:0016787	K22390
GFH06318	GO:0006310 GO:0006281 GO:0003910 GO:0003677	
GFH06328	GO:0006508 GO:0008236 GO:0016787	
GFH06334	GO:0016887 GO:0005524	
GFH06339	GO:0006414 GO:0003746	
GFH06343	GO:0016020 GO:0055085 GO:0042910 GO:0015297	
GFH06351	GO:0005515	
GFH06356	GO:0000413 GO:0003755	
GFH06358	GO:0016020	K08486
GFH06367	GO:2001070	
GFH06372	GO:0008270 GO:0008237	K01254
GFH06374	GO:0016747	K22848
GFH06403	GO:0006351 GO:0003899 GO:0046983	K03027
GFH06404	GO:0000178 GO:0003723	K07573
GFH06405	GO:0016787	
GFH06421	GO:0005525 GO:0003924	K07874
GFH06425	GO:0005839 GO:0051603 GO:0004298 GO:0019773 GO:0006511 GO:0004175	K02729
GFH06426	GO:0051536 GO:0009055	K22071
GFH06429	GO:0003676	
GFH06432	GO:0005515	
GFH06436	GO:0006468 GO:0005524 GO:0004672	K13412
GFH06437	GO:0005509 GO:0005515	K02183
GFH06443	GO:0009058 GO:0030170	
GFH06467	GO:0005524	
GFH06468	GO:0005524	
GFH06470	GO:0055114 GO:0016491	K24029
GFH06481	GO:0003824	K14760
GFH06483	GO:0005515	K03353
GFH06494	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH06506	GO:0006468 GO:0005524 GO:0004672	
GFH06513	GO:0006468 GO:0005524 GO:0004672	
GFH06518	GO:0003824	
GFH06521	GO:0006351 GO:0003677	
GFH06530	GO:0006094 GO:0005524 GO:0004612	K01610
GFH06548	GO:0006355 GO:0003700	
GFH06562	GO:0006508 GO:0005524 GO:0004222	K03798
GFH06570	GO:0006270 GO:0005524 GO:0003677 GO:0016887	K10737
GFH06575	GO:0016020 GO:0055085 GO:0006811 GO:0005216	
GFH06580	GO:0003676	
GFH06585	GO:0005634	K13109
GFH06592	GO:0003824	K17499
GFH06593	GO:0008080	K00670
GFH06594	GO:0045454	K03671
GFH06598	GO:0016491	
GFH06600	GO:0055085 GO:0022857	
GFH06613	GO:0006464	K01942
GFH06614	GO:0006221 GO:0003883	K01937
GFH06616	GO:0003676	K14525
GFH06618	GO:0000049	K15437
GFH06636	GO:0016020 GO:0015696 GO:0008519	
GFH06637	GO:0016020 GO:0015696 GO:0008519	
GFH06638	GO:0006298 GO:0030983 GO:0005524	K08735
GFH06639	GO:0006298 GO:0030983 GO:0005524	K08735
GFH06651	GO:0005515	
GFH06653	GO:0005515	
GFH06658	GO:0005525	
GFH06666	GO:0006270 GO:0005524 GO:0003677	K02212
GFH06668	GO:0016020 GO:0015276	
GFH06677	GO:0016020 GO:0015276	
GFH06679	GO:0005524 GO:0015986 GO:1902600 GO:0046034	K02132
GFH06680	GO:0043039 GO:0005524 GO:0004812 GO:0000049	K01889
GFH06693	GO:0006508 GO:0004181	
GFH06706	GO:0003676	
GFH06716	GO:0016787	
GFH06723	GO:0016021 GO:0016192	K08517
GFH06724	GO:0008080 GO:0016747	
GFH06725	GO:0003824	
GFH06726	GO:0016787	
GFH06727	GO:0042025	K21777
GFH06728	GO:0006457 GO:0051087 GO:0042803 GO:0000774	K03687
GFH06735	GO:0016226 GO:0051536 GO:0005506	K22074
GFH06736	GO:0005515	
GFH06738	GO:0016020 GO:0006817 GO:0005315	
GFH06739	GO:0016020 GO:0006817 GO:0005315	
GFH06748	GO:0006468 GO:0005524 GO:0004672	
GFH06756	GO:0005515 GO:0045454 GO:0015035 GO:0009055	K05309
GFH06761	GO:0005840 GO:0006412 GO:0003735	
GFH06764	GO:0006298 GO:0030983 GO:0005524	
GFH06768	GO:0006298 GO:0030983 GO:0005524	
GFH06769	GO:0005515	
GFH06773	GO:0006468 GO:0005524 GO:0004672	
GFH06774	GO:0006468 GO:0005524 GO:0004672	
GFH06776	GO:0055114 GO:0016491	
GFH06779	GO:0005515	K17550
GFH06781	GO:0055114 GO:0020037 GO:0016705 GO:0005506	K15639
GFH06784	GO:0000221 GO:1902600 GO:0046961	K02144
GFH06792	GO:0055114 GO:0020037 GO:0016705 GO:0005506	
GFH06801	GO:0055114 GO:0016491	K02293
GFH06811	GO:0055114 GO:0050660 GO:0016614	
GFH06812	GO:0055114 GO:0016614 GO:0050660	K22464
GFH06813	GO:0005525	K03978
GFH06815	GO:0006468 GO:0005524 GO:0004672 GO:0004674	
GFH06816	GO:0055114 GO:0016491	
GFH06827	GO:0015703 GO:0015109	K07240
GFH06830	GO:0005840 GO:0006412 GO:0003735	
GFH06831	GO:0005524	
GFH06839	GO:0055114 GO:0050660 GO:0016491	
GFH06840	GO:0005515	
GFH06843	GO:0005515	
GFH06852	GO:0009073 GO:0003849	
GFH06859	GO:0000786 GO:0003677	K11253
GFH06862	GO:0006629 GO:0008374	
GFH06870	GO:0030127 GO:0006888 GO:0006886	
GFH06871	GO:0030127 GO:0006888 GO:0006886	
GFH06874	GO:0005839 GO:0051603 GO:0004298 GO:0019773 GO:0006511 GO:0004175	K02730
GFH06894	GO:0009058 GO:0016851	
GFH06898	GO:0003676	
GFH06903	GO:0016779	
GFH06908	GO:0003676	
GFH06912	GO:0007010 GO:0008017	
GFH06914	GO:0005525 GO:0003924	
GFH06917	GO:0055114 GO:0016702	
GFH06918	GO:0055114 GO:0016702	K17913
GFH06919	GO:0003676	K12837
GFH06921	GO:0009058 GO:0030170	
GFH06922	GO:0005515 GO:0005634 GO:0034968 GO:0018024 GO:0008270	K11420
GFH06931	GO:0008168	K07755
GFH06933	GO:0006418 GO:0004812	
GFH06934	GO:0006418 GO:0005524 GO:0004812 GO:0000166	
GFH06937	GO:0043039 GO:0005524 GO:0004812 GO:0005737 GO:0006418 GO:0000166	K01885
GFH06938	GO:0043039 GO:0005524 GO:0004812	K01885
GFH06940	GO:0006468 GO:0005524 GO:0004672	
GFH06943	GO:0016887 GO:0005524	
GFH06944	GO:0000814 GO:0071985	K12189
GFH06947	GO:0016747	K00626
GFH06948	GO:0004620	
GFH06951	GO:0005509	
GFH06953	GO:0031262 GO:0000776	
GFH06954	GO:0006468 GO:0005524 GO:0004672	
GFH06956	GO:0009058 GO:0003824	K00967
GFH06959	GO:0006629	K00507
GFH06963	GO:0005515	
GFH06964	GO:0005515	K18598
GFH06965	GO:0043039 GO:0005524 GO:0004812	K01885
GFH06976	GO:0070403	
GFH06979	GO:0005515	
GFH06980	GO:0003676	K11294
GFH06981	GO:0006468 GO:0005524 GO:0004672	
GFH06986	GO:0016021 GO:0032977	
GFH06987	GO:0016021 GO:0032977	
GFH06999	GO:0000469	
GFH07001	GO:0003676	
GFH07012	GO:0046872 GO:0005524	
GFH07014	GO:0005515	
GFH07023	GO:0055114 GO:0008610 GO:0016491 GO:0005506	K15746
GFH07026	GO:0008168	
GFH07033	GO:0035556 GO:0009190	
GFH07034	GO:0035556 GO:0009190	
GFH07061	GO:0030127 GO:0006888 GO:0006886 GO:0008270	K14007
GFH07062	GO:0030127 GO:0006888 GO:0006886	K14007
GFH07066	GO:0055114 GO:0006779 GO:0004109	K00228
GFH07067	GO:0055114 GO:0006779 GO:0004109	
GFH07068	GO:0005515	K03038
GFH07080	GO:0016021	K17086
GFH07081	GO:0016021	
GFH07087	GO:0055114 GO:0008033 GO:0050660 GO:0017150	
GFH07090	GO:0051259	K04082
GFH07091	GO:0005515	
GFH07099	GO:0004842	K10614
GFH07102	GO:0006914	
GFH07113	GO:0050662 GO:0003824	K03953
GFH07114	GO:0006629	
GFH07122	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH07123	GO:0008168	K00586
GFH07128	GO:0005515	
GFH07131	GO:0035556 GO:0009190	
GFH07132	GO:0007165 GO:0005515	
GFH07139	GO:0016791	K15731
GFH07144	GO:0003824	
GFH07147	GO:0009058 GO:0016742	K00604
GFH07149	GO:0003676	K14573
GFH07150	GO:0000105 GO:0004424	K01693
GFH07153	GO:0035091	
GFH07155	GO:0005515	
GFH07156	GO:0005515	K23325
GFH07158	GO:0016787	K03787
GFH07159	GO:0009058 GO:0016742	K00604
GFH07162	GO:0009451 GO:0001522 GO:0009982 GO:0003723	
GFH07164	GO:0016272 GO:0006457 GO:0051082	K09549
GFH07176	GO:0046872 GO:0005680 GO:0004842	
GFH07177	GO:0006355 GO:0003677 GO:0005634	
GFH07181	GO:0003676	
GFH07182	GO:0055114 GO:0008610 GO:0016491 GO:0005506	
GFH07191	GO:0016020 GO:0055085 GO:0015267	K09873
GFH07192	GO:0005737 GO:0006457 GO:0051082	
GFH07193	GO:0005737 GO:0006457 GO:0051082	K04083
GFH07200	GO:0005524	
GFH07202	GO:0005783 GO:0055114 GO:0016671 GO:0003756	
GFH07204	GO:0005783 GO:0055114 GO:0016671 GO:0003756	
GFH07205	GO:0005525 GO:0003924	K12272
GFH07208	GO:0016787	
GFH07213	GO:0006351 GO:0008270 GO:0003676	K03145
GFH07214	GO:0003676	K02945
GFH07216	GO:0031514 GO:0048870	K19942
GFH07226	GO:0007018 GO:0008017 GO:0005524 GO:0003777	K20196
GFH07230	GO:0005515	
GFH07231	GO:0005515	K03353
GFH07239	GO:0005515	K14293
GFH07243	GO:2001070	
GFH07250	GO:0006355 GO:0043565 GO:0008270	
GFH07252	GO:0006468 GO:0005524 GO:0004672	
GFH07263	GO:0055114 GO:0006779 GO:0004109	K00228
GFH07265	GO:0055114 GO:0006779 GO:0004109	
GFH07268	GO:0016021 GO:0006506 GO:0017176	
GFH07269	GO:0016021 GO:0006506 GO:0017176	
GFH07279	GO:0016021	
GFH07280	GO:0016021	
GFH07281	GO:0003824	K01895
GFH07284	GO:0016021	K07034
GFH07287	GO:0016021	
GFH07299	GO:0006468 GO:0005524 GO:0004672	
GFH07300	GO:0009451 GO:0001522 GO:0009982 GO:0003723	K06173
GFH07309	GO:0003676 GO:0003723	K13126
GFH07311	GO:0005515	
GFH07314	GO:0007165 GO:0004114	
GFH07321	GO:0016579 GO:0036459	K11843
GFH07333	GO:0055114 GO:0051537 GO:0016491	
GFH07343	GO:0016573 GO:0006355 GO:0004402 GO:0042025 GO:0008270 GO:0003712	K04498
GFH07345	GO:0016787	
GFH07346	GO:0005524 GO:0003676	
GFH07367	GO:0005524	K22399
GFH07371	GO:0005515	
GFH07381	GO:0003723	
GFH07382	GO:0009451 GO:0001522 GO:0009982 GO:0003723	K06180
GFH07385	GO:0006629 GO:0016627	K12345
GFH07389	GO:0031515 GO:0030488 GO:0016429	K07442
GFH07394	GO:0035556 GO:0009190	
GFH07396	GO:0035556 GO:0009190	
GFH07404	GO:0006355	
GFH07415	GO:0005975	K00616
GFH07417	GO:0005515	
GFH07428	GO:0015940 GO:0003864	K00606
GFH07434	GO:0055114 GO:0046872 GO:0016491	
GFH07435	GO:0016787	K22390
GFH07436	GO:0055085 GO:0022857	K13783
GFH07440	GO:0003723	
GFH07442	GO:0005515	
GFH07450	GO:0003723	
GFH07453	GO:0005887 GO:0042158 GO:0008961	
GFH07456	GO:0005524	K09495
GFH07457	GO:0005524	
GFH07458	GO:0005524	
GFH07459	GO:0003676	
GFH07463	GO:0003682	
GFH07488	GO:0006468 GO:0005524 GO:0004672	
GFH07495	GO:0007034	K12193
GFH07500	GO:0005737 GO:0034227	K12161
GFH07509	GO:0016887 GO:0005524	
GFH07514	GO:0016887 GO:0005524	
GFH07516	GO:0016887 GO:0005524	K06184
GFH07517	GO:0055114 GO:0016491	K00472
GFH07518	GO:0005515	
GFH07521	GO:0003676	
GFH07522	GO:2001070	
GFH07537	GO:0005525	
GFH07539	GO:0005525	
GFH07542	GO:0055085 GO:0022857	
GFH07544	GO:0000398	
GFH07545	GO:0017070 GO:0000398 GO:0030623 GO:0003723 GO:0005515	
GFH07556	GO:0008612	K00809
GFH07557	GO:0008612	
GFH07560	GO:0005524 GO:0003676	
GFH07565	GO:0007165 GO:0004114	
GFH07567	GO:0016020 GO:0015031	
GFH07569	GO:0008168	
GFH07574	GO:0006096 GO:0004332	
GFH07582	GO:0008270	
GFH07585	GO:0006468 GO:0005524 GO:0004672	K06632
GFH07586	GO:0006508 GO:0004252	
GFH07592	GO:0046855	K01092
GFH07593	GO:0006355 GO:0003677	
GFH07599	GO:0003824	K05954
GFH07601	GO:0017119	K20295
GFH07609	GO:0008168	K11434
GFH07614	GO:0016020 GO:0000148 GO:0006075 GO:0003843	
GFH07618	GO:0006139 GO:0008408 GO:0003676	
GFH07620	GO:0007034	K12195
GFH07633	GO:0006468 GO:0005524 GO:0004672	
GFH07637	GO:0035556 GO:0009190	
GFH07639	GO:0009116	
GFH07642	GO:0030170 GO:0008483	
GFH07643	GO:0035556 GO:0009190	
GFH07649	GO:0035556 GO:0009190	
GFH07656	GO:0005509	
GFH07660	GO:0006629 GO:0016627	K12345
GFH07661	GO:0003723	
GFH07662	GO:0009451 GO:0001522 GO:0009982 GO:0003723	K06180
GFH07668	GO:0055114 GO:0006570 GO:0006559 GO:0004411	K00451
GFH07669	GO:0005515	K14012
GFH07677	GO:0006370 GO:0004484	
GFH07684	GO:0006468 GO:0005524 GO:0004672	K08287
GFH07693	GO:0006396	
GFH07702	GO:0017119 GO:0006886	K20294
GFH07704	GO:0017119 GO:0006886	
GFH07709	GO:0016787	K01823
GFH07711	GO:0019825	
GFH07715	GO:0006468 GO:0004672 GO:0005524	
GFH07725	GO:0005515	K20285
GFH07730	GO:0003743	
GFH07731	GO:0003743	
GFH07732	GO:0016020	
GFH07738	GO:0005515	
GFH07742	GO:0005524	
GFH07754	GO:0016020 GO:0005509 GO:0004571	K01230
GFH07756	GO:0003676	
GFH07761	GO:0030163	K06891
GFH07770	GO:0055114 GO:0006801 GO:0046872 GO:0004784	
GFH07775	GO:0016021 GO:0005787 GO:0006465 GO:0008233	K14536
GFH07777	GO:0005525 GO:0003924	
GFH07779	GO:0032012 GO:0005086	K18443
GFH07782	GO:0005524 GO:0003676	
GFH07783	GO:0005840 GO:0006412 GO:0003735	K02916
GFH07784	GO:0006629	K21737
GFH07789	GO:2001070	
GFH07803	GO:0005840 GO:0006412 GO:0003735	
GFH07808	GO:0005515	K06694
GFH07809	GO:0005515	K15223
GFH07810	GO:0016021 GO:0006952	
GFH07811	GO:0005509	
GFH07821	GO:0006468 GO:0004672 GO:0005524	
GFH07828	GO:0055114 GO:0050661 GO:0050660 GO:0004499	K00485
GFH07831	GO:0019752 GO:0030170 GO:0016831	
GFH07835	GO:0006744	K18586
GFH07836	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH07839	GO:0006508 GO:0008234	
GFH07847	GO:0003676	K14411
GFH07849	GO:0003676	K14411
GFH07858	GO:0050662 GO:0003824	
GFH07863	GO:0006508 GO:0004252	
GFH07870	GO:0005515	
GFH07875	GO:0005509	K06268
GFH07876	GO:0005515	K12602
GFH07884	GO:0005840 GO:0006412 GO:0003735	K02959
GFH07886	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH07887	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH07888	GO:0005509	K19720
GFH07889	GO:0055114 GO:0006098 GO:0004616	
GFH07891	GO:0055114 GO:0016616	K00030
GFH07896	GO:0051536 GO:0009055	
GFH07902	GO:0015937 GO:0005524 GO:0004140	K00859
GFH07904	GO:0055114	
GFH07919	GO:0016787	
GFH07921	GO:0030127 GO:0006888 GO:0006886 GO:0008270	
GFH07923	GO:0007165 GO:0004114	
GFH07925	GO:0008168	
GFH07933	GO:0005515	
GFH07934	GO:0016021 GO:0006506 GO:0016758	K05284
GFH07935	GO:0016021 GO:0006506 GO:0016758	
GFH07941	GO:0006096 GO:0004618	K00927
GFH07943	GO:0016020	K21989
GFH07947	GO:0005524	
GFH07950	GO:0005694 GO:0051276 GO:0005524 GO:0005515	
GFH07952	GO:0055114 GO:0016491	
GFH07956	GO:0005525 GO:0003924	
GFH07957	GO:0006468 GO:0005524 GO:0004672	
GFH07967	GO:0006886	K18466
GFH07973	GO:0008610 GO:0008168	
GFH07975	GO:0005515	
GFH07976	GO:0055085	K15276
GFH07978	GO:0009451 GO:0001522 GO:0009982 GO:0003723	K01855
GFH07979	GO:0003676	K03248
GFH07983	GO:0016020 GO:0055085 GO:0022857	K03319
GFH07984	GO:0016020 GO:0055085 GO:0022857	K03319
GFH07985	GO:0005524	
GFH07989	GO:0006914	K19730
GFH07991	GO:0045905 GO:0045901 GO:0043022 GO:0003746 GO:0003723	K03263
GFH07997	GO:0005737 GO:0055114 GO:0016627	
GFH07998	GO:0005737 GO:0055114 GO:0016627	K00254
GFH07999	GO:0005524 GO:0003676	K13116
GFH08000	GO:0016020 GO:0009055 GO:0008137	K18160
GFH08001	GO:0042025 GO:0006355 GO:0043565 GO:0003700	K09419
GFH08004	GO:0050662 GO:0003824	K12451
GFH08009	GO:0016021 GO:0055085 GO:0022857	
GFH08019	GO:0016787	
GFH08027	GO:0006526 GO:0004358	K00620
GFH08032	GO:0055114 GO:0020037 GO:0016705 GO:0005506	K05917
GFH08038	GO:0007018 GO:0008017 GO:0005524 GO:0003777	
GFH08043	GO:0019752 GO:0030170 GO:0016831	K01634
GFH08047	GO:0055114 GO:0050661 GO:0050660 GO:0004499	
GFH08056	GO:0005515	K13108
GFH08065	GO:0004386	
GFH08068	GO:0003824	K17508
GFH08070	GO:0016020 GO:0055085 GO:0006811 GO:0005216	
GFH08071	GO:0005524	
GFH08076	GO:0009451 GO:0001522 GO:0009982 GO:0003723	
GFH08081	GO:0009094 GO:0004664	K05359
GFH08086	GO:0005515	K02977
GFH08088	GO:0071949	
GFH08089	GO:0005779 GO:0016559	
GFH08109	GO:0030145 GO:0004177	K14213
GFH08110	GO:0016020 GO:0015696 GO:0008519	
GFH08111	GO:0006298 GO:0030983 GO:0005524	
GFH08119	GO:0051287 GO:0050661	K18121
GFH08120	GO:0006526 GO:0005524 GO:0004055 GO:0006529 GO:0004066	K01940
GFH08121	GO:0006526 GO:0005524 GO:0004055	
GFH08126	GO:0016787 GO:0005524	
GFH08127	GO:0005524	
GFH08128	GO:0005524	
GFH08129	GO:0030001 GO:0046872	
GFH08135	GO:0006468 GO:0005524 GO:0004672	
GFH08141	GO:0033178 GO:1902600 GO:0046961	
GFH08144	GO:0005634 GO:0006352	K03134
GFH08145	GO:0055114 GO:0046872 GO:0016491	
GFH08146	GO:0055114 GO:0046872 GO:0016491	
GFH08147	GO:0016020 GO:0055085 GO:0022857	
GFH08148	GO:0009446 GO:0004668	K10536
GFH08149	GO:0003755	
GFH08154	GO:0005524	
GFH08158	GO:0033014 GO:0004852	K01719
GFH08166	GO:0006511 GO:0004843	K05609
GFH08170	GO:0055114 GO:0016491	K12259
GFH08172	GO:0055114 GO:0016491	
GFH08173	GO:0006468 GO:0005524 GO:0004672	
GFH08174	GO:0006468 GO:0004672 GO:0005524	
GFH08186	GO:0006355 GO:0006352 GO:0003700	
GFH08190	GO:0055114 GO:0016491	
GFH08193	GO:0005509	
