Gene ID	GO	KO	PFAM
SM000001S04489	GO:0004386 GO:0003676 GO:0005524	K14442	PF04408 PF07717 PF00271 PF00270
SM000001S04495	GO:0046872		PF00642
SM000001S04496	GO:0003824 GO:0030151 GO:0030170		PF03476 PF03473
SM000001S04499	GO:0016020	K06816	PF00839
SM000001S04504	GO:0007030		PF09787
SM000001S04505	GO:0030246 GO:0006486 GO:0016020	K20843	PF00337 PF01762
SM000001S04506	GO:0005515	K17550	PF12799 PF13855 PF14580
SM000001S04507	GO:0005507 GO:0016491		PF07731 PF07732 PF00394
SM000001S04508	GO:0003676	K14411	PF00076 PF16367
SM000001S04510	GO:0005515		PF17035 PF00439
SM000001S04515	GO:0004553 GO:0005975	K19355	PF00150
SM000001S04516	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
SM000001S04517	GO:0008289		PF07059 PF01852
SM000001S04518	GO:0004356 GO:0006807 GO:0006542	K01915	PF00120 PF03951
SM000001S04519	GO:0003723 GO:0009982 GO:0001522 GO:0009451	K06173	PF01416
SM000001S04522	GO:0009055 GO:0015035 GO:0045454	K07390	PF00462
SM000001S04524	GO:0005515		PF00651
SM000001S04527	GO:0004386 GO:0003676 GO:0005524	K14780	PF04408 PF00271 PF00270
SM000001S04529	GO:0006383 GO:0005666	K03025	PF05158
SM000001S04533	GO:0000287 GO:0004427 GO:0006796 GO:0005737		PF00719
SM000001S04536	GO:0003676 GO:0005524	K13179	PF00270 PF00271 PF13959
SM000001S04541	GO:0003676 GO:0004523		PF13456 PF01693 PF00075
SM000001S04544	GO:0000160 GO:0000155 GO:0007165 GO:0005515		PF02518 PF00072 PF00512 PF01590
SM000001S04546	GO:0046872 GO:0030001	K17686	PF00702 PF00122 PF00403 PF08282
SM000001S04548	GO:0003824	K01913	PF00501 PF13193
SM000001S04549	GO:0018580 GO:0016491	K23948	PF03060 PF01070
SM000001S04551	GO:0008270 GO:0005515	K17987	PF16158 PF00569 PF00564
SM000001S04553	GO:0005515	K18643	PF13925 PF00400
SM000001S04554	GO:0004518 GO:0006281	K15338	PF00867 PF00752
SM000001S04555	GO:0006886 GO:0016192 GO:0030117 GO:0030131		PF01602 PF12717 PF09066
SM000001S04557	GO:0016831 GO:0030170 GO:0019752	K01634	PF00282 PF00266
SM000001S04558	GO:0016616	K00030	PF00180
SM000001S04561	GO:0008168 GO:0032259		PF04072
SM000001S04563	GO:0004672 GO:0005524 GO:0006468	K08853	PF00069 PF07714
SM000001S04565	GO:0005524 GO:0030983 GO:0006298	K07456	PF00488 PF01713
SM000001S04567	GO:0031625 GO:0006511	K03869	PF00888 PF10557
SM000001S04570	GO:0003824 GO:0003854 GO:0016616 GO:0006694	K12450	PF16363 PF01370 PF04321 PF01073 PF02719 PF07993
SM000001S04571	GO:0003676 GO:0005524 GO:0003677 GO:0016787	K14807	PF00270 PF00271 PF04851
SM000001S04572	GO:0046983		PF00010
SM000001S04573	GO:0046983 GO:0006351 GO:0003899	K03008	PF13656 PF01193
SM000001S04576	GO:0004386 GO:0003676 GO:0005524	K12815	PF04408 PF07717 PF00271 PF00270
SM000001S04577	GO:0003677 GO:0003917 GO:0006265	K03163	PF02919 PF01028 PF14370
SM000001S04579	GO:0042626	K02149	PF01813
SM000001S04583	GO:0005507 GO:0016531 GO:0006825 GO:0005758	K02260	PF05051
SM000001S04587	GO:0005515	K10523	PF00651 PF00917
SM000001S04591	GO:0003887 GO:0008270 GO:0006260 GO:0005634 GO:0000166 GO:0003677	K02324	PF08490 PF03104 PF00136
SM000001S04593	GO:0003700 GO:0006352 GO:0006355		PF04545 PF04542
SM000001S04594	GO:0004185 GO:0006508 GO:0003824 GO:0045454	K05907	PF00450 PF01507 PF00085
SM000001S04596	GO:0009231 GO:0009349	K00794	PF00885
SM000001S04599	GO:0003824 GO:0051536 GO:0035596 GO:0051539		PF04055 PF00919
SM000001S04601	GO:0043015	K16571	PF04130 PF17681
SM000001S04602	GO:0003824 GO:0009058		PF01467
SM000001S04605	GO:0005515		PF13409 PF13410 PF00043 PF14497
SM000001S04606	GO:0006464	K01942	PF03099
SM000001S04607	GO:0000287 GO:0004427 GO:0006796 GO:0005737		PF00719
SM000001S04608	GO:0046983	K10688	PF00179 PF00010
SM000001S04613	GO:0016829 GO:0006520		PF00266 PF01212
SM000001S04618	GO:0016491	K00130	PF00171
SM000001S04620	GO:0004018 GO:0006188	K01756	PF00206 PF08328
SM000001S04622	GO:0009055 GO:0015035 GO:0045454	K07390	PF00462
SM000001S04624	GO:0005524 GO:0042626 GO:0055085 GO:0016021 GO:0016887	K05658	PF00664 PF00005
SM000001S04627	GO:0005515		PF12796 PF00023 PF13606 PF13637 PF13857 PF09762
SM000001S04629	GO:0005509 GO:0055085 GO:0016021		PF13499 PF13202 PF01699
SM000001S04630	GO:0003824		PF00501 PF00668 PF13193
SM000001S04631	GO:0003824 GO:0030976 GO:0000287	K12261	PF00501 PF02776 PF00205 PF02775 PF13193
SM000001S04632	GO:0005525	K14538	PF08701 PF01926 PF02421
SM000001S04634	GO:0004672 GO:0005524 GO:0006468	K02178	PF08311 PF00069
SM000001S04635	GO:0003700 GO:0006355		PF00847
SM000001S04636	GO:0005515 GO:0004842 GO:0016567		PF00514 PF13646 PF04564
SM000001S04637	GO:0005515		PF00514
SM000001S04640	GO:0005515		PF00400
SM000001S04644	GO:0022857 GO:0055085		PF07690
SM000001S04645	GO:0003700 GO:0006355	K09286	PF00847
SM000001S04648	GO:0004602 GO:0006979		PF00255
SM000001S04652	GO:0003676	K13207	PF00076
SM000001S04655	GO:0016021		PF03798
SM000001S04657	GO:0017025	K15196	PF07741 PF00382
SM000001S04658	GO:0016491	K00140	PF00171
SM000001S04659	GO:0005525 GO:0003723		PF01926 PF07650 PF02421
SM000001S04660	GO:0004672 GO:0005524 GO:0006468	K07198	PF00069 PF07714 PF02149 PF16579 PF14531
SM000001S04661	GO:0003677 GO:0046983 GO:0003700 GO:0006355 GO:0005634		PF00319 PF01486
SM000001S04662	GO:0005515 GO:0004674	K06640	PF00454 PF02260 PF08064 PF02259
SM000001S04665	GO:0003700 GO:0006355		PF00847
SM000001S04666	GO:0000774 GO:0042803 GO:0051087 GO:0006457	K03687	PF01025
SM000001S04668	GO:0003735 GO:0006412 GO:0005840	K02938	PF03947 PF00181
SM000001S04672	GO:0000160 GO:0000155 GO:0007165		PF00072 PF02518 PF03924 PF00512
SM000001S04673	GO:0016020		PF12430 PF12537
SM000001S04674	GO:0006334 GO:0005634		PF00956
SM000001S04677	GO:0005515 GO:0016787	K14262	PF00400 PF01546 PF07687 PF13230 PF13522
SM000001S04681	GO:0004556 GO:0005509 GO:0005975		PF07821
SM000001S04682	GO:0046873 GO:0030001 GO:0055085 GO:0016020	K14709	PF02535
SM000001S04683	GO:0004386	K12813	PF04408 PF07717 PF00271
SM000001S04684	GO:0005524 GO:0016773 GO:0005975	K00844	PF03727 PF00349
SM000001S04685	GO:0016787		PF01738
SM000001S04686	GO:0008251 GO:0002100		PF00383 PF14437
SM000001S04689	GO:0006904 GO:0016192	K19998	PF00995
SM000001S04690	GO:0015031 GO:0042147 GO:0030906		PF03635
SM000001S04692	GO:0008324 GO:0006812 GO:0055085 GO:0016021	K14692	PF01545
SM000001S04693	GO:0017119	K20295	PF04124 PF08700
SM000001S04696	GO:0016765	K11778	PF01255
SM000001S04697	GO:0005515		PF00439
SM000001S04698	GO:0005634		PF08159
SM000001S04700	GO:0008270 GO:0046872 GO:0004842 GO:0005680		PF13639 PF12678 PF13923 PF14634 PF13445 PF00097 PF12861
SM000001S04703	GO:0022857 GO:0055085 GO:0016021		PF07690 PF00083 PF06779
SM000001S04704	GO:0003677 GO:0005634		PF03110
SM000001S04708	GO:0016491		PF01593
SM000001S04710	GO:0009116	K00760	PF00156
SM000001S04711	GO:0016627 GO:0006629	K12345	PF02544
SM000001S04712	GO:0016787	K01658	PF00117 PF07722
SM000001S04718	GO:0098599		PF05057 PF12394 PF02089
SM000001S04720	GO:0004190 GO:0016021	K09597	PF04258 PF02225
SM000001S04721	GO:0003723 GO:0004540 GO:0006396 GO:0030677		PF01868
SM000001S04722	GO:0005524		PF00004
SM000001S04725	GO:0008251 GO:0002100		PF00383 PF14437
SM000001S04726	GO:0003743 GO:0005737 GO:0005852	K03245	PF08597
SM000001S04727	GO:0003735 GO:0006412 GO:0005840	K02953	PF08069 PF00312
SM000001S04729	GO:0006367 GO:0005634	K03135	PF04719
SM000001S04733	GO:0005524	K10756	PF08542 PF13177 PF00004
SM000001S04739	GO:0003735 GO:0006412 GO:0005840		PF00276
SM000001S04740	GO:0005515		PF04379 PF02151
SM000001S04744	GO:0003676		PF01585
SM000001S04746	GO:0009507		PF16940
SM000001S04747	GO:0004616 GO:0006098 GO:0050661	K00033	PF00393 PF03446
SM000001S04757	GO:0006886 GO:0016192 GO:0030117 GO:0030131	K12392	PF01602 PF12717 PF09066
SM000001S04761	GO:0003678 GO:0005524 GO:0006260	K10870	PF08423 PF13481 PF06745 PF03796
SM000001S04769	GO:0016614 GO:0050660		PF00732 PF05199
SM000001S04770	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714 PF12796 PF13637
SM000001S04771	GO:0004672 GO:0005524 GO:0006468	K02208	PF00069 PF07714
SM000001S04772	GO:0016702		PF03055
SM000001S04775	GO:0008270 GO:0046872		PF13639 PF12678 PF13923 PF00097
SM000001S04777	GO:0006820 GO:0016021		PF00955
SM000001S04779	GO:0005524 GO:0016887 GO:0008134 GO:0006355	K03695	PF07724 PF17871 PF00004 PF10431 PF07728 PF02861 PF00158
SM000001S04786	GO:0008047 GO:0000290 GO:0043085	K12611	PF06058
SM000001S04788	GO:0005515	K24752	PF00400
SM000001S04793	GO:0016787		PF00149
SM000001S04802	GO:0000287 GO:0004743 GO:0030955 GO:0006096		PF00224 PF02887
SM000001S04803	GO:0016747	K00626	PF00108 PF02803 PF00109
SM000001S04804	GO:0005524 GO:0003676 GO:0008270 GO:0016818 GO:0046872	K15711	PF00176 PF00271 PF08797 PF00097 PF13639 PF13920
SM000002S05485	GO:0006397 GO:0005634	K12874	PF16399 PF05843 PF13086 PF13087 PF13245
SM000002S05486	GO:0022857 GO:0055085	K08193	PF07690 PF06779
SM000002S05491	GO:0000287 GO:0004743 GO:0030955 GO:0006096	K00873	PF00224 PF02887
SM000002S05492	GO:0016491	K08232	PF07992 PF00070
SM000002S05493	GO:0003824 GO:0009058 GO:0009116		PF01467 PF13793 PF00156
SM000002S05494	GO:0046983 GO:0003700 GO:0006355 GO:0005667	K06620	PF16421 PF02319
SM000002S05495	GO:0030170 GO:0009058	K00814	PF00155
SM000002S05496	GO:0006904 GO:0016192	K15292	PF00995
SM000002S05500	GO:0005515	K12600	PF13181 PF13424
SM000002S05503	GO:0003755 GO:0000413	K09565	PF00160
SM000002S05509	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
SM000002S05512	GO:0003677 GO:0003899 GO:0006351 GO:0005634		PF00562 PF04565 PF04563 PF04560 PF06883 PF04561
SM000002S05517	GO:0003755		PF00254
SM000002S05519	GO:0006289 GO:0006355 GO:0000439 GO:0022857 GO:0055085 GO:0016020	K03143	PF03850 PF13520 PF00324 PF13906
SM000002S05520	GO:0016021 GO:0042765	K05289	PF04114
SM000002S05521	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
SM000002S05523	GO:0005515		PF13855 PF00560
SM000002S05527	GO:0004672 GO:0005524 GO:0006468	K14498	PF00069 PF07714
SM000002S05531	GO:0016491		PF13640 PF03171
SM000002S05533	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714
SM000002S05534	GO:0004672 GO:0005524 GO:0006468		PF00069 PF07714 PF01163
SM000002S05538	GO:0007094	K06679	PF05557
SM000002S05539	GO:0008270	K04706	PF02891
SM000002S05540	GO:0005515		PF00400
SM000002S05542	GO:0007076 GO:0000796		PF05786
SM000002S05544	GO:0031625 GO:0006511	K03349	PF00888 PF08672
SM000002S05547	GO:0016307 GO:0046488 GO:0005524 GO:0046872	K00921	PF01504 PF00118 PF01363
SM000002S05548	GO:0003735 GO:0006412 GO:0005840	K02978	PF01667
SM000002S05551	GO:0005524	K22530	PF00004 PF17862
SM000002S05552	GO:0005515		PF13516
SM000002S05553	GO:0004222 GO:0006508	K01410	PF01432
SM000002S05557	GO:0016627 GO:0050660	K00232	PF00441 PF02770 PF02771
SM000002S05560	GO:0016624	K00161	PF00676
SM000002S05562	GO:0004112		PF13563 PF07823
SM000002S05564	GO:0003777 GO:0005524 GO:0008017 GO:0007018	K10398	PF00225 PF16796
SM000002S05565	GO:0005515 GO:0016021 GO:0044877	K07203	PF02259 PF06814 PF00454 PF11865 PF08771 PF00856
SM000002S05569	GO:0008270 GO:0046872	K10601	PF13639 PF12678 PF00097 PF13923 PF13920 PF13445
SM000002S05572	GO:0003676	K13155	PF00076
SM000002S05574	GO:0016787		PF00149
SM000002S05575	GO:0004222 GO:0005524 GO:0006508 GO:0016887	K03798	PF01434 PF00004 PF17862 PF07724 PF07728
SM000002S05579	GO:0005524 GO:0030983 GO:0006298		PF00488 PF01624
SM000002S05582	GO:0008270		PF04434
SM000002S05583	GO:0009055 GO:0015035 GO:0045454		PF00462
SM000002S05585	GO:0005515		PF00651 PF12248 PF00754
SM000002S05590	GO:0005515	K15111	PF00153 PF18511 PF00646
SM000002S05591	GO:0007165		PF00620
SM000002S05592	GO:0004057 GO:0016598	K00685	PF04377 PF04376
SM000002S05593	GO:0004553 GO:0005975		PF01055
SM000002S05594	GO:0015979		PF02941
SM000002S05595	GO:0005524 GO:0004222 GO:0006508		PF00850 PF00004 PF17862 PF01434
SM000002S05596	GO:0006457 GO:0015031		PF05697 PF05698
SM000002S05597	GO:0005515	K14018	PF08324 PF00400 PF09070
SM000002S05598	GO:0022857 GO:0055085 GO:0016021		PF07690 PF00083
SM000002S05600	GO:0005515	K18730	PF02213
SM000002S05603	GO:0004672 GO:0005524 GO:0006468 GO:0005509	K08794	PF00069 PF07714 PF13202 PF13499 PF13833
SM000002S05604	GO:0003723 GO:0003746 GO:0043022 GO:0045901 GO:0045905		PF01287
SM000002S05606	GO:0006886	K15436	PF08389 PF03810
SM000002S05608	GO:0008080	K22450	PF00583 PF13508 PF13673
SM000002S05609	GO:0004045	K04794	PF01981
SM000002S05610	GO:0001522 GO:0042254	K11128	PF04410
SM000002S05612	GO:0003824 GO:0051536	K03644	PF16881 PF04055
SM000002S05615	GO:0000340 GO:0003729		PF10309
SM000002S05617	GO:0003824 GO:0050660 GO:0016491	K00102	PF02913 PF01565
SM000002S05622	GO:0051539	K03942	PF01512 PF10589 PF10531
SM000002S05623	GO:0008168		PF08241 PF13649 PF08242 PF13847 PF13489 PF01209 PF07021
SM000002S05624	GO:0008233 GO:0006508	K04773	PF01343
SM000002S05625	GO:0008171	K00545	PF01596 PF13578
SM000002S05628	GO:0008236 GO:0006508	K01070	PF00756 PF00326
SM000002S05630	GO:0004367 GO:0005975 GO:0016616 GO:0051287 GO:0046168	K00006	PF07479 PF01210
SM000002S05632	GO:0046872	K24273	PF00642
SM000002S05636	GO:0003735 GO:0019843 GO:0006412 GO:0005840		PF00347
SM000002S05637	GO:0097367 GO:1901135	K00820	PF01380 PF13522 PF13537
SM000002S05638	GO:0046855		PF00459
SM000002S05642	GO:0004672 GO:0006468 GO:0005524		PF07714 PF00069
SM000002S05644	GO:0008703 GO:0009231	K11752	PF01872 PF08719
SM000002S05645	GO:0008081 GO:0006629		PF03009
SM000002S05648	GO:0016787 GO:0005515	K04460	PF00149 PF08321 PF13181
SM000002S05649	GO:0016020	K21989	PF02714 PF14703 PF13967
SM000002S05650	GO:0016787	K01956	PF00988 PF00117 PF07722
SM000002S05651	GO:0005506 GO:0051536 GO:0016226	K22068	PF01592
SM000002S05653	GO:0005515		PF18055 PF00917 PF01399 PF18503
SM000002S05654	GO:0004553 GO:0005975		PF00150
SM000002S05655	GO:0008168	K22855	PF10237
SM000002S05658	GO:0035091 GO:0005515	K10751	PF00787 PF09325 PF00400
SM000002S05660	GO:0001671 GO:0051087		PF09229
SM000002S05662	GO:0003735 GO:0006412 GO:0005840	K02912	PF01655
SM000002S05664	GO:0016020		PF02714 PF14703 PF13967
SM000002S05667	GO:0005525 GO:0003723 GO:0003735 GO:0006412 GO:0005840	K02952	PF00025 PF00416
SM000002S05675	GO:0003676		PF00076
SM000002S05676	GO:0016616		PF00180
SM000002S05678	GO:0003856 GO:0016491 GO:0009073		PF01959
SM000002S05683	GO:0008168	K15264	PF01189
SM000002S05686	GO:0006289 GO:0006355 GO:0000439	K10845	PF06331
SM000002S05688	GO:0003924		PF00091 PF02493
SM000002S05689	GO:0005506 GO:0016705 GO:0020037		PF00067
SM000002S05691	GO:0046872 GO:0030001	K17686	PF00122 PF00702 PF03729 PF00403
SM000002S05692	GO:0003676	K22611	PF00076 PF05391
SM000002S05694	GO:0005515		PF00856
SM000002S05695	GO:0003824 GO:0003854 GO:0016616 GO:0006694		PF01370 PF16363 PF01073
SM000002S05696	GO:0005509 GO:0015979 GO:0009523 GO:0009654 GO:0019898		PF01789
SM000002S05700	GO:0004672 GO:0006468 GO:0005524 GO:0005515		PF07714 PF00069 PF00564
SM000002S05705	GO:0005525 GO:0003924	K07942	PF00025 PF08477 PF09439 PF00071 PF04670 PF01926
SM000002S05706	GO:0097020 GO:0006888 GO:0016021		PF04148
SM000002S05709	GO:0003677		PF01388 PF00011
SM000002S05710	GO:0003700 GO:0006355		PF00170 PF12498 PF07716
SM000002S05713	GO:0005507	K02258	PF04442
SM000002S05718	GO:0009055 GO:0051536		PF00111
SM000002S05721	GO:0003824	K01687	PF00920
SM000002S05723	GO:0000166 GO:0004820 GO:0005524 GO:0006426 GO:0005737	K14164	PF02092 PF02091
SM000002S05724	GO:0003824 GO:0004315 GO:0006633 GO:0016747 GO:0016020	K00660	PF00501 PF00195 PF02797 PF08545 PF08392
SM000002S05725	GO:0005515		PF00917
SM000002S05728	GO:0005506 GO:0016705 GO:0020037		PF00067
SM000002S05732	GO:0005515	K18953	PF02138 PF00400
SM000002S05733	GO:0006511 GO:0007275 GO:0042025	K04506	PF03145
SM000002S05734	GO:0006887 GO:0000145	K07195	PF03081
SM000002S05735	GO:0003677 GO:0005524 GO:0016787	K10843	PF16203 PF13625 PF04851 PF00271
SM000002S05736	GO:0016765 GO:0016021	K09833	PF01040
SM000002S05740	GO:0005525 GO:0003924		PF01031 PF00350 PF02212 PF00169 PF01926
SM000002S05745	GO:0003924 GO:0005525	K06207	PF00009 PF00679
SM000002S05750	GO:0015979 GO:0009522 GO:0009538		PF02605
SM000002S05753	GO:0051260		PF02214
SM000002S05757	GO:0008289	K05399	PF02886 PF01273
SM000002S05758	GO:0005515	K14863	PF00400 PF08154 PF12937
SM000002S05761	GO:0003924 GO:0005525	K07904	PF00071 PF08477 PF00025 PF01926 PF04670
SM000002S05763	GO:0000398 GO:0005681	K12863	PF04889
SM000002S05766	GO:0016747		PF03982
SM000002S05767	GO:0016627 GO:0050660		PF00441 PF02770 PF08028 PF02771
SM000002S05769	GO:0008270	K18417	PF00929 PF06839
SM000002S05771	GO:0003824 GO:0003854 GO:0016616 GO:0006694		PF05368 PF13460 PF01370 PF01073
SM000002S05772	GO:0008233 GO:0006465 GO:0005787 GO:0016021	K12948	PF04573
SM000002S05773	GO:0008168		PF03141 PF08241
SM000002S05774	GO:0016616	K00031	PF00180
SM000002S05775	GO:0016742 GO:0009058	K00601	PF00551
SM000002S05778	GO:0016409	K20028	PF01529
SM000002S05782	GO:0016020		PF02325
SM000002S05784	GO:0005524 GO:0009378 GO:0006281 GO:0006310 GO:0016887	K14571	PF00004 PF17862 PF05496 PF07724 PF07728 PF16725
SM000002S05785	GO:0004672 GO:0005524 GO:0006468	K02202	PF00069 PF07714
SM000002S05788	GO:0005509 GO:0015979 GO:0009523 GO:0009654 GO:0019898		PF01789
SM000002S05789	GO:0016787	K11793	PF02190 PF00149
SM000002S05791	GO:0016491 GO:0051537	K06997	PF01168 PF00355
SM000002S05793	GO:0000160 GO:0000155 GO:0007165		PF00072 PF00512
SM000003S10964	GO:0016491 GO:0045454	K00383	PF07992 PF02852 PF00070 PF13738
SM000003S10967	GO:0005515	K14962	PF00400 PF12894
SM000003S10968	GO:0046855	K18649	PF00459
SM000003S10971	GO:0016021		PF02990
SM000003S10973	GO:0005515 GO:0004842 GO:0016567		PF00514 PF04564
SM000003S10974	GO:0004842 GO:0016567		PF04564
SM000003S10975	GO:0003924 GO:0005525		PF00071 PF08477 PF00025
SM000003S10985	GO:0005515		PF13637 PF12796 PF13606 PF13857 PF00023
SM000003S10986	GO:0051260	K21914	PF02214
SM000003S10987	GO:0003735 GO:0019843 GO:0006412 GO:0005840	K02887	PF00453
SM000003S10991	GO:0008270		PF02176
SM000003S10993	GO:0007165		PF00620
SM000003S10996	GO:0043015	K16572	PF17681 PF04130
SM000003S10998	GO:0046983 GO:0006351 GO:0003899	K03020	PF13656 PF01193
SM000003S11006	GO:0005515		PF00651 PF12248 PF00754
SM000003S11008	GO:0004057 GO:0016598	K00685	PF04377 PF04376
SM000003S11009	GO:0016787		PF00149
SM000003S11012	GO:0008270 GO:0046872	K10601	PF13639 PF12678 PF00097 PF13923 PF13920 PF13445
SM000003S11013	GO:0005524 GO:0004222 GO:0006508		PF00004 PF01434 PF17862
SM000003S11015	GO:0008270		PF04434
SM000003S11018	GO:0003777 GO:0005524 GO:0008017 GO:0007018	K10398	PF00225 PF16796
SM000003S11019	GO:0005515 GO:0016021 GO:0044877	K07203	PF02259 PF06814 PF00454 PF11865 PF08771 PF00856 PF02260
SM000003S11022	GO:0016491 GO:0045454	K00383	PF07992 PF02852 PF00070 PF13738
SM000003S11024	GO:0046855	K18649	PF00459
SM000003S11025	GO:0005515	K14962	PF00400 PF12894
SM000003S11029	GO:0003924 GO:0005525		PF00071 PF08477 PF00025
SM000003S11032	GO:0008081 GO:0006629		PF03009
SM000003S11036	GO:0008168 GO:0001510 GO:0009452 GO:0005515	K14292	PF09445 PF13649 PF00397 PF02475 PF08241 PF01170
SM000003S11038	GO:0006508 GO:0004222		PF05649 PF01431
SM000003S11039	GO:0000160		PF00072 PF02518
SM000003S11040	GO:0051260	K21914	PF02214
SM000003S11041	GO:0003735 GO:0019843 GO:0006412 GO:0005840	K02887	PF00453
SM000003S11047	GO:0016021		PF02990
SM000003S11050	GO:0005515 GO:0004842 GO:0016567		PF00514 PF04564
SM000003S11051	GO:0004842 GO:0016567		PF04564
SM000003S11054	GO:0004672 GO:0006468		PF07714
SM000003S11056	GO:0016491	K01008	PF02769 PF07992 PF00586
SM000003S11059	GO:0015165 GO:0090481 GO:0000139 GO:0016021		PF04142
SM000003S11067	GO:0004555 GO:0005991		PF01204 PF03200
SM000003S11069	GO:0003676	K13091	PF00076 PF15519
SM000003S11072	GO:0008658		PF00912 PF00905
SM000003S11074	GO:0006284	K10773	PF00730
SM000003S11075	GO:0034453 GO:0005815		PF09398
SM000003S11078	GO:0030976 GO:0000287 GO:0003824	K01652	PF02776 PF00205 PF02775
SM000003S11079	GO:0008270 GO:0046872		PF13639 PF13923 PF12678 PF00097 PF17123 PF13445
SM000003S11080	GO:0005524 GO:0003677 GO:0016787 GO:0016575 GO:0070823		PF00176 PF00271 PF00855 PF00385 PF06465 PF04851 PF11496
SM000003S11082	GO:0046872		PF13920 PF16040 PF00097
SM000003S11083	GO:0003735 GO:0006412 GO:0005840	K02909	PF01197
SM000003S11087	GO:0005515		PF13418 PF13854 PF13415 PF01344 PF07646
SM000003S11088	GO:0005515		PF00651 PF07707
SM000003S11089	GO:0055085 GO:0016021	K24139	PF03547
SM000003S11090	GO:0016491		PF00175
SM000003S11091	GO:0046872	K22379	PF13639 PF13920 PF13923 PF13445 PF00097
SM000003S11092	GO:0003682		PF01426 PF00628
SM000003S11093	GO:0005515		PF12937 PF00646
SM000003S11095	GO:0003824 GO:0003854 GO:0016616 GO:0006694	K10046	PF01370 PF16363 PF01073
SM000003S11097	GO:0000166 GO:0003677	K02327	PF00136 PF03104 PF14260
SM000003S11099	GO:0005515	K03363	PF00400 PF12894
SM000003S11100	GO:0005524 GO:0042626 GO:0055085 GO:0016021 GO:0009235 GO:0016887		PF06472 PF10229 PF00005
SM000003S11101	GO:0009058	K01657	PF00425 PF04715
SM000003S11102	GO:0007034	K12198	PF03357
SM000003S11104	GO:0004553 GO:0005975	K18577	PF18368 PF00703 PF02836
SM000003S11113	GO:0016788 GO:0006397 GO:0016787	K18328	PF05011 PF00149
SM000003S11114	GO:0050661 GO:0051287	K18121	PF03446 PF14833 PF03807
SM000003S11115	GO:0003676 GO:0008270	K09250	PF00098 PF13917 PF14392
SM000003S11123	GO:0008324 GO:0006812 GO:0055085 GO:0016021	K14696	PF01545
SM000003S11124	GO:0005515		PF13855 PF08263
SM000003S11125	GO:0016209 GO:0016491		PF13905 PF00578
SM000003S11127	GO:0016021		PF01679
SM000003S11129	GO:0005515		PF09273 PF00856
SM000003S11130	GO:0000776 GO:0031262	K11548	PF03800 PF18595
SM000003S11131	GO:0003924	K10389	PF00091 PF03953
SM000003S11133	GO:0030170 GO:0019346 GO:0009058		PF01053 PF00155
SM000003S11134	GO:0022857 GO:0055085		PF06813 PF07690
SM000003S11135	GO:0004356 GO:0006807		PF00120
