Gene ID	GO	KO
GFH05600	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05600" target="_blank">GFH05600</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13025" target="_blank">K13025</a>
GFH05604	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05604" target="_blank">GFH05604</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016779" target="_blank">nucleotidyltransferase activity (GO:0016779)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00966" target="_blank">K00966</a>
GFH05605	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05605" target="_blank">GFH05605</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0051087" target="_blank">chaperone binding (GO:0051087)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0001671" target="_blank">ATPase activator activity (GO:0001671)</a>	
GFH05607	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05607" target="_blank">GFH05607</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10877" target="_blank">K10877</a>
GFH05610	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05610" target="_blank">GFH05610</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	
GFH05615	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05615" target="_blank">GFH05615</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	
GFH05617	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05617" target="_blank">GFH05617</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006511" target="_blank">ubiquitin-dependent protein catabolic process (GO:0006511)</a>	
GFH05618	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05618" target="_blank">GFH05618</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005507" target="_blank">copper ion binding (GO:0005507)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02638" target="_blank">K02638</a>
GFH05624	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05624" target="_blank">GFH05624</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0035556" target="_blank">intracellular signal transduction (GO:0035556)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009190" target="_blank">cyclic nucleotide biosynthetic process (GO:0009190)</a>	
GFH05625	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05625" target="_blank">GFH05625</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0035556" target="_blank">intracellular signal transduction (GO:0035556)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009190" target="_blank">cyclic nucleotide biosynthetic process (GO:0009190)</a>	
GFH05630	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05630" target="_blank">GFH05630</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH05642	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05642" target="_blank">GFH05642</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	
GFH05643	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05643" target="_blank">GFH05643</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008017" target="_blank">microtubule binding (GO:0008017)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10397" target="_blank">K10397</a>
GFH05644	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05644" target="_blank">GFH05644</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008017" target="_blank">microtubule binding (GO:0008017)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10397" target="_blank">K10397</a>
GFH05648	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05648" target="_blank">GFH05648</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02959" target="_blank">K02959</a>
GFH05651	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05651" target="_blank">GFH05651</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
GFH05656	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05656" target="_blank">GFH05656</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	
GFH05674	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05674" target="_blank">GFH05674</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008234" target="_blank">cysteine-type peptidase activity (GO:0008234)</a>	
GFH05687	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05687" target="_blank">GFH05687</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016311" target="_blank">dephosphorylation (GO:0016311)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008138" target="_blank">protein tyrosine/serine/threonine phosphatase activity (GO:0008138)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14165" target="_blank">K14165</a>
GFH05689	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05689" target="_blank">GFH05689</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05695	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05695" target="_blank">GFH05695</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000413" target="_blank">protein peptidyl-prolyl isomerization (GO:0000413)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12735" target="_blank">K12735</a>
GFH05700	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05700" target="_blank">GFH05700</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05703	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05703" target="_blank">GFH05703</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	
GFH05707	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05707" target="_blank">GFH05707</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05708	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05708" target="_blank">GFH05708</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000139" target="_blank">Golgi membrane (GO:0000139)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0090481" target="_blank">pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015165" target="_blank">pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a>	
GFH05711	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05711" target="_blank">GFH05711</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046855" target="_blank">inositol phosphate dephosphorylation (GO:0046855)</a>	
GFH05717	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05717" target="_blank">GFH05717</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016773" target="_blank">phosphotransferase activity, alcohol group as acceptor (GO:0016773)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00844" target="_blank">K00844</a>
GFH05722	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05722" target="_blank">GFH05722</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
GFH05723	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05723" target="_blank">GFH05723</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19760" target="_blank">K19760</a>
GFH05741	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05741" target="_blank">GFH05741</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a>	
GFH05742	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05742" target="_blank">GFH05742</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008652" target="_blank">cellular amino acid biosynthetic process (GO:0008652)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046983" target="_blank">protein dimerization activity (GO:0046983)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016620" target="_blank">oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051287" target="_blank">NAD binding (GO:0051287)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00133" target="_blank">K00133</a>
GFH05744	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05744" target="_blank">GFH05744</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05746	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05746" target="_blank">GFH05746</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0019898" target="_blank">extrinsic component of membrane (GO:0019898)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009654" target="_blank">photosystem II oxygen evolving complex (GO:0009654)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">photosystem II (GO:0009523)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">photosynthesis (GO:0015979)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	
GFH05750	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05750" target="_blank">GFH05750</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05756	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05756" target="_blank">GFH05756</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH05768	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05768" target="_blank">GFH05768</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005730" target="_blank">nucleolus (GO:0005730)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">rRNA processing (GO:0006364)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14549" target="_blank">K14549</a>
GFH05775	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05775" target="_blank">GFH05775</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006480" target="_blank">N-terminal protein amino acid methylation (GO:0006480)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K16219" target="_blank">K16219</a>
GFH05776	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05776" target="_blank">GFH05776</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030244" target="_blank">cellulose biosynthetic process (GO:0030244)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016760" target="_blank">cellulose synthase (UDP-forming) activity (GO:0016760)</a>	
GFH05786	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05786" target="_blank">GFH05786</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05789	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05789" target="_blank">GFH05789</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016311" target="_blank">dephosphorylation (GO:0016311)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008138" target="_blank">protein tyrosine/serine/threonine phosphatase activity (GO:0008138)</a>	
GFH05794	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05794" target="_blank">GFH05794</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01487" target="_blank">K01487</a>
GFH05795	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05795" target="_blank">GFH05795</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01487" target="_blank">K01487</a>
GFH05800	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05800" target="_blank">GFH05800</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	
GFH05801	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05801" target="_blank">GFH05801</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12823" target="_blank">K12823</a>
GFH05806	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05806" target="_blank">GFH05806</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006078" target="_blank">(1->6)-beta-D-glucan biosynthetic process (GO:0006078)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K21850" target="_blank">K21850</a>
GFH05814	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05814" target="_blank">GFH05814</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042626" target="_blank">ATPase-coupled transmembrane transporter activity (GO:0042626)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH05815	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05815" target="_blank">GFH05815</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005744" target="_blank">TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030150" target="_blank">protein import into mitochondrial matrix (GO:0030150)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17796" target="_blank">K17796</a>
GFH05828	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05828" target="_blank">GFH05828</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
GFH05829	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05829" target="_blank">GFH05829</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	
GFH05830	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05830" target="_blank">GFH05830</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	
GFH05834	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05834" target="_blank">GFH05834</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0042025" target="_blank">host cell nucleus (GO:0042025)</a>	
GFH05838	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05838" target="_blank">GFH05838</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02966" target="_blank">K02966</a>
GFH05839	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05839" target="_blank">GFH05839</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	
GFH05841	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05841" target="_blank">GFH05841</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13208" target="_blank">K13208</a>
GFH05842	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05842" target="_blank">GFH05842</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0071569" target="_blank">protein ufmylation (GO:0071569)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12162" target="_blank">K12162</a>
