Gene ID	GO	KOG	ENZYME
ostta01g00830	GO:0015986 GO:0016469		
ostta01g00860	GO:0000049 GO:0004812 GO:0043767 GO:0043816	KOG2241	6.1.1.-
ostta01g00890	GO:0005524 GO:0006810 GO:0015662 GO:0016020 GO:0006812 GO:0015077 GO:0015672 GO:0016021 GO:0005391	KOG0203	3.6.3.9
ostta01g00910	GO:0005634	KOG3073	
ostta01g00920	GO:0003677 GO:0003899	KOG4392	
ostta01g00930	GO:0047172		2.3.1.133
ostta01g00940	GO:0004553 GO:0005975		
ostta01g00950	GO:0001503 GO:0007155		
ostta01g00970	GO:0003743 GO:0006413 GO:0003723	KOG2522	
ostta01g00980	GO:0004427 GO:0009678 GO:0016020		3.6.1.1
ostta01g01030	GO:0005975 GO:0016868 GO:0004615	KOG1220	5.4.2.8
ostta01g01070	GO:0016021		
ostta01g01085	GO:0005783 GO:0016021	KOG3317	
ostta01g01090	GO:0008112	KOG2793	2.1.1.1
ostta01g01130	GO:0004806 GO:0006629	KOG4569	3.1.1.3
ostta01g01140	GO:0005856 GO:0030041	KOG1876	
ostta01g01160	GO:0004109 GO:0005737 GO:0006779 GO:0003824 GO:0051536 GO:0051989		
ostta01g01170	GO:0003676	KOG2242	
ostta01g01180	GO:0005506 GO:0009055 GO:0031072	KOG0716	
ostta01g01210	GO:0005634 GO:0006352	KOG3423	
ostta01g01230	GO:0004664 GO:0009094 GO:0008152 GO:0016597	KOG2797	
ostta01g01270	GO:0005524 GO:0006281 GO:0030870	KOG0962	3.6.-.-
ostta01g01320	GO:0005524 GO:0016887 GO:0000166 GO:0017111	KOG2355	
ostta01g01340	GO:0005245 GO:0005891 GO:0006816 GO:0005216 GO:0006811 GO:0016020	KOG2302	
ostta01g01370	GO:0005515	KOG0531	
ostta01g01380	GO:0006812 GO:0008324 GO:0016020	KOG2802	
ostta01g01410	GO:0005509 GO:0004535	KOG2338	3.1.13.4
ostta01g01420	GO:0003824 GO:0051536		
ostta01g01450	GO:0008652 GO:0004072 GO:0008152 GO:0016597	KOG0456	2.7.2.4
ostta01g01460	GO:0000166 GO:0004812 GO:0005524 GO:0005737 GO:0006412 GO:0006424 GO:0006418 GO:0004819 GO:0006425	KOG1148	6.1.1.18
ostta01g01470	GO:0005743 GO:0008565 GO:0015031	KOG1652	
ostta01g01480	GO:0005515 GO:0008270		
ostta01g01490	GO:0006511	KOG1867	3.4.19.12
ostta01g01500	GO:0000015 GO:0004634 GO:0006096	KOG2670	4.2.1.11
ostta01g01510	GO:0004615 GO:0005737 GO:0019307 GO:0003824 GO:0008152	KOG3189	5.4.2.8
ostta01g01530	GO:0016051 GO:0016758 GO:0003980 GO:0006486 GO:0000009 GO:0000026 GO:0000030 GO:0000033 GO:0001962 GO:0004376 GO:0004576 GO:0004583 GO:0008375 GO:0008376 GO:0008378 GO:0008417 GO:0008755 GO:0008921 GO:0016759 GO:0018715 GO:0018716 GO:0018717 GO:0018718 GO:0019112 GO:0019187 GO:0031278 GO:0033556 GO:0042281 GO:0042283 GO:0045140 GO:0046527 GO:0046920 GO:0046921	KOG1879	2.4.1.-
ostta01g01540	GO:0003676		
ostta01g01550	GO:0003723	KOG2191	
ostta01g01560	GO:0006006 GO:0051287 GO:0047100	KOG0657	1.2.1.13
ostta01g01580	GO:0006457 GO:0016272 GO:0051082		
ostta01g01590	GO:0004585 GO:0006520 GO:0009348 GO:0016597 GO:0016743	KOG1504	2.1.3.3
ostta01g01600	GO:0005515 GO:0016070 GO:0005488	KOG0401	
ostta01g01610			
ostta01g01650	GO:0004147 GO:0008080 GO:0008374 GO:0008951 GO:0016406 GO:0016407 GO:0016408 GO:0016409 GO:0016410 GO:0016411 GO:0016412 GO:0016413 GO:0016414 GO:0016415 GO:0016416 GO:0016417 GO:0016418 GO:0016419 GO:0016420 GO:0016454 GO:0016748 GO:0016749 GO:0016750 GO:0016751 GO:0016752 GO:0016753 GO:0018030 GO:0018031 GO:0018711 GO:0018712 GO:0018713 GO:0019105 GO:0019107 GO:0019186 GO:0019705 GO:0019706 GO:0019707 GO:0032216 GO:0043741 GO:0043764 GO:0043806 GO:0043849 GO:0046941	KOG3574	2.3.1.-
ostta01g01670	GO:0016071	KOG3448	
ostta01g01680	GO:0005622	KOG4567	
ostta01g01690	GO:0006457	KOG0552	
ostta01g01700	GO:0003723	KOG2190	
ostta01g01720	GO:0003677 GO:0003899 GO:0034062	KOG0214	2.7.7.6
ostta01g01740			
ostta01g01750	GO:0003676 GO:0008270 GO:0008033 GO:0017150 GO:0050660	KOG2333	
ostta01g01780	GO:0004672 GO:0005524 GO:0006468 GO:0004674 GO:0005488	KOG0403	
ostta01g01790	GO:0003676	KOG0118	
ostta01g01800	GO:0008565 GO:0015031 GO:0009306 GO:0015450 GO:0016020 GO:0016021		
ostta01g01820	GO:0008080 GO:0008152		
ostta01g01830	GO:0005515 GO:0006886 GO:0016192 GO:0005198 GO:0008565 GO:0030130 GO:0030132 GO:0005488	KOG0985	
ostta01g01850	GO:0045549	KOG1285	
ostta01g01860	GO:0003723 GO:0006396 GO:0008173 GO:0000179 GO:0003880 GO:0008169 GO:0008170 GO:0008171 GO:0008172 GO:0008174 GO:0008175 GO:0008276 GO:0008425 GO:0008649 GO:0008650 GO:0009008 GO:0009383 GO:0016205 GO:0016273 GO:0016274 GO:0016278 GO:0016279 GO:0016300 GO:0016423 GO:0016426 GO:0016427 GO:0016433 GO:0016434 GO:0016435 GO:0016436 GO:0018423 GO:0018707 GO:0019702 GO:0030792 GO:0043770 GO:0043776 GO:0043777 GO:0043780 GO:0043782 GO:0043791 GO:0043803 GO:0043827 GO:0043833 GO:0043834 GO:0043851 GO:0043852	KOG2187	2.1.1.-
ostta01g01940	GO:0005634		
ostta01g01950	GO:0003676 GO:0008270	KOG0118	
ostta01g01980	GO:0003879	KOG2831	2.4.2.17
ostta01g01990	GO:0008477	KOG2938	3.2.2.1
ostta01g02000	GO:0016491 GO:0050661 GO:0008677		1.1.1.169
ostta01g02010	GO:0004722 GO:0006470 GO:0008287 GO:0003824 GO:0004721 GO:0004723 GO:0004724 GO:0005963 GO:0008420 GO:0008597 GO:0017018 GO:0017020 GO:0017023	KOG0698	3.1.3.16
ostta01g02100	GO:0003676		
ostta01g02120	GO:0000439 GO:0006281 GO:0006355 GO:0016251	KOG2487	
ostta01g02130	GO:0003676 GO:0004519		
ostta01g02170	GO:0006508	KOG0840	3.4.21.92
ostta01g02180	GO:0004672 GO:0005524 GO:0006468 GO:0005515 GO:0004674	KOG0619	
ostta01g02210	GO:0005525 GO:0005874 GO:0007017 GO:0005198 GO:0007018 GO:0051258 GO:0003924	KOG1375	
ostta01g02220	GO:0008152 GO:0016491 GO:0004316 GO:0006633 GO:0051287	KOG1200	1.1.1.100
ostta01g02240	GO:0005488		
ostta01g02250	GO:0003899 GO:0005634	KOG2354	
ostta01g02270	GO:0005515 GO:0047598	KOG0678	1.3.1.21
ostta01g02290	GO:0005515 GO:0008270	KOG1844	
ostta01g02320	GO:0003735 GO:0005622 GO:0005840 GO:0006412		
ostta01g02350	GO:0005515 GO:0006886 GO:0016192	KOG2079	
ostta01g02360	GO:0016787 GO:0030145 GO:0005737 GO:0016462 GO:0004309	KOG4129	3.6.1.11
ostta01g02390	GO:0004655 GO:0033014 GO:0046872	KOG2794	4.2.1.24
ostta01g02400	GO:0003735 GO:0005622 GO:0005840 GO:0006412	KOG1754	
ostta01g02410	GO:0003755 GO:0006457	KOG0865	5.2.1.8
ostta01g02440	GO:0003824 GO:0005992 GO:0003825	KOG1050	
ostta01g02450	GO:0005525	KOG1490	
ostta01g02460	GO:0003824	KOG1379	
ostta01g02480	GO:0005737 GO:0006520 GO:0016620 GO:0051287 GO:0004073 GO:0009086 GO:0009088 GO:0008652 GO:0050661 GO:0046983	KOG4777	1.2.1.11
ostta01g02490	GO:0005198 GO:0005515 GO:0006886 GO:0008565 GO:0016192 GO:0030117	KOG0276	
ostta01g02500	GO:0003723 GO:0004525 GO:0006396 GO:0016443		3.1.26.-
ostta01g02520	GO:0016787	KOG1135	
ostta01g02560	GO:0005622 GO:0006396	KOG1972	
ostta01g02580	GO:0003677 GO:0005524 GO:0006270 GO:0008094 GO:0005634	KOG0480	
ostta01g02640	GO:0008152		
ostta01g02650	GO:0003997 GO:0005777 GO:0006635 GO:0003995 GO:0016627 GO:0008152 GO:0006631 GO:0050660	KOG0136	1.3.3.6
ostta01g02680	GO:0003723 GO:0006396	KOG0007	
ostta01g02690	GO:0000151 GO:0004842 GO:0016567 GO:0051438 GO:0051443 GO:0051444	KOG4642	6.3.2.19
ostta01g02700	GO:0005524 GO:0016021 GO:0016469 GO:0042626 GO:0046961 GO:0015986 GO:0016020 GO:0046933	KOG0233	
ostta01g02730	GO:0003824 GO:0008152		
ostta01g02740	GO:0005506 GO:0016226 GO:0051536 GO:0005515	KOG3361	
ostta01g02750	GO:0004806 GO:0006629 GO:0004620 GO:0016298 GO:0018731 GO:0018732 GO:0018733 GO:0018734	KOG2088	3.1.1.-
ostta01g02760	GO:0003824 GO:0005975 GO:0030246		
ostta01g02770	GO:0003824 GO:0008152 GO:0009190 GO:0016849	KOG0618	
ostta01g02780	GO:0004888 GO:0007165 GO:0031224 GO:0045087 GO:0005488 GO:0004632		6.3.2.5
ostta01g02825	GO:0003676		
ostta01g02845	GO:0000009 GO:0000026 GO:0000030 GO:0000033 GO:0001962 GO:0003980 GO:0004376 GO:0004576 GO:0004583 GO:0008375 GO:0008376 GO:0008378 GO:0008417 GO:0008755 GO:0008921 GO:0016759 GO:0018715 GO:0018716 GO:0018717 GO:0018718 GO:0019112 GO:0019187 GO:0031278 GO:0033556 GO:0042281 GO:0042283 GO:0045140 GO:0046527 GO:0046920 GO:0046921	KOG3893	2.4.1.-
ostta01g02847	GO:0004667	KOG1695	5.3.99.2
ostta01g02850	GO:0004672 GO:0005524 GO:0006468 GO:0004674	KOG0583	
ostta01g02870	GO:0008152 GO:0016491 GO:0034256	KOG0725	
ostta01g02890	GO:0006464 GO:0004721 GO:0004723 GO:0004724 GO:0005963 GO:0008420 GO:0008597 GO:0017018 GO:0017020 GO:0017023	KOG1605	3.1.3.16
ostta01g02895	GO:0003723 GO:0006396 GO:0008173 GO:0000179 GO:0003880 GO:0008169 GO:0008170 GO:0008171 GO:0008172 GO:0008174 GO:0008175 GO:0008276 GO:0008425 GO:0008649 GO:0008650 GO:0009008 GO:0009383 GO:0016205 GO:0016273 GO:0016274 GO:0016278 GO:0016279 GO:0016300 GO:0016423 GO:0016426 GO:0016427 GO:0016433 GO:0016434 GO:0016435 GO:0016436 GO:0018423 GO:0018707 GO:0019702 GO:0030792 GO:0043770 GO:0043776 GO:0043777 GO:0043780 GO:0043782 GO:0043791 GO:0043803 GO:0043827 GO:0043833 GO:0043834 GO:0043851 GO:0043852	KOG0838	2.1.1.-
ostta01g02930	GO:0003676 GO:0004386 GO:0005524 GO:0008026 GO:0016818	KOG0947	3.6.4.-
ostta01g02940	GO:0008152		
ostta01g02950	GO:0005515		
ostta01g02960	GO:0004045 GO:0006412	KOG2255	3.1.1.29
ostta01g02970	GO:0005669 GO:0006352 GO:0003677	KOG1142	
ostta01g02990	GO:0006511	KOG1870	3.4.19.12
ostta01g03000	GO:0006400 GO:0008479 GO:0008616	KOG3908	2.4.2.29
ostta01g03020	GO:0003824 GO:0008152 GO:0004165	KOG1683	5.3.3.8
ostta01g03030	GO:0003824 GO:0050660 GO:0016491 GO:0051536 GO:0004458	KOG1231	1.1.2.4
ostta01g03040	GO:0004332 GO:0006096	KOG1557	4.1.2.13
ostta01g03050	GO:0004553 GO:0005975 GO:0030246 GO:0003824 GO:0043169 GO:0051060 GO:0019156	KOG0470	3.2.1.68
ostta01g03060	GO:0016787 GO:0008806	KOG3043	3.1.1.45
ostta01g03070	GO:0001671 GO:0005737 GO:0051087	KOG2936	
ostta01g03100	GO:0003676 GO:0004386 GO:0005524 GO:0008026	KOG0925	
ostta01g03110	GO:0004175 GO:0005839 GO:0006511 GO:0004298	KOG0174	3.4.25.1
ostta01g03120	GO:0004514 GO:0009435 GO:0004516 GO:0019363	KOG2511	
ostta01g03130	GO:0005515 GO:0008270 GO:0003676 GO:0004842 GO:0051438 GO:0051443 GO:0051444	KOG0287	6.3.2.19
ostta01g03140	GO:0004129 GO:0005740	KOG3352	
ostta01g03150	GO:0003735 GO:0005622 GO:0005840 GO:0006412	KOG0400	
ostta01g03170	GO:0005509 GO:0009654 GO:0015979 GO:0019898		
ostta01g03190	GO:0003743 GO:0006413	KOG3271	
ostta01g03210	GO:0005622 GO:0006810	KOG2104	
ostta01g03230	GO:0005509 GO:0009654 GO:0015979 GO:0019898		
ostta01g03250	GO:0005509	KOG2643	
ostta01g03280	GO:0016874 GO:0003824 GO:0005524 GO:0008152 GO:0009374	KOG0368	
ostta01g03310	GO:0005509		
ostta01g03320	GO:0016021	KOG1278	
ostta01g03330	GO:0016706 GO:0019538 GO:0004656 GO:0016222 GO:0019798	KOG1591	1.14.11.2
ostta01g03350	GO:0008270	KOG1609	
ostta01g03380	GO:0003677 GO:0003899 GO:0005666 GO:0006383	KOG3122	
ostta01g03390	GO:0004853 GO:0006779	KOG2872	4.1.1.37
ostta01g03410	GO:0003824	KOG2018	
ostta01g03420	GO:0004427 GO:0009678 GO:0016020		3.6.1.1
ostta01g03440	GO:0016787 GO:0000210	KOG3084	3.6.1.22
ostta01g03480	GO:0003676 GO:0005622	KOG2809	
ostta01g03490			
ostta01g03500	GO:0006508 GO:0008235 GO:0030145	KOG2414	3.4.11.9
ostta01g03530	GO:0005488 GO:0005743 GO:0006810	KOG0768	
ostta01g03560	GO:0031072	KOG1124	
ostta01g03570	GO:0005515 GO:0016070 GO:0005488	KOG2140	
ostta01g03580	GO:0003723 GO:0006396 GO:0003676	KOG0151	
ostta01g03600	GO:0003883 GO:0006221	KOG2387	6.3.4.2
ostta01g03620	GO:0008152		
ostta01g03630	GO:0003676 GO:0008270 GO:0005643 GO:0006810	KOG0845	
ostta01g03640	GO:0004601 GO:0006979 GO:0020037 GO:0016688		1.11.1.11
ostta01g03650	GO:0008152 GO:0016491 GO:0004344 GO:0018446 GO:0018447 GO:0018448 GO:0018449 GO:0018450 GO:0042469 GO:0045703	KOG1208	1.1.-.-
ostta01g03720	GO:0003677 GO:0005622	KOG2744	
ostta01g03760	GO:0005524 GO:0000166 GO:0017111 GO:0016787 GO:0005488	KOG0730	3.4.24.-
ostta01g03770	GO:0015986 GO:0016020 GO:0016469 GO:0046933 GO:0046961	KOG1531	
ostta01g03790	GO:0005525 GO:0003924	KOG0446	
ostta01g03810	GO:0005975 GO:0016614 GO:0004367 GO:0006072 GO:0009331 GO:0016491 GO:0005737 GO:0016616 GO:0046168 GO:0051287	KOG2711	1.1.1.8
ostta01g03840	GO:0003824 GO:0008152		
ostta01g03850	GO:0031072	KOG0715	
ostta01g03880	GO:0003700 GO:0005634 GO:0006355 GO:0043565 GO:0046983	KOG1414	
ostta01g03890	GO:0000786 GO:0003677 GO:0005634 GO:0006334	KOG1745	
ostta01g03910	GO:0005509	KOG0027	
ostta01g03930	GO:0000228	KOG1213	
ostta01g03940	GO:0006457 GO:0016272 GO:0051082	KOG3478	
ostta01g03970	GO:0005634 GO:0006355	KOG4204	
ostta01g03990	GO:0006457 GO:0005515 GO:0003755	KOG0552	5.2.1.8
ostta01g04010	GO:0000179 GO:0003880 GO:0008169 GO:0008170 GO:0008171 GO:0008172 GO:0008173 GO:0008174 GO:0008175 GO:0008276 GO:0008425 GO:0008649 GO:0008650 GO:0009008 GO:0009383 GO:0016205 GO:0016273 GO:0016274 GO:0016278 GO:0016279 GO:0016300 GO:0016423 GO:0016426 GO:0016427 GO:0016433 GO:0016434 GO:0016435 GO:0016436 GO:0018423 GO:0018707 GO:0019702 GO:0030792 GO:0043770 GO:0043776 GO:0043777 GO:0043780 GO:0043782 GO:0043791 GO:0043803 GO:0043827 GO:0043833 GO:0043834 GO:0043851 GO:0043852	KOG2187	2.1.1.-
ostta01g04030	GO:0003723 GO:0003735 GO:0006412 GO:0015934 GO:0016740	KOG0438	
ostta01g04050	GO:0005509 GO:0009654 GO:0015979 GO:0019898		
ostta01g04100	GO:0005524 GO:0006605 GO:0006886 GO:0016020 GO:0017038 GO:0005515		
ostta01g04110	GO:0003723 GO:0006396	KOG2138	
ostta01g04120	GO:0000166 GO:0017111 GO:0005524 GO:0016887	KOG1808	
ostta01g04150	GO:0000166 GO:0004812 GO:0005524 GO:0005737 GO:0006412 GO:0006424 GO:0004818 GO:0009332	KOG1149	6.1.1.17
ostta01g04180	GO:0004563 GO:0005975		
ostta01g04230	GO:0008152 GO:0016491 GO:0004029	KOG2456	1.2.1.3
ostta01g04250	GO:0008168	KOG1540	
ostta01g04270	GO:0004672 GO:0005524 GO:0006468 GO:0004674	KOG0600	
ostta01g04275	GO:0005801 GO:0006888 GO:0006810	KOG3368	
ostta01g04280	GO:0005515 GO:0008270	KOG2421	
ostta01g04320	GO:0005525 GO:0005874 GO:0007017 GO:0005198 GO:0007018 GO:0051258 GO:0003924	KOG1375	
ostta01g04330	GO:0009055 GO:0015035 GO:0045454	KOG0911	
ostta01g04340	GO:0000166 GO:0004812 GO:0005524 GO:0005737 GO:0006412 GO:0006424 GO:0006418 GO:0004818 GO:0009332	KOG1147	6.1.1.17
ostta01g04370	GO:0035299	KOG4749	
ostta01g04410	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0006412	KOG1686	
ostta01g04440	GO:0005198 GO:0005515 GO:0006886 GO:0008565 GO:0016192 GO:0030130 GO:0030132		
ostta01g04460	GO:0003924 GO:0005525	KOG0463	
ostta01g04470			
ostta01g04490	GO:0009058 GO:0016769 GO:0030170 GO:0008483 GO:0004838	KOG0259	2.6.1.5
ostta01g04510	GO:0004797 GO:0005524	KOG3125	2.7.1.21
ostta01g04520	GO:0031072	KOG0714	
ostta01g04550	GO:0005524	KOG3022	
ostta01g04560	GO:0003824 GO:0008152 GO:0016740	KOG1176	
ostta01g04570	GO:0016706 GO:0019538		
ostta01g04600	GO:0005524 GO:0016887 GO:0000166 GO:0017111 GO:0006810 GO:0016021 GO:0042626 GO:0008559	KOG0055	3.6.3.44
ostta01g04620	GO:0005506 GO:0009055 GO:0010181 GO:0016491 GO:0003958	KOG1158	1.6.2.4
ostta01g04630	GO:0003700 GO:0005634 GO:0006355 GO:0003677		
ostta01g04650	GO:0004553 GO:0005576 GO:0005975 GO:0030248 GO:0005515	KOG0619	
ostta01g04660	GO:0005524 GO:0006810 GO:0015662 GO:0016020 GO:0006812 GO:0005388	KOG0202	3.6.3.8
ostta01g04700	GO:0003723		
ostta01g04710	GO:0051864	KOG2132	
ostta01g04720	GO:0016020	KOG1021	
ostta01g04730	GO:0005743 GO:0008565 GO:0015031	KOG3225	
ostta01g04740	GO:0004518 GO:0006281 GO:0003677 GO:0003824 GO:0005634 GO:0042578 GO:0043765	KOG2518	3.1.-.-
ostta01g04790	GO:0005488	KOG2011	
ostta01g04820	GO:0006801 GO:0046872		
ostta01g04840	GO:0003676	KOG0118	
ostta01g04860	GO:0009055 GO:0015035 GO:0045454	KOG0911	
ostta01g04870	GO:0008080 GO:0008152		
ostta01g04890	GO:0051864	KOG2132	
ostta01g04900	GO:0006508 GO:0008234	KOG1543	3.4.18.1
ostta01g04910	GO:0000009 GO:0000026 GO:0000030 GO:0000033 GO:0001962 GO:0003980 GO:0004376 GO:0004576 GO:0004583 GO:0008375 GO:0008376 GO:0008378 GO:0008417 GO:0008755 GO:0008921 GO:0016759 GO:0018715 GO:0018716 GO:0018717 GO:0018718 GO:0019112 GO:0019187 GO:0031278 GO:0033556 GO:0042281 GO:0042283 GO:0045140 GO:0046527 GO:0046920 GO:0046921		2.4.1.-
ostta01g04920	GO:0004222 GO:0005524 GO:0006508 GO:0000166 GO:0017111 GO:0016020 GO:0030163	KOG0731	3.4.24.-
ostta01g04950	GO:0000166 GO:0017111 GO:0005524 GO:0005634 GO:0005737 GO:0016787 GO:0030163	KOG0729	
ostta01g04970	GO:0003677	KOG2009	
ostta01g04980	GO:0003676 GO:0004386 GO:0005524 GO:0008026	KOG0346	
ostta01g05000	GO:0005515 GO:0004252 GO:0006508 GO:0003824	KOG1320	
ostta01g05005	GO:0004175 GO:0005839 GO:0006511 GO:0004298	KOG0183	3.4.25.1
ostta01g05010	GO:0003676 GO:0004519	KOG3721	
ostta01g05020	GO:0004356 GO:0006807		6.3.1.2
ostta01g05030	GO:0004672 GO:0005524 GO:0006468 GO:0004674	KOG1027	
ostta01g05040	GO:0005524 GO:0006139 GO:0019205 GO:0016776	KOG3079	
ostta01g05060	GO:0008113 GO:0033743	KOG0856	
ostta01g05070	GO:0004842 GO:0051438 GO:0051443 GO:0051444	KOG1217	6.3.2.19
ostta01g05080	GO:0016706 GO:0019538 GO:0004656 GO:0016222 GO:0019798	KOG1591	1.14.11.2
ostta01g05090	GO:0004143 GO:0007205 GO:0003951 GO:0008152 GO:0008481	KOG1116	2.7.1.91
ostta01g05110	GO:0004526	KOG1347	3.1.26.5
ostta01g05155	GO:0003824 GO:0046421	KOG1260	4.1.3.30
ostta01g05160	GO:0003700 GO:0005634 GO:0006355 GO:0043565	KOG0014	
ostta01g05190	GO:0008380 GO:0005681	KOG2808	
ostta01g05200	GO:0003697 GO:0006260		
ostta01g05240	GO:0016773 GO:0016772 GO:0005488	KOG0891	
ostta01g05250	GO:0005777 GO:0016020	KOG2629	
ostta01g05260	GO:0003824 GO:0019752 GO:0046912 GO:0003852 GO:0009098	KOG2367	
ostta01g05290	GO:0005975 GO:0016853 GO:0003824 GO:0030246 GO:0047938	KOG1594	5.1.3.15
ostta01g05320	GO:0004298 GO:0005839 GO:0006511	KOG0180	3.4.25.1
ostta01g05340	GO:0000166 GO:0017111 GO:0005524 GO:0005515 GO:0015031 GO:0016887	KOG0745	
ostta01g05360	GO:0003735 GO:0005622 GO:0005840 GO:0006412	KOG4708	
ostta01g05380	GO:0008152 GO:0016491	KOG1611	
ostta01g05400	GO:0004784 GO:0016151 GO:0016209		
ostta01g05420	GO:0003755 GO:0006457	KOG0882	5.2.1.8
ostta01g05430	GO:0008270	KOG0706	
ostta01g05440	GO:0005488	KOG1525	
ostta01g05450	GO:0016020	KOG2952	
ostta01g05460	GO:0005673 GO:0006367	KOG2593	
ostta01g05480	GO:0006626 GO:0042719 GO:0045039	KOG1733	
ostta01g05490	GO:0004672 GO:0005524 GO:0006468 GO:0003824 GO:0004674	KOG0603	
ostta01g05510	GO:0005515 GO:0008270	KOG4275	
ostta01g05540	GO:0003954 GO:0005739 GO:0008137	KOG3468	
ostta01g05550	GO:0004497 GO:0005506 GO:0020037 GO:0018585 GO:0018586 GO:0018588 GO:0018589 GO:0018590 GO:0018591 GO:0018592 GO:0018593 GO:0018594 GO:0018595 GO:0018596 GO:0018597 GO:0018598 GO:0018599 GO:0018600 GO:0043823	KOG0157	1.14.-.-
ostta01g05560	GO:0008152 GO:0016624 GO:0004739	KOG0225	1.2.4.1
ostta01g05570	GO:0016020		
ostta01g05580	GO:0004672 GO:0005524 GO:0006468	KOG1235	
ostta01g05590	GO:0006885 GO:0015299 GO:0016021	KOG1965	
ostta01g05600	GO:0005634 GO:0005643 GO:0005737 GO:0006886 GO:0008565 GO:0006915 GO:0008283 GO:0005488	KOG1992	
ostta01g05610	GO:0000166 GO:0017111 GO:0005524 GO:0004222 GO:0008270 GO:0016021	KOG0730	3.4.24.-
ostta01g05620	GO:0008152	KOG2840	
ostta01g05630	GO:0003677 GO:0005524 GO:0000785 GO:0003682 GO:0005634 GO:0006333 GO:0003676 GO:0004386	KOG0384	
ostta01g05660	GO:0003676	KOG0226	
ostta01g05670	GO:0003676	KOG0108	
ostta01g05680	GO:0004672 GO:0005524 GO:0006468 GO:0004674	KOG0670	
ostta01g05690	GO:0015979 GO:0015995 GO:0016851 GO:0005524 GO:0006779		
