Gene ID	GO
BathyCg00085	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00085" target="_blank">BathyCg00085</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">GO:0009055</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009773" target="_blank">GO:0009773</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051539" target="_blank">GO:0051539</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042651" target="_blank">GO:0042651</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009522" target="_blank">GO:0009522</a>
BathyCg00120	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00120" target="_blank">BathyCg00120</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015986" target="_blank">GO:0015986</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045261" target="_blank">GO:0045261</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046961" target="_blank">GO:0046961</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046933" target="_blank">GO:0046933</a>
BathyCg00290	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00290" target="_blank">BathyCg00290</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009539" target="_blank">GO:0009539</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00125	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00125" target="_blank">BathyCg00125</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009539" target="_blank">GO:0009539</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00286	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00286" target="_blank">BathyCg00286</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009522" target="_blank">GO:0009522</a>
BathyCg00130	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00130" target="_blank">BathyCg00130</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003899" target="_blank">GO:0003899</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">GO:0006351</a>
BathyCg00292	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00292" target="_blank">BathyCg00292</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006413" target="_blank">GO:0006413</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003743" target="_blank">GO:0003743</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">GO:0003723</a>
BathyCg00140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00140" target="_blank">BathyCg00140</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015986" target="_blank">GO:0015986</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045263" target="_blank">GO:0045263</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015078" target="_blank">GO:0015078</a>
BathyCg00301	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00301" target="_blank">BathyCg00301</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003899" target="_blank">GO:0003899</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">GO:0003677</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006351" target="_blank">GO:0006351</a>
BathyCg00303	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00303" target="_blank">BathyCg00303</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
BathyCg00296	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00296" target="_blank">BathyCg00296</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
BathyCg00304	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00304" target="_blank">BathyCg00304</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
BathyCg00298	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00298" target="_blank">BathyCg00298</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015935" target="_blank">GO:0015935</a>
BathyCg00190	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00190" target="_blank">BathyCg00190</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015935" target="_blank">GO:0015935</a>
BathyCg00299	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00299" target="_blank">BathyCg00299</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
BathyCg00305	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00305" target="_blank">BathyCg00305</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009539" target="_blank">GO:0009539</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042549" target="_blank">GO:0042549</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00306	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00306" target="_blank">BathyCg00306</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009772" target="_blank">GO:0009772</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019684" target="_blank">GO:0019684</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045156" target="_blank">GO:0045156</a>
BathyCg00307	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00307" target="_blank">BathyCg00307</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009772" target="_blank">GO:0009772</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009521" target="_blank">GO:0009521</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045156" target="_blank">GO:0045156</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019684" target="_blank">GO:0019684</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030076" target="_blank">GO:0030076</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016168" target="_blank">GO:0016168</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00308	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00308" target="_blank">BathyCg00308</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019684" target="_blank">GO:0019684</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030076" target="_blank">GO:0030076</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045156" target="_blank">GO:0045156</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00240" target="_blank">BathyCg00240</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016168" target="_blank">GO:0016168</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00250	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00250" target="_blank">BathyCg00250</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">GO:0009055</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>
BathyCg00309	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00309" target="_blank">BathyCg00309</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009539" target="_blank">GO:0009539</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00310	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00310" target="_blank">BathyCg00310</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009539" target="_blank">GO:0009539</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00311	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00311" target="_blank">BathyCg00311</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009539" target="_blank">GO:0009539</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">GO:0020037</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019684" target="_blank">GO:0019684</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009767" target="_blank">GO:0009767</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00260	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00260" target="_blank">BathyCg00260</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">GO:0046872</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009523" target="_blank">GO:0009523</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">GO:0015979</a>
BathyCg00270	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00270" target="_blank">BathyCg00270</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">GO:0005524</a>
BathyCg00312	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyCg00312" target="_blank">BathyCg00312</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015935" target="_blank">GO:0015935</a>
BathyMg00251	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00251" target="_blank">BathyMg00251</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015935" target="_blank">GO:0015935</a>
BathyMg00020	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00020" target="_blank">BathyMg00020</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a>
BathyMg00030	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00030" target="_blank">BathyMg00030</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015986" target="_blank">GO:0015986</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045263" target="_blank">GO:0045263</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015078" target="_blank">GO:0015078</a>
BathyMg00253	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00253" target="_blank">BathyMg00253</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008137" target="_blank">GO:0008137</a>
BathyMg00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00040" target="_blank">BathyMg00040</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005507" target="_blank">GO:0005507</a>
BathyMg00050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00050" target="_blank">BathyMg00050</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004129" target="_blank">GO:0004129</a>
BathyMg00060	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00060" target="_blank">BathyMg00060</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0042773" target="_blank">GO:0042773</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008137" target="_blank">GO:0008137</a>
BathyMg00070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00070" target="_blank">BathyMg00070</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0042773" target="_blank">GO:0042773</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008137" target="_blank">GO:0008137</a>
BathyMg00080	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00080" target="_blank">BathyMg00080</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0042773" target="_blank">GO:0042773</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008137" target="_blank">GO:0008137</a>
BathyMg00090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00090" target="_blank">BathyMg00090</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015935" target="_blank">GO:0015935</a>
BathyMg00100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00100" target="_blank">BathyMg00100</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">GO:0009055</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">GO:0016020</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">GO:0016491</a>
BathyMg00110	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00110" target="_blank">BathyMg00110</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">GO:0009055</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">GO:0020037</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">GO:0005506</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">GO:0016021</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009060" target="_blank">GO:0009060</a>
BathyMg00120	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00120" target="_blank">BathyMg00120</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015986" target="_blank">GO:0015986</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000276" target="_blank">GO:0000276</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015078" target="_blank">GO:0015078</a>
BathyMg00130	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00130" target="_blank">BathyMg00130</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015986" target="_blank">GO:0015986</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000276" target="_blank">GO:0000276</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015078" target="_blank">GO:0015078</a>
BathyMg00140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00140" target="_blank">BathyMg00140</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0051539" target="_blank">GO:0051539</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0048038" target="_blank">GO:0048038</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008137" target="_blank">GO:0008137</a>
BathyMg00150	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00150" target="_blank">BathyMg00150</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016651" target="_blank">GO:0016651</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a>
BathyMg00155	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00155" target="_blank">BathyMg00155</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">GO:0055114</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008137" target="_blank">GO:0008137</a>
BathyMg00170	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00170" target="_blank">BathyMg00170</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
BathyMg00180	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00180" target="_blank">BathyMg00180</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015935" target="_blank">GO:0015935</a>
BathyMg00254	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00254" target="_blank">BathyMg00254</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
BathyMg00185	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00185" target="_blank">BathyMg00185</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">GO:0005840</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">GO:0005622</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
BathyMg00255	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/BathyMg00255" target="_blank">BathyMg00255</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0015934" target="_blank">GO:0015934</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">GO:0006412</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">GO:0003735</a>
