Gene ID	GO	KO	KOG	ENZYME	PANTHER	PFAM
Cre01.g002787	GO:0005975 GO:0004553 GO:0016020 GO:0005044		KOG2806		PTHR11177 PTHR11177:SF157	PF03762 PF00704 PF00530 PF00059
Cre01.g003050	GO:0015031 GO:0006904 GO:0000145		KOG3691		PTHR14146	PF04048
Cre01.g003200	GO:0016491			1.1.1.179	PTHR22604 PTHR22604:SF136	PF01408
Cre01.g003300	GO:0006865				PTHR30483 PTHR30483:SF6	PF13458
Cre01.g003463	GO:0030983 GO:0006298 GO:0005524	K08735	KOG0219		PTHR11361 PTHR11361:SF35	PF05188 PF01624 PF05192 PF00488
Cre01.g003751	GO:0055085 GO:0016020 GO:0006811 GO:0005216				PTHR10217	PF00520
Cre01.g003800	GO:0006468 GO:0004672			2.7.11.25	PTHR23257	PF07714
Cre01.g003850	GO:0055114 GO:0020037 GO:0016705 GO:0005506		KOG0157	1.14.14.1	PTHR24291	PF00067
Cre01.g004300	GO:0006529 GO:0004066	K01953		6.3.5.4	PTHR11772 PTHR11772:SF13	PF13522 PF00733
Cre01.g004350	GO:0005515	K12200	KOG2220		PTHR23030	PF13949 PF03097
Cre01.g004500	GO:0008152	K01703	KOG0454	4.2.1.33	PTHR11670	PF00330
Cre01.g004550	GO:0005515			2.7.12.1 2.7.10.2	PTHR22998	PF00536
Cre01.g004651	GO:0005622 GO:0003676			3.6.4.12		PF00570
Cre01.g004700	GO:0016021				PTHR15422	PF03188
Cre01.g004850	GO:0016787 GO:0005524 GO:0003677 GO:0006351 GO:0005634				PTHR30195 PTHR30195:SF13	PF04851 PF07500 PF08711
Cre01.g005050	GO:0016020	K06816			PTHR11884 PTHR11884:SF1	PF00839
Cre01.g005200	GO:0006629				PTHR21493 PTHR21493:SF153	PF01764
Cre01.g005300	GO:0006865				PTHR30483 PTHR30483:SF6	
Cre01.g005550	GO:0007264 GO:0005525	K07943	KOG0073		PTHR11711 PTHR11711:SF26	PF08477
Cre01.g005600	GO:0051536 GO:0009055					PF00111
Cre01.g005900	GO:0005515	K10290	KOG4408		PTHR14289 PTHR14289:SF16	PF12937 PF04379
Cre01.g006100	GO:0051536 GO:0009055			1.14.14.1		PF00111
Cre01.g006150	GO:0005525			3.6.5.3	PTHR23115 PTHR23115:SF69	PF03144 PF16658 PF00009
Cre01.g006950	GO:0006096 GO:0004332	K01623	KOG1557	4.1.2.13	PTHR11627 PTHR11627:SF6	PF00274
Cre01.g007000	GO:0016887 GO:0005524 GO:0016020		KOG0061		PTHR19241	PF00005 PF01061
Cre01.g007051	GO:0006412 GO:0005840 GO:0003735	K08770 K02927	KOG0003		PTHR10666	PF11976 PF01020
Cre01.g007150	GO:0005515		KOG2659		PTHR12864 PTHR12864:SF14	PF10607 PF00622
Cre01.g007200	GO:0008270	K16675	KOG1311	2.3.1.225	PTHR22883 PTHR22883:SF80	PF01529
Cre01.g007500	GO:0055085 GO:0016020 GO:0006810 GO:0005215		KOG2349		PTHR11819 PTHR11819:SF12	PF00474
Cre01.g007600	GO:0016872			5.5.1.6	PTHR28039	PF02431
Cre01.g007651	GO:0009982 GO:0009451 GO:0003723 GO:0001522	K06176		5.4.99.27	PTHR13326	PF01142
Cre01.g007700	GO:0006508 GO:0005622 GO:0004177	K01255	KOG2597	3.4.11.1 3.4.11.5	PTHR11963 PTHR11963:SF17	PF02789 PF00883
Cre01.g007737	GO:0016021 GO:0006810				PTHR31585 PTHR31585:SF0	PF03092
Cre01.g007901	GO:0055085 GO:0016020 GO:0015297 GO:0015238 GO:0006855	K03327 character(0)	KOG1347 character(0)		PTHR11206 character(0) c("PTHR11206", "PTHR11206:SF95")	PF01554 character(0)
Cre01.g007950	GO:0055114 GO:0020037 GO:0016705 GO:0005506	K15877		1.7.1.14 1.7.2.5	PTHR24286 PTHR24286:SF69	PF00067
Cre01.g008000	GO:0003723	K18666	KOG2814		PTHR13360 PTHR13360:SF1	PF13563 PF00013
Cre01.g008150	GO:0003824 GO:0006468 GO:0005524 GO:0004672 GO:0006470 GO:0004722			2.7.11.24	PTHR13832	PF00481 PF00069
Cre01.g008402	GO:0006468 GO:0005524 GO:0004672			2.7.11.1	PTHR23257 PTHR23257:SF394	PF00069
Cre01.g008450	GO:0000775	K11548	KOG4438		PTHR21650 PTHR21650:SF2	PF03800
Cre01.g008550	GO:0006468 GO:0004672		KOG0667	2.7.12.1	PTHR24058 PTHR24058:SF23	PF07714
Cre01.g008600	GO:0016757 GO:0006486			2.7.11.1	PTHR31646	PF11051
Cre01.g008650	GO:0006468 GO:0005524 GO:0004672		KOG0593	2.7.11.22 2.7.11.23	PTHR24055 PTHR24055:SF137	PF00069
Cre01.g009101	GO:0008270 GO:0005515					PF13639
Cre01.g009250	GO:0006265 GO:0005524 GO:0003918 GO:0003677	K03164		5.99.1.3	PTHR10169 PTHR10169:SF38	PF01751 PF02518 PF00204 PF16898 PF00521
Cre01.g009300	GO:0005515 GO:0042578				PTHR11200 PTHR11200:SF119	PF00397 PF02383
Cre01.g009350	GO:0009446 GO:0004668	K10536		3.5.3.12	PTHR31377 PTHR31377:SF0	PF04371
Cre01.g009400	GO:0055085 GO:0016020 GO:0006810 GO:0005215				PTHR11819 PTHR11819:SF12	PF00474
Cre01.g009500	GO:0006468 GO:0005524 GO:0004672	K13412	KOG0032	2.7.11.1	PTHR24349	PF13499 PF00069
Cre01.g009550	GO:0008080				PTHR21471 PTHR21471:SF63	PF00583
Cre01.g009575	GO:0006355 GO:0003700 GO:0007275				PTHR32467	PF00847
Cre01.g009650	GO:0006355 GO:0003700 GO:0007275				PTHR32467	PF00847
Cre01.g009700	GO:0003824		KOG1379	3.1.3.16	PTHR12320 PTHR12320:SF15	PF07228
Cre01.g009950	GO:0008168	K14568	KOG3073	2.1.1.257	PTHR12636 PTHR12636:SF5	PF03587
Cre01.g010000	GO:0006468 GO:0005524 GO:0004672	K14512		2.7.11.24	PTHR24055 PTHR24055:SF10	PF00069
Cre01.g010100	GO:0008080			2.3.1.128		PF00583
Cre01.g010150	GO:0005525				PTHR11089	PF01926
Cre01.g010250	GO:0003824		KOG1379	3.1.3.16	PTHR12320 PTHR12320:SF15	PF07228
Cre01.g010350	GO:0006464	K03801	KOG0325	2.3.1.181	PTHR10993 PTHR10993:SF7	PF03099
Cre01.g010450	GO:0005515					PF00397
Cre01.g010700	GO:0005515		KOG0811		PTHR19957 PTHR19957:SF38	PF05739 PF14523
Cre01.g010800	GO:0036459 GO:0016579			3.4.19.12	PTHR24006	PF00443
Cre01.g010832	GO:0008234 GO:0006508		KOG1543	3.4.22.16	PTHR12411 PTHR12411:SF389	PF08246 PF00112
Cre01.g010864	GO:0006415 GO:0003747 GO:0016149 GO:0005737	K02836			PTHR11075 PTHR11075:SF46	PF00472 PF03462
Cre01.g010880	GO:0005515	K18598	KOG2106		PTHR13720	PF00400 PF03451
Cre01.g010900	GO:0055114 GO:0016620	K05298	KOG0657	1.2.1.13	PTHR10836 PTHR10836:SF38	PF00044 PF02800
Cre01.g010950	GO:0005515		KOG4412		PTHR24198	PF13920 PF00023 PF12796
Cre01.g011000	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02934	KOG1694		PTHR10715	PF01159
Cre01.g011100	GO:0003824	K01853		5.4.99.8	PTHR11764 PTHR11764:SF20	PF00432
Cre01.g011150	GO:0046983					PF00010
Cre01.g011200	GO:0006367 GO:0005669				PTHR12228	PF04658
Cre01.g011300	GO:0006508 GO:0004185	K09645	KOG1282	3.4.16.5	PTHR11802	PF00450
Cre01.g011350	GO:0006367 GO:0005634	K03135			PTHR13218	PF04719
Cre01.g011500	GO:0005515	K03030	KOG1555	3.4.25.1	PTHR10410 PTHR10410:SF5	PF13012 PF01398
Cre01.g011600	GO:0006355 GO:0005634 GO:0003700		KOG4693		PTHR23244	PF01486 PF13920 PF13415 PF13854 PF13418
Cre01.g011800	GO:0006468 GO:0004672		KOG0581	2.7.12.1	PTHR23257 PTHR23257:SF513	PF07714
Cre01.g011850	GO:0006468 GO:0004672			2.7.12.1	PTHR23257 PTHR23257:SF513	PF07714
Cre01.g011901	GO:0008484 GO:0008152			3.1.6.1	PTHR10342 PTHR10342:SF218	PF00884
Cre01.g012050	GO:0016020 GO:0006810 GO:0005215				PTHR30520 PTHR30520:SF0	PF01226
Cre01.g012100	GO:0008484 GO:0008152			3.1.6.1	PTHR10342 PTHR10342:SF218	PF00884
Cre01.g012126	GO:0008484 GO:0008152			3.1.6.1	PTHR10342 PTHR10342:SF218	PF00884
Cre01.g012150	GO:0006457 GO:0055114 GO:0008113 GO:0030091 GO:0016671 GO:0006979	K07304	KOG1635	1.8.4.11 5.2.1.8	PTHR10173 PTHR10173:SF6	PF00254 PF01625
Cre01.g012200	GO:0005515 GO:0005634 GO:0003677				PTHR31251	PF00651 PF03110
Cre01.g012350	GO:0006351 GO:0003887 GO:0003677	K02331		2.7.7.7	PTHR13213 PTHR13213:SF2	PF04931
Cre01.g012400	GO:0016021 GO:0016020		KOG4510		PTHR22911 PTHR22911:SF6	PF00892
Cre01.g012450	GO:0004842	K10592	KOG0940	6.3.2.19	PTHR11254 PTHR11254:SF291	PF00627 PF14377 PF06012 PF06025 PF00632
Cre01.g012600	GO:0071704 GO:0016868 GO:0005975	K01835		5.4.2.7 5.4.2.2	PTHR22573 PTHR22573:SF39	PF00408 PF02880 PF02879 PF02878
Cre01.g012650	GO:0055085 GO:0016020 GO:0006811 GO:0005216		KOG4214		PTHR10217	PF00520 PF12796
Cre01.g012700	GO:0055085 GO:0016020 GO:0006811 GO:0005216		KOG4412		PTHR10217	PF00520 PF12796
Cre01.g012750	GO:0055085 GO:0016020 GO:0006811 GO:0005216		KOG4412		PTHR10217	PF00520 PF12796
Cre01.g012850	GO:0055085 GO:0016020 GO:0006811 GO:0005216		KOG4412 KOG0502		PTHR10217 PTHR10217:SF514	PF00520 PF12796
Cre01.g012950	GO:0006468 GO:0005524 GO:0004672			2.7.11.25	PTHR23257 c("PTHR23257", "PTHR23257:SF529")	c("PF00069", "PF07714") PF07714
Cre01.g013050	GO:0005515				PTHR23244	PF12937 PF01344
Cre01.g013300	GO:0005515		KOG1320	3.4.21.107	PTHR22939 PTHR22939:SF87	PF13180 PF13365
Cre01.g013400	GO:0042765 GO:0016255	K05291			PTHR21072	PF10510
Cre01.g013700	GO:0055085 GO:0005741	K15040	KOG3126		PTHR11743 PTHR11743:SF23	PF01459
Cre01.g013800	GO:0008270 GO:0003676				PTHR23002	PF14392 PF00098
Cre01.g013801	GO:0009976	K09834		5.5.1.24	PTHR35309 PTHR35309:SF2	PF14249
Cre01.g014150	GO:0055085 GO:0016020 GO:0015297 GO:0015238 GO:0006855	K03327	KOG1347		PTHR11206	PF01554
Cre01.g014350	GO:0055114 GO:0016491 GO:0016209		KOG0541	1.11.1.15	PTHR10430 PTHR10430:SF16	PF00578
Cre01.g014500	GO:0016773 GO:0016020 GO:0005524		KOG0192	2.7.10.2	PTHR24418	PF06293
Cre01.g014600	GO:0006468 GO:0005524 GO:0004672	K02218		2.7.11.1	PTHR11909 PTHR11909:SF18	PF00069
Cre01.g014650	GO:0055114 GO:0016491	K00472		1.14.11.2	PTHR10869 PTHR10869:SF71	PF13640
Cre01.g014800	GO:0030983 GO:0006298 GO:0005524 GO:0045910 GO:0016887 GO:0004519	K07456			PTHR11361 PTHR11361:SF14	PF00488
Cre01.g015103	GO:0035556 GO:0016849 GO:0009190			4.6.1.1	PTHR12203 PTHR12203:SF13	PF00211 PF13416
Cre01.g015200	GO:0007165 GO:0004114			3.1.4.53	PTHR11347	PF00233
Cre01.g015250	GO:0008408 GO:0003677 GO:0000166	K02327		2.7.7.7	PTHR10322 PTHR10322:SF23	PF14260 PF03104 PF00136
Cre01.g015300	GO:0055114				PTHR10157	
Cre01.g015350	GO:0016491 GO:0008152	K00218	KOG1208	1.3.1.33	PTHR24322 PTHR24322:SF393	PF00106
Cre01.g015451	GO:0055114				PTHR10157	
Cre01.g015500	GO:0005515				PTHR10774	PF00168
Cre01.g015550	GO:0003824	K02510		4.1.2.52	PTHR30502 PTHR30502:SF0	PF03328
Cre01.g015700	GO:0008168 GO:0008152		KOG1271	3.4.24.71	PTHR12176 PTHR12176:SF30	PF08241
Cre01.g015950	GO:0003725		KOG3051		PTHR17490 PTHR17490:SF7	PF01300
Cre01.g016050	GO:0005515 GO:0003723 GO:0030623 GO:0000398 GO:0017070 GO:0005681	K12856			PTHR11140 PTHR11140:SF0	PF01398 PF10598 PF08084 PF10597 PF08082 PF10596 PF12134 PF08083
Cre01.g016200	GO:0016021 GO:0006952				PTHR31942	PF03094
Cre01.g016250	GO:0016021 GO:0006952				PTHR31942 PTHR31942:SF28	PF03094
Cre01.g016450	GO:0005515			2.1.1.43	PTHR12197	PF00856
Cre01.g016514	GO:0050660 GO:0008033 GO:0055114 GO:0016491 GO:0045454	K00382		1.8.1.4	PTHR22912 PTHR22912:SF142	PF01134 PF00070 PF02852
Cre01.g016528	GO:0046872 GO:0019509 GO:0005737	K16054	KOG2631	4.2.1.109	PTHR10640	PF13419 PF00596
Cre01.g016556	GO:0019887 GO:0005956	K03115	KOG3092		PTHR11740 PTHR11740:SF0	PF01214
Cre01.g016570	GO:0006468 GO:0004672		KOG0198	2.7.11.1	PTHR24361 PTHR24361:SF129	PF07714
Cre01.g016800	GO:0016567 GO:0004842			6.3.2.19	PTHR22849	PF04564
Cre01.g016950	GO:0018342 GO:0008318	K05955	KOG0530	2.5.1.58 2.5.1.59	PTHR11129 PTHR11129:SF1	PF01239
Cre01.g017200	GO:0006457		KOG0544	5.2.1.8	PTHR10516 PTHR10516:SF290	PF07719 PF13414 PF00254
Cre01.g017450	GO:0006260 GO:0003887 GO:0003677	K02321	KOG1625		PTHR23061 PTHR23061:SF12	PF08418 PF04042
Cre01.g017500	GO:0042254	K14574	KOG2917		PTHR10927 PTHR10927:SF1	PF01172 PF09377
Cre01.g017550	GO:0005515		KOG0472		PTHR23155	PF13855
Cre01.g017951	GO:0005515		KOG0472		PTHR23155	PF13855
Cre01.g018000	GO:0008270 GO:0006351 GO:0003676	K03000	KOG2907	2.7.7.6	PTHR11239 PTHR11239:SF14	PF01096
Cre01.g018100	GO:0008138 GO:0006470			3.1.3.16 3.1.3.27 3.1.3.48	PTHR10159 PTHR10159:SF376	PF00782
Cre01.g018400	GO:0052726 GO:0052725 GO:0047325 GO:0032957 GO:0005622 GO:0005524 GO:0000287	K00913		2.7.1.159	PTHR14217 PTHR14217:SF3	PF05770
Cre01.g018500	GO:0008897 GO:0000287			2.7.8.7	PTHR12215 PTHR12215:SF10	PF01648
Cre01.g018550	GO:0035556 GO:0016849 GO:0009190			4.6.1.1	PTHR12203 PTHR12203:SF13	PF00211
Cre01.g018650	GO:0003677				PTHR14955	PF01342 PF13771
Cre01.g018800	GO:0015986 GO:0015078				PTHR11410 PTHR11410:SF0	PF00119
Cre01.g018900	GO:0005515 GO:0016567 GO:0004842	K11971	KOG1814		PTHR11685 PTHR11685:SF100	PF05773 PF01485
Cre01.g018950	GO:0008612	K00809		2.5.1.46	PTHR11703	PF01916
Cre01.g019100	GO:0055114 GO:0051287 GO:0016616 GO:0008152		KOG0069	1.1.1.26	PTHR10996 PTHR10996:SF20	PF00389 PF02826
Cre01.g019150	GO:0005815 GO:0000922 GO:0000226	K16571	KOG2065		PTHR19302 PTHR19302:SF27	PF04130
Cre01.g019200	GO:0030688 GO:0006364	K14849			PTHR13026 PTHR13026:SF0	PF05997
Cre01.g019300	GO:0035556 GO:0016849 GO:0009190			4.6.1.1	PTHR12203 PTHR12203:SF13	PF00211
Cre01.g019450	GO:0019789	K10577	KOG0424	6.3.2.19	PTHR24067 PTHR24067:SF51	PF00179
Cre01.g019750	GO:0006265 GO:0003918 GO:0003677 GO:0005524			5.99.1.3	PTHR10871 PTHR10871:SF4	PF02518 PF09239
Cre01.g019850	GO:0016021 GO:0008270 GO:0005524 GO:0004222 GO:0006508	K08956			PTHR23076 PTHR23076:SF10	PF06480 PF00004 PF01434
Cre01.g020223	GO:0016829 GO:0006099	K01679		4.2.1.2	PTHR11444 PTHR11444:SF1	PF10415 PF00206
Cre01.g020264	GO:0006914	K08334	KOG2751		PTHR12768 PTHR12768:SF4	PF04111
Cre01.g020350	GO:0016627	K00236		1.3.5.1	PTHR10978	PF01127
Cre01.g020400	GO:0005515	K13111			PTHR22848	PF00400
Cre01.g020850	GO:0035556 GO:0016849 GO:0009190			4.6.1.2	PTHR11920 PTHR11920:SF248	PF00211
Cre01.g020918	GO:0006508	K06972			PTHR11851 PTHR11851:SF68	PF00675 PF05193 PF08367
Cre01.g020950	GO:0042254 GO:0005634	K14852	KOG1765		PTHR17602	PF04939
Cre01.g021000	GO:0031083		KOG3390		PTHR13073 PTHR13073:SF0	PF06320
Cre01.g021150	GO:0008173 GO:0006396			2.1.1.35	PTHR11061 PTHR11061:SF25	PF05958
Cre01.g021200	GO:0005515				PTHR20995 PTHR20995:SF15	PF12937
Cre01.g021251	GO:0042450 GO:0004056	K01755		4.3.2.1	PTHR11444 PTHR11444:SF3	PF14698 PF00206
Cre01.g021450	GO:0005515		KOG0548 KOG4555		PTHR23083 PTHR23083:SF443	c("PF00515", "PF07719", "PF13414") c("PF13424", "PF13414") c("PF13371", "PF13414")
Cre01.g021600	GO:0005515 GO:0005524 GO:0003676	K12823		3.6.4.13	PTHR24031 PTHR24031:SF274	PF00397 PF00271 PF00270
Cre01.g021700	GO:0035556 GO:0016849 GO:0009190			4.6.1.2	PTHR11920	PF00211
Cre01.g021750	GO:0006355				PTHR13464	PF07818
Cre01.g021800	GO:0005515			2.1.1.43		PF00856
Cre01.g021850	GO:0005524 GO:0003676			3.6.4.12	PTHR24031 PTHR24031:SF249	PF00270 PF00271
Cre01.g021900	GO:0009982 GO:0009451 GO:0003723 GO:0001522			5.4.99.12	PTHR11142 PTHR11142:SF10	PF01416
Cre01.g021950	GO:0007018 GO:0003777	K10408		3.6.4.2	PTHR10676	PF12777 PF12781 PF08393
Cre01.g022000	GO:0005524		KOG0740	3.6.4.3	PTHR23074 PTHR23074:SF17	PF00004
Cre01.g022100	GO:0004842			6.3.2.19	PTHR11254	PF00632
Cre01.g022150	GO:0008076 GO:0006813 GO:0005249				PTHR11537 PTHR11537:SF158	PF07885
Cre01.g022250	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02906	KOG3141		PTHR11229	PF00297
Cre01.g022350	GO:0005524 GO:0003676	K14805	KOG0347	3.6.4.13	PTHR24031 PTHR24031:SF91	PF00271 PF00270
Cre01.g022500	GO:0055114 GO:0004471 GO:0051287	K00029	KOG1257	1.1.1.40	PTHR23406 PTHR23406:SF22	PF00390 PF03949
Cre01.g022600	GO:0016021 GO:0008146			2.8.2.20		PF03567
Cre01.g022650	GO:0016810 GO:0006807	K01431		3.5.1.6	PTHR23088 PTHR23088:SF9	PF00795
Cre01.g022950	GO:0005515				PTHR26379 PTHR26379:SF144	PF00651
Cre01.g023100	GO:0006355 GO:0003700					PF00847
Cre01.g023150	GO:0006260 GO:0005524 GO:0003677	K02209		3.6.4.12	PTHR11630 PTHR11630:SF42	PF14551 PF00493
Cre01.g023300	GO:0016491			1.1.1.370	PTHR22604 PTHR22604:SF111	PF01408
Cre01.g023350	GO:0006508 GO:0004222			3.4.24.16	PTHR11804 PTHR11804:SF8	PF01432
Cre01.g023550	GO:0005515		KOG0472 KOG0531		PTHR24365 PTHR24365:SF301	PF13855 PF12799 PF14580
Cre01.g023600	GO:0050662 GO:0003824		KOG1502		PTHR10366 PTHR10366:SF411	PF01370
Cre01.g023650	GO:0055085 GO:0016020 GO:0006810 GO:0015171 GO:0003333		KOG1289		PTHR11785 PTHR11785:SF367	PF00324
Cre01.g023773	GO:0005515					PF00498
Cre01.g023787	GO:0016887 GO:0005524		KOG2355		PTHR19211 PTHR19211:SF15	PF12848 PF00005
Cre01.g024200	GO:0031124 GO:0003676		KOG0108		PTHR23139 PTHR23139:SF8	PF14304 PF14327 PF00076
Cre01.g024251	GO:0004386 GO:0005524 GO:0003676			3.6.4.13	PTHR18934	PF04408 PF00270 PF00271 PF08482
Cre01.g024300	GO:0005515	K11866	KOG2880	3.4.19.12	PTHR12947	PF01398 PF08969
Cre01.g024350	GO:0016021				PTHR10766 PTHR10766:SF49	PF02990
Cre01.g024500	GO:0044782 GO:0036064 GO:0005813	K16484			PTHR31691 PTHR31691:SF1	PF14726
Cre01.g024550	GO:0006468 GO:0004672		KOG0192	2.7.11.1	PTHR23257	PF07714
Cre01.g024650	GO:0006468 GO:0004672		KOG0192	2.7.11.1	PTHR23257	PF14295 PF00059 PF07714
Cre01.g024750	GO:0006468 GO:0004672		KOG0192	2.7.11.1	PTHR23257	PF14295 PF00059 PF07714
Cre01.g024800	GO:0006468 GO:0004672		KOG0192	2.7.11.1	PTHR23257	PF14295 PF00059 PF07714
Cre01.g024900	GO:0003676 GO:0017069 GO:0000398				PTHR10501 PTHR10501:SF19	PF00076
Cre01.g025025	GO:0003677					PF07460
Cre01.g025050	GO:0043565 GO:0008270 GO:0006355 GO:0003700				PTHR10071	PF00320
Cre01.g025250	GO:0009231 GO:0008531	K00861	KOG3110	2.7.1.26	PTHR22749 PTHR22749:SF2	PF01687
Cre01.g025300	GO:0033063 GO:0006281 GO:0003677 GO:0000724	K10869	KOG1564	3.6.1.8	PTHR22942 PTHR22942:SF15	PF08423
Cre01.g025450	GO:0005515				PTHR14871 PTHR14871:SF1	PF00612
Cre01.g025700	GO:0035556 GO:0016849 GO:0009190 GO:0006810 GO:0005215			4.6.1.1	PTHR12203 PTHR12203:SF13	PF00211 PF01547
Cre01.g025850	GO:0055114 GO:0050113 GO:0019310 GO:0005737 GO:0005506	K00469	KOG1573	1.13.99.1	PTHR12588	PF05153
Cre01.g026100	GO:0008033 GO:0004540	K03537		3.1.26.5	PTHR10993	PF01900
Cre01.g026150	GO:0006508 GO:0004222				PTHR11804	PF01432
Cre01.g026400	GO:0016021				PTHR10783	PF03124
Cre01.g026450	GO:0003676	K12890	KOG0105		PTHR24012	PF00076
Cre01.g026500	GO:0006508 GO:0004190		KOG1339	3.4.23.12	PTHR13683 PTHR13683:SF253	PF00026
Cre01.g026550	GO:0005524 GO:0051082 GO:0006457	K09499			PTHR11353 PTHR11353:SF22	PF00118
Cre01.g026900	GO:0071949		KOG2614	1.14.13.9	PTHR13789 PTHR13789:SF216	PF01494
Cre01.g027100	GO:0016020 GO:0008236 GO:0006508	K09648	KOG1568	3.4.21.89	PTHR12383 PTHR12383:SF3	PF00717
Cre01.g027150	GO:0005524 GO:0003676		KOG0947	3.6.4.13	PTHR24031 PTHR24031:SF249	PF00270 PF08148
Cre01.g027350	GO:0008173 GO:0006396 GO:0003723			2.1.1.34	PTHR12029 PTHR12029:SF11	PF00588
Cre01.g027450	GO:0045454 GO:0015035 GO:0006662	K03671	KOG0907	1.6.5.4	PTHR10438 PTHR10438:SF126	PF00085
Cre01.g027500	GO:0005515					PF00622
Cre01.g027550	GO:0055114 GO:0020037 GO:0016705 GO:0005506				PTHR24291 PTHR24291:SF54	PF00067
Cre01.g027764	GO:0055085 GO:0016020 GO:0015297 GO:0015238 GO:0006855	K03327	KOG1347		PTHR11206	PF01554
Cre01.g027800	GO:0015991 GO:0000221 GO:0046961	K02144	KOG2759		PTHR10698	PF11698 PF03224
Cre01.g027950	GO:0048487 GO:0042073 GO:0030992				PTHR31432 PTHR31432:SF0	
Cre01.g028200	GO:0005524 GO:0003676	character(0) K12823		3.6.4.13	PTHR24031 PTHR24031:SF219	PF00271 PF00270
Cre01.g028350	GO:0005515			3.4.21.107	PTHR22939 PTHR22939:SF99	PF13180 PF13365
Cre01.g028423	GO:0030170 GO:0019752 GO:0016831	K01593		4.1.1.25	PTHR11999 PTHR11999:SF70	PF00282
Cre01.g028450	GO:0051536 GO:0003824 GO:0008173 GO:0006364 GO:0005737			2.1.1.192	PTHR30544 PTHR30544:SF2	PF04055
Cre01.g029000	GO:0008168 GO:0008152			2.1.1.163	PTHR10108 PTHR10108:SF813	PF08241
Cre01.g029050	GO:0005515		KOG2659		PTHR12864	PF08513 PF10607
Cre01.g029100	GO:0006260 GO:0005634	K10733	KOG4071		PTHR12772	PF05916
Cre01.g029200	GO:0008233 GO:0006508 GO:0005634	K02365		3.4.22.49	PTHR12792	PF03568
Cre01.g029250	GO:0055114 GO:0016714 GO:0009072 GO:0005506 GO:0004497				PTHR11473	PF00351
Cre01.g029300	GO:0008152 GO:0004807	K01803	KOG1643	5.3.1.1	PTHR21139	PF00121
Cre01.g029350	GO:0022900 GO:0016651				PTHR12219	
Cre01.g029400	GO:0055085 GO:0016020 GO:0006811 GO:0005216				PTHR31942 PTHR31942:SF1	PF00520
Cre01.g029500	GO:0006468 GO:0004672		KOG0198	2.7.11.17	PTHR24347 PTHR24347:SF249	PF07714
Cre01.g029650	GO:0042147 GO:0030904 GO:0015031 GO:0008565	K18468			PTHR11099	PF03635
