Gene ID	GO	KO	KOG	ENZYME	PANTHER
Vocar.0001s0156	GO:0004635 GO:0000105	K11755		3.6.1.31 3.5.4.19	PTHR21256 PTHR21256:SF3
Vocar.0001s0157	GO:0006468 GO:0004672		KOG0192	2.7.11.1	PTHR23257 PTHR23257:SF405
Vocar.0001s0158	GO:0055114 GO:0016491	K09592 character(0)	KOG3710	1.14.11.29	PTHR12907
Vocar.0001s0160	GO:0055085 GO:0046873 GO:0030001 GO:0016020		KOG1558		PTHR11040 PTHR11040:SF61
Vocar.0001s0163	GO:0005515 GO:0006355 GO:0005634 GO:0006351	K11293	KOG1009		PTHR13831 PTHR13831:SF0
Vocar.0001s0165	GO:0055114 GO:0016491	K00111		1.1.5.3	PTHR11985 PTHR11985:SF15
Vocar.0001s0166	GO:0007034	K12198	KOG1655		PTHR22761 PTHR22761:SF17
Vocar.0001s0168	GO:0006457		KOG0544	5.2.1.8	PTHR10516 PTHR10516:SF178
Vocar.0001s0169	GO:0005525				PTHR11089 PTHR11089:SF24
Vocar.0001s0172	GO:0016020 GO:0006886	K08493	KOG1666		PTHR21230 PTHR21230:SF26
Vocar.0001s0173	GO:0005643	K14310			PTHR31344 PTHR31344:SF0
Vocar.0001s0175	GO:0055085 GO:0016020 GO:0006821 GO:0005247	K05016	KOG0474		PTHR11689 PTHR11689:SF59
Vocar.0001s0178	GO:0005515 GO:0016773	K08873		2.7.11.1	PTHR11139 PTHR11139:SF71
Vocar.0001s0179	GO:0008168 GO:0008152	K07056		2.1.1.198	PTHR21091 PTHR21091:SF18
Vocar.0001s0183	GO:0008080		KOG3138	2.3.1.48	PTHR14744 PTHR14744:SF15
Vocar.0001s0184	GO:0003333	K03834			PTHR32195 PTHR32195:SF20
Vocar.0001s0186	GO:0000160				PTHR26402 PTHR26402:SF465
Vocar.0001s0188	GO:0030117 GO:0016192 GO:0006886 GO:0005198		KOG2247		PTHR14920 PTHR14920:SF0
Vocar.0001s0192	GO:0006355 GO:0005667 GO:0003700 GO:0007049				PTHR12548 PTHR12548:SF9
Vocar.0001s0193	GO:0005515			2.1.1.43	PTHR13271
Vocar.0001s0194	GO:0032040 GO:0006364	K14769	KOG3237		PTHR12838
Vocar.0001s0196	GO:0006412 GO:0005840 GO:0003735	K02960	KOG1753		PTHR21569
Vocar.0001s0197	GO:0008270	K11991		3.5.4.33	PTHR11079 PTHR11079:SF72
Vocar.0001s0203	GO:0006508 GO:0004222	K01414		3.4.24.70	PTHR11804 PTHR11804:SF49
Vocar.0001s0212	GO:0016020 GO:0006075 GO:0003843 GO:0000148	K00706		2.4.1.34	PTHR12741 PTHR12741:SF7
Vocar.0001s0214	GO:0016020		KOG1134		PTHR13018 PTHR13018:SF5
Vocar.0001s0220	GO:0015031				PTHR10663 PTHR10663:SF114
Vocar.0001s0221	GO:0016787		KOG0374	3.1.3.16	PTHR11668
Vocar.0001s0222	GO:0006468 GO:0005524 GO:0004672		KOG0663	2.7.11.22 2.7.11.23	PTHR24056
Vocar.0001s0228	GO:0055114 GO:0051287 GO:0016616 GO:0008152	K15893	KOG0069	1.1.1.29	PTHR10996 PTHR10996:SF169
Vocar.0001s0229	GO:0016788			3.1.2.12	
Vocar.0001s0232	GO:0009231 GO:0004746		KOG3310	2.5.1.9	PTHR21098 PTHR21098:SF4
Vocar.0001s0233	GO:0018024 GO:0051726 GO:0034729 GO:0031151	K00793 character(0)		2.1.1.43	PTHR21451
Vocar.0001s0239	GO:0005515		KOG2297		PTHR14208 PTHR14208:SF2
Vocar.0001s0240	GO:0006413 GO:0003743	K03113	KOG1770		PTHR10388 PTHR10388:SF4
Vocar.0001s0245	GO:0016747	K14457	KOG0831	2.3.1.20	PTHR12317 PTHR12317:SF32
Vocar.0001s0246	GO:0005840		KOG1686		PTHR21349 PTHR21349:SF3
Vocar.0001s0255	GO:0008152 GO:0003824	K01897	KOG1256	6.2.1.3 6.2.1.20	PTHR24096 PTHR24096:SF199
Vocar.0001s0256	GO:0005515	K11426		2.1.1.43	PTHR12197
Vocar.0001s0262	GO:0006464	K16600		1.2.1.24	PTHR12241 PTHR12241:SF16
Vocar.0001s0264	GO:0003924 GO:0007017 GO:0005874 GO:0031122 GO:0007020 GO:0000930	K10389 character(0)	character(0) KOG1374	2.4.2.1 character(0)	PTHR11588 PTHR11588:SF7
Vocar.0001s0269	GO:0055085 GO:0046873 GO:0030001 GO:0016020		KOG1558		PTHR11040 PTHR11040:SF57
Vocar.0001s0272	GO:0006614 GO:0005525 GO:0048500 GO:0008312	K03106		3.6.5.4	PTHR11564 PTHR11564:SF5
Vocar.0001s0273	GO:0006412 GO:0005840 GO:0003735 GO:0015934	K02880	KOG3353		PTHR11593
Vocar.0001s0275	GO:0022904 GO:0016651 GO:0005743	K03949			PTHR12653
Vocar.0001s0277	GO:0003676	K13123			PTHR13384 PTHR13384:SF19
Vocar.0001s0278	GO:0006468 GO:0005524 GO:0004672			2.7.11.11	PTHR24356
Vocar.0001s0279	GO:0003993	K03103		3.1.3.62 3.1.3.8	PTHR20963 PTHR20963:SF8
Vocar.0001s0280	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02984	KOG1628		PTHR11830
Vocar.0001s0282	GO:0016021 GO:0004659	K04040	KOG1381	2.5.1.62	PTHR11048 PTHR11048:SF18
Vocar.0001s0283	GO:0005515		KOG1003 KOG4722 KOG0978 KOG0993 KOG0516 KOG0992		PTHR10877
Vocar.0001s0287	GO:0016021	K13348	KOG1944		PTHR11266 PTHR11266:SF42
Vocar.0001s0292	GO:0008168 GO:0006139	K05925		2.1.1.62	PTHR12829 PTHR12829:SF2
Vocar.0001s0293	GO:0035556 GO:0016849 GO:0009190			4.6.1.1	PTHR11347 PTHR11347:SF132
Vocar.0001s0303	GO:0005681 GO:0000398	K12874			PTHR10887 PTHR10887:SF5
Vocar.0001s0304	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02899			PTHR15893
Vocar.0001s0306	GO:0016973 GO:0005643	K18723	KOG2412		PTHR12960 PTHR12960:SF0
Vocar.0001s0307	GO:0006468 GO:0005524 GO:0004672		KOG0192	2.7.11.1	PTHR23257
Vocar.0001s0309	GO:0005509		KOG0027		
Vocar.0001s0310	GO:0005515				PTHR24023 PTHR24023:SF525
Vocar.0001s0312	GO:0055085 GO:0016020 GO:0006810 GO:0005215				PTHR11819 PTHR11819:SF159
Vocar.0001s0313	GO:0055114 GO:0008113 GO:0030091 GO:0016671 GO:0006979			1.8.4.11	PTHR10173 PTHR10173:SF6
Vocar.0001s0318	GO:0007165 GO:0000155 GO:0000160		KOG0519	2.7.13.3 3.1.3.16	PTHR24423
Vocar.0001s0323	GO:0008171		KOG1663	2.1.1.104	PTHR10509
Vocar.0001s0326	GO:0016020		KOG3358		PTHR10050
Vocar.0001s0327	GO:0006468 GO:0005524 GO:0004672	K13412	KOG0032	2.7.11.1	PTHR24349 PTHR24349:SF84
Vocar.0001s0328	GO:0006351 GO:0003899 GO:0003677	K03007	KOG3497	2.7.7.6	PTHR23431 PTHR23431:SF2
Vocar.0001s0329	GO:0006888 GO:0005801 GO:0005622		KOG3487		PTHR12403
Vocar.0001s0331	GO:0008270 GO:0009972 GO:0004126	K01489 character(0)	character(0) KOG0833	3.5.4.5	PTHR11644 PTHR11644:SF2
Vocar.0001s0333	GO:0035434 GO:0016021 GO:0005375	K14686	KOG3386		PTHR12483 PTHR12483:SF27
Vocar.0001s0337	GO:0006468 GO:0004672 GO:0005524		KOG0583	2.7.11.1	PTHR24343
Vocar.0001s0340	GO:0017053 GO:0007049 GO:0006351				PTHR21689 PTHR21689:SF2
Vocar.0001s0348	GO:0016021 GO:0006952				PTHR31942 PTHR31942:SF1
Vocar.0001s0349	GO:0035556 GO:0016849 GO:0009190			4.6.1.2	PTHR11920
Vocar.0001s0352	GO:0016757			2.4.1.255	PTHR20961 PTHR20961:SF0
Vocar.0001s0356	GO:0004425			4.1.1.48	PTHR22854 PTHR22854:SF2
Vocar.0001s0361	GO:0006457 GO:0005737	K04078	KOG1641		PTHR10772 PTHR10772:SF0
Vocar.0001s0362	GO:0005524 GO:0003676 GO:0004386	K12818		3.6.4.13	PTHR18934 PTHR18934:SF85
Vocar.0001s0363	GO:0005515	K10751	KOG1009		PTHR15271
Vocar.0001s0366	GO:0005515	K10751	KOG1009		PTHR15271
Vocar.0001s0375	GO:0005515		KOG0271		PTHR22847 PTHR22847:SF460
Vocar.0001s0378	GO:0030244 GO:0016866	K13379		5.4.99.30	PTHR31682 PTHR31682:SF3
Vocar.0001s0381	GO:0055114 GO:0050661 GO:0016491 GO:0006520	K12524	KOG0455	1.1.1.3 2.7.2.4	PTHR21499 PTHR21499:SF1
Vocar.0001s0393	GO:0003993	K13024		2.7.4.24 2.7.4.21	PTHR12750
Vocar.0001s0394	GO:0003676				PTHR13191
Vocar.0001s0395	GO:0045454 GO:0015035 GO:0006662	K03671	KOG0910	1.8.1.8	PTHR10438 PTHR10438:SF270
Vocar.0001s0396	GO:0006355 GO:0005667 GO:0003700	K06620			PTHR12081 PTHR12081:SF18
Vocar.0001s0397	GO:0019843 GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02887			PTHR10986
Vocar.0001s0398	GO:0008270 GO:0005515				PTHR22763 PTHR22763:SF54
Vocar.0001s0399	GO:0004386		KOG0922	3.6.4.13	PTHR18934 PTHR18934:SF148
Vocar.0001s0401	GO:0005515				PTHR13286 PTHR13286:SF6
Vocar.0001s0402	GO:0046923 GO:0016021 GO:0006621	K10949	KOG3106		PTHR10585
Vocar.0001s0403	GO:0016020		KOG3083		PTHR10264 PTHR10264:SF78
Vocar.0001s0406	GO:0016020	K02221			PTHR33219 PTHR33219:SF1
Vocar.0001s0409	GO:0006352 GO:0005669				
Vocar.0001s0411	GO:0030170 GO:0009058		KOG0257		PTHR11751 PTHR11751:SF184
Vocar.0001s0412	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02881			PTHR12899
Vocar.0001s0421	GO:0008270				
Vocar.0001s0427	GO:0032259 GO:0008168				PTHR13600
Vocar.0001s0429	GO:0016597 GO:0008152	K01653	KOG2663	2.2.1.6	PTHR30239 PTHR30239:SF0
Vocar.0001s0430	GO:0006468 GO:0005524 GO:0004672			2.7.11.25	PTHR23257
Vocar.0001s0433	GO:0055085 GO:0016020				PTHR30566 PTHR30566:SF5
Vocar.0001s0436	GO:0000159	K04354			PTHR11871
Vocar.0001s0437	GO:0045454 GO:0005681 GO:0000398	K12859	KOG3414		PTHR12052
Vocar.0001s0439	GO:0008152 GO:0003824	K01895		6.2.1.1	PTHR24095 PTHR24095:SF178
Vocar.0001s0441	GO:0055114 GO:0016491 GO:0045454	K00384	KOG0404	1.8.1.9	PTHR22912 PTHR22912:SF48
Vocar.0001s0444	GO:0055114 GO:0050661 GO:0016021 GO:0008750	K00323		1.6.1.2	PTHR10160 PTHR10160:SF19
Vocar.0001s0445	GO:0055114 GO:0050661 GO:0016021 GO:0008750	K00323		1.6.1.2	PTHR10160 PTHR10160:SF19
Vocar.0001s0451	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10400	KOG4280	3.6.4.4	PTHR24115
Vocar.0001s0452	GO:0005507	K02258			PTHR21320 PTHR21320:SF3
Vocar.0001s0454	GO:0006511	K03872	KOG3473		PTHR20648
Vocar.0001s0457	GO:0005525	K06944			PTHR11702 PTHR11702:SF26
Vocar.0001s0459	GO:0003677	K11251	KOG1756		PTHR23430
Vocar.0001s0460	GO:0003677 GO:0000786	K11252	KOG1744		PTHR23428
Vocar.0001s0462	GO:0016592 GO:0006357	K15148			PTHR21428 PTHR21428:SF11
Vocar.0001s0465	GO:0006284 GO:0008534 GO:0006289 GO:0003684		KOG2875	4.2.99.18	PTHR10242 PTHR10242:SF2
Vocar.0001s0466	GO:0005515				PTHR12764 PTHR12764:SF4
Vocar.0001s0469	GO:0005515			2.7.11.1	PTHR11139 PTHR11139:SF69
Vocar.0001s0472	GO:0006418 GO:0005524 GO:0004812 GO:0000166	K01883		6.1.1.16	PTHR10890 PTHR10890:SF10
Vocar.0001s0474	GO:0003676				PTHR15672 PTHR15672:SF8
Vocar.0001s0475	GO:0042254	K14771			PTHR12455 PTHR12455:SF0
Vocar.0001s0479	GO:0016020 GO:0009765	K08913		1.10.3.9	PTHR21649 PTHR21649:SF8
Vocar.0001s0480	GO:0045454 GO:0015035 GO:0006662	K03671	KOG0907	3.5.1.52	PTHR10438
Vocar.0001s0491	GO:0006351 GO:0005634 GO:0003899 GO:0003677				PTHR14440
Vocar.0001s0492	GO:0005634 GO:0003677				PTHR31251 PTHR31251:SF1
Vocar.0001s0493	GO:0008152 GO:0003824	K01895		6.2.1.1	PTHR24095 PTHR24095:SF178
Vocar.0001s0495	GO:0005525				PTHR11649 PTHR11649:SF59
Vocar.0001s0497	GO:0016774 GO:0016310 GO:0016301 GO:0008152 GO:0005622			2.7.2.1	PTHR21060 PTHR21060:SF11
Vocar.0001s0498	GO:0016746 GO:0008152			2.3.1.8	PTHR23406 PTHR23406:SF3
Vocar.0001s0500	GO:0005525 GO:0051536 GO:0003824				PTHR22976 PTHR22976:SF28
Vocar.0001s0503	GO:0006396	K01974	KOG3980	6.5.1.4	PTHR11096 PTHR11096:SF0
Vocar.0001s0504	GO:0009446 GO:0004668	K10536		3.5.3.12	PTHR31377 PTHR31377:SF0
Vocar.0001s0505	GO:0006468 GO:0005524 GO:0004672		KOG0593	2.7.11.22	PTHR24056 PTHR24056:SF7
Vocar.0001s0506	GO:0008233 GO:0006508			1.13.11.27	PTHR30217 PTHR30217:SF10
Vocar.0001s0508	GO:0003676				PTHR23149 PTHR23149:SF9
Vocar.0001s0511	GO:0005515		KOG0266		PTHR22847
Vocar.0001s0514	GO:0055085 GO:0016020 GO:0006811 GO:0005216		KOG0500		PTHR10217
Vocar.0001s0515	GO:0055085 GO:0016020 GO:0006811 GO:0005216		KOG0500 character(0)		PTHR10217 character(0)
Vocar.0001s0521	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02899			PTHR15893
Vocar.0001s0523	GO:0003824	K05956		2.5.1.60	PTHR11774 PTHR11774:SF11
Vocar.0001s0524	GO:0035556 GO:0016849 GO:0009190			4.6.1.2	PTHR16305 PTHR16305:SF26
Vocar.0001s0526	GO:0008081 GO:0006281 GO:0005634			3.1.4.1	PTHR12415 PTHR12415:SF0
Vocar.0001s0527	GO:0006508 GO:0004252 GO:0016020 GO:0005044	K10862			PTHR19331
Vocar.0001s0529	GO:0006468 GO:0004672		KOG1164	2.7.11.1	PTHR24363 PTHR24363:SF0
Vocar.0001s0530	GO:0005524		KOG1001	3.6.4.12	PTHR10799 PTHR10799:SF777
Vocar.0001s0532	GO:0006468 GO:0005524 GO:0004672			2.7.11.1	PTHR24362
Vocar.0001s0533	GO:0030145 GO:0004177	K01262	KOG2414	3.4.11.9	PTHR10804 PTHR10804:SF17
Vocar.0001s0542	GO:0005525	K07893	KOG0094		PTHR24073 PTHR24073:SF475
Vocar.0001s0543	GO:0005515		c("KOG0617", "KOG0472") KOG0617		PTHR23155
Vocar.0001s0545	GO:0006457 GO:0003755 GO:0000413	K05864	KOG0546	5.2.1.8	PTHR11071 PTHR11071:SF247
Vocar.0001s0546	GO:0006412 GO:0005840 GO:0003735	K02882	KOG0829		PTHR10052 PTHR10052:SF10
Vocar.0001s0547	GO:0045454 GO:0015035 GO:0009055		KOG1752		PTHR10293 PTHR10293:SF45
Vocar.0001s0548	GO:0030170 GO:0009058		KOG0257	4.2.1.145	PTHR11751 PTHR11751:SF388
Vocar.0001s0551	GO:0006468 GO:0004672		KOG0583 KOG0032	2.7.11.1	PTHR24347 PTHR24347:SF159
Vocar.0001s0557	GO:0005515 GO:0007165	K01922			PTHR23097 PTHR23097:SF105
Vocar.0001s0561	GO:0007264 GO:0005525	K07934	KOG0079		PTHR24073 PTHR24073:SF543
Vocar.0001s0562	GO:0005515 GO:0034314 GO:0030833 GO:0015629 GO:0005885	K05757	KOG1523		PTHR10709 PTHR10709:SF2
Vocar.0001s0565	GO:0005975 GO:0004553	K19355		3.2.1.78	c("PTHR31451", "PTHR31451:SF1") PTHR31451
Vocar.0001s0570	GO:0008080			2.3.1.88	PTHR23091
Vocar.0001s0571	GO:0003677				
Vocar.0001s0572	GO:0009116 GO:0006207 GO:0004590	K13421	KOG1377	4.1.1.23 2.4.2.10	PTHR19278 PTHR19278:SF9
Vocar.0001s0573	GO:0005515				PTHR22880
Vocar.0001s0576	GO:0005515				PTHR10774 PTHR10774:SF1
Vocar.0001s0578	GO:0008124 GO:0006729		KOG4073		PTHR12599 PTHR12599:SF8
Vocar.0001s0581	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871			3.6.4.4	PTHR24115 PTHR24115:SF481
Vocar.0001s0585	GO:0016020 GO:0005507 GO:0004129	K02261		1.9.3.1	PTHR22888 PTHR22888:SF9
Vocar.0001s0592	GO:0005681 GO:0000398	K06063	KOG2441		PTHR12096
Vocar.0001s0597	GO:0016787 GO:0009742 GO:0004721		KOG0374	3.1.3.16	PTHR11668 PTHR11668:SF228
Vocar.0001s0599	GO:0071949	K10960		1.3.1.83	PTHR10617 PTHR10617:SF116
Vocar.0001s0600	GO:0008168 GO:0006479	K11434	KOG1499	2.1.1.125	PTHR11006 PTHR11006:SF53
Vocar.0001s0601	GO:0008168 GO:0006139		KOG2097	2.1.1.62	PTHR13107 PTHR13107:SF0
Vocar.0001s0603	GO:0003824	K01586	KOG0622	4.1.1.20	PTHR11482 PTHR11482:SF5
Vocar.0001s0606	GO:0016021 GO:0004252			3.4.21.105 3.4.21.108	PTHR12917 PTHR12917:SF19
Vocar.0001s0608	GO:0006464	K16582		1.2.1.24	PTHR12241
Vocar.0001s0611	GO:0006508 GO:0004252			3.4.21.62	PTHR10795
Vocar.0001s0613	GO:0006508 GO:0004222				PTHR31412 PTHR31412:SF5
Vocar.0001s0617	GO:0055114 GO:0008121 GO:0051537 GO:0016491 GO:0016679	K00411	KOG1671	1.10.2.2	PTHR10134 PTHR10134:SF1
Vocar.0001s0618	GO:0006508 GO:0004190		KOG1339	3.4.23.12	PTHR13683 PTHR13683:SF253
Vocar.0001s0620	GO:0016020 GO:0005044	K13912 character(0)			c("PTHR19331", "PTHR19331:SF328") PTHR19331
Vocar.0001s0621	GO:0006508 GO:0004252 GO:0016020 GO:0005044				PTHR19331 PTHR19331:SF293
Vocar.0001s0624	GO:0008374 GO:0019432 GO:0004144	K11155		2.3.1.20	PTHR10408 PTHR10408:SF7
Vocar.0001s0631	GO:0006468 GO:0004672		KOG0032	2.7.11.17	PTHR24347 PTHR24347:SF138
Vocar.0001s0635	GO:0008168		KOG2912	2.1.1.181	PTHR13393 PTHR13393:SF0
Vocar.0001s0636	GO:0008152 GO:0003824			2.3.1.54	PTHR30191 PTHR30191:SF0
Vocar.0001s0637	GO:0008152 GO:0003824			2.3.1.54	PTHR30191 PTHR30191:SF0
Vocar.0001s0642	GO:0006468 GO:0005524 GO:0004672			2.7.11.1 2.7.10.2	PTHR23257 PTHR23257:SF394
Vocar.0001s0647	GO:0006468 GO:0005524 GO:0004672		KOG0192	2.7.11.1	PTHR23257
Vocar.0001s0653	GO:0005634 GO:0003677				PTHR31251 PTHR31251:SF1
Vocar.0001s0657	GO:0005515	K00799	KOG0406	2.5.1.18	PTHR11260 PTHR11260:SF156
Vocar.0001s0659	GO:0016161 GO:0000272	K01177		3.2.1.2	PTHR31352 PTHR31352:SF1
Vocar.0001s0661	GO:0033179 GO:0015991 GO:0015078	K02153	KOG3500		
Vocar.0001s0665	GO:0016020 GO:0005044				PTHR19331
Vocar.0001s0666	GO:0006508 GO:0004252 GO:0016020 GO:0005044				PTHR19331
Vocar.0001s0669	GO:0072546		KOG2103		PTHR21573 PTHR21573:SF0
Vocar.0001s0670	GO:0016020 GO:0005044				PTHR19331 PTHR19331:SF328
Vocar.0001s0673	GO:0008152	K01681		4.2.1.3	PTHR11670 PTHR11670:SF30
Vocar.0001s0678	GO:0006488 GO:0005789 GO:0004583	K03850	KOG2642	2.4.1.256	PTHR12989
Vocar.0001s0681	GO:0016020	K08658	KOG4130		PTHR13046 PTHR13046:SF0
Vocar.0001s0685	GO:0016021				PTHR12677 PTHR12677:SF5
Vocar.0001s0686	GO:0051536 GO:0003824 GO:0008173 GO:0006364 GO:0005737	K06941		2.1.1.192	PTHR30544 PTHR30544:SF6
Vocar.0001s0691	GO:0000049			6.1.1.1	PTHR11586
Vocar.0001s0696	GO:0035556 GO:0016020		KOG2729		PTHR12290 PTHR12290:SF11
Vocar.0001s0701	GO:0034477 GO:0004518		KOG3102		PTHR13522
Vocar.0001s0705	GO:0055114 GO:0010277 GO:0051537 GO:0016491	K13600		1.14.13.122	PTHR21266 PTHR21266:SF19
Vocar.0001s0708	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10397 character(0)		3.6.4.4	PTHR24115 PTHR24115:SF194
Vocar.0001s0710	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10397		3.6.4.4	PTHR24115 PTHR24115:SF194
