Gene ID	GO	KO	KOG	ENZYME	PANTHER
Dusal.0003s00026	GO:0006412 GO:0005840 GO:0005622 GO:0003735 GO:0003723	K02964	KOG3311		PTHR10871
Dusal.0003s00027	GO:0008168 GO:0008152	K00586 character(0)	KOG3123	2.1.1.98	PTHR10882 PTHR10882:SF0
Dusal.0003s00028	GO:0016757 GO:0006486 GO:0003980	K11718			PTHR11226 PTHR11226:SF0
Dusal.0003s00030	GO:0003676 GO:0006468 GO:0005524 GO:0004674		KOG0131		PTHR24012
Dusal.0003s00035	GO:0016021	K05770	KOG3797		PTHR10057
Dusal.0003s00036	GO:0035434 GO:0016021 GO:0005375	K14686	KOG3386		PTHR12483
Dusal.0003s00038	GO:0006508 GO:0004197				PTHR31810 PTHR31810:SF6
Dusal.0003s00039	GO:0006508 GO:0004197				PTHR31810 PTHR31810:SF6
Dusal.0003s00040	GO:0002161			6.1.1.15	PTHR31423 PTHR31423:SF3
Dusal.0003s00041	GO:0005525				PTHR11089 PTHR11089:SF36
Dusal.0003s00044	GO:0005524	K09496			PTHR11353
Dusal.0003s00047	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871		KOG4280	3.6.4.4	PTHR24115
Dusal.0003s00048	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871		KOG4280	3.6.4.4	PTHR24115
Dusal.0003s00051	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871			3.6.4.4	PTHR24115
Dusal.0003s00052	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K11498		3.6.4.4	PTHR24115 PTHR24115:SF70
Dusal.0003s00059	GO:0006508 GO:0004252	K09642 K09641		3.4.21.4	PTHR24256
Dusal.0003s00063	GO:0050662 GO:0003824	K07071 character(0)	KOG3019 character(0)	1.1.1.354 1.1.1.219	PTHR11092 PTHR11092:SF1
Dusal.0003s00064	GO:0006468 GO:0005524 GO:0004672		KOG0659	2.7.11.22 2.7.11.23	PTHR24056
Dusal.0004s00003	GO:0051861 GO:0046836 GO:0017089 GO:0005737		KOG4189		PTHR10219
Dusal.0004s00004	GO:0046556 GO:0046373	K01209		3.2.1.55	PTHR31776 PTHR31776:SF0
Dusal.0004s00006	GO:0016780 GO:0016020 GO:0008654	K00999		2.7.8.11	PTHR15362 PTHR15362:SF4
Dusal.0004s00007	GO:0016780 GO:0016020 GO:0008654	K00999		2.7.8.11	PTHR15362 PTHR15362:SF4
Dusal.0004s00010	GO:0008270			3.5.4.12	
Dusal.0004s00011	GO:0005515	K09613	KOG1554	3.4.25.1	PTHR10410 PTHR10410:SF6
Dusal.0004s00012	GO:0008017				PTHR31363 PTHR31363:SF0
Dusal.0004s00013	GO:0008017				PTHR31363 PTHR31363:SF0
Dusal.0004s00014	GO:0032259 GO:0008168				
Dusal.0004s00017	GO:0008236 GO:0006508	K01285 character(0)	KOG2183	3.4.16.2	PTHR11010 PTHR11010:SF38
Dusal.0004s00020	GO:0005525 GO:0003924		KOG2037		PTHR10751 PTHR10751:SF2
Dusal.0004s00021	GO:0006412 GO:0005840 GO:0003735	K02892			PTHR12059
Dusal.0004s00026	GO:0008152 GO:0003824 GO:0055114 GO:0016491 GO:0006631 GO:0003857	K10527	KOG1683	5.1.2.3 4.2.1.17 1.1.1.35 5.3.3.8	PTHR23309 PTHR23309:SF23
Dusal.0004s00031	GO:0055114 GO:0016491		KOG4254	5.2.1.13	PTHR10668 PTHR10668:SF5
Dusal.0004s00035	GO:0009966				PTHR10933 PTHR10933:SF9
Dusal.0004s00045	GO:0008270 GO:0005515				PTHR14991 PTHR14991:SF0
Dusal.0004s00049	GO:0006003 GO:0005524 GO:0003824	K01103	KOG0234	2.7.1.105 3.1.3.46	PTHR10606 PTHR10606:SF44
Dusal.0004s00053	GO:0008235 GO:0006508 GO:0004177	K01265		3.4.11.18	PTHR10804 PTHR10804:SF9
Dusal.0004s00055	GO:0006355 GO:0005739 GO:0003690				
Dusal.0004s00059	GO:0015969			2.7.6.5	PTHR21262 PTHR21262:SF0
Dusal.0004s00063	GO:0005524			3.6.4.6	PTHR20953
Dusal.0004s00069	GO:0006913 GO:0005643	K14307			PTHR13437
Dusal.0004s00074	GO:0008612	K00809		2.5.1.46	PTHR11703
Dusal.0005s00003	GO:0016021				PTHR16932
Dusal.0005s00007	GO:0005515				
Dusal.0005s00008	GO:0006282				
Dusal.0005s00011	GO:0016851			6.6.1.1	PTHR23304 PTHR23304:SF109
Dusal.0005s00012	GO:0009058			6.6.1.1	PTHR23304 PTHR23304:SF109
Dusal.0005s00013	GO:0009058	K03403		6.6.1.1	PTHR23304 PTHR23304:SF109
Dusal.0005s00015	GO:0016020	K08658			PTHR13046
Dusal.0005s00019	GO:0003779	K05768	KOG0443		PTHR11977
Dusal.0005s00021	GO:0005515				
Dusal.0005s00026	GO:0016020 GO:0004970				PTHR18966 PTHR18966:SF117
Dusal.0005s00027	GO:0016020 GO:0004970	K05313			PTHR18966
Dusal.0005s00028	GO:0016020 GO:0004970	c("K05199", "K05197") K05197			PTHR18966
Dusal.0005s00029	GO:0008152 GO:0003824	K01687		4.2.1.9	PTHR21000 PTHR21000:SF5
Dusal.0005s00032	GO:0006281 GO:0004518	K01142		4.2.99.18	PTHR22748
Dusal.0005s00033	GO:0008168 GO:0006364	K09761		2.1.1.193	PTHR30027 PTHR30027:SF4
Dusal.0005s00039	GO:0016310 GO:0016301 GO:0005524	K08244		2.7.9.4	PTHR22931 PTHR22931:SF1
Dusal.0005s00040	GO:0005515	K18272 K14830	KOG0294		PTHR22847
Dusal.0005s00042	GO:0006260 GO:0005524 GO:0003677	K02212	KOG0478	3.6.4.12	PTHR11630 PTHR11630:SF66
Dusal.0005s00047	GO:0007076	K06677	KOG0414		PTHR14222 PTHR14222:SF2
Dusal.0005s00048	GO:0005515				
Dusal.0006s00017	GO:0005759	K15414	KOG2536		PTHR10826 PTHR10826:SF1
Dusal.0006s00020	GO:0016787 GO:0005524 GO:0003677	K03257		3.6.4.13	PTHR24031 PTHR24031:SF322
Dusal.0006s00029	GO:0000160	K14491			PTHR26402 PTHR26402:SF423
Dusal.0006s00034	GO:0006396 GO:0004525 GO:0003723	K11145			PTHR34276
Dusal.0006s00041	GO:0035556 GO:0016849 GO:0009190				PTHR11732 PTHR11732:SF170
Dusal.0006s00044	GO:0046961 GO:0046933 GO:0015986 GO:0000275	K02135	KOG3495	3.6.3.14	PTHR12448 PTHR12448:SF0
Dusal.0006s00047	GO:0035556 GO:0016849 GO:0009190			4.6.1.2	PTHR11920
Dusal.0006s00049	GO:0006468 GO:0004672 GO:0051304 GO:0007093 GO:0004712	K08866	KOG0594	2.7.12.2	PTHR22974 PTHR22974:SF21
Dusal.0006s00055	GO:0005515				
Dusal.0006s00061	GO:0016787 GO:0008892 GO:0008270 GO:0006147	K01487	KOG3968	3.5.4.3	PTHR11271 PTHR11271:SF6
Dusal.0007s00001	GO:0016758 GO:0009247	K03715		2.4.1.46	PTHR21015 PTHR21015:SF28
Dusal.0007s00003	GO:0008017 GO:0007018 GO:0005524 GO:0003777			3.6.4.4	
Dusal.0007s00005	GO:0006468 GO:0004672		KOG0660	2.7.11.24	PTHR24055 PTHR24055:SF211
Dusal.0007s00006	GO:0003676	K12741	KOG0131		PTHR24012 PTHR24012:SF489
Dusal.0007s00012	GO:0006468 GO:0004672		KOG0660	2.7.11.24	PTHR24055
Dusal.0007s00013	GO:0016787 GO:0005524 GO:0003677	K10843		3.6.4.12	PTHR11274 PTHR11274:SF0
Dusal.0007s00016	GO:0006468 GO:0004672	K02449	KOG0594 KOG0659	2.7.11.22	PTHR24056
Dusal.0007s00022	GO:0006468 GO:0004672		KOG0660	2.7.11.24	PTHR24055
Dusal.0007s00027	GO:0006468 GO:0005524 GO:0004672			2.7.11.25	PTHR23257
Dusal.0007s00028	GO:0032040 GO:0006364				
Dusal.0007s00029	GO:0032040 GO:0006364	K14769			PTHR12838
Dusal.0007s00030	GO:0005515			2.1.1.43	PTHR13271
Dusal.0007s00032	GO:0016780 GO:0016020 GO:0008654	K00993	KOG2877	2.7.8.1	PTHR10414 PTHR10414:SF37
Dusal.0007s00037	GO:0051603 GO:0005839 GO:0004298	K02738		3.4.25.1	PTHR11599 PTHR11599:SF4
Dusal.0007s00039	GO:0006265 GO:0003918 GO:0003677 GO:0005694 GO:0003917	K03163	KOG0981	5.99.1.2	PTHR10290 PTHR10290:SF3
Dusal.0007s00041	GO:0055114 GO:0010277 GO:0051537 GO:0016491			1.14.12.20	PTHR21266 PTHR21266:SF25
Dusal.0007s00042	GO:0055114 GO:0051537 GO:0016491			1.14.12.20	PTHR21266 PTHR21266:SF25
Dusal.0007s00044	GO:0055114 GO:0008113			1.8.4.11	
Dusal.0007s00046	GO:0008270 GO:0005622 GO:0005515				PTHR31319 PTHR31319:SF10
Dusal.0007s00047	GO:0016787 GO:0008152	K02083		3.5.3.9	PTHR32494 PTHR32494:SF7
Dusal.0007s00048	GO:0019211	K17605	KOG2867	5.2.1.8	PTHR10012
Dusal.0007s00050	GO:0005515	K11426		2.1.1.43	PTHR12197
Dusal.0007s00053	GO:0007018 GO:0003777	K10408		3.6.4.2	PTHR10676
Dusal.0007s00054	GO:0007018 GO:0003777				PTHR10676
Dusal.0007s00055	GO:0007018 GO:0003777 GO:0016887 GO:0005858 GO:0001539			3.6.4.2	PTHR10676 PTHR10676:SF136
Dusal.0007s00056	GO:0030286 GO:0007018 GO:0003777 GO:0016887 GO:0005858 GO:0001539	K10408		3.6.4.2	PTHR10676 PTHR10676:SF136
Dusal.0008s00002	GO:0046872 GO:0005524		KOG4172	3.6.4.12	PTHR10799 PTHR10799:SF705
Dusal.0008s00007	GO:0016020 GO:0009765	K08913			PTHR21649 PTHR21649:SF8
Dusal.0008s00017	GO:0008234 GO:0006508		KOG1542	3.4.22.15	PTHR12411
Dusal.0008s00020	GO:0055114 GO:0016491 GO:0008152			1.2.1.3	PTHR11699 PTHR11699:SF25
Dusal.0008s00023	GO:0016021 GO:0008381				PTHR13167 PTHR13167:SF25
Dusal.0008s00025	GO:0005975 GO:0004553 GO:0003824	K01214 character(0)			PTHR10357 PTHR10357:SF169
Dusal.0008s00029	GO:0009411 GO:0006289 GO:0004519	K13281			PTHR31290 PTHR31290:SF5
Dusal.0008s00030	GO:0009411 GO:0006289 GO:0004519	K13281 character(0)			PTHR31290 PTHR31290:SF5
Dusal.0008s00033	GO:0005524	K14575 character(0)			PTHR23077 PTHR23077:SF27
Dusal.0008s00036	GO:0055085 GO:0016020 GO:0006811 GO:0005216				
Dusal.0008s00038	GO:2001070			3.2.1.3 character(0)	PTHR15048 character(0)
Dusal.0008s00039	GO:0005634		KOG0654		PTHR10177 PTHR10177:SF250
Dusal.0009s00002	GO:0008152 GO:0003824		KOG1535	3.7.1.5	PTHR11820 PTHR11820:SF7
Dusal.0009s00004	GO:0016021 GO:0008146			2.8.2.20	
Dusal.0009s00006	GO:0006508	K06972			PTHR11851 PTHR11851:SF68
Dusal.0009s00008	GO:0042254 GO:0005634	K14852	KOG1765		PTHR17602
Dusal.0009s00011	GO:0035556 GO:0016849 GO:0009190		KOG1023	4.6.1.2	PTHR11920 PTHR11920:SF303
Dusal.0009s00017	GO:0006468 GO:0004672 GO:0035556 GO:0016849 GO:0009190		KOG1023	4.6.1.2	PTHR11920 PTHR11920:SF303
Dusal.0009s00020	GO:0055114 GO:0016491			1.4.3.3	PTHR13847 PTHR13847:SF150
Dusal.0009s00028	GO:0009976	K09834		5.5.1.24	PTHR35309 PTHR35309:SF2
Dusal.0009s00029	GO:0035556 GO:0016849 GO:0009190		KOG1023	4.6.1.2	PTHR11920 PTHR11920:SF303
Dusal.0009s00031	GO:0035556 GO:0016849 GO:0009190			4.6.1.2	PTHR11920 PTHR11920:SF303
Dusal.0009s00032	GO:0006865				PTHR30483 PTHR30483:SF6
Dusal.0009s00044	GO:0003725		KOG3051		PTHR17490 PTHR17490:SF7
Dusal.0009s00045	GO:0008080	character(0) K17972	KOG3234	2.3.1.88	PTHR23091 PTHR23091:SF71
Dusal.0009s00049	GO:0003723 GO:0045131 GO:0000398	K13095			PTHR11208 PTHR11208:SF45
Dusal.0009s00054	GO:0008270 GO:0003676 GO:0006281 GO:0003678 GO:0000723 GO:0005524 GO:0004386	K15255	KOG0987	3.6.4.12	PTHR23274
Dusal.0010s00004	GO:0003824 GO:0006470 GO:0004722			3.1.3.16	PTHR13832
Dusal.0010s00005	GO:0006508 GO:0004252			3.4.21.107	PTHR22939 PTHR22939:SF99
Dusal.0010s00006	GO:0000049	K15437			PTHR11586 PTHR11586:SF1
Dusal.0010s00008	GO:0006418 GO:0005524 GO:0004812 GO:0000166	K01874		6.1.1.10	PTHR11946 PTHR11946:SF86
Dusal.0010s00009	GO:0051276 GO:0005694 GO:0005524 GO:0005515 GO:0007076 GO:0000796	K06674			PTHR18937 PTHR18937:SF9
Dusal.0010s00013	GO:0016779	K03514		2.7.7.19	PTHR23092 PTHR23092:SF15
Dusal.0010s00015	GO:0043565 GO:0008270 GO:0006355 GO:0003700				
Dusal.0010s00017	GO:0006629		KOG4569	3.1.1.3	PTHR21493 PTHR21493:SF99
Dusal.0010s00020	GO:0005515		KOG0295		PTHR22847
Dusal.0010s00026	GO:0008270 GO:0005515	K08770			
Dusal.0010s00027	GO:0016888	K03424			PTHR10060 PTHR10060:SF24
Dusal.0010s00035	GO:0009116				PTHR22573 PTHR22573:SF56
Dusal.0010s00041	GO:0030170 GO:0009058				PTHR11751 PTHR11751:SF428
Dusal.0010s00043	GO:0055114 GO:0008113		KOG1635	1.8.4.11	
Dusal.0010s00044	GO:0008080			2.3.1.88	PTHR23091
Dusal.0010s00046	GO:0016747 GO:0008152	K07513	KOG1389	2.3.1.16	PTHR18919 PTHR18919:SF93
Dusal.0010s00048	GO:0046983 GO:0006351 GO:0003899	K03027	KOG1521	2.7.7.6	PTHR11800 PTHR11800:SF13
Dusal.0010s00049	GO:0005515		KOG2659		PTHR12864
Dusal.0011s00004	GO:0005515				PTHR12764 PTHR12764:SF4
Dusal.0011s00005	GO:0015979 GO:0009538 GO:0009522				PTHR31982 PTHR31982:SF4
Dusal.0011s00015	GO:0007165 GO:0005515				
Dusal.0011s00016	GO:0035556 GO:0016020		KOG2729		PTHR12290 PTHR12290:SF11
Dusal.0011s00018	GO:0046907	K14295	KOG2724		
Dusal.0011s00020	GO:0008440	K00915 character(0)		2.7.1.151 2.7.1.140	PTHR12400
Dusal.0011s00022	GO:0016021		KOG1688		PTHR10743
Dusal.0011s00026	GO:0043461	K07556	KOG3015		PTHR21013
Dusal.0011s00027	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02954	KOG1741		PTHR19836
Dusal.0011s00028	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871	K10397	KOG0240	3.6.4.4	PTHR24115 PTHR24115:SF194
Dusal.0011s00029	GO:0016592 GO:0006357	K15148			PTHR21428 PTHR21428:SF11
Dusal.0011s00032	GO:0008124 GO:0006729				PTHR12599 PTHR12599:SF8
Dusal.0011s00040	GO:0005515	K11430		2.1.1.43	PTHR22884 PTHR22884:SF237
Dusal.0011s00042	GO:0005515	K10570	KOG4283		PTHR22850
Dusal.0011s00051	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02899			PTHR15893
Dusal.0011s00056	GO:0009058 GO:0005524 GO:0009396 GO:0004326	K01930		6.3.2.17	PTHR11136 PTHR11136:SF5
Dusal.0012s00023	GO:0006415 GO:0003747	K15033	KOG3429	3.1.1.29	PTHR11075
Dusal.0012s00024	GO:0008168 GO:0008152		KOG4300		PTHR10108 PTHR10108:SF714
Dusal.0012s00025	GO:0046907				PTHR23138
Dusal.0012s00026	GO:0008138 GO:0006470	K14165 K14819		3.1.3.16 3.1.3.48	PTHR10159
Dusal.0012s00036	GO:0008138 GO:0006470 GO:0007096 GO:0004721	K06639		3.1.3.16 3.1.3.48	PTHR23339 PTHR23339:SF27
Dusal.0012s00048	GO:0055114 GO:0016627 GO:0016021 GO:0006784	K02259			PTHR23289 PTHR23289:SF2
Dusal.0012s00049	GO:0055114 GO:0016627 GO:0016021 GO:0006784				PTHR23289
Dusal.0013s00002	GO:0008168 GO:0008033	K15446		2.1.1.225	PTHR12998 PTHR12998:SF0
Dusal.0013s00003	GO:0016020		KOG2881		PTHR12608 PTHR12608:SF7
Dusal.0013s00012	GO:0016887 GO:0016021 GO:0006812	K14950		3.6.3.7	PTHR24093 PTHR24093:SF82
Dusal.0013s00013	GO:0046872 GO:0000166 GO:0016887 GO:0016021 GO:0006812	K14950		3.6.3.8	PTHR24093 PTHR24093:SF82
Dusal.0013s00016	GO:0015969			2.7.6.5 3.1.7.2	PTHR21262 PTHR21262:SF7
Dusal.0013s00017	GO:0005515				
Dusal.0013s00018	GO:0055085 GO:0016021				PTHR10891 PTHR10891:SF386
Dusal.0013s00020	GO:0006468 GO:0004672	K03097	KOG0668	2.7.11.1	PTHR24054 PTHR24054:SF33
Dusal.0013s00027	GO:0003723	K17943			PTHR12537 PTHR12537:SF74
Dusal.0013s00031	GO:0006468 GO:0004672	K03097		2.7.11.1	PTHR24054
Dusal.0013s00032	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02915	KOG1790		PTHR10759
Dusal.0013s00033	GO:0006468 GO:0004672	K08829		2.7.11.22	PTHR24055 PTHR24055:SF194
Dusal.0013s00035	GO:0007165 GO:0004114			3.1.4.53	PTHR11347
Dusal.0013s00037	GO:0055114 GO:0051920 GO:0045454 GO:0016491	K03386	KOG0852	1.11.1.15	PTHR10681 PTHR10681:SF114
Dusal.0013s00038	GO:0006508 GO:0004222	K01410	KOG2090	3.4.24.59	PTHR11804 PTHR11804:SF5
Dusal.0014s00004	GO:0045454 GO:0015035 GO:0006662		KOG0907	1.6.5.4	PTHR10438 PTHR10438:SF247
Dusal.0014s00011	GO:0030170			4.4.1.8	PTHR11808 PTHR11808:SF50
Dusal.0014s00013	GO:0030170	character(0) K01760		4.4.1.8	PTHR11808 PTHR11808:SF50
Dusal.0014s00015	GO:0030170			4.4.1.8	PTHR11808 PTHR11808:SF50
Dusal.0014s00025	GO:0055114 GO:0016491 GO:0016209 GO:0006979 GO:0004602			1.11.1.12	PTHR11592
Dusal.0014s00027	GO:2001070			2.7.9.5	PTHR15048
Dusal.0014s00029	GO:0005515	K11866 character(0)		3.4.19.12 3.4.25.1	PTHR12947
Dusal.0014s00031	GO:0006355 GO:0003700 GO:0007275				PTHR32467 PTHR32467:SF34
Dusal.0014s00034	GO:0005515			1.5.4.1	PTHR11260 PTHR11260:SF77
Dusal.0014s00049	GO:0006850 GO:0005743				
Dusal.0014s00050	GO:0006850 GO:0005743				PTHR14154 PTHR14154:SF2
Dusal.0015s00006	GO:0016833 GO:0009058	K01657	KOG1223	4.1.3.27	PTHR11236 PTHR11236:SF20
Dusal.0015s00010	GO:0008146			2.8.2.33	PTHR15723 PTHR15723:SF0
Dusal.0015s00011	GO:0032012 GO:0005086	K18443 character(0)	KOG0928 character(0)		PTHR10663
Dusal.0015s00019	GO:0016020	K00222	KOG1435	1.3.1.70	PTHR21257 PTHR21257:SF17
Dusal.0015s00021	GO:0005515				PTHR22847
Dusal.0015s00022	GO:0005515		KOG0271 KOG0272 KOG0295		PTHR22847
Dusal.0015s00030	GO:0016787 GO:0008152				PTHR11014 PTHR11014:SF72
Dusal.0015s00032	GO:0016021 GO:0004252	K09651	KOG2632	3.4.21.105	PTHR12917 PTHR12917:SF18
Dusal.0015s00036	GO:0005634 GO:0016818 GO:0008026 GO:0006139 GO:0005524 GO:0003676 GO:0004003 GO:0003677	K10844		3.6.4.12	PTHR11472 PTHR11472:SF1
Dusal.0015s00038	GO:0005524	K00872		2.7.1.39	PTHR20861 PTHR20861:SF1
Dusal.0015s00040	GO:0051536 GO:0009055	K02639			PTHR19370 PTHR19370:SF127
Dusal.0015s00041	GO:0006260 GO:0005524 GO:0003677			6.6.1.1	PTHR32039 PTHR32039:SF9
Dusal.0015s00042	GO:0005515 GO:0008236 GO:0006508			3.4.21.102	PTHR32060 PTHR32060:SF5
Dusal.0015s00043	GO:0006412 GO:0003735		KOG1715		
Dusal.0015s00045	GO:0006396 GO:0003723	K12825	KOG0007		PTHR15316 PTHR15316:SF1
Dusal.0016s00006	GO:0030170 GO:0030151 GO:0003824		KOG2362	2.8.1.9	PTHR14237 PTHR14237:SF19
Dusal.0016s00017	GO:0019441 GO:0004061			3.5.1.9	PTHR31118
Dusal.0016s00018	GO:0055114 GO:0016491 GO:0031418 GO:0016706 GO:0005506		KOG3844		PTHR12117
Dusal.0016s00019	GO:0006426 GO:0005737 GO:0005524 GO:0004820 GO:0000166	K14164 character(0)		6.1.1.14	PTHR30075 PTHR30075:SF3
Dusal.0016s00022	GO:0045454 GO:0015035 GO:0006662		KOG0907	1.8.1.9	PTHR10438
Dusal.0016s00023	GO:0006366	K03127	KOG3901		PTHR11380 PTHR11380:SF5
Dusal.0016s00024	GO:0008144 GO:0005515 GO:0016773	K07203		2.7.11.1	PTHR11139 PTHR11139:SF9
Dusal.0016s00027	GO:0005525 GO:0005730	K14537			PTHR11089 PTHR11089:SF9
Dusal.0016s00028	GO:0070469 GO:0022900 GO:0005743				PTHR34559
Dusal.0016s00029	GO:0036459 GO:0016579			3.4.19.12	PTHR24006 PTHR24006:SF529
Dusal.0016s00033	GO:0030955 GO:0006096 GO:0004743 GO:0000287	K00873	KOG2323	2.7.1.40	PTHR11817 PTHR11817:SF3
Dusal.0016s00034	GO:0030955 GO:0006096 GO:0004743 GO:0000287		KOG2323	2.7.1.40	PTHR11817 PTHR11817:SF3
Dusal.0016s00035	GO:0016787 GO:0008152				PTHR23024 PTHR23024:SF145
Dusal.0016s00042	GO:0050662 GO:0003824	K03953	KOG2865		PTHR12126 PTHR12126:SF7
Dusal.0016s00043	GO:0055114 GO:0050660 GO:0016491 GO:0016020 GO:0003885		KOG4730	1.1.3.8 1.1.3.37	PTHR13878 PTHR13878:SF63
Dusal.0017s00005	GO:0016787	K14641		3.6.1.5	PTHR11782
Dusal.0017s00011	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02995	KOG3283		PTHR10394
Dusal.0017s00015	GO:0006629	K14676		3.1.1.5	PTHR14226 PTHR14226:SF29
