Gene ID	GO	KO	KOG	ENZYME	PANTHER	PFAM
fgenesh3_kg.2_#_393_#_isotig00729	GO:0046034 GO:0033178 GO:0005524	K02133		3.6.3.14	PTHR15184 PTHR15184:SF45	PF02874 PF00306 PF00006
fgenesh3_kg.2_#_433_#_isotig00205	GO:0005515					PF01833
fgenesh3_kg.3_#_78_#_isotig00966	GO:0055114 GO:0006561 GO:0004735	K00286	KOG3124	1.5.1.2	PTHR11645 PTHR11645:SF28	PF03807 PF14748
fgenesh3_kg.3_#_84_#_isotig00957	GO:0006457 GO:0003755 GO:0000413	K03768	KOG0880	5.2.1.8	PTHR11071 PTHR11071:SF286	PF00160
fgenesh3_kg.4_#_53_#_isotig02921	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02899			PTHR15893	PF01016
MicpuC2.gw1.7.658.1	GO:0046872 GO:0005524			2.7.1.150	PTHR11353 PTHR11353:SF57	PF01363
fgenesh3_kg.5_#_40_#_isotig02946	GO:0016021 GO:0005740	K00237			PTHR13337	PF05328
MicpuC2.gw1.9.686.1	GO:0005515 GO:0005634	K11346			PTHR10333	PF00628
fgenesh3_kg.6_#_54_#_isotig03090	GO:0051082 GO:0015631 GO:0007021	K17292	KOG3470		PTHR21500 PTHR21500:SF0	PF02970
fgenesh3_kg.7_#_30_#_isotig02613	GO:0022900 GO:0016651	K03937			PTHR12219	PF04800
fgenesh3_kg.8_#_25_#_isotig00710	GO:0016020 GO:0016887 GO:0005524		KOG0061	3.6.3.25	PTHR19241	PF01061 PF00005
fgenesh3_kg.9_#_26_#_isotig02093	GO:0006468 GO:0005524 GO:0004672 GO:0007094	K02178		2.7.11.1	PTHR14030	PF00069
fgenesh3_kg.9_#_32_#_isotig02590	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02881			PTHR12899	PF00861
fgenesh3_kg.9_#_52_#_isotig01231	GO:0051603 GO:0005839 GO:0004298	K02737	KOG0175	3.4.25.1	PTHR11599 PTHR11599:SF63	PF00227
fgenesh3_kg.11_#_29_#_isotig01016	GO:0055114 GO:0016491 GO:0016616 GO:0019752	K00026		1.1.1.37	PTHR11540	PF00056 PF02866
fgenesh2_kg.1_#_27_#_4269909:1	GO:0006412 GO:0005840 GO:0003735	K02870	KOG0886		PTHR11661	PF00298 PF03946
fgenesh2_kg.1_#_79_#_4277156:147	GO:0016020 GO:0009765				PTHR21649	PF00504
fgenesh2_kg.1_#_122_#_4271213:1	GO:0055114 GO:0004616 GO:0051287	K18121			PTHR22981 PTHR22981:SF53	PF03446 PF14833
fgenesh2_kg.1_#_130_#_4274574:1	GO:0003677					PF00216
fgenesh2_kg.1_#_132_#_4276745:4	GO:0016567 GO:0004842			6.3.2.19	PTHR22849 PTHR22849:SF0	PF04564
fgenesh2_kg.1_#_152_#_4276912:1	GO:0055114 GO:0016491 GO:0016209		KOG0541			PF00578
fgenesh2_kg.1_#_166_#_4273271:1	GO:0098655 GO:0033198 GO:0005887 GO:0004931 GO:0001614					PF00864
fgenesh2_kg.1_#_172_#_4276749:1	GO:0008168 GO:0008033 GO:0006364 GO:0003723	K14563	KOG1596		PTHR10335	PF01269
MicpuC2.e_gw1.1.85.1	GO:0006260 GO:0005524 GO:0003677	K10737		3.6.4.12	PTHR11630 PTHR11630:SF47	PF14551 PF00493
fgenesh2_kg.1_#_190_#_4270447:2	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02991	KOG1646		PTHR11502	PF01092
fgenesh2_kg.1_#_207_#_4277106:1	GO:0005524 GO:0003676	K13025		3.6.4.13	PTHR24031 PTHR24031:SF313	PF00270 PF00271
fgenesh2_kg.2_#_33_#_4270250:2	GO:0080085 GO:0045038 GO:0009507 GO:0009416	K12271			PTHR24128 PTHR24128:SF11	PF12796
fgenesh2_kg.2_#_147_#_4271891:1	GO:0043022 GO:0042256	K03264	KOG3185		PTHR10784	PF01912
fgenesh2_kg.2_#_225_#_4269858:1	GO:0030170 GO:0009058	K00817	KOG0633	2.6.1.9	PTHR11751 PTHR11751:SF3	PF00155
fgenesh2_kg.2_#_244_#_4271572:2	GO:0006096 GO:0004634 GO:0000287 GO:0000015	K01689		4.2.1.11	PTHR11902	PF03952 PF00113
MicpuC2.e_gw1.1.1300.1	GO:0007165 GO:0004114	K13293		3.1.4.53	PTHR11347	PF00233
fgenesh2_kg.2_#_348_#_4277932:1	GO:0005509	K02183	KOG0027		PTHR23050	PF13499 PF00036
fgenesh2_kg.2_#_414_#_4272790:1	GO:0005524 GO:0004797	K00857	KOG3125	2.7.1.21	PTHR11441	PF00265
MicpuC2.e_gw1.1.443.1	GO:0033180 GO:0015078	K02148	KOG2909		PTHR10137 PTHR10137:SF0	PF03223
fgenesh2_kg.2_#_502_#_4269813:1	GO:0018024					PF08123
fgenesh2_kg.3_#_42_#_4270446:1	GO:0016192 GO:0016021		KOG0860		PTHR21136 PTHR21136:SF102	PF00957
MicpuC2.e_gw1.1.139.1	GO:0006281 GO:0006260 GO:0005524 GO:0003676	K10901	KOG0353	3.6.4.12	PTHR13710 PTHR13710:SF70	PF16124 PF00271 PF09382 PF00270
fgenesh2_kg.3_#_66_#_4277957:1	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02956			PTHR23321	PF00312
fgenesh2_kg.3_#_81_#_4273865:1	GO:0005515		KOG1337	2.1.1.259	PTHR13271 PTHR13271:SF44	PF00856 PF09273
fgenesh2_kg.3_#_103_#_4274977:1	GO:0003676	K12885			PTHR24012	PF00076
fgenesh2_kg.3_#_108_#_4277793:1	GO:0000160			2.7.13.3	PTHR24423	PF00072
fgenesh2_kg.3_#_111_#_4274084:1	GO:0009052 GO:0004751	K01807	KOG3075	5.3.1.6	PTHR11934	PF06026
fgenesh2_kg.3_#_126_#_4270313:1	GO:0005515				PTHR16062	PF00439
fgenesh2_kg.3_#_145_#_4272126:1	GO:0005525	K07910	KOG0080	3.6.5.2	PTHR24073 PTHR24073:SF579	PF00025
fgenesh2_kg.3_#_156_#_4269359:3	GO:0016021		KOG4561		PTHR13439 PTHR13439:SF0	PF03798
fgenesh2_kg.3_#_166_#_4275591:1	GO:0008152 GO:0006741 GO:0003951	K00858	KOG2178	2.7.1.23 2.7.1.86	PTHR20275 PTHR20275:SF0	PF01513
fgenesh2_kg.3_#_169_#_4273651:1	GO:0016491 GO:0008152		KOG1208	1.1.1.300	PTHR24320 PTHR24320:SF45	PF00106
fgenesh2_kg.3_#_189_#_4270508:1	GO:0006457 GO:0003755 GO:0000413		KOG0884 KOG0881	5.2.1.8	PTHR11071 PTHR11071:SF17	PF00160
fgenesh2_kg.4_#_11_#_4275648:1	GO:0009116		KOG1448	2.7.6.1	PTHR10210 PTHR10210:SF45	PF13793 PF00156
MicpuC2.e_gw1.1.1070.1	GO:0003676				PTHR23238 PTHR23238:SF26	PF00076
fgenesh2_kg.4_#_37_#_4278641:1	GO:0006457		KOG0544	5.2.1.8	PTHR10516 PTHR10516:SF178	PF00254
fgenesh2_kg.4_#_65_#_4270255:1	GO:0019773 GO:0006511 GO:0004175 GO:0051603 GO:0005839 GO:0004298	K02729	KOG0176	3.4.25.1	PTHR11599 PTHR11599:SF14	PF10584 PF00227
fgenesh2_kg.4_#_71_#_4270299:1	GO:0006351	K03016	KOG3400		PTHR10917	PF03870
fgenesh2_kg.4_#_105_#_4277156:147	GO:0016020 GO:0009765				PTHR21649	PF00504
fgenesh2_kg.4_#_135_#_4276724:2	GO:0005515 GO:0006413 GO:0003743	K03262	KOG2767		PTHR23001	PF02020 PF01873
fgenesh2_kg.4_#_153_#_4273885:1	GO:0016021				PTHR31898 PTHR31898:SF1	PF03798
fgenesh2_kg.5_#_34_#_4270956:1	GO:0009253 GO:0008745					PF01510
fgenesh2_kg.5_#_35_#_4274396:1	GO:0055114 GO:0033743 GO:0030091 GO:0016671 GO:0006979	K07305	KOG0856	1.8.4.12	PTHR10173 PTHR10173:SF18	PF01641
fgenesh2_kg.5_#_49_#_4270579:1	GO:0005524 GO:0070011 GO:0016887 GO:0009376 GO:0005737	K03667		3.4.25.2	PTHR11262 PTHR11262:SF3	PF10431 PF00004
fgenesh2_kg.5_#_62_#_4271323:1	GO:0019904	K06630	KOG0841		PTHR18860	PF00244
fgenesh2_kg.5_#_77_#_4270360:1	GO:0016592 GO:0006357					PF09748
fgenesh2_kg.5_#_86_#_4270619:1	GO:0008152 GO:0003824	K00826	KOG0975	2.6.1.42	PTHR11825 PTHR11825:SF44	PF01063
fgenesh2_kg.5_#_87_#_4273742:1	GO:0003924	K03531		3.6.5.6	PTHR30314 PTHR30314:SF12	PF12327 PF00091
fgenesh2_kg.5_#_124_#_4272007:1	GO:0006457 GO:0003755 GO:0000413	K03768	KOG0880	5.2.1.8	PTHR11071	PF00160
fgenesh2_kg.6_#_7_#_4271281:1	GO:0055114 GO:0016491 GO:0008270		KOG1198	1.6.5.5	PTHR11695 PTHR11695:SF294	PF08240 PF13602
fgenesh2_kg.6_#_67_#_4273891:2	GO:0003824 GO:0006470 GO:0004722			3.1.3.16	PTHR13832	PF00481
fgenesh2_kg.6_#_83_#_4275702:1	GO:0003677 GO:0000786	K11253	KOG1745		PTHR11426	PF00125
fgenesh2_kg.7_#_8_#_4270425:2	GO:0016757			2.4.1.255	PTHR20961	PF04577
fgenesh2_kg.7_#_18_#_4270951:2	GO:0007264 GO:0005525	K07953	KOG0077		PTHR11711 PTHR11711:SF177	PF08477
fgenesh2_kg.7_#_45_#_4270218:1	GO:0050660 GO:0008033	K10960		1.3.1.83	PTHR10617 PTHR10617:SF116	PF01134
fgenesh2_kg.7_#_56_#_4275856:1	GO:0003676 GO:0005850 GO:0003743 GO:0003723	K03237	KOG2916		PTHR10602 PTHR10602:SF0	PF00575 PF07541
fgenesh2_kg.7_#_58_#_4277395:1	GO:0003676	K14545	KOG4008		PTHR13191	PF00076 PF12923
fgenesh2_kg.8_#_27_#_4276953:1	GO:0006412 GO:0005840 GO:0005622 GO:0003735		KOG1740		PTHR10744 PTHR10744:SF1	PF00366
fgenesh2_kg.8_#_29_#_4274996:1	GO:0005524 GO:0006625 GO:0005778	K13338		3.6.4.6	PTHR23077 PTHR23077:SF12	PF00004
fgenesh2_kg.8_#_31_#_4269484:1	GO:0016491 GO:0008152		KOG1208	1.3.1.33	PTHR24320	PF00106
fgenesh2_kg.8_#_93_#_4275441:1	GO:0006351 GO:0005634 GO:0003899 GO:0003677	K03013	KOG3218	2.7.7.6	PTHR10535	PF03871 PF01191
fgenesh2_kg.9_#_14_#_4277156:147	GO:0016020 GO:0009765				PTHR21649	PF00504
fgenesh2_kg.9_#_19_#_4270437:1	GO:0006412 GO:0005840 GO:0003735	K02894	KOG0901		PTHR11761 PTHR11761:SF10	PF00238
MicpuC2.e_gw1.1.1348.1	GO:0003677	K11251	KOG1756		PTHR23430	PF00125 PF16211
fgenesh2_kg.9_#_22_#_4275324:1	GO:0030132 GO:0030130 GO:0016192 GO:0006886 GO:0005198				PTHR10639	PF01086
fgenesh2_kg.9_#_46_#_4275078:1	GO:0008080				PTHR23091 PTHR23091:SF267	PF00583
fgenesh2_kg.10_#_31_#_4275178:2	GO:0016021	K13348	KOG1944		PTHR11266 PTHR11266:SF16	PF04117
fgenesh2_kg.10_#_36_#_4277156:384	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02895			PTHR12903 PTHR12903:SF1	
MicpuC2.e_gw1.1.348.1	GO:0055114 GO:0016701 GO:0009072 GO:0003868	K00457	KOG0638	1.13.11.27	PTHR11959 PTHR11959:SF1	PF00903
fgenesh2_kg.11_#_25_#_4274614:2	GO:0016846 GO:0008152				PTHR33337 PTHR33337:SF4	PF04828
fgenesh2_kg.11_#_51_#_4271625:1	GO:0016747			2.3.1.99 2.3.1.133	PTHR31642	PF02458
fgenesh2_kg.11_#_57_#_4271202:1	GO:0033699 GO:0006281 GO:0003677	K10863	KOG0562		PTHR12486 PTHR12486:SF4	PF11969
fgenesh2_kg.12_#_21_#_4276594:1	GO:0005789				PTHR10809	PF00635
fgenesh2_kg.12_#_23_#_4271646:1	GO:0016887 GO:0005524	K03062		3.4.25.1	PTHR23073	PF07728
fgenesh2_kg.12_#_52_#_4270386:1	GO:0005524	K09497			PTHR11353	PF00118
fgenesh2_kg.12_#_78_#_4269623:1	GO:0016192 GO:0016021 GO:0006810		KOG2887		PTHR23137 PTHR23137:SF3	PF04178
fgenesh2_kg.12_#_84_#_4278394:1	GO:0016592 GO:0006357	K15148			PTHR21428 PTHR21428:SF11	PF05983
fgenesh2_kg.13_#_22_#_4270097:1	GO:0016853 GO:0005975	K01792	KOG1594	5.1.3.15	PTHR11122 PTHR11122:SF12	PF01263
fgenesh2_kg.13_#_41_#_4271207:1	GO:0005737 GO:0000045	K08341	KOG1654		PTHR10969 PTHR10969:SF40	PF04110
fgenesh2_kg.13_#_44_#_4276565:1	GO:0008380 GO:0005681	K12817			PTHR13007	PF02840
fgenesh2_kg.13_#_64_#_4277156:408	GO:0016559 GO:0005779		KOG4186		PTHR12652	PF05648
fgenesh2_kg.14_#_2_#_4273919:1	GO:0006468 GO:0004672	K08853	KOG2345	2.7.11.1	PTHR22967	PF07714
fgenesh2_kg.14_#_25_#_4271469:1	GO:0006850 GO:0005743		KOG1589		PTHR14154 PTHR14154:SF2	PF03650
fgenesh2_kg.14_#_29_#_4271122:2	GO:0016021		KOG3195		PTHR13019	PF05832
fgenesh2_kg.14_#_40_#_4270978:2	GO:0005515				PTHR22880	PF00439
fgenesh2_kg.14_#_55_#_4273642:1	GO:0008270 GO:0005515					PF13639
fgenesh2_kg.14_#_71_#_4275793:1	GO:0009982 GO:0009451 GO:0003723 GO:0001522	K06173		5.4.99.12	PTHR11142 PTHR11142:SF9	
fgenesh2_kg.15_#_50_#_4272315:1	GO:0044238				PTHR33231 PTHR33231:SF1	PF16321 PF02482
fgenesh2_kg.16_#_26_#_4269522:1	GO:0006629	K04712	KOG2987		PTHR12879 PTHR12879:SF8	PF08557 PF00487
fgenesh2_kg.16_#_33_#_4273340:3	GO:0006412 GO:0005840 GO:0003735 GO:0003723	K02981	KOG0877		PTHR13718	PF03719 PF00333
fgenesh2_kg.16_#_47_#_4271464:2	GO:0007034	K12194			PTHR22761 PTHR22761:SF8	PF03357
fgenesh2_kg.17_#_9_#_4269483:1	GO:0019904	K06630	KOG0841		PTHR18860	PF00244
fgenesh2_kg.18_#_10_#_4276231:1	GO:0051536 GO:0016226 GO:0005506				PTHR31942 PTHR31942:SF30	PF01106
fgenesh2_kg.18_#_23_#_4271501:1	GO:0016887 GO:0005524	K12196		3.6.4.6	PTHR23074 PTHR23074:SF93	PF07728 PF04212 PF09336
MicpuC2.e_gw1.1.384.1	GO:0005515		KOG0272		PTHR22847 PTHR22847:SF464	PF00400
fgenesh2_kg.18_#_50_#_4275540:1	GO:0018193			1.14.11.16	PTHR12366	PF05118
estExt_fgenesh3_kg.C_10028	GO:0006412 GO:0005840 GO:0003735	K02866	KOG0857		PTHR11726 PTHR11726:SF15	PF00252
estExt_fgenesh3_kg.C_10040	GO:0051536 GO:0003824 GO:0051539 GO:0009451		KOG2492		PTHR11918 PTHR11918:SF57	PF04055 PF00919
estExt_fgenesh3_kg.C_10071	GO:0020037 GO:0019825					PF00042
estExt_fgenesh3_kg.C_10102	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02891	KOG3434		PTHR10064	PF01776
estExt_fgenesh3_kg.C_20010	GO:0008176 GO:0006400	K03439	KOG3115	2.1.1.33	PTHR23417 PTHR23417:SF16	PF02390
estExt_fgenesh3_kg.C_20070	GO:0006412 GO:0005840 GO:0003735	K02957	KOG1754		PTHR11758 PTHR11758:SF16	PF00410
estExt_fgenesh3_kg.C_20178	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02920	KOG3452		PTHR10114	PF01158
estExt_fgenesh3_kg.C_20179	GO:0006367 GO:0005672	K03123	KOG3463		PTHR10966	PF02751 PF02268
estExt_fgenesh3_kg.C_20218	GO:0006351 GO:0005634 GO:0003899	K14721			PTHR12069	PF04801
MicpuC2.e_gw1.1.972.1	GO:0005515 GO:0008017	K10436			PTHR10623 PTHR10623:SF16	PF00307
estExt_fgenesh3_kg.C_20390	GO:0045454 GO:0015035 GO:0009055		KOG1752		PTHR10293 PTHR10293:SF45	PF00462
estExt_fgenesh3_kg.C_20396	GO:0005525	K14538	KOG2484		PTHR11089 PTHR11089:SF30	PF08701 PF01926
estExt_fgenesh3_kg.C_20444	GO:0006351 GO:0003899 GO:0003677	K03017	KOG2691	2.7.7.6	PTHR11239 PTHR11239:SF1	PF02150
estExt_fgenesh3_kg.C_20453	GO:0003676				PTHR23270 PTHR23270:SF9	PF09876 PF00575
estExt_fgenesh3_kg.C_20454	GO:0008757	K00569		2.1.1.67	PTHR10259	PF05724
estExt_fgenesh3_kg.C_30023	GO:0007010 GO:0003779	K17261	KOG2675		PTHR10652	PF08603 PF01213
estExt_fgenesh3_kg.C_30032	GO:0005739	K07555			PTHR13126	PF06644
estExt_fgenesh3_kg.C_30036	GO:0008270 GO:0005515				PTHR14155 PTHR14155:SF138	PF13639
estExt_fgenesh3_kg.C_40058	GO:0016538 GO:0007049	K02219	KOG3484		PTHR23415	PF01111
estExt_fgenesh3_kg.C_60021	GO:0016791 GO:0009117 GO:0000287	K18550			PTHR28213 PTHR28213:SF1	PF06437
estExt_fgenesh3_kg.C_60031	GO:0006396	K12623	KOG3448		PTHR23338	PF01423
estExt_fgenesh3_kg.C_60049	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02934	KOG1694		PTHR10715	PF01159
estExt_fgenesh3_kg.C_70011	GO:0034464	K16748			PTHR21351	PF07289
estExt_fgenesh3_kg.C_70036	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02976	KOG1768		PTHR12538	PF01283
estExt_fgenesh3_kg.C_90003	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02978	KOG1779		PTHR11594	PF01667
estExt_fgenesh3_kg.C_90014	GO:0055114 GO:0009089 GO:0008839	K00215		1.17.1.8	PTHR20836 PTHR20836:SF0	PF01113 PF05173
estExt_fgenesh3_kg.C_90036	GO:0005515	K14753	KOG0279		PTHR19868 PTHR19868:SF0	PF00400
estExt_fgenesh3_kg.C_90039	GO:0006413 GO:0003743 GO:0003723	K03236	KOG3403		PTHR21668	PF01176
estExt_fgenesh3_kg.C_100004	GO:0055114 GO:0016491 GO:0050662			1.1.1.67	PTHR30562 PTHR30562:SF4	PF01232 PF08125
estExt_fgenesh3_kg.C_100023	GO:0006412 GO:0005840 GO:0003735	K02966	KOG3411		PTHR11710	PF01090
estExt_fgenesh3_kg.C_110009	GO:0006412 GO:0005840 GO:0003735 GO:0015934	K02880	KOG3353		PTHR11593	PF00237
estExt_fgenesh3_kg.C_120019	GO:0008168 GO:0006364 GO:0005737	K00783		2.1.1.177	PTHR33603 PTHR33603:SF1	PF02590
estExt_fgenesh3_kg.C_130016	GO:0007034	K12197	KOG3232		PTHR10476 PTHR10476:SF2	PF03357
estExt_fgenesh3_kg.C_130033	GO:0003824 GO:0006470 GO:0004722		KOG0698	3.1.3.16	PTHR13832	PF00481
estExt_fgenesh3_kg.C_140027	GO:0016021		KOG1944		PTHR11266 PTHR11266:SF21	PF04117
estExt_fgenesh3_kg.C_150003	GO:0055114 GO:0046872 GO:0016491	K04035		1.14.13.81	PTHR31053 PTHR31053:SF2	PF02915
estExt_fgenesh3_kg.C_150006	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02953	KOG0400		PTHR11885	PF00312 PF08069
estExt_fgenesh3_kg.C_150027	GO:0016020	K17081	KOG3090		PTHR23222 PTHR23222:SF1	PF01145
estExt_fgenesh3_kg.C_150029	GO:0019843 GO:0005622 GO:0003723	K14560	KOG4655		PTHR11831 PTHR11831:SF1	PF00163 PF01479
estExt_fgenesh3_kg.C_160015	GO:0022904 GO:0016651 GO:0005743	K03949	KOG3365		PTHR12653	PF04716
estExt_fgenesh2_kg.C_10007	GO:0005524 GO:0004020 GO:0000103	K00860	KOG0635	2.7.1.25	PTHR11055	PF01583
estExt_fgenesh2_kg.C_10008	GO:0071630 GO:0031144 GO:0005634					PF08559
estExt_fgenesh2_kg.C_10060	GO:0006413 GO:0003743	K02520			PTHR10938 PTHR10938:SF0	PF05198 PF00707
estExt_fgenesh2_kg.C_10083	GO:0016627 GO:0016021 GO:0006629 GO:0005737	K10258	KOG1639	1.3.1.93 1.3.1.38	PTHR10556 PTHR10556:SF28	PF02544
estExt_fgenesh2_kg.C_10115	GO:0008168 GO:0008152	K18534			PTHR10108 PTHR10108:SF853	PF08241
estExt_fgenesh2_kg.C_10139	GO:0016832 GO:0008270 GO:0005975	K01624	KOG4153	4.1.2.13	PTHR30559 PTHR30559:SF0	PF01116
estExt_fgenesh2_kg.C_10173	GO:0005525	K07874	KOG0084		PTHR24073 PTHR24073:SF520	PF00025
estExt_fgenesh2_kg.C_10200	GO:0006468 GO:0004672	K13412	KOG0032	2.7.11.1	PTHR24349	PF13499 PF07714
estExt_fgenesh2_kg.C_2_t10039	GO:0008540 GO:0006511	K03029	KOG2884		PTHR10223	PF13519
estExt_fgenesh2_kg.C_2_t10042	GO:0008168	K14568	KOG3073	2.1.1.257	PTHR12636 PTHR12636:SF5	PF03587
estExt_fgenesh2_kg.C_2_t10047	GO:0008641	K04532	KOG2016		PTHR10953	PF00899
estExt_fgenesh2_kg.C_2_t10049	GO:0006397 GO:0000445	K13176	KOG3215		PTHR23405 PTHR23405:SF5	PF05615
estExt_fgenesh2_kg.C_2_t10082	GO:0005515	K10599	KOG0289		PTHR22840	PF00400 PF08606
estExt_fgenesh2_kg.C_2_t10109	GO:0006412 GO:0005840 GO:0003735	K02877	KOG1678		PTHR11847	PF00827
estExt_fgenesh2_kg.C_2_t10131	GO:0006412 GO:0005840 GO:0005622 GO:0003735					PF01632
estExt_fgenesh2_kg.C_2_t10155	GO:0008641		KOG2018	2.7.7.73	PTHR10953 PTHR10953:SF135	PF00899
estExt_fgenesh2_kg.C_2_t10229	GO:0005680 GO:0004842	K03868	KOG2930		PTHR11210 PTHR11210:SF2	PF12861
