feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	152521	153541	-	XP_005856408.1		XM_005856346.1	hypothetical protein		17363182	NGA_2128900	1021	340	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	153910	155741	+						17363179	NGA_2018500	1832		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	153910	155741	+	XM_005856334.1		XP_005856396.1	hnrnp arginine n-methyltransferase		17363179	NGA_2018500	1832	1832	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	153910	155612	+	XP_005856396.1		XM_005856334.1	hnrnp arginine n-methyltransferase		17363179	NGA_2018500	1703	566	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	167955	169607	-						17363173	NGA_2119400	1653		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	167955	169607	-	XM_005856345.1		XP_005856407.1	hypothetical protein		17363173	NGA_2119400	1653	1653	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	168205	169607	-	XP_005856407.1		XM_005856345.1	hypothetical protein		17363173	NGA_2119400	1403	466	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	172705	173526	+						17363178	NGA_2057300	822		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	172705	173526	+	XM_005856337.1		XP_005856399.1	hypothetical protein		17363178	NGA_2057300	822	822	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	172705	173526	+	XP_005856399.1		XM_005856337.1	hypothetical protein		17363178	NGA_2057300	822	274	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	173510	174052	+						17363175	NGA_2040500	543		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	173510	174052	+	XM_005856336.1		XP_005856398.1	hypothetical protein		17363175	NGA_2040500	543	543	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	173510	174052	+	XP_005856398.1		XM_005856336.1	hypothetical protein		17363175	NGA_2040500	543	181	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	178416	178886	-						17363181	NGA_2084600	471		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	178416	178886	-	XM_005856340.1		XP_005856402.1	tubby-like protein		17363181	NGA_2084600	471	471	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	178430	178729	-	XP_005856402.1		XM_005856340.1	tubby-like protein		17363181	NGA_2084600	300	99	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	200569	200949	-						17363171	NGA_2068900	381		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	200569	200949	-	XM_005856338.1		XP_005856400.1	hypothetical protein		17363171	NGA_2068900	381	381	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803952.1	200569	200949	-	XP_005856400.1		XM_005856338.1	hypothetical protein		17363171	NGA_2068900	381	127	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803951.1	112909	113022	+						17363168	NGA_2002800	114		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803951.1	112909	113022	+	XM_005856331.1		XP_005856393.1	atp-dependent dead h dna helicase recq		17363168	NGA_2002800	114	114	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803951.1	112909	113022	+	XP_005856393.1		XM_005856331.1	atp-dependent dead h dna helicase recq		17363168	NGA_2002800	114	38	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803951.1	192162	192447	-						17363169	NGA_2100310	286		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803951.1	192162	192447	-	XM_005856332.1		XP_005856394.1	hypothetical protein		17363169	NGA_2100310	286	286	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803951.1	192162	192447	-	XP_005856394.1		XM_005856332.1	hypothetical protein		17363169	NGA_2100310	286	95	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	19101	19758	+						17363164	NGA_2042200	658		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	19101	19758	+	XM_005856325.1		XP_005856387.1	hypothetical protein		17363164	NGA_2042200	658	658	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	19147	19758	+	XP_005856387.1		XM_005856325.1	hypothetical protein		17363164	NGA_2042200	612	204	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	20255	20465	+						17363163	NGA_2125000	211		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	20255	20465	+	XM_005856330.1		XP_005856392.1	hypothetical protein		17363163	NGA_2125000	211	211	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	20255	20465	+	XP_005856392.1		XM_005856330.1	hypothetical protein		17363163	NGA_2125000	211	70	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	20931	22015	+						17363166	NGA_2027100	1085		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	20931	22015	+	XM_005856322.1		XP_005856384.1	hypothetical protein		17363166	NGA_2027100	1085	1085	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	20931	22015	+	XP_005856384.1		XM_005856322.1	hypothetical protein		17363166	NGA_2027100	1085	362	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	27725	28667	-						17363159	NGA_2103900	943		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	27725	28667	-	XM_005856329.1		XP_005856391.1	mg(2+) transport atpase protein c		17363159	NGA_2103900	943	943	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	27725	28536	-	XP_005856391.1		XM_005856329.1	mg(2+) transport atpase protein c		17363159	NGA_2103900	812	270	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	32496	34659	+						17363165	NGA_2076200	2164		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	32496	34659	+	XM_005856328.1		XP_005856390.1	fha domain protein		17363165	NGA_2076200	2164	2164	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	32666	34659	+	XP_005856390.1		XM_005856328.1	fha domain protein		17363165	NGA_2076200	1994	664	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	99424	100619	-						17363157	NGA_2012000	1196		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	99424	100619	-	XM_005856320.1		XP_005856382.1	methyltransferase		17363157	NGA_2012000	1196	1196	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	99435	100619	-	XP_005856382.1		XM_005856320.1	methyltransferase		17363157	NGA_2012000	1185	394	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	118176	119276	+						17363167	NGA_2035100	1101		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	118176	119276	+	XM_005856324.1		XP_005856386.1	pentatricopeptide repeat-containing protein		17363167	NGA_2035100	1101	1101	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	118176	119276	+	XP_005856386.1		XM_005856324.1	pentatricopeptide repeat-containing protein		17363167	NGA_2035100	1101	366	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	131233	131492	+						17363162	NGA_2061210	260		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	131233	131492	+	XM_005856327.1		XP_005856389.1	hypothetical protein		17363162	NGA_2061210	260	260	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	131233	131492	+	XP_005856389.1		XM_005856327.1	hypothetical protein		17363162	NGA_2061210	260	86	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	137044	138018	+						17363156	NGA_2006610	975		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	137044	138018	+	XM_005856319.1		XP_005856381.1	receptor-interacting serine-threonine kinase 4		17363156	NGA_2006610	975	975	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	137044	137959	+	XP_005856381.1		XM_005856319.1	receptor-interacting serine-threonine kinase 4		17363156	NGA_2006610	916	304	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	144960	145633	-						17363160	NGA_2033900	674		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	144960	145633	-	XM_005856323.1		XP_005856385.1	hypothetical protein		17363160	NGA_2033900	674	674	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	144991	145632	-	XP_005856385.1		XM_005856323.1	hypothetical protein		17363160	NGA_2033900	642	213	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	147118	148375	+						17363161	NGA_2024200	1258		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	147118	148375	+	XM_005856321.1		XP_005856383.1	rna polymerase ii ctd phosphatase		17363161	NGA_2024200	1258	1258	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	147118	148375	+	XP_005856383.1		XM_005856321.1	rna polymerase ii ctd phosphatase		17363161	NGA_2024200	1258	419	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	176679	177034	-						17363158	NGA_2054000	356		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	176679	177034	-	XM_005856326.1		XP_005856388.1	dmc1-like protein		17363158	NGA_2054000	356	356	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803950.1	176679	177034	-	XP_005856388.1		XM_005856326.1	dmc1-like protein		17363158	NGA_2054000	356	118	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	44808	48158	-						17363152	NGA_2082200	3351		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	44808	48158	-	XM_005856317.1		XP_005856379.1	t-complex 11 like isoform cra b		17363152	NGA_2082200	3351	3351	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	45213	48143	-	XP_005856379.1		XM_005856317.1	t-complex 11 like isoform cra b		17363152	NGA_2082200	2931	976	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	74262	74740	+					PIGL	17363155	NGA_2035300	479		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	74262	74740	+	XM_005856316.1		XP_005856378.1	N-acetylglucosaminylphosphatidylinositol deacetylase	PIGL	17363155	NGA_2035300	479	479	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	74262	74737	+	XP_005856378.1		XM_005856316.1	N-acetylglucosaminylphosphatidylinositol deacetylase	PIGL	17363155	NGA_2035300	476	157	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	163156	163849	+						17363154	NGA_2000710	694		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	163156	163849	+	XM_005856315.1		XP_005856377.1	butyrylcholinesterase precursor		17363154	NGA_2000710	694	694	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	163156	163849	+	XP_005856377.1		XM_005856315.1	butyrylcholinesterase precursor		17363154	NGA_2000710	694	231	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	168750	169386	+						17363153	NGA_2122710	637		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	168750	169386	+	XM_005856318.1		XP_005856380.1	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)		17363153	NGA_2122710	637	637	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803949.1	168750	169346	+	XP_005856380.1		XM_005856318.1	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)		17363153	NGA_2122710	597	198	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803948.1	165629	165739	+						17363150	NGA_2002500	111		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803948.1	165629	165739	+	XM_005856313.1		XP_005856375.1	hypothetical protein		17363150	NGA_2002500	111	111	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803948.1	165629	165739	+	XP_005856375.1		XM_005856313.1	hypothetical protein		17363150	NGA_2002500	111	37	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803948.1	165790	165894	+						17363151	NGA_2126700	105		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803948.1	165790	165894	+	XM_005856314.1		XP_005856376.1	hypothetical protein		17363151	NGA_2126700	105	105	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803948.1	165790	165894	+	XP_005856376.1		XM_005856314.1	hypothetical protein		17363151	NGA_2126700	105	35	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	906	2661	-						17363147	NGA_2093800	1756		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	906	2661	-	XM_005856312.1		XP_005856374.1	alpha beta hydrolase fold protein		17363147	NGA_2093800	1609	1609	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	1128	2651	-	XP_005856374.1		XM_005856312.1	alpha beta hydrolase fold protein		17363147	NGA_2093800	1377	458	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	31770	34027	-						17363146	NGA_2076800	2258		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	31770	34027	-	XM_005856309.1		XP_005856371.1	elongator complex protein 3		17363146	NGA_2076800	2258	2258	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	31846	33627	-	XP_005856371.1		XM_005856309.1	elongator complex protein 3		17363146	NGA_2076800	1782	593	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	41370	41936	+					AP4S1	17363145	NGA_2088200	567		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	41370	41936	+	XM_005856311.1		XP_005856373.1	AP-4 complex subunit sigma-1	AP4S1	17363145	NGA_2088200	567	567	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	41399	41905	+	XP_005856373.1		XM_005856311.1	AP-4 complex subunit sigma-1	AP4S1	17363145	NGA_2088200	507	168	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	42035	45813	-					RPC2	17363149	NGA_2037300	3779		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	42035	45813	-	XM_005856308.1		XP_005856370.1	DNA-directed RNA polymerase III subunit RPC2	RPC2	17363149	NGA_2037300	3779	3779	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	42127	45720	-	XP_005856370.1		XM_005856308.1	DNA-directed RNA polymerase III subunit RPC2	RPC2	17363149	NGA_2037300	3594	1197	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	48061	48710	+						17363148	NGA_2078400	650		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	48061	48710	+	XM_005856310.1		XP_005856372.1	hypothetical protein		17363148	NGA_2078400	650	650	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803947.1	48174	48401	+	XP_005856372.1		XM_005856310.1	hypothetical protein		17363148	NGA_2078400	228	75	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	12048	12826	-						17363144	NGA_2109400	779		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	12048	12826	-	XM_005856306.1		XP_005856368.1	30s ribosomal protein s5		17363144	NGA_2109400	779	779	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	12048	12711	-	XP_005856368.1		XM_005856306.1	30s ribosomal protein s5		17363144	NGA_2109400	664	221	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	73807	75056	-						17363139	NGA_2105200	1250		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	73807	75056	-	XM_005856305.1		XP_005856367.1	2og-fe oxygenase		17363139	NGA_2105200	1250	1250	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	74053	75056	-	XP_005856367.1		XM_005856305.1	2og-fe oxygenase		17363139	NGA_2105200	1004	333	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	100416	102781	-						17363141	NGA_2093200	2366		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	100416	102781	-	XM_005856304.1		XP_005856366.1	hypothetical protein		17363141	NGA_2093200	2366	2366	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	101297	102744	-	XP_005856366.1		XM_005856304.1	hypothetical protein		17363141	NGA_2093200	1448	482	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	116702	117293	+						17363143	NGA_2046900	592		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	116702	117293	+	XM_005856303.1		XP_005856365.1	hypothetical protein		17363143	NGA_2046900	592	592	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	116702	117293	+	XP_005856365.1		XM_005856303.1	hypothetical protein		17363143	NGA_2046900	592	197	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	131687	132041	-						17363142	NGA_2114300	355		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	131687	132041	-	XM_005856307.1		XP_005856369.1	ku p70 dna		17363142	NGA_2114300	355	355	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	131687	132040	-	XP_005856369.1		XM_005856307.1	ku p70 dna		17363142	NGA_2114300	354	118	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	141109	144594	+						17363140	NGA_2001900	3486		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	141109	144594	+	XM_005856302.1		XP_005856364.1	hypothetical protein		17363140	NGA_2001900	3486	3486	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803946.1	141109	144468	+	XP_005856364.1		XM_005856302.1	hypothetical protein		17363140	NGA_2001900	3360	1119	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803945.1	18459	19230	-						17363137	NGA_2014900	772		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803945.1	18459	19230	-	XM_005856300.1		XP_005856362.1	transmembrane emp24 domain trafficking protein 2		17363137	NGA_2014900	772	772	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803945.1	18550	19212	-	XP_005856362.1		XM_005856300.1	transmembrane emp24 domain trafficking protein 2		17363137	NGA_2014900	663	220	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803945.1	132020	133146	+						17363138	NGA_2026100	1127		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803945.1	132020	133146	+	XM_005856301.1		XP_005856363.1	gdsl-like protein		17363138	NGA_2026100	1127	1127	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803945.1	132020	133146	+	XP_005856363.1		XM_005856301.1	gdsl-like protein		17363138	NGA_2026100	1127	376	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803944.1	55239	56538	+					ALG2	17363136	NGA_2082800	1300		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803944.1	55239	56538	+	XM_005856299.1		XP_005856361.1	alpha-1,3/alpha-1,6-mannosyltransferase	ALG2	17363136	NGA_2082800	1300	1300	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803944.1	55452	56538	+	XP_005856361.1		XM_005856299.1	alpha-1,3/alpha-1,6-mannosyltransferase	ALG2	17363136	NGA_2082800	1087	362	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803944.1	72574	73532	-						17363135	NGA_2073700	959		
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803944.1	72574	73532	-	XM_005856298.1		XP_005856360.1	fumarylacetoacetate hydrolase domain-containing protein 1		17363135	NGA_2073700	959	959	
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803944.1	72781	73452	-	XP_005856360.1		XM_005856298.1	fumarylacetoacetate hydrolase domain-containing protein 1		17363135	NGA_2073700	672	223	
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803944.1	78401	78674	-						17363134	NGA_2058200	274		partial
mRNA		GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803944.1	78401	78674	-	XM_005856297.1		XP_005856359.1	conserved protein with yshh some fused to polo		17363134	NGA_2058200	274	274	partial
CDS	with_protein	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803944.1	78401	78674	-	XP_005856359.1		XM_005856297.1	conserved protein with yshh some fused to polo		17363134	NGA_2058200	274	91	partial
gene	protein_coding	GCF_000240725.1	Primary Assembly	unplaced scaffold		NW_005803943.1	2059	2488	+						17363129	NGA_2042910	430		partial
