Naga_101577g2	NGA_2123800
Naga_100095g2	NGA_0096701
Naga_100095g3	NGA_2041000
Naga_100095g4	NGA_2110300
Naga_100095g6	NGA_0437801
Naga_100095g7	NGA_0418400
Naga_100095g8	NGA_2022110
Naga_100095g9	NGA_0074400
Naga_100095g11	NGA_0469100
Naga_100095g12	NGA_0469000
Naga_100095g13	NGA_0468800
Naga_100095g14	NGA_0685000
Naga_100095g15	NGA_0468900
Naga_100095g16	NGA_0205102
Naga_102699g1	NGA_0695800
Naga_103328g1	NGA_0240900
Naga_100133g1	NGA_2085300
Naga_100133g2	NGA_0186100
Naga_100133g3	NGA_2033700
Naga_100133g4	NGA_0360510
Naga_100133g5	NGA_0461800
Naga_100133g6	NGA_0627220
Naga_100133g7	NGA_0360310
Naga_100133g8	NGA_0504300
Naga_100133g9	NGA_0205102
Naga_100133g10	NGA_0402002
Naga_100133g12	NGA_0360610
Naga_100133g13	NGA_0203800
Naga_100133g14	NGA_0204000
Naga_100133g15	NGA_0025102
Naga_100133g16	NGA_0204200
Naga_100133g17	NGA_0203900
Naga_100133g17	NGA_0203900
Naga_100133g19	NGA_0452900
Naga_100133g20	NGA_0204100
Naga_100402g7	NGA_0710900
Naga_100402g6	NGA_2022000
Naga_100402g6	NGA_2022000
Naga_100402g6	NGA_2022000
Naga_100402g3	NGA_2011200
Naga_100402g2	NGA_0679600
Naga_100402g1	NGA_0460610
Naga_100199g10	NGA_0368900
Naga_100199g10	NGA_2001410
Naga_100199g9	NGA_0075400
Naga_100199g8	NGA_0679600
Naga_100199g8	NGA_0679600
Naga_100199g7	NGA_0492510
Naga_100199g6	NGA_0430500
Naga_100199g4	NGA_0635700
Naga_100199g3	NGA_0160100
Naga_100199g2	NGA_0160010
Naga_100199g2	NGA_0160010
Naga_100199g1	NGA_0160500
Naga_100002g174	NGA_0346820
Naga_100002g173	NGA_0360310
Naga_100002g172	NGA_0234000
Naga_100002g172	NGA_0234000
Naga_100002g171	NGA_0451510
Naga_100002g170	NGA_2076020
Naga_100002g170	NGA_2076020
Naga_100002g170	NGA_2076020
Naga_100002g170	NGA_2076020
Naga_100002g170	NGA_2076020
Naga_100002g167	NGA_0545600
Naga_100002g167	NGA_0515200
Naga_100002g166	NGA_0605600
Naga_100002g165	NGA_0641700
Naga_100002g161	NGA_0024220
Naga_100002g160	NGA_0434010
Naga_100002g160	NGA_0135502
Naga_100002g159	NGA_2081300
Naga_100002g158	NGA_0523600
Naga_100002g157	NGA_0711900
Naga_100002g156	NGA_2030300
Naga_100002g155	NGA_0721600
Naga_100002g154	NGA_0097300
Naga_100002g152	NGA_0545200
Naga_100002g151	NGA_0545200
Naga_100002g150	NGA_0648800
Naga_100002g149	NGA_0689700
Naga_100002g148	NGA_0332600
Naga_100002g147	NGA_0467800
Naga_100002g146	NGA_2086500
Naga_100002g145	NGA_2076200
Naga_100002g143	NGA_0705100
Naga_100002g142	NGA_0452500
Naga_100002g141	NGA_0400900
Naga_100002g140	NGA_0679600
Naga_100002g139	NGA_2077700
Naga_100002g138	NGA_0686100
Naga_100002g136	NGA_0235800
Naga_100002g135	NGA_2055300
Naga_100002g134	NGA_0134201
Naga_100002g133	NGA_0219710
Naga_100002g132	NGA_0721700
Naga_100002g131	NGA_0587600
Naga_100002g130	NGA_2059800
Naga_100002g129	NGA_0361302
Naga_100002g128	NGA_2088400
Naga_100002g126	NGA_0098600
Naga_100002g125	NGA_0244200
Naga_100002g124	NGA_0436000
Naga_100002g123	NGA_0130200
Naga_100002g121	NGA_0165400
Naga_100002g121	NGA_0165400
Naga_100002g120	NGA_0248800
Naga_100002g119	NGA_2036900
Naga_100002g118	NGA_0622900
Naga_100002g116	NGA_2053810
Naga_100002g115	NGA_2026220
Naga_100002g115	NGA_2026220
Naga_100002g114	NGA_0167102
Naga_100002g113	NGA_2025000
Naga_100002g113	NGA_0606000
Naga_100002g111	NGA_0559400
Naga_100002g110	NGA_2109900
Naga_100002g109	NGA_0232600
Naga_100002g107	NGA_2119710
Naga_100002g106	NGA_0443200
Naga_100002g105	NGA_2030900
Naga_100002g104	NGA_2122520
Naga_100002g103	NGA_2017520
Naga_100002g102	NGA_0455600
Naga_100002g101	NGA_2025700
Naga_100002g100	NGA_0448500
Naga_100002g99	NGA_0386800
Naga_100002g98	NGA_0408310
Naga_100002g97	NGA_0705200
Naga_100002g95	NGA_2125900
Naga_100002g94	NGA_0689510
Naga_100002g93	NGA_2072900
Naga_100002g92	NGA_0722900
Naga_100002g91	NGA_0487100
Naga_100002g90	NGA_0002802
Naga_100002g89	NGA_2129100
Naga_100002g88	NGA_0401310
Naga_100002g87	NGA_0058102
Naga_100002g86	NGA_2125200
Naga_100002g85	NGA_2077500
Naga_100002g84	NGA_0096701
Naga_100002g83	NGA_2000800
Naga_100002g82	NGA_0616120
Naga_100002g81	NGA_2050000
Naga_100002g80	NGA_0223100
Naga_100002g79	NGA_2092600
Naga_100002g78	NGA_0085500
Naga_100002g77	NGA_2016820
Naga_100002g76	NGA_2022110
Naga_100002g75	NGA_2102100
Naga_100002g74	NGA_0126900
Naga_100002g73	NGA_0219710
Naga_100002g71	NGA_0402800
Naga_100002g70	NGA_0380300
Naga_100002g69	NGA_2105000
Naga_100002g68	NGA_0086002
Naga_100002g67	NGA_2064400
Naga_100002g65	NGA_2008100
Naga_100002g64	NGA_0432601
Naga_100002g63	NGA_2008100
Naga_100002g62	NGA_2078120
Naga_100002g62	NGA_2078120
Naga_100002g61	NGA_0474500
Naga_100002g60	NGA_0452200
Naga_100002g59	NGA_2109020
Naga_100002g58	NGA_2087520
Naga_100002g57	NGA_0690000
Naga_100002g56	NGA_0612800
Naga_100002g55	NGA_0624300
Naga_100002g54	NGA_0391820
Naga_100002g53	NGA_2042120
Naga_100002g53	NGA_0557300
Naga_100002g51	NGA_0101300
Naga_100002g50	NGA_0331300
Naga_100002g49	NGA_2005520
Naga_100002g48	NGA_0240700
Naga_100002g47	NGA_0232801
Naga_100002g46	NGA_2112220
Naga_100002g45	NGA_0649600
Naga_100002g44	NGA_0331500
Naga_100002g43	NGA_2079200
Naga_100002g42	NGA_0681400
Naga_100002g41	NGA_0467800
Naga_100002g40	NGA_0426510
Naga_100002g39	NGA_0081700
Naga_100002g38	NGA_0181501
Naga_100002g37	NGA_0729200
Naga_100002g36	NGA_2012310
Naga_100002g35	NGA_0147700
Naga_100002g34	NGA_0331300
Naga_100002g33	NGA_2103500
Naga_100002g32	NGA_0486400
Naga_100002g31	NGA_0602800
Naga_100002g30	NGA_0093910
Naga_100002g29	NGA_0683100
Naga_100002g28	NGA_0430800
Naga_100002g27	NGA_2079100
Naga_100002g26	NGA_0098600
Naga_100002g25	NGA_0386700
Naga_100002g24	NGA_0353800
Naga_100002g23	NGA_0366600
Naga_100002g22	NGA_0366800
Naga_100002g21	NGA_0389000
Naga_100002g20	NGA_0366200
Naga_100002g19	NGA_0366700
Naga_100002g18	NGA_0366400
Naga_100002g17	NGA_0366300
Naga_100002g16	NGA_0366500
Naga_100002g15	NGA_0026402
Naga_100002g14	NGA_0587600
Naga_100002g13	NGA_0441100
Naga_100002g12	NGA_0370410
Naga_100002g175	NGA_0555600
Naga_100002g11	NGA_0484202
Naga_100002g10	NGA_0443200
Naga_100002g9	NGA_0427100
Naga_100002g8	NGA_0415300
Naga_100002g7	NGA_0462400
Naga_100002g6	NGA_2013300
Naga_100002g5	NGA_0167720
Naga_100002g3	NGA_0505000
Naga_100002g1	NGA_0445710
Naga_102247g1	NGA_0679600
Naga_100177g1	NGA_0207300
Naga_100177g2	NGA_2125200
Naga_100177g3	NGA_0444000
Naga_100177g4	NGA_2086900
Naga_100177g5	NGA_0198900
Naga_100177g6	NGA_0166600
Naga_100177g8	NGA_0679600
Naga_100177g9	NGA_2009500
Naga_100177g10	NGA_0392200
Naga_100177g11	NGA_2099100
Naga_100177g12	NGA_0031802
Naga_100177g13	NGA_0607910
Naga_100177g14	NGA_2032500
Naga_100177g15	NGA_0593500
Naga_100177g17	NGA_0502900
Naga_100177g18	NGA_0138600
Naga_100177g19	NGA_0524500
Naga_100177g20	NGA_2039600
Naga_100182g1	NGA_0577320
Naga_100182g3	NGA_0200210
Naga_100182g4	NGA_0361402
Naga_100182g5	NGA_0428310
Naga_100182g6	NGA_0164400
Naga_100182g7	NGA_0461800
Naga_100182g8	NGA_0110702
Naga_100182g9	NGA_0163300
Naga_100182g10	NGA_0486300
Naga_100182g11	NGA_0248800
Naga_100182g12	NGA_0503602
Naga_100182g13	NGA_0714320
Naga_100182g14	NGA_0353800
Naga_100182g15	NGA_0168800
Naga_100009g111	NGA_0333600
Naga_100009g110	NGA_2079200
Naga_100009g109	NGA_2073100
Naga_100009g108	NGA_0176102
Naga_100009g107	NGA_2113600
Naga_100009g106	NGA_0150820
Naga_100009g105	NGA_2080720
Naga_100009g104	NGA_0699010
Naga_100009g104	NGA_0467800
Naga_100009g102	NGA_0467800
Naga_100009g101	NGA_2125300
Naga_100009g100	NGA_0334500
Naga_100009g98	NGA_0683300
Naga_100009g97	NGA_2123900
Naga_100009g96	NGA_0473610
Naga_100009g95	NGA_0730300
Naga_100009g94	NGA_0227300
Naga_100009g92	NGA_0679600
Naga_100009g91	NGA_0499501
Naga_100009g90	NGA_0555900
Naga_100009g89	NGA_0200000
Naga_100009g88	NGA_2097720
Naga_100009g87	NGA_2086240
Naga_100009g86	NGA_0588200
Naga_100009g85	NGA_0605910
Naga_100009g84	NGA_0115010
Naga_100009g82	NGA_0688500
Naga_100009g81	NGA_0217200
Naga_100009g79	NGA_2040910
Naga_100009g78	NGA_2086620
Naga_100009g77	NGA_0234200
Naga_100009g76	NGA_0217100
Naga_100009g75	NGA_0198900
Naga_100009g74	NGA_0546600
Naga_100009g73	NGA_0101300
Naga_100009g72	NGA_0217700
Naga_100009g71	NGA_2055900
Naga_100009g69	NGA_0471400
Naga_100009g68	NGA_0380900
Naga_100009g67	NGA_0718700
Naga_100009g66	NGA_0331400
Naga_100009g66	NGA_0331400
Naga_100009g65	NGA_2013800
Naga_100009g64	NGA_0713900
Naga_100009g63	NGA_0546700
Naga_100009g62	NGA_0186100
Naga_100009g62	NGA_0710700
Naga_100009g61	NGA_2048700
Naga_100009g60	NGA_0467800
Naga_100009g58	NGA_0182520
Naga_100009g56	NGA_0722300
Naga_100009g55	NGA_0190300
Naga_100009g54	NGA_2083900
Naga_100009g54	NGA_2083900
Naga_100009g53	NGA_2005800
Naga_100009g52	NGA_0712100
Naga_100009g51	NGA_2010510
Naga_100009g50	NGA_0707110
Naga_100009g49	NGA_0377502
Naga_100009g48	NGA_0679600
Naga_100009g46	NGA_0219720
Naga_100009g44	NGA_0377300
Naga_100009g44	NGA_0377300
Naga_100009g43	NGA_0377600
Naga_100009g43	NGA_0377600
Naga_100009g42	NGA_0377800
Naga_100009g41	NGA_0377400
Naga_100009g40	NGA_0514800
Naga_100009g39	NGA_0377200
Naga_100009g39	NGA_0377200
Naga_100009g38	NGA_0378200
Naga_100009g37	NGA_0377900
Naga_100009g36	NGA_0378100
Naga_100009g35	NGA_0377700
Naga_100009g34	NGA_0179702
Naga_100009g33	NGA_0679600
Naga_100009g32	NGA_2120900
Naga_100009g31	NGA_2017900
Naga_100009g30	NGA_2012600
Naga_100009g29	NGA_2088300
Naga_100009g28	NGA_0492510
Naga_100009g27	NGA_0452200
Naga_100009g26	NGA_0159800
Naga_100009g24	NGA_0210500
Naga_100009g23	NGA_0409000
Naga_100009g23	NGA_0318500
Naga_100009g22	NGA_0232801
Naga_100009g21	NGA_2121600
Naga_100009g20	NGA_0210810
Naga_100009g19	NGA_0211101
Naga_100009g18	NGA_0210901
Naga_100009g16	NGA_0110602
Naga_100009g15	NGA_0211001
Naga_100009g14	NGA_0257820
Naga_100009g12	NGA_0500600
Naga_100009g11	NGA_0456000
Naga_100009g10	NGA_2093500
Naga_100009g9	NGA_2032800
Naga_100009g8	NGA_0469620
Naga_100009g7	NGA_2036200
Naga_100009g5	NGA_0425800
Naga_100009g6	NGA_2081300
Naga_100009g4	NGA_0333600
Naga_100009g3	NGA_0721000
Naga_100009g2	NGA_0720900
Naga_100009g1	NGA_2095800
Naga_100131g16	NGA_0557100
Naga_100131g15	NGA_2120400
Naga_100131g14	NGA_0208801
Naga_100131g13	NGA_0492510
Naga_100131g12	NGA_2040300
Naga_100131g11	NGA_0026702
Naga_100131g9	NGA_0493700
Naga_100131g8	NGA_0624300
Naga_100131g7	NGA_2012500
Naga_100131g6	NGA_2105700
Naga_100131g5	NGA_0014302
Naga_100131g4	NGA_2041500
Naga_100131g3	NGA_0682800
Naga_100131g2	NGA_0318100
